,Element,NID,S1,S2,S12,S_max,S_min
0,145,287,3821.54961489964,1261.1113729168812,0.0,3821.54961489964,1261.111372916881
1,145,288,3713.5325944032775,933.7870683824497,1.4730345455771623,3713.5327895497935,933.7868732359334
2,145,367,3717.6784459909763,935.1551994063902,-101.91462097200412,3718.611332075111,934.2223133222551
3,145,366,3825.6954664873388,1262.4795039408218,-103.38765551758124,3826.7375814958655,1261.4373889322956
4,146,288,3921.5134246670973,1002.4207423695102,1.4730345455771623,3921.51361049801,1002.4205565385971
5,146,289,3818.431311522795,690.0507025382921,4.179263291272989,3818.4327073115473,690.0493067495402
6,146,368,3826.047989747117,692.5642063523181,-94.4850489505613,3826.760088225615,691.8521078738199
7,146,367,3929.130102891419,1004.9342461835363,-97.19127769625692,3929.9374647773975,1004.1268842975576
11,147,368,4012.745712843274,754.1744549740498,-82.1125762808444,4013.262918440718,753.6572493766062
10,147,369,3922.5900036624503,480.9753362442814,-78.84088213884031,3923.0414683102763,480.5238715964549
8,147,289,4003.5375388776197,751.1357575653843,4.179263291272989,4003.5388814419475,751.1344150010561
9,147,290,3913.381829696796,477.9366388356159,7.450957433276635,3913.385869690036,477.93259884237636
12,148,290,4061.5883409468356,526.8447875481288,7.450957433276635,4061.5922674484445,526.8408610465192
13,148,291,3989.532963896183,308.4951601219075,10.280118886531053,3989.5401412632664,308.48798275482363
14,148,370,3997.4956361087116,311.12284195204165,-58.68717333492888,3997.729196732127,310.88928132862566
15,148,369,4069.551013159364,529.472469378263,-61.51633478818329,4069.8182370192735,529.2052455183539
16,149,291,4095.057922926904,343.31839660204537,10.280118886531053,4095.0649650366518,343.3113544922976
17,149,292,4042.2471512404636,183.28575512798307,11.933178217425064,4042.2563765466616,183.27652982178506
18,149,371,4046.8996820803704,184.82109030515244,-38.614243343042645,4046.9961989230187,184.7245734625037
19,149,370,4099.710453766811,344.85373177921474,-40.267302673936655,4099.818407889186,344.74577765683944
23,150,371,4108.628680341572,205.19165973134886,-22.1803946284688,4108.660188851389,205.1601512215325
22,150,372,4072.98763551031,97.18849357600925,-21.89330863410054,4073.017774943434,97.15835414288586
20,150,292,4107.820677084162,204.92501865640338,11.933178217425064,4107.8297985430745,204.9158971974898
21,150,293,4072.1796322528994,96.92185250106377,12.22026421179507,4072.189023751066,96.91246100289663
24,151,293,4105.853848379675,108.0343438228997,12.22026421179507,4105.863186877098,108.0250053254756
25,151,294,4083.749031899766,41.050051459538736,11.413709378868065,4083.7570879350296,41.04199542427523
26,151,373,4081.4789840915637,40.30093568283178,-9.743758669628596,4081.4848574219322,40.29506235246299
27,151,372,4103.583800571472,107.28522804619274,-8.93720383670159,4103.588797289754,107.280231327911
31,152,373,4090.9967672219136,43.44180411584739,-0.41928026568335225,4090.9967780800703,43.44179325769119
28,152,294,4095.115201340812,44.8008873750839,11.413709378868065,4095.1232422293124,44.79284648658381
29,152,295,4082.7523849930217,7.3378075332959725,9.95041828062592,4082.7584586497333,7.331733876584622
30,152,374,4078.6339508741235,5.978724274059459,-1.882571363925497,4078.6341684272033,5.978506720979567
35,153,374,4075.4838508836824,4.939191277213922,4.355328601037864,4075.4850158925065,4.938026268389649
34,153,375,4069.6382388924626,-12.774784453755046,2.636233605665991,4069.6386644818663,-12.775210043158495
32,153,295,4080.322245302314,6.535861435362449,9.95041828062592,4080.3283213865116,6.529785351164719
33,153,296,4074.4766333110942,-11.17811429560652,8.231323285254046,4074.480779195809,-11.182260180321464
38,154,376,4058.1128723754973,-21.365134617506556,4.83628057809195,4058.1143057452555,-21.36656798726449
36,154,296,4064.665384327917,-14.415826460055086,8.231323285254046,4064.6695368938103,-14.419979025948578
37,154,297,4062.892628026334,-19.787815252730525,6.533051598654836,4062.895241550492,-19.790428776888348
39,154,375,4059.88562867708,-15.993145824831117,6.53455226469116,4059.8882477653933,-15.995764913144512
