,Element,NID,E1,E2,E12,E_max,E_min
0,145,287.0,0.000318260083747063,0.0,0.0,0.000318260083747063,0.0
1,145,288.0,0.000318260083747063,-2.725971391211148e-05,3.6619195878834524e-07,0.00031826018077226527,-2.7259810937313737e-05
2,145,367.0,0.00031860535023699817,-2.725971391211148e-05,-2.5335808080243372e-05,0.0003190687132767357,-2.772307695184895e-05
3,145,366.0,0.00031860535023699817,0.0,-2.5702000039031734e-05,0.0003191228568898,-5.175066528018341e-07
4,146,288.0,0.0003355808232718675,-2.725971391211148e-05,3.6619195878834524e-07,0.000335580915665428,-2.7259806305671987e-05
5,146,289.0,0.0003355808232718675,-5.327403346209472e-05,1.0389522139044862e-06,0.00033558151724531136,-5.327472743553858e-05
6,146,368.0,0.00033621514010920674,-5.327403346209472e-05,-2.348883577147731e-05,0.00033656895268600266,-5.3627846038890604e-05
7,146,367.0,0.00033621514010920674,-2.725971391211148e-05,-2.4161596026593343e-05,0.0003366162264807884,-2.7660800283693172e-05
8,147,289.0,0.00035099656255076564,-5.327403346209472e-05,1.0389522139044862e-06,0.0003509972300615438,-5.3274700972872865e-05
9,147,290.0,0.00035099656255076564,-7.602619031919947e-05,1.8522843593716566e-06,0.0003509985711915151,-7.60281989599489e-05
10,147,369.0,0.00035176341809818417,-7.602619031919947e-05,-1.959973594849911e-05,0.00035198779724256635,-7.625056946358166e-05
11,147,368.0,0.00035176341809818417,-5.327403346209472e-05,-2.041306809396617e-05,0.0003520204493228296,-5.3531064686740095e-05
15,148,369.0,0.00036400241580839075,-7.602619031919947e-05,-1.5292893978330465e-05,0.0003641352492333667,-7.61590237441754e-05
14,148,370.0,0.00036400241580839075,-9.421046964696671e-05,-1.4589577056528611e-05,0.00036411852004981633,-9.432657388839231e-05
12,148,290.0,0.0003633392883984523,-7.602619031919947e-05,1.8522843593716566e-06,0.0003633412406126508,-7.602814253339788e-05
13,148,291.0,0.0003633392883984523,-9.421046964696671e-05,2.555601281173511e-06,0.0003633428568884673,-9.421403813698173e-05
16,149,291.0,0.0003721274904626441,-9.421046964696671e-05,2.555601281173511e-06,0.0003721309917050006,-9.421397088932323e-05
17,149,292.0,0.0003721274904626441,-0.00010753809868769387,2.966538038148836e-06,0.00037213207712884493,-0.00010754268535389467
18,149,371.0,0.00037251494487899883,-0.00010753809868769387,-9.599504409302413e-06,0.0003725629298235375,-0.00010758608363223252
19,149,370.0,0.00037251494487899883,-9.421046964696671e-05,-1.0010441166277738e-05,0.0003725686153066024,-9.426414007457034e-05
20,150,292.0,0.0003775885372560492,-0.00010753809868769387,2.966538038148836e-06,0.0003775930722913439,-0.00010754263372298858
21,150,293.0,0.0003775885372560492,-0.00011653270427593162,3.037891853753614e-06,0.0003775932065046728,-0.00011653737352455523
22,150,372.0,0.00037765581371345357,-0.00011653270427593162,-5.4427366115244145e-06,0.00037767079913019906,-0.00011654768969267712
23,150,371.0,0.00037765581371345357,-0.00010753809868769387,-5.5140904271289756e-06,0.0003776714797238702,-0.0001075537646981105
27,151,372.0,0.0003802039455395741,-0.00011653270427593162,-2.221882402773847e-06,0.0003802064301240722,-0.00011653518886042973
24,151,293.0,0.00038039301579726814,-0.00011653270427593162,3.037891853753614e-06,0.00038039765869474576,-0.00011653734717340924
25,151,294.0,0.00038039301579726814,-0.00012211125250668236,2.837362800583304e-06,0.00038039702101871735,-0.0001221152577281316
26,151,373.0,0.0003802039455395741,-0.00012211125250668236,-2.4224114559441567e-06,0.00038020686603808154,-0.0001221141730051898
31,152,373.0,0.0003809966814199979,-0.00012211125250668236,-1.043693922046611e-07,0.00038099668683283733,-0.00012211125791952184
30,152,374.0,0.0003809966814199979,-0.00012523126931501897,-4.6816897997670887e-07,0.0003809967896628096,-0.00012523137755783068
28,152,294.0,0.00038133969270000507,-0.00012211125250668236,2.837362800583304e-06,0.0003813436903902531,-0.0001221152501969304
29,152,295.0,0.00038133969270000507,-0.00012523126931501897,2.4735632128112563e-06,0.0003813427122564718,-0.00012523428887148573
32,153,295.0,0.00038113742979224404,-0.00012523126931501897,2.4735632128112563e-06,0.00038114045055482205,-0.000125234290077597
33,153,296.0,0.00038113742979224404,-0.00012670657151087164,2.0461629343850735e-06,0.00038113949084138106,-0.00012670863256000864
34,153,375.0,0.0003807344521047861,-0.00012670657151087164,6.551627474522467e-07,0.0003807346635766749,-0.00012670678298276044
35,153,374.0,0.0003807344521047861,-0.00012523126931501897,1.0825630258784295e-06,0.0003807350311664272,-0.00012523184837666003
36,154,296.0,0.000380320485385392,-0.00012670657151087164,2.0461629343850735e-06,0.0003803225497553554,-0.00012670863588083505
37,154,297.0,0.000380320485385392,-0.0001271540116071322,1.6239302229503934e-06,0.0003803217845357106,-0.00012715531075745086
38,154,376.0,0.00037992238260627477,-0.0001271540116071322,1.2020606212220786e-06,0.0003799230949978018,-0.00012715472399865924
39,154,375.0,0.00037992238260627477,-0.00012670657151087164,1.6242933326567587e-06,0.0003799236845068222,-0.00012670787341141905
40,155,297.0,0.0003792476359463326,-0.0001271540116071322,1.6239302229503934e-06,0.0003792489378489833,-0.00012715531350978297
41,155,298.0,0.0003792476359463326,-0.00012700841194847356,1.2461471854798359e-06,0.0003792484027917175,-0.0001270091787938585
42,155,377.0,0.0003788914402616658,-0.00012700841194847356,1.3834269597398988e-06,0.0003788923860351062,-0.00012700935772191397
43,155,376.0,0.0003788914402616658,-0.0001271540116071322,1.7612099972100226e-06,0.00037889297265922506,-0.0001271555440046915
45,156,299.0,0.0003781376427742138,-0.00012655944465037958,9.30252954617003e-07,0.00037813807143223765,-0.00012655987330840345
47,156,377.0,0.00037783979943376705,-0.00012700841194847356,1.6694595057157452e-06,0.0003778411795948526,-0.00012700979210955913
44,156,298.0,0.0003781376427742138,-0.00012700841194847356,1.2461471854798359e-06,0.00037813841130463724,-0.000127009180478897
46,156,378.0,0.00037783979943376705,-0.00012655944465037958,1.3535652748529123e-06,0.00037784070751188,-0.00012656035272849253
48,157,299.0,0.00037710970158100123,-0.00012655944465037958,9.30252954617003e-07,0.00037711013111387415,-0.00012655987418325253
49,157,300.0,0.00037710970158100123,-0.000125990191139328,6.798510437180938e-07,0.0003771099312556828,-0.00012599042081400954
50,157,379.0,0.0003768736081854601,-0.000125990191139328,1.2165761584170473e-06,0.00037687434399870894,-0.0001259909269525768
51,157,378.0,0.0003768736081854601,-0.00012655944465037958,1.4669780693159565e-06,0.0003768746768578861,-0.0001265605133228056
52,158,300.0,0.0003762178322305014,-0.000125990191139328,6.798510437180938e-07,0.000376218062313061,-0.0001259904212218876
53,158,301.0,0.0003762178322305014,-0.00012540993667235818,4.908098327040603e-07,0.0003762179522867708,-0.0001254100567286276
54,158,380.0,0.00037603959324963507,-0.00012540993667235818,1.037907284529363e-06,0.000376040130317831,-0.00012541047374055412
55,158,379.0,0.00037603959324963507,-0.000125990191139328,1.2269484955433965e-06,0.0003760403429065327,-0.00012599094079622562
58,159,381.0,0.00037534891365395475,-0.00012487972352240103,8.55244451254504e-07,0.0003753492792080647,-0.00012488008907651093
56,159,301.0,0.0003754766529597466,-0.00012540993667235818,4.908098327040603e-07,0.00037547677319366737,-0.00012541005690627896
57,159,302.0,0.0003754766529597466,-0.00012487972352240103,3.5532884563958117e-07,0.0003754767160440694,-0.00012487978660672376
59,159,380.0,0.00037534891365395475,-0.00012540993667235818,9.907254383189831e-07,0.00037534940367821144,-0.0001254104266966149
63,160,381.0,0.000374793765450695,-0.00012487972352240103,7.780050479185702e-07,0.0003747940682942024,-0.00012488002636590838
62,160,382.0,0.000374793765450695,-0.00012443143089439578,6.870289591927661e-07,0.0003747940018212603,-0.00012443166726496102
