,Element,NID,S1,S2,S12,S_max,S_min
0,145,287,3821.549816808043,1261.111439546654,0.0,3821.549816808043,1261.1114395466539
1,145,288,3713.5327683896835,933.7870504001096,1.473028767803335,3713.532963534655,933.7868552551381
2,145,367,3717.678603715854,935.1551760577458,-101.91465347510167,3718.611490334164,934.2222894394365
3,145,366,3825.6956521342136,1262.4795652042903,-103.3876822429049,3826.737767630758,1261.4374497077458
4,146,288,3921.5136524792433,1002.4207421496644,1.473028767803335,3921.513838308684,1002.420556320224
5,146,289,3818.4315272518074,690.0506657028897,4.179250758988775,3818.432923032076,690.0492699226211
6,146,368,3826.048186465568,692.5641632434307,-94.485073048131,3826.7602852527352,691.852064456263
7,146,367,3929.130311693004,1004.9342396902055,-97.19129503931623,3929.937673807629,1004.1268775755805
11,147,368,4012.7459453823385,754.174423685965,-82.11258654310751,4013.2631510671786,753.6572180011249
10,147,369,3922.59023857318,480.9753121430606,-78.84089951552629,3923.04170338602,480.5238473302211
8,147,289,4003.5377914402097,751.1357328850623,4.179250758988775,4003.5391339963717,751.1343903289007
9,147,290,3913.3820846310514,477.9366213421579,7.450937786570001,3913.3861246026654,477.93258137054363
12,148,290,4061.5886148877685,526.8447763268746,7.450937786570001,4061.5925413683544,526.8408498462888
13,148,291,3989.533257503744,308.49520849649844,10.280092483781047,3989.540434833482,308.4880311667607
14,148,370,3997.4959107013933,311.12288405172285,-58.68718091390533,3997.729471370402,310.88932338271434
15,148,369,4069.5512680854176,529.472451882099,-61.516335611116375,4069.8184919319156,529.2052280356013
16,149,291,4095.0582068174276,343.3184417700138,10.280092483781047,4095.0652488905544,343.31139969688684
17,149,292,4042.2474789196613,183.28593298890337,11.933146441969798,4042.2567041763714,183.27670773219302
18,149,371,4046.8999946381036,184.82126317598954,-38.614233206507365,4046.9965114265897,184.72474638750373
19,149,370,4099.71072253587,344.8537719571,-40.26728716469612,4099.818676568517,344.7458179244527
23,150,371,4108.628941360275,205.19181559430626,-22.180350948338816,4108.6604497451435,205.1603072094374
22,150,372,4072.987975363205,97.18888833045594,-21.89326729914278,4073.018114682938,97.15874901072289
20,150,292,4107.820944703351,204.92517669752124,11.933146441969798,4107.830066113432,204.9160552874407
21,150,293,4072.179978706281,96.92224943367091,12.220230091165833,4072.1893701521226,96.91285798782928
24,151,293,4105.854050089521,108.03469299014023,12.220230091165833,4105.86338853514,108.02535454452027
25,151,294,4083.74936300173,41.05079272410899,11.413678577569232,4083.7574189943307,41.04273673150851
26,151,373,4081.4793245357782,40.30168003034464,-9.743665624181387,4081.485197754563,40.295806811559714
27,151,372,4103.584011623569,107.28558029637588,-8.937114110584787,4103.589008241697,107.28058367824701
31,152,373,4090.996855160872,43.44246513662574,-0.4191189113449242,4090.9968660106747,43.44245428682325
28,152,294,4095.1152525624343,44.801536279141146,11.413678577569232,4095.123293408723,44.79349543285298
29,152,295,4082.7526369741236,7.339064799411062,9.950400525096974,4082.7587106106575,7.332991162877079
30,152,374,4078.6342395725615,5.979993656895658,-1.8823969638171822,4078.6344570853876,5.979776144069547
32,153,295,4080.322011190068,6.536958290672828,9.950400525096974,4080.3280872545665,6.530882226174526
33,153,296,4074.4766980956892,-11.176111692293034,8.231334302790023,4074.4808439934686,-11.180257590072642
34,153,375,4069.6383846588787,-12.772755126440643,2.6365307103767304,4069.6388103444124,-12.773180811974498
35,153,374,4075.4836977532577,4.9403148565252195,4.355596932685427,4075.4848629060043,4.939149703778639
38,154,376,4058.1127273236652,-21.362039983250042,4.836756268876978,4058.1141609765446,-21.36347363612913
39,154,375,4059.8850535709353,-15.991354385461818,6.534974903212351,4059.8876729995727,-15.993973814099036
36,154,296,4064.6646599071137,-14.414084294523036,8.231334302790023,4064.6688124866346,-14.418236874043941
37,154,297,4062.8923336598436,-19.78476989231126,6.533115668454649,4062.8949472374015,-19.787383469869383
43,155,376,4045.7306995446916,-25.44810915031144,7.085968774693729,4045.733782860226,-25.451192465845224
42,155,377,4046.3083068633014,-23.69778394240234,5.566623117639212,4046.3102102559346,-23.699687335035833
40,155,297,4050.0068992700308,-24.03696324094949,6.533115668454649,4050.009518385972,-24.039582356890378
41,155,298,4050.5845065886406,-22.28663803304039,5.013770011400132,4050.586049595976,-22.288181040375775
44,156,298,4037.252513956487,-26.686195601651207,5.013770011400132,4037.2540603553107,-26.687742000474827
45,156,299,4039.0321061661784,-21.293491935919292,3.743454886744944,4039.032968994243,-21.294354763983847
46,156,378,4035.4568030994,-22.473341947955987,5.446780051207178,4035.458630841531,-22.47516969008666
47,156,377,4033.6772108897085,-27.866045613687902,6.717095175862365,4033.679988118332,-27.868822842311147
51,157,378,4023.8513677858896,-26.303135601414397,5.902686306807625,4023.8535184252733,-26.30528624079784
50,157,379,4026.107279630696,-19.467039102000626,4.895897168651514,4026.1087608666357,-19.46852033794039
48,157,299,4026.6849767254275,-25.368044651366972,3.743454886744944,4026.685841315021,-25.36890924096042
49,157,300,4028.940888570234,-18.531948151953202,2.7366657485888326,4028.9413511637376,-18.5324107454569
52,158,300,4018.227652687674,-22.067315993198008,2.7366657485888326,4018.2281161030073,-22.06777940853135
53,158,301,4020.5265152797037,-15.101065714320384,1.9767687468578166,4020.5267573495157,-15.101307784132814
54,158,380,4018.387784481345,-15.806846877778753,4.177110196610104,4018.388865753229,-15.807928149662757
55,158,379,4016.0889218893153,-22.773097156656377,4.93700719834112,4016.090430608285,-22.77460587562541
58,159,381,4012.190584625303,-12.182809610712411,3.44180891383799,4012.1913205191477,-12.183545504556832
56,159,301,4011.623423070334,-18.039086143412533,1.9767687468578166,4011.6236654984796,-18.03932857155837
57,159,302,4013.722859006205,-11.677159065015076,1.4323473971658804,4013.722986423293,-11.677286482103455
59,159,380,4010.091148689432,-18.544736689109868,3.9862302635299263,4010.092134756942,-18.545722756619853
63,160,381,4005.523084799118,-14.383084553353683,3.129320567355121,4005.5236938087137,-14.38369356294993
62,160,382,4007.2960406015286,-9.010491212714669,2.7638714769190624,4007.2965160996373,-9.010966710823368
61,160,303,4008.324597396954,-8.671067470224443,1.0668983067298219,4008.324668237955,-8.671138311225604
60,160,302,4006.551641594543,-14.043660810863457,1.4323473971658804,4006.5517691638984,-14.043788380218757
64,161,303,4002.701729297491,-10.526613943046868,1.0668983067298219,4002.7018002049927,-10.526684850548236
65,161,304,4004.0809039215433,-6.347296900464471,0.8436906316782424,4004.0809482942286,-6.34734127315005
66,161,383,4003.4526898645504,-6.554607539272411,2.1637499834923606,4003.452981747663,-6.554899422385461
67,161,382,4002.073515240498,-10.733924581854808,2.38695765854394,4002.073870201859,-10.734279543215735
70,162,384,4000.4288557259224,-5.022951291589834,1.623829400096441,4000.429020302975,-5.023115868642435
71,162,383,3999.4921010413395,-7.861601850931947,1.7402993145472654,3999.49228998408,-7.861790793672299
68,162,304,3999.8199057208626,-7.7534263066893345,0.8436906316782424,3999.8199501251574,-7.7534707109846295
69,162,305,4000.7566604054455,-4.914775747347221,0.7272207172274181,4000.7566934117704,-4.914808753672105
72,163,305,3997.741522904841,-5.909771122546545,0.7272207172274181,3997.7415559278197,-5.909804145525641
73,163,306,3998.1746557760466,-4.597247270408388,0.682194280566248,3998.1746848427183,-4.597276337080302
74,163,385,3998.047928829343,-4.639067162820766,1.0967646046356048,3998.0480039596605,-4.63914229313832
75,163,384,3997.6147959581376,-5.951591014958922,1.141791041296775,3997.614877365977,-5.951672422798083
79,164,385,3996.386095961468,-5.187472009219391,0.5200196718076865,3996.3861128561,-5.187488903852
76,164,306,3996.4186745075453,-5.176721089014109,0.682194280566248,3996.4187035827636,-5.176750164232317
77,164,307,3996.249238467746,-5.690163633860948,0.6706190325251788,3996.249266562242,-5.6901917283566945
78,164,386,3996.216659921669,-5.70091455406623,0.5084444237666175,3996.2166760711602,-5.700930703557333
82,165,387,3994.953960135838,-8.629269635931678,-0.24301729508030703,3994.953963823622,-8.629273323716234
83,165,386,3995.8841017252653,-5.810658758879526,-0.21965996912630445,3995.8841047396445,-5.810661773258744
80,165,307,3995.9498409402713,-5.7889648179275355,0.6706190325251788,3995.9498690361756,-5.788992913831862
81,165,308,3995.019699350844,-8.607575694979687,0.6472617065711763,3995.0197255113535,-8.607601855489293
87,166,387,3996.3527163850745,-8.167680073683414,-1.1971076509692227,3996.352805850638,-8.167769539247274
86,166,388,3994.4257646738233,-14.006927683536105,-1.290732486386534,3994.4258685791674,-14.007031588879954
85,166,309,3994.6892718577583,-13.919970312837904,0.5536368711538652,3994.689290973726,-13.91998942880582
84,166,308,3996.6162235690094,-8.080722702985213,0.6472617065711763,3996.6162497225314,-8.080748856506716
88,167,309,3998.926820269686,-12.521579336901596,0.5536368711538652,3998.926839372124,-12.521598439340096
89,167,310,3995.673818207104,-22.379161344724025,0.3108034932021609,3995.6738242174038,-22.379167355023583
90,167,389,3994.9903634453594,-22.604701416099942,-2.802786374782156,3994.9908522707874,-22.605190241527907
91,167,388,3998.2433655079412,-12.747119408277513,-2.559952996830452,3998.2437739705583,-12.747527870894146
94,168,390,3997.256600549474,-35.38279003610796,-4.982536933128139,3997.2581395951465,-35.384329081780606
95,168,389,4002.2656483165492,-20.203857408607064,-4.4835425114882845,4002.2668976825903,-20.205106774648357
92,168,310,4003.670059298265,-19.74040178464088,0.3108034932021609,4003.670065300562,-19.740407786937794
93,168,311,3998.66101153119,-34.91933441214178,-0.1881909284376929,3998.6610137262514,-34.91933660720315
96,169,311,4011.961600593237,-30.530140021666284,-0.1881909284376929,4011.96160278346,-30.530142211888915
97,169,312,4004.674926160095,-52.610971637248895,-1.0839653969045069,4004.674998559538,-52.61104403669219
98,169,391,4002.153768108747,-53.44295379419373,-8.05835866499064,4002.1577710388174,-53.44695672426383
99,169,390,4009.4404425418893,-31.362122178611116,-7.162584196523826,4009.4436165754664,-31.36529621218824
103,170,391,4021.1387027830147,-47.17792535168542,-10.784377656241299,4021.145849633159,-47.185072201829826
100,170,312,4025.26374901405,-45.816660095443694,-1.0839653969045069,4025.263821168174,-45.81673224956762
101,170,313,4015.1289970314647,-76.5280297396423,-2.5496057969798485,4015.1293942109596,-76.52842691913725
102,170,392,4011.0039508004293,-77.88929499588403,-12.250018056316641,4011.0131258140964,-77.89847000955137
106,171,393,4025.5710655585162,-109.52737919595916,-17.691959374199993,4025.5899891705094,-109.54630280795209
107,171,392,4039.067784875294,-68.62822975117865,-15.46790332870514,4039.0823462732405,-68.64279114912551
104,171,313,4045.327392625991,-66.56255919344858,-2.5496057969798485,4045.327787851129,-66.56295441858674
105,171,314,4031.830673309213,-107.46170863822908,-4.773661842474701,4031.8320496217384,-107.46308495075459
