,Element,NID,E1,E2,E12,E_max,E_min
0,145,287.0,0.0003182600800223372,0.0,0.0,0.0003182600800223372,0.0
1,145,288.0,0.0003182600800223372,-2.7259688812052668e-05,3.661937690519813e-07,0.00031826017704850683,-2.7259785838222312e-05
2,145,367.0,0.0003186053482190913,-2.7259688812052668e-05,-2.533578260422467e-05,0.00031906871036445307,-2.7723050957414427e-05
3,145,366.0,0.0003186053482190913,0.0,-2.570197637327667e-05,0.0003191228539236893,-5.175057045980519e-07
4,146,288.0,0.00033558080006606037,-2.7259688812052668e-05,3.661937690519813e-07,0.0003355808924605467,-2.7259781206538983e-05
5,146,289.0,0.00033558080006606037,-5.327398079197566e-05,1.0389574102356988e-06,0.0003355814940465815,-5.327467477249677e-05
6,146,368.0,0.0003362151200959779,-5.327398079197566e-05,-2.3488804580516797e-05,0.00033656893179987265,-5.362779249587041e-05
7,146,367.0,0.0003362151200959779,-2.7259688812052668e-05,-2.416156822170046e-05,0.00033661620559511697,-2.7660774311191733e-05
11,147,368.0,0.0003517633748176452,-5.327398079197566e-05,-2.0413030688740228e-05,0.0003520204051617239,-5.3531011136054426e-05
10,147,369.0,0.0003517633748176452,-7.602610348811023e-05,-1.9599693293381824e-05,0.0003519877530540755,-7.625048172454048e-05
8,147,289.0,0.0003509965143203321,-5.327398079197566e-05,1.0389574102356988e-06,0.000350997181837954,-5.327464830959757e-05
9,147,290.0,0.0003509965143203321,-7.602610348811023e-05,1.8522948055943195e-06,0.00035099852298437287,-7.602811215215094e-05
12,148,290.0,0.0003633392058936971,-7.602610348811023e-05,1.8522948055943195e-06,0.0003633411581306675,-7.60280557250806e-05
13,148,291.0,0.0003633392058936971,-9.421033957613457e-05,2.5556195550105985e-06,0.0003633427744364028,-9.42139081188403e-05
14,148,370.0,0.00036400234068395825,-9.421033957613457e-05,-1.458951801378938e-05,0.000364118444037863,-9.432644293003934e-05
15,148,369.0,0.00036400234068395825,-7.602610348811023e-05,-1.529284276320566e-05,0.00036413517326835975,-7.615893607251171e-05
19,149,370.0,0.00037251482630742006,-9.421033957613457e-05,-1.0010372096776535e-05,0.00037256849602307205,-9.426400929178657e-05
16,149,291.0,0.0003721273611307649,-9.421033957613457e-05,2.5556195550105985e-06,0.0003721308624251401,-9.421384087050978e-05
17,149,292.0,0.0003721273611307649,-0.000107537914742639,2.966567724432649e-06,0.0003721319478917589,-0.00010754250150363297
18,149,371.0,0.00037251482630742006,-0.000107537914742639,-9.599423927354484e-06,0.0003725628104776662,-0.00010758589891288512
23,150,371.0,0.0003776556369375966,-0.000107537914742639,-5.513999367179681e-06,0.0003776713024422616,-0.00010755358024730401
22,150,372.0,0.0003776556369375966,-0.00011653245523759776,-5.442629341064972e-06,0.0003776706217765838,-0.00011654744007658498
