,Element,NID,E1,E2,E12,E_max,E_min
0,145,287.0,0.0003182600837723689,0.0,0.0,0.0003182600837723689,0.0
1,145,288.0,0.0003182600837723689,-2.7259691833847014e-05,3.661933567926704e-07,0.00031826018079831816,-2.7259788859796297e-05
2,145,367.0,0.0003186053515804216,-2.7259691833847014e-05,-2.53357858656026e-05,0.0003190687138363889,-2.772305408981431e-05
3,145,366.0,0.0003186053515804216,0.0,-2.5701979222395288e-05,0.000319122857394125,-5.175058137034307e-07
4,146,288.0,0.0003355808059548881,-2.7259691833847014e-05,3.661933567926704e-07,0.0003355808983491641,-2.7259784228123024e-05
5,146,289.0,0.0003355808059548881,-5.3273986150866644e-05,1.038956437790701e-06,0.00033558149993409005,-5.32746801300686e-05
6,146,368.0,0.0003362151254566304,-5.3273986150866644e-05,-2.348880775651012e-05,0.00033656893724639836,-5.362779794063462e-05
7,146,367.0,0.0003362151254566304,-2.7259691833847014e-05,-2.416157083750815e-05,0.0003366162110332899,-2.7660777410506537e-05
11,147,368.0,0.00035176338223642995,-5.3273986150866644e-05,-2.041303352750179e-05,0.00035202041264385364,-5.35310165582903e-05
10,147,369.0,0.00035176338223642995,-7.6026110826429e-05,-1.9599696825896816e-05,0.0003519877605459666,-7.625048913596566e-05
8,147,289.0,0.0003509965223932273,-5.3273986150866644e-05,1.038956437790701e-06,0.00035099718990957746,-5.327465366721678e-05
9,147,290.0,0.0003509965223932273,-7.6026110826429e-05,1.8522931393956735e-06,0.0003509985310535819,-7.602811948678357e-05
12,148,290.0,0.00036333921640972137,-7.6026110826429e-05,1.8522931393956735e-06,0.00036334116864310023,-7.602806305980788e-05
13,148,291.0,0.00036333921640972137,-9.421034853942929e-05,2.5556170548909126e-06,0.0003633427849452931,-9.421391707500104e-05
14,148,370.0,0.0003640023504137139,-9.421034853942929e-05,-1.4589522046029417e-05,0.00036411845382704536,-9.432645195276077e-05
15,148,369.0,0.0003640023504137139,-7.6026110826429e-05,-1.5292845961524656e-05,0.00036413518304851013,-7.615894346122527e-05
19,149,370.0,0.00037251483861251754,-9.421034853942929e-05,-1.001037554508111e-05,0.0003725685083626957,-9.426401828960742e-05
16,149,291.0,0.00037212737436249184,-9.421034853942929e-05,2.5556170548909126e-06,0.00037213087564984997,-9.421384982678737e-05
17,149,292.0,0.00037212737436249184,-0.00010753792471158516,2.9665642415238093e-06,0.0003721319611124939,-0.00010754251146158722
18,149,371.0,0.00037251483861251754,-0.00010753792471158516,-9.599428358448214e-06,0.00037256282282483225,-0.0001075859089238999
23,150,371.0,0.00037765565193015067,-0.00010753792471158516,-5.514002704114359e-06,0.00037767131745296994,-0.00010755359023440446
22,150,372.0,0.00037765565193015067,-0.00011653246505172296,-5.44263379883116e-06,0.00037767063679293157,-0.00011654744991450387
20,150,292.0,0.0003775883612453345,-0.00010753792471158516,2.9665642415238093e-06,0.0003775928963640163,-0.00010754245983026698
21,150,293.0,0.0003775883612453345,-0.00011653246505172296,3.0379331468072257e-06,0.00037759303062481666,-0.0001165371344312051
24,151,293.0,0.000380392760368161,-0.00011653246505172296,3.0379331468072257e-06,0.00038039740339647875,-0.00011653710808004068
25,151,294.0,0.000380392760368161,-0.00012211093581957484,2.837425247033225e-06,0.0003803967657704698,-0.00012211494122188363
26,151,373.0,0.0003802037100550976,-0.00012211093581957484,-2.4222759730436506e-06,0.00038020663023014526,-0.00012211385599462254
27,151,372.0,0.0003802037100550976,-0.00011653246505172296,-2.2217680732696497e-06,0.0003802061943862834,-0.00011653494938290877
28,152,294.0,0.0003813393349009664,-0.00012211093581957484,2.837425247033225e-06,0.00038134333277253823,-0.0001221149336911467
29,152,295.0,0.0003813393349009664,-0.00012523086553195673,2.473654390997785e-06,0.000381342354684584,-0.0001252338853155743
30,152,374.0,0.0003809963507109006,-0.00012523086553195673,-4.6799568268916444e-07,0.00038099645887374985,-0.00012523097369480593
31,152,373.0,0.0003809963507109006,-0.00012211093581957484,-1.0422482665372462e-07,0.0003809963561087624,-0.00012211094121743665
33,153,296.0,0.0003811369443969589,-0.00012670607772308548,2.0462918999130005e-06,0.0003811390057098849,-0.00012670813903601147
35,153,374.0,0.0003807340023375917,-0.00012523086553195673,1.082739065720855e-06,0.000380734581588552,-0.000125231444782917
32,153,295.0,0.0003811369443969589,-0.00012523086553195673,2.473654390997785e-06,0.0003811399653875415,-0.00012523388652253934
34,153,375.0,0.0003807340023375917,-0.00012670607772308548,6.553765746360705e-07,0.0003807342139479337,-0.00012670628933342745
36,154,296.0,0.0003803198475477074,-0.00012670607772308548,2.0462918999130005e-06,0.0003803219121825121,-0.00012670814235789016
37,154,297.0,0.0003803198475477074,-0.0001271534382593123,1.6241071862390342e-06,0.0003803211469842847,-0.00012715473769588955
38,154,376.0,0.00037992179002335454,-0.0001271534382593123,1.202312597814014e-06,0.00037992250271521493,-0.00012715415095117266
39,154,375.0,0.00037992179002335454,-0.00012670607772308548,1.6244973114879803e-06,0.00037992309225369936,-0.00012670737995343034
42,155,377.0,0.000378890685673431,-0.00012700779294153613,1.383705519616453e-06,0.00037889163183035037,-0.00012700873909845552
40,155,297.0,0.00037924682615704183,-0.0001271534382593123,1.6241071862390342e-06,0.0003792481283470064,-0.00012715474044927685
41,155,298.0,0.00037924682615704183,-0.00012700779294153613,1.2463826953015497e-06,0.0003792475932944716,-0.0001270085600789659
43,155,376.0,0.000378890685673431,-0.0001271534382593123,1.7614300105543712e-06,0.00037889221845789465,-0.00012715497104377592
47,156,377.0,0.0003778388758603904,-0.00012700779294153613,1.6696700188946825e-06,0.0003778402563737824,-0.00012700917345492813
46,156,378.0,0.0003778388758603904,-0.00012655885215501466,1.3538436183487337e-06,0.000377839784314741,-0.00012655976060936525
44,156,298.0,0.0003781366552464945,-0.00012700779294153613,1.2463826953015497e-06,0.00037813742406987976,-0.00012700856176492143
45,156,299.0,0.0003781366552464945,-0.00012655885215501466,9.305562947556009e-07,0.00037813708418546314,-0.00012655928109398331
48,157,299.0,0.0003771085575863531,-0.00012655885215501466,9.305562947556009e-07,0.0003771089874008805,-0.00012655928196954205
49,157,300.0,0.0003771085575863531,-0.000125989756625388,6.802274269187419e-07,0.00037710878751613403,-0.00012598998655516898
50,157,379.0,0.00037687253306003306,-0.000125989756625388,1.2168035875984376e-06,0.00037687326915062573,-0.0001259904927159807
51,157,378.0,0.00037687253306003306,-0.00012655885215501466,1.4671324554352966e-06,0.0003768736019609473,-0.0001265599210559289
55,158,379.0,0.0003760384270320577,-0.000125989756625388,1.2269687581058578e-06,0.0003760391767161065,-0.00012599050630943676
