,Element,NID,E1,E2,E12,E_max,E_min
0,145,287.0,0.00031826008958210395,0.0,0.0,0.00031826008958210395,0.0
1,145,288.0,0.00031826008958210395,-2.7259696335441532e-05,3.66192729498989e-07,0.00031826018660771794,-2.7259793361055526e-05
2,145,367.0,0.0003186053567987087,-2.7259696335441532e-05,-2.533579073725424e-05,0.00031906871921964455,-2.7723058756377373e-05
3,145,366.0,0.0003186053567987087,0.0,-2.5701983466753202e-05,0.000319122862774606,-5.175059758972839e-07
4,146,288.0,0.00033558081493683577,-2.7259696335441532e-05,3.66192729498989e-07,0.0003355809073307918,-2.7259788729397567e-05
5,146,289.0,0.00033558081493683577,-5.327399406761619e-05,1.0389549656617501e-06,0.00033558150891404095,-5.327468804482136e-05
6,146,368.0,0.0003362151336420192,-5.327399406761619e-05,-2.3488812448642545e-05,0.00033656894555841356,-5.362780598401051e-05
7,146,367.0,0.0003362151336420192,-2.7259696335441532e-05,-2.416157468480525e-05,0.00033661621933230056,-2.7660782025722868e-05
8,147,289.0,0.00035099653457274275,-5.327399406761619e-05,1.0389549656617501e-06,0.0003509972020871681,-5.327466158204153e-05
9,147,290.0,0.00035099653457274275,-7.60261215476345e-05,1.8522906295977484e-06,0.00035099854322754627,-7.602813020243804e-05
10,147,369.0,0.0003517633934375726,-7.60261215476345e-05,-1.9599701979894487e-05,0.0003519877718535675,-7.62504999636294e-05
11,147,368.0,0.0003517633934375726,-5.327399406761619e-05,-2.0413037643830486e-05,0.0003520204239364754,-5.3531024566518985e-05
15,148,369.0,0.000364002364954521,-7.60261215476345e-05,-1.529285052534143e-05,0.00036413519766095403,-7.615895425406755e-05
14,148,370.0,0.000364002364954521,-9.421036143913953e-05,-1.458952784480906e-05,0.0003641184684531731,-9.43264649377916e-05
12,148,290.0,0.0003633392321149222,-7.60261215476345e-05,1.8522906295977484e-06,0.00036334118434289326,-7.602807377560556e-05
13,148,291.0,0.0003633392321149222,-9.421036143913953e-05,2.5556133101301177e-06,0.0003633428006398129,-9.421392996403029e-05
16,149,291.0,0.00037212739391563935,-9.421036143913953e-05,2.5556133101301177e-06,0.00037213089519249297,-9.421386271599315e-05
17,149,292.0,0.00037212739391563935,-0.0001075379387386761,2.966559059151483e-06,0.000372131980649295,-0.00010754252547233174
18,149,371.0,0.00037251485681020395,-0.0001075379387386761,-9.599434603778855e-06,0.0003725628410817285,-0.00010758592301020065
19,149,370.0,0.00037251485681020395,-9.421036143913953e-05,-1.001038035280022e-05,0.0003725685266083534,-9.426403123728898e-05
23,150,371.0,0.0003776556738391355,-0.0001075379387386761,-5.514007159291038e-06,0.0003776713393861084,-0.00010755360428564903
20,150,292.0,0.0003775883846756337,-0.0001075379387386761,2.966559059151483e-06,0.0003775929197781204,-0.00010754247384116283
21,150,293.0,0.0003775883846756337,-0.00011653247830754569,3.0379263509195883e-06,0.00037759305403387857,-0.00011653714766579054
22,150,372.0,0.0003776556738391355,-0.00011653247830754569,-5.44263986752315e-06,0.00037767065873426633,-0.00011654746320267649
27,151,372.0,0.0003802037351528895,-0.00011653247830754569,-2.2217710614375226e-06,0.00038020621949056614,-0.0001165349626452223
26,151,373.0,0.0003802037351528895,-0.00012211094503690697,-2.422280655384971e-06,0.00038020665533902725,-0.00012211386522304471
24,151,293.0,0.00038039278706331666,-0.00011653247830754569,3.0379263509195883e-06,0.0003803974300704883,-0.00011653712131471736
25,151,294.0,0.00038039278706331666,-0.00012211094503690697,2.83741675697214e-06,0.0003803967924413697,-0.00012211495041496
28,152,294.0,0.00038133936311857044,-0.00012211094503690697,2.83741675697214e-06,0.00038134336096592064,-0.00012211494288425715
29,152,295.0,0.00038133936311857044,-0.00012523086538676783,2.4736443334080413e-06,0.0003813423828774647,-0.0001252338851456621
30,152,374.0,0.00038099637745054845,-0.00012523086538676783,-4.67996912753392e-07,0.00038099648561396054,-0.00012523097355017992
31,152,373.0,0.00038099637745054845,-0.00012211094503690697,-1.0422448918929322e-07,0.0003809963828483749,-0.0001221109504347334
