,Element,NID,S1,S2,S12,S_max,S_min
0,26234,50,173.08121280851162,-115.96337544909429,-697.7413048745042,406.17966179672305,-349.06182443730575
1,26234,27058,688.8559971744908,1446.990516569024,-632.2366671959971,1561.5048491249233,574.3416646185917
2,26234,27073,808.1350862358438,1363.9216136880718,-197.1932775779372,1380.8943588623292,791.1623410615863
3,26234,4322,331.5535052292079,24.56837883832513,-356.7459878033234,413.3838943987001,-57.26201033116706
4,26235,27058,1010.7057190984258,1246.4762836094683,-583.6236264808412,1443.3148074429143,813.8671952649795
5,26235,27059,1724.070700172538,3408.188347470189,-80.96083504708491,3409.1607964843197,1723.0982511584068
6,26235,27074,2591.0306578998043,3504.0252772966514,321.8140374350051,3531.553651249884,2563.502283946572
7,26235,27073,1792.5365307465918,1593.5234544125647,-198.9709148267996,1833.738582845904,1552.3214023132525
11,26236,27074,4089.173059433233,3901.6914769607674,407.7413035929369,4219.821614213053,3771.0429221809472
10,26236,27075,5098.615853949175,6174.868764505447,1566.6299821643877,6587.090906913607,4686.393711541015
8,26236,27059,2488.567837395527,3336.24253779562,32.31051977087081,3336.550318236682,2488.2600569544657
9,26236,27060,3307.7460985476387,5818.600904923231,1279.5539984740694,5972.220191319424,3154.126812151446
12,26237,27060,5253.145798139801,6092.836035245815,1424.0108988100747,6499.563166139435,4846.418667246181
13,26237,27061,5808.847474849337,7776.780510122971,3460.8183654017844,8783.41843521351,4802.209549758796
14,26237,27076,8424.503221363735,8485.526337583146,3499.2074503378776,10204.884531855974,6705.145027090906
15,26237,27075,7636.867626309556,6873.000118075264,1636.6272029875245,8157.990095759752,6351.877648625069
16,26238,27061,9989.396823838295,8792.28036195533,3497.7009366938246,11239.283862972454,7542.393322821172
17,26238,27062,9653.291207493052,7773.7784942427015,5751.435688684829,11738.910055712196,5688.159646023557
18,26238,27077,12422.634968991582,8770.862810968049,5405.941369226893,13858.636456314474,7334.8613236451565
19,26238,27076,12540.759460959413,9645.784216079799,3339.8304135107264,13303.212384070379,8883.331292968833
23,26239,27077,17522.379616148522,10087.510481034187,4973.015511552275,18277.309141954487,9332.580955228223
22,26239,27078,16223.960718550077,6056.7680340673205,5620.665849425136,16949.058112302482,5331.670640314915
20,26239,27062,16705.436808201885,9781.642099368804,5522.4747563887,17671.763155367487,8815.315752203202
21,26239,27063,15276.735024872773,5452.242755947026,6241.844167989763,16184.309913423614,4544.667867396184
24,26240,27063,23095.93040219901,7489.591012519813,6242.716295400685,23697.065198075965,6888.456216642859
25,26240,27064,21695.468289826964,3245.7664295744435,2946.3382705721533,21812.35713258085,3128.877586820554
26,26240,27079,18008.21947330465,2244.3564189997896,2589.820208473792,18113.880623346908,2138.6952689575282
27,26240,27078,19413.551060112557,6267.333509729304,5704.896979878775,20005.790940656996,5675.093629184864
31,26241,27079,17718.97766445532,1057.9572875247477,4870.312532901468,18067.602573576558,709.332378403511
28,26241,27064,25893.482420422286,3774.2399703389046,5147.876880675986,26189.05299191324,3478.669398847953
29,26241,27065,25515.352957651456,2628.393113458048,-2136.30413780436,25565.0963245077,2578.6497466018063
30,26241,27080,17302.65305123474,-43.75434834781572,-2010.1382918096933,17360.693615929653,-101.79491304272779
32,26242,27065,25527.794168614935,2631.500991025806,2133.475145543635,25577.386025605774,2581.909134034966
33,26242,27066,25904.898482823886,3774.2413371130797,-5155.80046479199,26201.21882345976,3477.9209964772053
34,26242,27081,17724.700051599077,1056.1304285845035,-4878.5337414808255,18074.32715731048,706.5033228731008
35,26242,27080,17309.302210359783,-42.66098781803794,2006.7257394447324,17367.12812896136,-100.48690641961548
38,26243,27082,19429.59701249838,6270.0127437807305,-5711.065329954384,20022.51227020024,5677.09748607887
39,26243,27081,18023.897035405673,2246.3711549237696,-2590.0367735684304,18129.48543529409,2140.7827550353522
36,26243,27066,21718.357990212593,3250.128316367519,-2946.2778088579444,21835.126269510423,3133.3600370696877
37,26243,27067,23119.03373154247,7494.600259791393,-6248.977567635178,23720.68414986516,6892.949841468704
43,26244,27082,16238.479780321491,6060.570673257893,-5625.715886868748,16964.129964676344,5334.920488903042
42,26244,27083,17546.362886709816,10119.079405642575,-4984.609831372351,18305.1610585492,9360.281233803189
40,26244,27067,15298.484360260683,5456.434217852234,-6250.254244360591,16206.94531110055,4547.973267012367
41,26244,27068,16736.95989528627,9815.450990657037,-5537.717403664129,17708.292974815602,8844.117911127703
44,26245,27068,9711.5019792596,7813.161278287533,-5769.150230287729,11799.056500925966,5725.606756621164
45,26245,27069,10061.238546147059,8872.969056734375,-3542.6280314649644,11335.40501837486,7598.802584506573
46,26245,27084,12582.020139919361,9716.849752918533,-3379.8650163181305,13364.87445558398,8933.995437253914
47,26245,27083,12449.029123078306,8803.120369039536,-5420.517853816862,13892.36715666471,7359.782335453132
51,26246,27084,8507.951066249414,8569.905228833888,-3537.9983493858763,10308.198522478642,6769.657772604659
50,26246,27085,7720.345735497287,6959.14890653154,-1671.4732266949707,8258.06689501706,6421.427747011768
48,26246,27069,5886.427514026449,7859.022105039908,-3500.38625443949,8881.694281100907,4863.755337965449
49,26246,27070,5331.448874615301,6177.2686522788545,-1459.1639971801033,6597.651516136415,4911.0660107577405
52,26247,27070,3371.7983846130414,5899.524961958876,-1309.0903616206797,6058.960589950045,3212.362756621872
53,26247,27071,2554.0435100860827,3421.479887634758,-49.123711675414945,3422.1748110426893,2553.3485866781516
54,26247,27086,4170.811871322837,3992.197939294775,-424.15289940745714,4311.618257154303,3851.3915534633093
55,26247,27085,5181.974603637549,6262.57179752813,-1594.0875079242246,6685.186135167824,4759.360265997856
58,26248,27087,1850.5555721016012,1654.0986222985498,193.59437004251777,1890.234777586338,1614.419416813813
56,26248,27071,1775.5316853080403,3491.2199193516444,70.39170704119267,3491.9416281195477,1774.809976540137
57,26248,27072,1052.6071098622929,1300.539387697639,583.5767152149427,1493.603293465673,859.543204094259
59,26248,27086,2661.170387741622,3590.6712185370734,-337.4066739178182,3620.343460906394,2631.4981453723017
63,26249,27087,846.0094974417324,1417.3493696904275,193.39504630366946,1433.2714152051622,830.0874519269979
62,26249,4338,365.6606054700985,69.51682420332196,355.1415917971652,448.79570511123063,-13.618275437810183
61,26249,34,203.46425912472392,-72.78400297663237,698.3151604958039,440.8255358105848,-310.1452796624933
60,26249,27072,722.3963532746782,1499.7374944474714,630.9754877384404,1611.663896456441,610.4699512657087
64,26250,4322,332.55255521854815,-133.11206178592883,-210.70597824782882,355.27872573789324,-155.83823230527395
65,26250,27073,717.4090450987203,1033.1197257297442,-146.64622694069598,1049.3177893887355,701.210981439729
66,26250,27088,858.2097154874282,1122.1584861595013,111.4350639357002,1133.4380074138717,846.9301942330577
67,26250,4067,522.5815949104715,138.16145183383182,32.59497662285089,523.2712893803744,137.471757363929
70,26251,27089,2929.352163235976,2781.7001709845526,617.6244090907917,3173.0403484945627,2538.011985725966
71,26251,27088,2440.9629409794757,1634.6356170784748,173.409514890116,2450.1809630074754,1625.4175950504748
68,26251,27073,1669.093899035895,1274.5915646223777,-93.8397384233491,1674.597502651599,1269.087961006674
69,26251,27074,2092.2549562299264,2556.897798543797,377.37240212932056,2623.8684173755514,2025.2843373981718
72,26252,27074,3638.5913853924885,2972.485825641604,501.2184752179127,3722.3468877736523,2888.730323260441
73,26252,27075,3949.399177383255,3914.327619553018,1337.8875923867386,4601.036997773845,3262.6897991624287
74,26252,27090,5293.128693816192,4287.542396490659,1440.9308940438464,5668.8976719803895,3911.773418326461
75,26252,27089,4867.779937576885,3404.9537243668547,682.001343496226,4943.365338186266,3329.3683237574737
79,26253,27090,7903.330655769216,5085.976640905701,1405.4952894645432,8068.891611112987,4920.415685561929
76,26253,27075,6648.262678105657,4672.6906300712635,1441.6450904170986,6883.303858122061,4437.64945005486
77,26253,27076,6565.694382211318,4422.4836728158025,2329.988135037448,7076.981700303074,3911.1963547240475
