,Element,NID,E1,E2,E12,E_max,E_min
0,14687,14989.0,-0.0007889124574914842,0.0010862285249531927,-8.381233451059848e-05,0.001087164588244421,-0.0007898485207827122
1,14687,14570.0,-0.00039272687449203546,0.0018109172552929625,0.000584498345585276,0.0018490168726584824,-0.0004308264918575554
2,14687,14569.0,2.0716987608593806e-05,0.001296476334449711,0.0003867334825191155,0.0013251408639057953,-7.94754184749039e-06
3,14687,14992.0,-0.00034990491232647565,0.0005472178488732584,-0.00026567275715542874,0.0005664735432496054,-0.00036916060670282263
4,14688,14992.0,-9.601747591200253e-05,1.420298796174991e-05,-0.00019309487484016187,7.026175051758616e-05,-0.00015207623846783878
5,14688,14991.0,0.0005158987316451388,-0.0015947747005281994,0.00016279639024462374,0.0005190332010376801,-0.0015979091699207407
6,14688,14986.0,0.0003462770706175497,-0.0008056533227165629,-0.00024054280263884043,0.00035870045112297556,-0.0008180767032219887
7,14688,14989.0,-0.00024984424100897345,0.0006021944516260854,-0.00034691989545597196,0.000636154275383257,-0.00028380406476614505
8,14689,14992.0,-0.0001201409409456451,0.0012821740272589,7.142021406249554e-05,0.0012830828001842757,-0.0001210497138710207
9,14689,14569.0,-0.0001973380177969238,0.0011993179194413218,3.50626597441418e-05,0.0011995379443650864,-0.00019755804272068834
10,14689,14568.0,-0.000338889870005881,0.0013911596282298695,2.7828959774000555e-05,0.0013912715326742907,-0.0003390017744503021
11,14689,14993.0,-0.00027637222391418753,0.0014978961375054964,6.166046035710843e-05,0.001498431691368477,-0.00027690777777716815
15,14690,14991.0,-0.0001595018512931391,0.0010151866007360555,0.00012429864576822468,0.0010184655863950598,-0.0001627808369521434
14,14690,14990.0,-0.000490556408943126,0.0012491813433967006,-0.00022297907065191218,0.0012562969472583929,-0.0004976720128048182
12,14690,14992.0,-0.00016691868505587965,0.0008390912810178942,7.55688759300142e-05,0.000840508419534246,-0.0001683358235722315
13,14690,14993.0,-0.00047562857689914165,0.0008249065015717252,-0.0003673451242360825,0.0008503485764889332,-0.0005010706518163496
16,14691,14568.0,-0.00020642067515327077,0.001833346667841884,0.00043123543738210485,0.0018558898302280628,-0.00022896383753944968
17,14691,14567.0,-6.0935338704794055e-05,0.0013347758091408176,0.0005449016277760455,0.0013860743235358788,-0.0001122338530998554
18,14691,14990.0,0.0005032976001925636,0.0005985807441181785,0.0004512722189480438,0.000781550041972169,0.00032032830233857295
19,14691,14993.0,0.0006839869395703507,0.0006698703810498812,0.00030824008406646764,0.0008312102426925935,0.0005226470779276384
20,14692,14990.0,-0.0002515001530870416,0.0013490257231319248,-0.00020328885907029608,0.0013554550188806512,-0.0002579294488357681
21,14692,14985.0,-0.00011637035525680393,0.0008598584000440036,1.1094261233879322e-05,0.0008598899189523258,-0.00011640187416512616
22,14692,14986.0,-8.837720492176293e-06,0.0004559705144621972,0.00014540584607512756,0.00046707694878627424,-1.9944154816253253e-05
23,14692,14991.0,-0.0007657206710960275,0.0028786694087032357,-0.000422019482684288,0.0028908461616460744,-0.0007778974240388661
27,14693,14994.0,-0.0003118780604846054,0.0014029194643714227,-0.00024898876406731496,0.0014119106193426316,-0.0003208692154558143
24,14693,14990.0,-0.0006145902558582377,0.0015469253492947518,0.00010537925629308006,0.001548208962166018,-0.000615873868729504
25,14693,14567.0,-0.00022964960219014027,0.0012803424072187575,0.00034319019635778084,0.0012995969077377171,-0.0002489041027090997
26,14693,14566.0,0.00019055088527688484,0.0009920341677385125,-0.00012060749994150606,0.0009965460339285493,0.00018603901908684808
31,14694,14985.0,5.503242444745949e-05,0.0008770961854812271,-0.0008826431819550762,0.001069149666637292,-0.0001370210567086054
30,14694,14988.0,0.0004590249580253767,0.0004816603931271081,-0.0008195895867774549,0.000880293725604256,6.039162554822875e-05
28,14694,14990.0,-0.00037429947302323693,0.0012067545562199672,-0.0010132424691182468,0.001355162063358404,-0.0005227069801616738
