,Element,NID,S1,S2,S12,S_max,S_min
0,14687,14989,-1909.2078553328518,6657.389828228797,-1808.354468584417,6751.782779963507,-2003.6008070675616
1,14687,14570,7143.33327503422,15505.378776562673,3072.943576460755,15778.757983237392,6869.9540683595005
2,14687,14569,8157.720115556585,12878.053833732762,2146.9961122010645,13110.720497875454,7925.053451413891
3,14687,14992,-755.3089749993972,3906.4260213435387,-2581.9633303736327,4240.061657694649,-1088.9446113505073
4,14688,14992,-734.7171640379412,-571.8724196451982,-1481.4286807203607,91.88125226431919,-1398.4708359474585
5,14688,14991,-4333.359382015766,-12896.450867310728,472.00777164920953,-4326.859907958195,-12902.950341368301
6,14688,14986,-1077.7623420380971,-6258.54496760286,-2341.8934375336694,-825.4008742345113,-6510.906435406446
7,14688,14989,1301.728090526364,4325.357362612588,-2409.738393973299,4746.750753555041,880.3346995839113
8,14689,14992,6456.81292504122,12101.02890115554,271.81425102454165,12104.29951481197,6453.54231138479
9,14689,14569,5174.758224125072,10827.010354375016,-17.809698200145533,10827.024383498072,5174.744195002016
10,14689,14568,4895.041470615373,11909.86362340952,-146.8766786301921,11910.632366878332,4894.272727146561
11,14689,14993,6171.048522180354,13336.870694874877,114.30554712499912,13337.326501855174,6170.592715200057
15,14690,14991,4228.122164482234,9437.290998262846,1508.6898586969626,9544.329021378077,4121.084141367004
14,14690,14990,2571.645710683143,9543.707720142602,-951.4144308584035,9576.015744095068,2539.3376867306765
12,14690,14992,3164.9434813137796,7569.753200467647,1050.3667096199683,7631.504855281351,3103.1918265000754
13,14690,14993,366.1214670816198,5211.899120973074,-2281.625234962057,5467.040110131409,110.98047792328452
16,14691,14568,9064.354806041923,16917.896121970265,2618.596671936024,17130.423705594512,8851.827222417676
17,14691,14567,7677.050778799332,12666.371659507318,3763.4498245506447,13296.486308362906,7046.936129943744
18,14691,14990,8946.886054586377,8650.275563510551,3524.82988203976,10567.224603085062,7029.9370150118675
19,14691,14993,11077.302256630444,10544.001221931469,2438.0944419195384,12058.521374031512,9562.7821045304
20,14692,14990,5385.723694044955,12141.923469358404,-418.0799943380521,12148.385085265,5379.262078138359
21,14692,14985,3689.7187332582807,8183.896310358193,757.5478616562996,8215.596172451802,3658.0188711646724
22,14692,14986,2306.8922396827134,4833.885216256427,1410.9792611479627,5017.502750692255,2123.274705246885
23,14692,14991,9123.670692733096,24620.436012337246,-645.639363491212,24627.15789016997,9116.948814900374
27,14693,14994,5134.435608688165,12289.658453384889,-2325.780162800021,12473.910509518435,4950.18355255462
24,14693,14990,3097.4952709545523,11792.035325718134,425.32628482864567,11797.233828160955,3092.296768511732
25,14693,14567,5457.329630245438,11322.391285883225,2455.737010232989,11569.073901978592,5210.64701415007
26,14693,14566,7769.242856186823,11116.81694570087,-1120.9399919294242,11208.161535574287,7677.898266313405
31,14694,14985,6692.808272172952,8193.424752061299,-4407.714986527205,9771.195184658553,5115.037839575698
30,14694,14988,9088.155124614226,5934.730334089638,-4836.708909458982,10398.389255715683,4624.49620298818
28,14694,14990,3829.6715987586617,9464.760326920461,-4419.818189767671,10228.033530269426,3066.398395409696
29,14694,14994,7500.321147163519,4964.684104921947,-5542.919784152864,9280.182684035239,3184.8225680502273
32,14695,14566,6586.064920302952,10709.672420693474,-1909.213908532911,10919.940223388465,6375.797117607962
33,14695,14565,11676.792282391563,13729.424995955149,-1828.310316264949,14077.519391946362,11328.697886400349
34,14695,15015,7758.633706741243,6188.714340213144,-4767.495119428656,9483.338170886964,4464.009876067423
35,14695,14994,2186.4891788185555,2109.340870351509,-4523.408666098464,4409.948281526341,-114.11823235627617
36,14696,14571,29428.31531523243,27545.12186499015,11128.677296953227,34130.16337035761,22843.27380986497
37,14696,14570,26251.330527922466,20841.976359829358,8433.909341449798,28556.442344010837,18536.864543740987
38,14696,14989,9880.377353497464,10862.067695392016,2683.185676269883,11799.788352531506,8942.656696357973
39,14696,14995,11915.855180659546,16667.888670700697,4814.771574444444,17674.321023765373,10909.42282759487
43,14698,14995,16235.321121676523,17274.805899718445,8521.27137555769,21047.283054816813,12462.843966578157
40,14698,14989,12271.721728274426,12233.615710576187,3277.8909474227353,13891.724936565275,10613.612502285338
41,14698,14986,2585.2290143395985,6503.974429441931,581.6057726622163,6525.436830069861,2563.7666137116685
42,14698,14983,1871.7861731098342,6264.2853858696535,3335.0093610489994,6825.586176689226,1310.4853822902614
47,14699,14996,3040.2643452334087,6672.973939176816,-5097.683845377102,7986.433816484852,1726.804467925373
46,14699,14997,8538.438086509295,5780.706916859311,-4643.237062188795,9859.791549268346,4459.353454100259
45,14699,14563,12628.689420346713,13101.151390271414,-1372.5861867886088,13590.732563031022,12139.108247587104
44,14699,14564,6944.998282399507,13929.81802001779,-1807.4614003389079,14044.852658083877,6829.96364433342
48,14700,14996,4825.466229911535,4708.727083674091,-5709.330004139069,7622.358340265402,1911.8349733202253
49,14700,14997,17093.66498739492,-5822.278306615571,-6993.672274958291,17615.383538218506,-6343.996857439157
50,14700,14987,17088.11944794124,7269.851323632354,-6837.345600197871,18161.202445902658,6196.768325670933
51,14700,14988,9901.928627941395,9121.199819175077,-5217.734433681415,12149.474859519129,6873.653587597344
55,14701,14565,11345.555202716949,8652.433649516272,-2139.9677666526923,11718.904724840539,8279.08412739268
52,14701,14564,6420.597205837792,9805.597208681707,-2724.112613490487,10285.596606007151,5940.597808512348
53,14701,14996,12636.516427280894,17269.57493778553,1593.230440617714,17402.719864882285,12503.371500184141
54,14701,15015,18628.586728284623,16175.230906520519,2698.9093115411033,19225.57725355723,15578.240381247913
58,14702,14987,11596.010129266011,20433.405664051617,697.5249148355608,20447.147993407583,11582.267799910045
59,14702,14997,6889.761394735551,13238.086145520787,5136.4687935250795,14146.953858441548,5980.89368181479
56,14702,14563,13277.926797904276,14665.820355699589,-865.7427854810608,14789.76096183459,13153.986191769274
57,14702,14562,14029.68840693854,15122.785122774982,-2662.716200406102,16015.41343869475,13137.06009101877
63,14703,14987,11542.470423341652,12108.421872840809,-7723.491054722024,15697.545550081104,7953.346746101358
62,14703,14984,11869.204853252675,5680.439712390313,-4476.400564424392,12593.820056515926,4955.82450912706
61,14703,14560,13315.556293836318,14956.230949909128,-4146.074828594024,16365.34141288402,11906.445830861427
60,14703,14561,11400.730783095434,24786.86178314339,-8421.32988237064,26001.18681568693,10186.405750551896
64,14705,14988,4995.954528510956,1433.089984756633,-3853.586263645307,5838.6473893445755,590.3971239230132
65,14705,14987,8100.048182614801,2405.078290973552,-2508.2637902595907,8363.996560369815,2141.1299132185386
66,14705,14999,6198.9240961406485,-2379.2880395855955,-3943.924017933793,6630.524016388734,-2810.8879598336807
67,14705,14998,3084.855601197395,-3354.6917063600176,-5291.619144370082,4032.4852964879224,-4302.321401650544
68,14706,14998,9625.575929158835,2736.123342106176,-7833.541383075869,11396.904839270806,964.7944319942044
69,14706,14999,5911.947506267062,-3194.239841746615,-3672.520166337931,6268.284868268447,-3550.577203748
70,14706,14981,7086.243794080907,1146.3986966357777,-2594.0306175050737,7357.106436720023,875.53605399666
71,14706,14982,8783.545688454213,3676.6758971303616,-3774.318758780585,9405.23288329602,3054.9887022885564
72,14707,14988,5405.627802324071,1349.1109828111519,-3598.922731567491,6088.8069049761325,665.9318801590912
73,14707,14998,-8720.664968038733,-5852.422512581564,3268.3666012465437,-5112.317727252233,-9460.769753368062
74,14707,14982,2200.6369046917675,-3207.6749814579507,4046.937760951011,2873.8890913400364,-3880.92716810622
75,14707,14985,10546.991112877096,1783.0718041589985,-1842.2205914172898,10642.755723062586,1687.3071939735082
79,14708,14999,1281.5319684143,-7750.415358783399,-1336.9522603360026,1330.7394038434832,-7799.622794212582
78,14708,15016,-1132.944933494279,-7632.282609706109,-518.6116728377108,-1122.6157540919735,-7642.611789108414
77,14708,14984,1042.5154819965148,-730.8516417232838,-3918.811301807777,2306.524423417047,-1994.860583143816
76,14708,14987,3377.990806967583,-958.6738657332362,-4071.390166428195,4183.833918146265,-1764.5169769119188
80,14709,14986,5639.685947873339,3352.5992913833734,2984.0836356377695,6376.004351164453,2616.2808880922585
81,14709,14985,6037.846546046609,3531.4436632949078,1979.113106038893,6381.43439079784,3187.8558185436755
82,14709,15001,3874.9147813370196,2446.5755761266537,1553.2736418893453,4215.829522721592,2105.6608347420815
83,14709,15000,3440.5999001289492,2100.7398919965135,2401.5195655712905,4145.671811080886,1395.6679810445767
84,14710,15000,-6598.179288245155,-3744.6167857052396,-4787.336429757049,-2384.759872107859,-7958.036201842535
85,14710,15001,4338.024630040436,879.1732338006693,-588.922182751607,4362.913778135928,854.2840857051779
86,14710,14977,6950.524172056118,1691.8379485388086,-1105.8406056604545,7008.031644277629,1634.3304763172987
87,14710,14978,1088.9076137211362,-996.9201216893196,-4455.66654827479,2505.8535860892453,-2413.866094057429
88,14711,14986,3199.7427691171865,809.0862532551432,2609.174118829074,3773.809051643516,235.0199707288141
89,14711,15000,9639.44929881752,7053.831091179836,6801.77682050882,11984.963621787403,4708.316768209956
90,14711,14978,11254.411146452774,3944.874468015359,3771.505178530824,11712.232555954048,3487.053058514086
91,14711,14983,3009.2529304285167,-1618.0872166609959,-71.75950526561667,3009.531120321297,-1618.3654065537758
95,14712,15001,3698.753452140743,840.5816214777462,-727.710832146356,3744.3462534131872,794.9888202053021
93,14712,14982,10856.550012344534,385.6056635371874,-1713.436961087161,10926.182497027243,315.97317885448047
92,14712,14985,11307.439518357947,3890.5046254617937,1232.084702069506,11358.259102668966,3839.685041150774
94,14712,15017,3066.9187157349984,-2726.815851538487,-3700.3313127019464,3607.340045954466,-3267.2371817579547
96,14713,14557,4890.273166946182,6395.510582592059,860.0374041204773,6509.696929834354,4776.086819703887
97,14713,14556,3679.0777024885333,6699.579590524894,-1476.0638528827683,6870.265599028904,3508.3916939845244
98,14713,15006,8693.596515641339,21150.44862576897,2294.9861084989,21255.270665715212,8588.774475695096
99,14713,15005,9628.331742502476,19810.245778808272,6289.61438862369,20703.23859751696,8735.33892379379
100,14714,15005,15458.429193292694,11721.379911699594,1721.9155867065706,15647.240853444444,11532.568251547844
101,14714,15006,15293.33976743674,10944.677840034867,-9235.35145194218,18222.991978662154,8015.025628809452
102,14714,15003,17725.616693292504,26317.5769597819,-3713.4046912481067,26701.638376083425,17341.55527699098
103,14714,15004,11548.91294173441,9893.860086808078,4099.766017349654,12932.00188954658,8510.771138995908
107,14715,14558,6280.5414605749675,4801.835319854386,1093.2056824317708,6460.654337749694,4621.722442679659
104,14715,14557,4517.212527536853,4045.1260745245363,1710.1168013851116,5168.210040441432,3394.1285616199566
105,14715,15005,1657.3939019020575,1820.7197746936654,3516.4320897853595,3499.168339225812,-21.054662630089297
106,14715,15004,4417.953938506659,2883.788931758578,2949.2183039621996,5313.065081519526,1988.6777887457115
111,14716,15006,19353.017678203898,-1787.2298343667176,6810.392385821298,19887.97732256895,-2322.1894787317706
110,14716,15018,10293.248602523005,-6771.519735010883,9370.395097160006,11494.962012507,-7973.233144994877
109,14716,14555,-2321.1176221425712,-11022.73609159793,10137.2812120808,7.9427968126155974,-13351.796510553115
108,14716,14556,2229.909270458173,-8423.673804970233,9296.007169811337,3972.675385918572,-10166.439920430632
112,14718,15004,8682.769122245878,5812.677593094548,-1325.9657428314126,8828.515132135519,5666.931583204907
113,14718,15002,13931.946129556452,8717.406597763362,-836.1233572654946,13965.250392029393,8684.10233529042
114,14718,14559,7710.694698065753,2367.8788328657774,-116.43894657779458,7711.329027374843,2367.2445035566884
115,14718,14558,3707.357827885762,-640.8535929477291,-1620.6596277169026,3853.461169967212,-786.956935029179
119,14719,15016,15330.572237950262,13392.13456412315,1776.690168457157,15676.093733764483,13046.613068308929
116,14719,15004,12698.67150739982,15717.966918746093,5399.464835448745,17301.471540805305,11115.166885340608
117,14719,15003,10627.311264722122,4018.573205619421,6872.835139057853,12090.312620994097,2555.571849347448
118,14719,15007,12704.258747571857,1450.6109652295868,3377.106235319488,12952.1568696889,1202.7128431125439
121,14720,15016,7936.587516640562,12140.76601387758,1259.7563720261721,12233.107383522647,7844.246146995496
122,14720,14984,9825.057736458511,16236.05057138148,1968.283294797266,16383.723112458008,9677.385195381981
120,14720,15004,7314.89958870726,12452.842241836861,1552.3140326361888,12567.531361508118,7200.210469036003
123,14720,15002,12214.523222298165,24362.75692763717,4513.645674325804,24768.46606477817,11808.814085157166
127,14721,15007,1204.5880092354164,-5007.410702939127,6215.9507278019855,2492.53253793207,-6295.355231635781
126,14721,14981,-1396.0176950217,-7177.4589562154815,54.11083740358788,-1395.891086513831,-7177.585564723351
124,14721,15003,3510.4392503344793,7306.727021695728,7068.530845947255,9420.313721532242,1396.8525504979634
125,14721,14340,2891.9101243807363,-2497.5147923262357,3925.3978822019844,3530.9136657195522,-3136.5183336650516
128,14722,14984,12273.206451938742,-4251.587919073801,3350.9503564382867,12441.374154023955,-4419.7556211590145
129,14722,14560,13527.656850987034,2849.2342982830914,-1864.6074339510276,13608.442555649941,2768.4485936201845
130,14722,14559,4793.370412087112,-1238.3665530524945,1056.7189708688666,4839.303106930111,-1284.299247895494
131,14722,15002,2326.8248335256494,-8687.210295337789,6399.0395167495435,3188.8079080631255,-9549.193369875265
132,14723,14576,10465.669738440516,6038.151251712467,3736.6770740562056,11148.705081602084,5355.115908550901
133,14723,14575,13780.44552290156,6283.046354567045,2746.01395637888,14023.97548304819,6039.516394420415
134,14723,15012,1479.5891087754176,-77.48783871424524,1512.9351527586966,1786.5760143811458,-384.4747443199735
135,14723,15011,-1764.0904338607045,43.04158297021377,2087.811251247261,520.1169062453965,-2241.1657571358874
136,14724,15011,7329.497437609644,5908.395205890971,3225.5300096696706,8381.300953789176,4856.591689711438
137,14724,15012,6169.281604644411,3431.675754982928,1239.980132387539,6303.146017984081,3297.8113416432598
138,14724,15009,1267.7461875094543,618.3882396340287,-488.28349196403417,1349.295755464595,536.8386716788881
139,14724,15010,808.073838282007,2152.6150044705983,933.7846645639673,2298.8407175424213,661.8481252101842
143,14726,15012,819.7759686964332,768.7216066503535,1348.2042513095967,1468.8340771537528,119.66349819303366
142,14726,15019,1585.3197033339047,-6626.255938765018,-645.4415525047193,1597.9833304507333,-6638.919565881846
141,14726,14574,12227.93042028793,1718.767042618429,2129.969496234867,12334.768435072754,1611.9290278336039
140,14726,14575,11684.104319007472,7468.542336868246,4412.707909492777,12627.673599529015,6524.973056346701
144,14728,14574,11361.389859851019,2523.8752876284134,3719.089507818926,11736.725047331973,2148.5401001474593
145,14728,14573,4716.555861632778,-3284.5330708492647,-1852.3907319246312,4822.371569840867,-3390.348779057353
146,14728,15008,-14578.05295931119,-10285.576192681132,-4040.1842061250304,-9484.423983816318,-15379.205168176004
147,14728,15019,-5196.387623971311,-5364.8143810397105,1643.1591399930005,-4454.716698889212,-6106.48530612181
148,14729,15010,463.83139009771344,146.94262092916145,60.30854497676721,466.6752665729257,144.09874445394914
149,14729,15009,1455.9848594286368,604.6628157890725,-210.0364721168544,1468.7484438999304,591.8992313177793
150,14729,15014,1185.5839560339855,731.5206756107606,-404.0019807437539,1262.4400677446808,654.6645639000651
151,14729,15013,204.5063203587885,250.53794342326876,-115.42710664730873,289.65571232648955,165.38855145556772
152,14732,15009,1694.8171403446759,1672.4391576724943,394.8961579285092,1881.3930028471618,1485.8632951700083
153,14732,15008,7697.619852901155,2492.2460962343985,1241.75533388003,7770.651207856481,2419.214741279073
154,14732,15020,7808.367195432408,1046.6776886831788,141.88552602219897,7809.111435718068,1045.933448397519
155,14732,15014,1307.7903058389159,41.57950610387866,-613.6995969965946,1378.2325206925732,-28.862708749778676
159,14733,15008,-13167.017618221687,-11320.566756351442,-2638.9577839977483,-10633.39790551706,-13854.186469056069
158,14733,15020,-22640.04441668336,-14721.926580991581,-6318.56270601438,-13615.888640688163,-23746.08235698678
156,14733,14573,3373.4830437069586,-4816.928011219863,-1253.6982490799178,3421.1808625821254,-4864.62583009503
157,14733,14572,-5554.97023476365,-8739.194278818617,-5311.473135677353,-4050.6718498134032,-10243.492663768864
160,14734,14981,8337.764300040923,2091.205765750051,-2433.477976166867,8566.398985505672,1862.5710802853027
161,14734,14340,7109.536125183403,1823.9822405231214,-1212.0614130515014,7178.132116288269,1755.3862494182563
162,14734,14339,6425.3439994201135,-530.6231802735612,-636.2336163350473,6439.862113922551,-545.1412947759982
163,14734,14979,7661.790582366439,-209.212680179465,-1800.758528969933,7763.473107119386,-310.8952049324125
164,14735,14979,8063.5820083409635,1472.0904197305676,-2119.5657311553964,8229.78365194589,1305.888776125641
165,14735,14980,6644.706704353901,1509.6707098178745,-2969.37119169686,7043.068000788677,1111.3094133830978
166,14735,14982,7115.2475473142895,3005.339802782292,-2738.621363063973,7529.675613853751,2590.911736242829
167,14735,14981,8600.24460211082,2933.5463743890923,-1802.7362373497115,8740.165016291367,2793.625960208546
170,14736,15017,9934.425556591083,9910.090814801537,-6918.378183201812,13381.46867601996,6463.047695372659
171,14736,14982,7775.556136519029,6125.370273210412,-4237.840645407047,9224.358910439605,4676.567499289835
168,14736,14980,6695.751795387901,5453.302205795523,-3341.3304285548807,7856.953016971144,4292.100984212279
169,14736,14976,6961.541521258257,6673.520411837176,-4190.126923476963,8917.538097149816,4717.523835945616
172,14737,14979,6518.925922766932,-219.25821858004514,-2292.0009049700766,6708.499109991534,-408.83140580464715
173,14737,14339,4520.875508750135,-982.1819206240621,-2730.754063397686,4841.018115418624,-1302.3245272925512
174,14737,14338,5583.5565199469775,1259.8106779982604,-1771.968379082527,5758.061674233404,1085.3055237118328
175,14737,14969,7587.709465895987,1997.5372401638037,-1328.4686346101682,7665.551059503316,1919.6956465564745
176,14738,14969,7426.028296030625,1958.8215847009903,-1816.7055923897904,7572.99643027142,1811.8534504601962
177,14738,14970,6484.975777657548,1519.3409401326735,-1517.051422397145,6598.2599727499055,1406.0567450403155
178,14738,14980,5708.540629463597,-36.68895948641398,-1599.7190372771213,5817.819697451403,-145.96802747422043
179,14738,14979,6665.146254782009,399.6802386737517,-1898.7978399015788,6805.847896901241,258.9785965545193
183,14739,14980,5578.909003627433,2325.938705137036,-2029.3157798829438,5869.448782320224,2035.3989264442444
180,14739,14970,6369.02967153884,1507.352681729129,-1918.6924907350615,6551.488137718217,1324.894215549752
181,14739,14971,5911.279851382949,1507.010074935058,-2272.7573572084057,6187.1995564073695,1231.0903699106375
182,14739,14976,5293.583018909305,2383.4503021105957,-2393.4606125201635,5722.496897472884,1954.5364235470174
186,14740,14957,12964.593620139498,1312.9386810286323,2591.8476135254937,13106.989019911342,1170.5432812567888
187,14740,14958,19675.999987351774,4730.478601240261,7117.551717919303,20480.137142523527,3926.341446068509
184,14740,14978,18522.811814967827,4622.580353485982,4332.69876389791,18852.612176831477,4292.77999162233
185,14740,14975,13091.571685270632,1886.2093813096883,1406.6645172804872,13135.545503872409,1842.2355627079123
191,14742,14975,7195.736666721155,609.6931543226603,-1697.8787367168702,7303.404596151926,502.02522489188914
190,14742,14974,6777.779122872809,-147.0703512170345,-1558.5266326749736,6864.387546547845,-233.67877489207103
188,14742,14978,6060.166396184648,494.63668920964744,-2019.628941296029,6237.723399343049,317.079686051246
189,14742,14977,5590.386015858024,-216.29140920823738,-1953.694223623788,5750.314506744924,-376.2199000951373
192,14743,14977,7365.308748009155,-544.1386402828927,855.967231903945,7388.399714271947,-567.2296065456844
193,14743,14976,7816.65439087193,581.6241626141446,446.9218896918545,7823.549628072258,574.7289254138154
194,14743,14973,6849.987977578929,262.46661221290486,397.91215653734605,6855.991370685049,256.4632191067835
195,14743,14974,6426.835884775099,-868.2557902259441,770.5954053616391,6447.12932351863,-888.5492289694757
196,14744,14976,6376.863928805326,1125.4803002422254,-1506.0471611259018,6482.7105119234875,1019.6337171240643
197,14744,14971,6069.2175708784,873.4158292941306,-1733.3480205667406,6209.968334479217,732.665065693312
198,14744,14972,6512.8719595013545,933.6793219644605,-1558.6617219979257,6619.687940905633,826.8633405601827
199,14744,14973,6766.428192540131,1185.4568751041024,-1340.8066209371225,6845.829432324934,1106.0556353193
203,14745,14966,6582.924503465982,372.67411729039947,-535.8223521091136,6594.460803547352,361.1378172090285
200,14745,14973,6552.369363409317,355.09032661907304,-588.1010072351119,6566.290296417138,341.1693936112524
201,14745,14972,6455.903440848487,210.25784534893518,-712.2950671763939,6476.146549475268,190.01473672215297
202,14745,14965,6492.857293018653,228.22658601965875,-659.1084033859545,6510.145953617146,210.93792542116535
207,14746,14973,6945.817098329888,309.83426027304483,-558.2675183031146,6957.537785812226,298.1135727907067
206,14746,14974,6664.6192252978135,-623.2046526509142,-615.0686741222082,6677.57364804239,-636.1590753954906
204,14746,14966,7284.11936091864,453.8078673265359,-312.18468983377113,7287.684660803021,450.2425674421561
205,14746,14967,7004.881024475088,-479.90420127684405,-370.80711521932943,7009.470790538597,-484.4939673403519
208,14747,14967,8167.122930329436,-125.58059269812584,-55.37085369808119,8167.215357885158,-125.67302025384743
209,14747,14968,8232.207047911208,-113.73002431405394,-422.9700067225694,8237.562614837105,-119.0855912399511
210,14747,14975,7114.1864091927355,-482.4920933701483,-438.05514706131066,7120.496175336159,-488.80185951357225
211,14747,14974,7048.934441579484,-494.3863909606204,-70.42879936713808,7049.098828982511,-494.55077836364717
214,14748,14957,12815.984102180275,409.98949189026223,2083.0316138252947,12902.8143577626,323.15923630793895
212,14748,14968,8853.202665136409,-134.18778996823136,-36.20368815892277,8853.239124599411,-134.22424943123315
213,14748,14956,8418.987267814375,-1052.0703888852256,1053.2157270195485,8448.177646935499,-1081.260768006351
215,14748,14975,13113.06153378782,1322.8660584016861,823.6018462189863,13127.42716743633,1308.500424753176
219,14749,14972,6675.190268522342,63.19524235508894,-228.8953732528562,6677.170661877824,61.21484899960751
