,Element,NID,E1,E2,E12,E_max,E_min
14049,20534,22415.0,0.0001450131952074607,-3.730282883387014e-05,0.00023934803583459952,0.0002042933888395814,-9.658302246599084e-05
14822,20534,197.0,0.00018511492540483274,-4.7085451892255915e-05,-5.9059391373701003e-05,0.00018881146764484637,-5.078199413226955e-05
14821,20534,22469.0,0.0001213882913262826,-0.0001176027892726047,-7.226752671838504e-05,0.0001267319796609269,-0.000122946477607249
14820,20534,22468.0,0.00020641651205291836,-3.8748959238923036e-05,-0.00012028747558950892,0.00022037606390197794,-5.270851108798263e-05
14819,20534,1.0,0.00019248462462101434,-3.3782169056427856e-07,-0.0001534923418937198,0.0002193012339763913,-2.7154431045941228e-05
14818,20534,164.0,0.00017774487243317483,-0.00012123811734818996,5.9065824051990345e-05,0.00018063415040241098,-0.0001241273953174261
14817,20534,22437.0,0.00021241836874055786,-0.00011361465222713154,-0.0001855060704941333,0.00023695853832402783,-0.00013815482181060154
14816,20534,22415.0,0.00020340123408991995,8.305539558242807e-06,-6.464750279667683e-05,0.00020861722973909187,3.089543909070883e-06
14055,20534,197.0,0.00018511492540483274,-2.173437776694289e-05,-0.0002230119243598616,0.00023377655905641942,-7.039601141852957e-05
14054,20534,22469.0,3.339200887946675e-05,-0.00011626154914955244,-6.733447559926359e-05,4.0617224104848774e-05,-0.00012348676437493446
14048,20534,1.0,0.00019248462462101434,4.615789707728683e-05,-0.00045419750380878976,0.0003579144730638906,-0.00011927195136558945
14050,20534,22437.0,0.00021241836874055786,-0.00011361465222713154,-0.0001855060704941333,0.00023695853832402783,-0.00013815482181060154
14053,20534,22468.0,0.0001745815892971042,-6.361609816381937e-05,4.545627744140246e-05,0.0001767308501606541,-6.576535902736925e-05
14052,20534,22467.0,5.723009699155207e-05,5.197611419883407e-06,-0.00011060182805728777,9.232879494114625e-05,-2.990108652971077e-05
14051,20534,164.0,0.00017774487243318177,-0.00012123811734818998,5.9065824051990345e-05,0.00018063415040241786,-0.0001241273953174261
14827,20535,22471.0,0.00028808050315842423,-6.39271584438356e-05,-0.00026701484748813814,0.00033298747030852886,-0.00010883412559394026
14826,20535,22415.0,0.0002573480120379168,-6.0899663592184845e-05,-0.00032347942228982095,0.00032511650534542655,-0.0001286681568996946
14825,20535,22437.0,0.00018892047915357313,-0.00013137728079411941,-6.328788092073434e-05,0.00019201682185021322,-0.0001344736234907595
14824,20535,22438.0,0.0002908836139024623,-0.00011068208270701763,-0.00028952297518332337,0.00033762781556017605,-0.00015742628436473137
14823,20535,22416.0,0.00028836792206019674,-3.928177748775128e-05,-0.00024281000315467573,0.0003284493149848183,-7.936317041237284e-05
14058,20535,22438.0,0.0002908836139024623,-0.00011068208270701763,-0.00028952297518332337,0.00033762781556017605,-0.00015742628436473137
14063,20535,22468.0,0.0002628781288834918,-2.1999468926341175e-05,-0.00040883158696407296,0.00036958713361803314,-0.00012870847366088254
14062,20535,22472.0,7.684284084127913e-05,-0.00011212688821557229,-0.00019655446488351692,0.00011868773843898044,-0.0001539717858132736
14828,20535,22472.0,0.00017517266786386265,-0.00012225679624037838,-0.00020009288091480358,0.0002056934283279579,-0.00015277755670447363
14061,20535,22471.0,0.00021511107951005873,-0.00012372917655178214,-6.607883382513113e-05,0.00021830260477037988,-0.0001269207018121033
14056,20535,22415.0,0.00032520672233903036,5.546976815902891e-05,-0.0006893263176279973,0.0005604493085208801,-0.00017977281802282087
14057,20535,22416.0,0.00015464667199679982,-0.00014887139932189542,0.000125417788796843,0.00016709241806115083,-0.00016131714538624646
14060,20535,22470.0,0.00012836659663124222,-4.084004682002715e-05,-0.00029648629993802005,0.00021444940076165256,-0.00012692285095043752
14829,20535,22468.0,0.00022584737025443252,-8.550149105825673e-05,-0.00020919204359592936,0.0002577225493981015,-0.00011737667020192569
14059,20535,22437.0,0.00018892047915358007,-0.00013137728079411941,-6.328788092072046e-05,0.00019201682185021878,-0.00013447362349075813
14065,20536,22417.0,0.00017657533661574049,-0.00021154571991744423,0.00013399220572957865,0.00018781450739953234,-0.0002227848907012361
14836,20536,22471.0,0.00030769221573345544,-0.00013387334815324808,-0.00028538977270144844,0.0003497912844251213,-0.00017597241684491393
14835,20536,22475.0,0.0002731351900621126,-0.00012949384652752053,-0.00028854138262604436,0.0003194929706790059,-0.00017585162714441385
14834,20536,22474.0,0.0004062041137353808,-0.00010600705930333208,-0.000322195897027297,0.00045265863770934387,-0.00015246158327729517
14833,20536,22416.0,0.00036457025478375815,-0.00013661620203251398,-0.0003864635947396361,0.00043041895412664354,-0.00020246490137539936
14832,20536,22438.0,0.00024163442163067927,-0.00013530501578729677,-0.0001604247244826329,0.00025799355324941545,-0.00015166414740603294
14831,20536,22439.0,0.0004049144113920447,-0.00011892746946118348,-0.00035418258377018647,0.00045916416014374963,-0.0001731772182128884
14830,20536,22417.0,0.00041098383599661586,-9.907476467531113e-05,-0.00029141716150919185,0.0004496736779298781,-0.00013776460660857334
14068,20536,22473.0,0.00024276249876883232,-0.00010078182707260204,-0.0003845217450134178,0.00032880794395800044,-0.00018682727226177013
14066,20536,22439.0,0.0004049144113920447,-0.00011892746946118348,-0.00035418258377018647,0.00045916416014374963,-0.0001731772182128884
14067,20536,22438.0,0.00024163442163067234,-0.00013530501578729666,-0.0001604247244826329,0.0002579935532494088,-0.0001516641474060331
14069,20536,22474.0,0.00027829311115990397,-0.00016738258711503778,-9.005412543423852e-05,0.00028279673071027634,-0.00017188620666541018
14070,20536,22475.0,0.00016387310816416006,-0.00011073706174743027,-0.0003118265015949205,0.0002343217912342418,-0.000181185744817512
14071,20536,22471.0,0.00039566378127960794,-6.564534696024105e-05,-0.0005260346273786784,0.0005148372252575323,-0.00018481879093816544
14064,20536,22416.0,0.0005257817001542292,-1.1586315751795865e-05,-0.0008274547242235614,0.0007504144528020166,-0.00023621906839958328
14079,20537,22474.0,0.0005515125494959762,-0.00013157272005933892,-0.000522114194925094,0.0006398561549103422,-0.0002199163254737049
14078,20537,22478.0,0.0002826710329360549,-0.00012003085229626018,-0.0003964229166857,0.0003638620948268636,-0.0002012219141870689
14077,20537,22477.0,0.00034014963117852924,-0.0001763582617683051,-6.141942474251899e-05,0.00034196911145805835,-0.00017817774204783422
14072,20537,22417.0,0.0007376221486487811,-0.00012842183697331323,-0.0007596261918574321,0.0008805915048153089,-0.0002713911931398411
14076,20537,22476.0,0.0003627603544749461,-0.00016590876860868455,-0.00035275455538935976,0.0004162019791278958,-0.00021935039326163427
14075,20537,22439.0,0.00032970614644668716,-0.0001398541907081444,-0.00022783673429117163,0.00035588406249275316,-0.00016603210675421038
14837,20537,22418.0,0.0005372768522846072,-0.0001663049708753894,-0.00021000926253848177,0.0005526137359725175,-0.00018164185456329973
14838,20537,22440.0,0.0005280521939697511,-0.000126796146017797,-0.00035747080031729717,0.0005736601008353057,-0.00017240405288335164
14839,20537,22439.0,0.00032970614644668716,-0.0001398541907081444,-0.00022783673429117163,0.00035588406249275316,-0.00016603210675421038
14840,20537,22417.0,0.00046162611967602574,-0.00019275917444096675,-0.0003043300172586409,0.0004952786168834693,-0.00022641167164841024
14841,20537,22477.0,0.0005314214628166576,-0.000146506529557754,-0.00028254298859120563,0.0005596825009227481,-0.00017476756766384447
14842,20537,22478.0,0.0003954426147536605,-0.00013447236179566212,-0.0003214902006657451,0.0004403906893103923,-0.00017942043635239393
14843,20537,22474.0,0.0004010368865024353,-0.0001666504273582245,-0.0002738763189615717,0.00043234284658213437,-0.0001979563874379236
14073,20537,22418.0,0.00018645783090251444,-0.00022105796907291,0.0001955627570411414,0.00020870541711543779,-0.00024330555528583335
14074,20537,22440.0,0.0005280521939697511,-0.000126796146017797,-0.00035747080031729717,0.0005736601008353057,-0.00017240405288335164
14850,20538,22477.0,0.0004892688758871093,-0.00017557437026725952,-0.0002113225609521388,0.0005056572894790441,-0.0001919627838591943
14847,20538,22418.0,0.0005466058642723398,-0.0002048640245459611,-0.00018077922085562442,0.0005573253545944252,-0.0002155835148680465
14848,20538,22480.0,0.0006210279773045161,-0.0001615632778976285,-0.00018570266141278158,0.000631893558416647,-0.0001724288590097594
14849,20538,22481.0,0.0005229411274007834,-0.00013361420334297245,-0.00030415614249051925,0.0005564561724801925,-0.0001671292484223817
14844,20538,22419.0,0.0006071074457887696,-0.00017497692700983378,-8.253220402984571e-05,0.0006092787926248491,-0.0001771482738459133
14846,20538,22440.0,0.00043405911810560915,-0.00013646714864429602,-0.0002538067218266424,0.0004610130859182639,-0.00016342111645695076
14087,20538,22477.0,0.0006861066934499734,-0.0001862979676742144,-0.00039743678110807507,0.0007292387680083436,-0.0002294300422325846
14845,20538,22441.0,0.0006509845987635945,-0.00013888352872152513,-0.000313443955238385,0.0006809442781769948,-0.00016884320813492537
14085,20538,22480.0,0.00038973254484377454,-0.00015312682705828553,-4.344739672829112e-05,0.00039060047821045204,-0.00015399476042496303
14084,20538,22479.0,0.00046760234011243573,-0.0001933362272632151,-0.000267580203073034,0.0004936575839543387,-0.00021939147110511796
14083,20538,22440.0,0.00043405911810560915,-0.00013646714864429623,-0.00025380672182663544,0.0004610130859182625,-0.00016342111645694957
14082,20538,22441.0,0.0006509845987635945,-0.00013888352872152513,-0.000313443955238385,0.0006809442781769948,-0.00016884320813492537
14081,20538,22419.0,0.0001828872306627316,-0.00015950352836317013,0.00017838773748860698,0.00020472916409253623,-0.00018134546179297476
14080,20538,22418.0,0.0009076336179973596,-0.00022453138698028726,-0.0005221396121463523,0.0009649344993640049,-0.00028183226834693255
14086,20538,22481.0,0.00042771503134114014,-0.0001399370465760641,-0.00042539812540700814,0.0004985692873890116,-0.0002107913026239355
14088,20539,22419.0,0.0009202638495965192,-0.0002516857140067684,-0.00017763147698854342,0.000926956495878929,-0.00025837836028917824
14094,20539,22484.0,0.0005691986189724912,-0.00017047200294735857,-0.000386513224125095,0.000616647713830371,-0.0002179210978052384
14093,20539,22483.0,0.0004355724429428373,-0.00010482597824134493,-5.258463509816291e-05,0.00043684864443569165,-0.00010610217973419927
14092,20539,22482.0,0.0005110930472689984,-0.0001825983910429007,-0.00014717111171620376,0.0005188129594533603,-0.0001903183032272626
14091,20539,22441.0,0.0005490181461366428,-0.000134110540399589,-0.00025230693284877814,0.0005715704018901435,-0.00015666279615308976
14090,20539,22442.0,0.000731800315826113,-0.0001389298989005758,-0.00021789891823377483,0.0007452255396324125,-0.00015235512270687538
14089,20539,22420.0,0.00019749302872365537,-6.946111889398997e-05,8.559979191961019e-05,0.0002041871371411949,-7.61552273115295e-05
14095,20539,22480.0,0.0007468490327043019,-0.00020079314970674516,-0.00021134757449554897,0.0007584899645062233,-0.00021243408150866652
14851,20539,22420.0,0.0006161584187745726,-0.00013650362524311407,7.404101413100404e-05,0.0006179749289137091,-0.00013832013538225054
14852,20539,22442.0,0.000731800315826113,-0.0001389298989005758,-0.00021789891823377483,0.0007452255396324125,-0.00015235512270687538
14853,20539,22441.0,0.0005490181461366289,-0.000134110540399589,-0.0002523069328487816,0.0005715704018901307,-0.00015666279615309084
14854,20539,22419.0,0.0005436531125514454,-0.00015420277815798465,-7.107495593376006e-05,0.000545458147382098,-0.0001560078129886373
14855,20539,22483.0,0.0006640348578575185,-0.00014141021687093637,-5.8892967241600674e-05,0.0006651099647394055,-0.0001424853237528234
14856,20539,22484.0,0.0006320054300841121,-0.00012503364129841854,-0.0002446974992399778,0.0006512876734656733,-0.00014431588467997967
14857,20539,22480.0,0.0005413337869046332,-0.0001475987043845909,-0.0001532037993350957,0.0005497483220078133,-0.0001560132394877709
14861,20540,22420.0,0.0005488447031167937,-8.938492684032982e-05,-1.1832674683416589e-05,0.0005488995423761349,-8.943976609967114e-05
14102,20540,22487.0,0.0006853829110542026,-0.00019948101032859263,-0.00027046620929895016,0.0007055890729104073,-0.00021968717218479733
14101,20540,22486.0,0.0004994745547413082,-8.012754776013428e-05,-9.584341290123921e-05,0.0005034100168067944,-8.406300982562046e-05
14864,20540,22483.0,0.0005828182009536519,-0.000110208285320212,-0.00010058108529522464,0.0005864485945560813,-0.00011383867892264136
14863,20540,22487.0,0.0007122416934360332,-0.00011494400982323301,-0.00015630788861810407,0.0007195610487215644,-0.00012226336510876424
14862,20540,22486.0,0.0006678472165054308,-0.00011196405177068538,3.165608095702377e-05,0.0006681683502831458,-0.00011228518554840037
