,Element,NID,S1,S2,S12,S_max,S_min
0,1,66,4576.3972192722495,1417.4325714511178,-715.306355862762,4616.384008136094,1377.4457825872728
1,1,59,4735.452877207884,1478.839027108435,-592.3753838555349,4762.171810268656,1452.1200940476622
2,1,60,5101.578491073982,1597.5318680582932,-617.9814617600249,5128.616998569816,1570.493360562459
3,1,67,4970.343745411561,1541.1990129069204,-796.5949187728078,5015.99842851104,1495.5443298074404
4,2,65,4484.592908060274,1264.3178074877706,-674.630043037383,4519.546344492984,1229.3643710550605
5,2,66,4713.248416689016,1196.937206690616,-609.6786356419019,4739.480141021552,1170.70548235808
6,2,67,5317.773912929775,1548.114311015401,-816.3435324941568,5361.463639832643,1504.424584112533
7,2,64,4790.060330428376,1487.2573992691996,-811.5762303255032,4839.1854876705975,1438.1322420269778
11,3,64,5046.306859407846,1509.200978708248,-819.6728819219613,5093.172716790263,1462.3351213258313
10,3,61,5168.475320418118,1815.6585486774316,-748.472403106909,5209.739141567952,1774.394727527597
8,3,67,4779.075981601996,1270.0468337820212,-975.6012113366879,4845.62450955118,1203.4983058328369
9,3,60,5006.557242436179,1779.2184842034944,-842.9975107566502,5060.697824281576,1725.0779023580972
12,4,36,4268.932069843478,1013.514431485136,-573.7629792796037,4294.019968089533,988.4265332390808
13,4,37,4518.484645953778,1107.1263384790104,-453.4005416636483,4533.483959649953,1092.1270247828359
14,4,66,4922.898756601065,1232.4645860488401,-533.1265441267493,4942.053434093313,1213.3099085565916
15,4,65,4569.981358580865,1102.8765712573193,-674.1821718227435,4602.451134024387,1070.4067958137978
16,5,37,4274.713567659296,1257.737222529022,-525.0348612822147,4297.385729010668,1235.06506117765
17,5,38,4462.505015813987,1298.3449409333414,-388.1849266757532,4474.366360354738,1286.4835963925898
18,5,59,4912.36170526044,1453.9437590535092,-443.772266685506,4926.539415836571,1439.7660484773785
19,5,66,4692.506915271937,1408.6462312682106,-618.73673280359,4721.397938382595,1379.755208157552
23,6,63,5825.220424100114,2063.02828893881,-1651.9707111028492,5998.576649237111,1889.6720638018128
22,6,62,6262.889728858569,1977.101529401173,-1320.415929507566,6362.286796524595,1877.7044617351453
20,6,64,4848.742450897261,1708.6221003344162,-1524.8179971559503,5024.063733955934,1533.3008172757422
21,6,61,4941.315450126225,1424.4999528170883,-1032.536733524863,5015.5371885879085,1350.2782143554048
24,7,63,4299.93389240735,2386.93168706857,-2809.566207613437,5042.935637087324,1643.9299423885957
25,7,62,5454.240415154027,318.44788365594445,-1775.382123412188,5603.343717436008,169.3445813739636
26,7,14,9990.167681179713,3218.9886070715156,-3460.574753284406,10406.697410952675,2802.4588772985544
27,7,15,7684.554439725145,5253.919022991742,-4433.307060377265,8997.190450311267,3941.283012405619
31,8,70,4759.1295023351795,1155.5510260410267,-1205.393305768549,4857.258081910893,1057.4224464653125
28,8,69,4192.486522556394,932.9765737429066,-884.5700785356215,4251.434403172894,874.0286931264068
29,8,65,4703.110651193658,1079.624825422573,-699.790829496812,4736.588371092431,1046.1471055238
30,8,64,5178.175266796115,1255.7502594374998,-876.6844557778105,5226.564314006601,1207.361212227013
32,9,69,4393.677902828021,823.7926354976242,-995.9578666389124,4461.841640504101,755.6288978215448
33,9,70,4896.333496639676,1161.2726475541597,-1282.4299791117828,5003.347715660091,1054.2584285337448
34,9,71,4113.589140743562,949.2329984057112,-1279.7229441458069,4238.077455348706,824.7446838005676
35,9,68,3873.3064050410103,727.3953799728964,-1057.1933682434033,3959.7494277828328,640.9523572310734
38,10,57,3407.9560682688016,714.6599484065168,-1648.6322540476697,3640.2184157350785,482.3976009402395
39,10,58,3139.8803297633167,577.7408431512671,-1319.03226241457,3299.6788019915193,417.9423709230646
36,10,68,4026.639903931157,850.7892184528366,-1204.517400499961,4137.014427570157,740.4146948138373
37,10,71,4337.47124554917,1001.426234141318,-1532.2984149540891,4505.009604445628,833.8878752448604
43,11,71,4529.6989351041,1153.55368429159,-1146.1315789048776,4624.319100867067,1058.9335185286225
42,11,63,4650.134478226399,1499.37007175779,-1181.1994334197468,4757.202010242796,1392.3025397413935
41,11,64,4725.776121826438,1566.6436197256264,-1283.2936412250624,4851.12634493528,1441.2933966167836
40,11,70,4597.341551840452,1051.2402868574225,-1324.2014458502194,4716.930851474568,931.6509872233064
44,12,71,4614.843882293879,1203.6575733157938,-1400.9819234217705,4753.087921289804,1065.413534319868
45,12,63,5024.980112828413,1910.0800303537762,-2078.134036410214,5339.777624472865,1595.2825187093244
46,12,56,3495.0228509799454,1676.1084175988399,-2210.1118078204804,4016.740319559295,1154.3909490194899
47,12,57,2466.714823348827,775.3017879324402,-1475.758911088638,2743.3654702760714,498.65114100519577
50,13,68,3933.2189877584024,519.7485935968216,-1172.6547576627115,4031.1235963235067,421.84398503171724
51,13,34,3654.277636045063,440.10758427136113,-934.1873889152005,3720.7812094955134,373.60401082091084
48,13,35,4237.730604881457,639.6829875793479,-794.1598953883331,4281.031183778412,596.3824086823931
49,13,69,4675.041630600868,772.134781117208,-1020.9713295088133,4740.7064678497345,706.4699438683422
52,14,36,4434.966565886147,835.352046253995,-574.0632858831167,4457.71063224346,812.607979896681
53,14,65,4808.1508847837595,938.0412256052288,-696.5860634072847,4839.245904379458,906.9462060095304
54,14,69,4366.512000118701,767.1000443561097,-865.3397733176918,4417.790851360282,715.8211931145277
55,14,35,4056.8991017483204,691.0466344631764,-705.6384087673708,4093.4850369676933,654.4606992438037
59,15,33,3110.647851998339,335.71525959799976,-1143.0702517967475,3223.7531546321225,222.60995696421605
56,15,34,3803.320478250773,541.5831515891397,-1051.865774488872,3886.0264409341585,458.8771889057539
57,15,68,4143.950701981599,710.2086829112748,-1331.2748518102612,4268.470266482238,585.6891184106366
58,15,58,3343.9835058787135,470.86599263541666,-1428.9752813045823,3511.8541337645956,302.99536474953425
63,16,56,1825.2987353300837,2127.2349636180275,-1937.4747022356457,2956.6970749051993,995.8366240429118
62,16,16,3811.4085021263672,5344.067626415289,-3167.400410166066,6337.103670788292,2818.372457753365
60,16,63,3524.3672292355855,1396.4183243455982,-2375.1861114038784,4054.889218118415,865.8963354627681
61,16,15,5859.937317286321,4098.314661666415,-3630.8086357167545,6996.927127472174,2961.3248514805614
64,17,72,5058.243503041225,1651.1041729585297,-904.6965636444377,5117.276621305465,1592.07105469429
65,17,53,4976.882169612154,1332.1098912050834,-770.9777020135646,5017.207198199186,1291.7848626180523
66,17,54,5373.818015999693,1445.1600818416468,-867.8465967032915,5421.1743423396265,1397.8037555017138
67,17,73,5533.366506050489,1828.0745331750677,-1036.678402022825,5604.511744867979,1756.9292943575774
71,18,60,5124.989001745115,1749.9296589881758,-846.136017936261,5177.213029024873,1697.7056317084177
68,18,59,4770.672825101276,1610.8836583919635,-783.5296613071762,4818.521027646904,1563.0354558463362
69,18,72,4813.377374504917,1533.7614312141875,-678.5258559092446,4848.1050155462535,1499.0337901728506
70,18,73,5144.885050869975,1648.6972045394389,-718.9281616001225,5181.461066262751,1612.121189146663
75,19,61,5463.940298374264,1983.3458212728829,-1159.8937535485247,5558.029294613668,1889.2568250334787
74,19,74,5520.64604557089,1785.156363353199,-1008.5891058342393,5587.528762311509,1718.2736466125793
72,19,60,5054.967324951973,1837.3178302894257,-1087.1207911204208,5144.310699818001,1747.974455423398
73,19,73,5052.529346643317,1641.8618249158237,-942.9149284759346,5116.499227478016,1577.8919440811237
79,20,62,6369.980798963752,2625.529295217313,-1827.0859618803966,6580.971321029066,2414.5387731519995
76,20,61,5261.288304760358,1977.966523908547,-1438.2696375507946,5411.8900532155685,1827.364775453337
77,20,74,5320.7587259138645,695.5548587248361,-884.5682472132376,5362.672230633476,653.641354005224
78,20,55,6599.931248725306,2031.6267076367012,-1590.0732959940178,6734.339472915633,1897.2184834463756
81,21,54,5452.4623227912925,1531.7016248374025,-1109.7403609574098,5529.475413933226,1454.6885336954685
