,Element,NID,E1,E2,E12,E_max,E_min
0,63,168.0,0.00025509213368113143,-0.00011900109524161023,-1.364742237093975e-05,0.00025521656135984007,-0.00011912552292031888
1,63,83.0,0.00025509213368113143,-0.00012445423017977875,-1.685040262295115e-05,0.00025527906492485956,-0.00012464116142350687
2,63,84.0,0.00025186676213332683,-0.00012445423017977875,-2.234165916905652e-05,0.0002521980688422745,-0.00012478553688872643
3,63,169.0,0.00025186676213332683,-0.00011900109524161023,-1.913867891704512e-05,0.00025211351140170163,-0.00011924784450998505
4,64,169.0,0.00025186676213332683,-0.00011542665012575457,-4.5328104602880906e-05,0.00025325997585610424,-0.00011681986384853198
5,64,84.0,0.00025186676213332683,-0.00012028207926390096,-5.431859341542902e-05,0.0002538383928050686,-0.00012225370993564267
6,64,85.0,0.00024281341846213184,-0.00012028207926390096,-5.920796812856118e-05,0.00024521126207065864,-0.00012267992287242778
7,64,170.0,0.00024281341846213184,-0.00011542665012575457,-5.0217479316013065e-05,0.00024456470719281,-0.00011717793885643278
11,65,171.0,0.0002285633606903311,-0.00010867396811410808,-7.705829671624757e-05,0.00023290928589532177,-0.00011301989331909874
10,65,86.0,0.0002285633606903311,-0.00011227716748035574,-9.120942720047907e-05,0.00023455980872001965,-0.00011827361551004428
8,65,170.0,0.00024281341846213184,-0.00010867396811410808,-7.342990821473765e-05,0.00024660755847288787,-0.00011246810812486408
9,65,85.0,0.00024281341846213184,-0.00011227716748035574,-8.758103869896915e-05,0.00024813403439996373,-0.00011759778341818763
12,66,171.0,0.0002285633606903311,-9.930892829720488e-05,-9.568357740876669e-05,0.00023540161772652438,-0.00010614718533339816
13,66,86.0,0.0002285633606903311,-0.00010117178133654353,-0.00011395266453843866,0.00023813093066265756,-0.00011073935130886999
14,66,87.0,0.00021016654959446664,-0.00010117178133654353,-0.00011582854127058315,0.00022059058633767508,-0.00011159581807975198
15,66,172.0,0.00021016654959446664,-9.930892829720488e-05,-9.755945414091118e-05,0.00021767316225181538,-0.00010681554095455363
19,67,173.0,0.00018914364474942064,-8.821762590619067e-05,-0.0001100087028114774,0.0001996534826043548,-9.872746376112483e-05
16,67,172.0,0.00021016654959446664,-8.821762590619067e-05,-0.00011031911231919756,0.00022003688884380908,-9.808796515553312e-05
17,67,87.0,0.00021016654959446664,-8.79093710336367e-05,-0.00013119609157582167,0.00022396414198855573,-0.0001017069634277258
18,67,88.0,0.00018914364474942064,-8.79093710336367e-05,-0.0001308856820681015,0.00020382405194735453,-0.00010258977823157059
23,68,174.0,0.000167109166404107,-7.639849887486805e-05,-0.00011379872313662699,0.00017974853712433557,-8.903786959509662e-05
22,68,89.0,0.000167109166404107,-7.405707850445563e-05,-0.0001356802328967852,0.00018488272366047669,-9.183063576082533e-05
20,68,173.0,0.00018914364474942064,-7.639849887486805e-05,-0.00011615651183652029,0.00020129062329903252,-8.854547742447993e-05
