,Element,NID,E1,E2,E12,E_max,E_min
0,3705,3466.0,0.0004079453403129478,-1.9514667168547394e-05,-0.00016434624422633284,0.0004231977299932782,-3.476705684887779e-05
1,3705,1.0,0.00040843493669529343,-3.278221045679069e-05,-0.00015349932388741133,0.0004214043015974584,-4.575157535895567e-05
2,3705,3419.0,0.0004177411059241645,-3.278221045679069e-05,-0.00016431491518045793,0.00043225572364190485,-4.729682817453099e-05
3,3705,3467.0,0.00041721593654474656,-1.8563157699721966e-05,-0.00017593920970036814,0.0004343040609630863,-3.5651282118061674e-05
4,3706,3467.0,0.0004166864832352152,-1.9530661607129296e-05,-0.00018831518465520225,0.0004361426421117094,-3.89868204836235e-05
5,3706,3419.0,0.0004172546510327786,-3.4418326813419136e-05,-0.00017571787460066157,0.0004337429701518124,-5.0906645932452874e-05
6,3706,3420.0,0.00042887850150063675,-3.4418326813419136e-05,-0.0001887918614954312,0.0004473732054244256,-5.2913030737208e-05
7,3706,3468.0,0.0004282658485310481,-1.838047062495613e-05,-0.00020236175107422177,0.00045011773494745,-4.023235704135803e-05
11,3707,3469.0,0.0004429360340589446,-1.8950636219713143e-05,-0.0002321810428284818,0.00047047254959952213,-4.648715176029067e-05
10,3707,3421.0,0.00044368332350924744,-3.737976896191203e-05,-0.00021560172400900135,0.0004667356360044182,-6.043208145708277e-05
8,3707,3468.0,0.00042773867945735886,-2.0374430422860797e-05,-0.0002147168334269943,0.0004521316555106871,-4.476740647618908e-05
9,3707,3420.0,0.0004284274244335806,-3.737976896191203e-05,-0.00019941753640486531,0.00044887323825654765,-5.782558278487904e-05
15,3708,3470.0,0.00046287697082885576,-2.10621290426569e-05,-0.00026608037596063255,0.0004970395536012476,-5.5224711815048756e-05
12,3708,3469.0,0.00044244002889873985,-2.2862893252314522e-05,-0.00024387986186936647,0.000472459558031368,-5.288242238494272e-05
13,3708,3421.0,0.00044328970345039465,-4.2575670277858e-05,-0.0002249756364685329,0.00046806917469293524,-6.735514152039857e-05
14,3708,3422.0,0.0004638054755552387,-4.2575670277858e-05,-0.0002454504575213762,0.0004919811194952512,-7.075131421787047e-05
19,3709,3471.0,0.0004908940092388445,-2.618498027670129e-05,-0.0003049126044438466,0.0005324971379732822,-6.7788109011139e-05
18,3709,3423.0,0.0004920799931573891,-5.145238614466069e-05,-0.0002785140470919212,0.0005256814187577478,-8.505381174501946e-05
16,3709,3470.0,0.000462452399035862,-2.8493782265209952e-05,-0.00027625752258930367,0.0004986468303510669,-6.468821358041494e-05
17,3709,3422.0,0.0004635282288055209,-5.145238614466069e-05,-0.00025226948492054063,0.000492762931922697,-8.068708926183674e-05
20,3710,3471.0,0.0004906449521788342,-3.998816571198214e-05,-0.0003112807728303524,0.0005329268430573769,-8.227005659052481e-05
21,3710,3423.0,0.0004920491042472649,-6.668280373819631e-05,-0.0002798870968205233,0.0005251404001174935,-9.977409960842493e-05
22,3710,3424.0,0.0005334126815755985,-6.668280373819631e-05,-0.00031381464759290545,0.0005719628658681504,-0.00010523298803074817
23,3710,3472.0,0.0005318483702191207,-3.700350592339798e-05,-0.00034871577521578684,0.0005810371608676868,-8.6192296571964e-05
27,3711,3473.0,0.000594990865121936,-5.897454989291131e-05,-0.00039466414155850393,0.0006499212853895511,-0.00011390497016052642
24,3711,3472.0,0.0005320272909692392,-6.280831666796277e-05,-0.0003456927342742819,0.000578605441575668,-0.00010938646727439157
25,3711,3424.0,0.0005339369493656335,-9.326347324341495e-05,-0.0003028368967097489,0.0005685789512295303,-0.00012790547510731177
26,3711,3425.0,0.0005971461897389466,-9.326347324341495e-05,-0.0003464171464784005,0.0006381635553421507,-0.0001342808388466191
28,3712,3473.0,0.0005963304115787285,-0.00010810282427225771,-0.0003658839138447646,0.0006410071112405483,-0.0001527795239340775
29,3712,3425.0,0.0005990110493009557,-0.00014096496526347455,-0.00030545375565888683,0.0006292937313580853,-0.00017124764732060415
30,3712,3426.0,0.00070026732052101,-0.00014096496526347455,-0.0003592494657545277,0.000737016441201304,-0.00017771408594376853
31,3712,3474.0,0.0006971909409684979,-0.00010337180625327107,-0.0004283742698771506,0.0007508933851672484,-0.0001570742504520217
34,3713,5.0,0.0008950756029021262,-0.0002202252048816417,-0.00023335579098864717,0.000907151189515999,-0.00023230079149551448
35,3713,3427.0,0.00089004615229301,-0.00021177472367338898,-0.00034818362861739616,0.0009168988755516251,-0.00023862744693200398
32,3713,3474.0,0.0007022048911143677,-0.00021299163591125664,-0.0003178152500732598,0.0007290112147647277,-0.00023979795956161661
33,3713,3426.0,0.0007064920378142339,-0.0002202252048816417,-0.0002195218814254815,0.0007193147643618299,-0.00023304793142923767
39,3714,3475.0,0.00040509632085931543,-9.969130835955675e-06,-0.0001641363646627536,0.0004207339757724923,-2.5606785749132465e-05
38,3714,3467.0,0.00040669191885904163,-2.047820749453066e-05,-0.00015332507266017925,0.0004200335480055563,-3.381983664104535e-05
37,3714,3466.0,0.00039729655681198725,-2.1193692941973738e-05,-0.00014439366479843813,0.00040940161805027545,-3.3298754180261935e-05
36,3714,3465.0,0.0003958074631766617,-1.1383386143605707e-05,-0.00015448644541110265,0.00040996789353879733,-2.5543816505741324e-05
40,3715,3475.0,0.00040330462712949433,-9.436968282529117e-06,-0.00017775165672058793,0.000421628775990031,-2.776111714306579e-05
41,3715,3467.0,0.0004050894478703111,-2.1438282908675416e-05,-0.0001656904506725579,0.0004206154590966479,-3.69642941350122e-05
42,3715,3468.0,0.00041721084643652623,-2.0495885240223694e-05,-0.0001774319809348078,0.0004345085396755945,-3.7793578479292e-05
43,3715,3476.0,0.0004152885873438296,-7.5744562991101965e-06,-0.00019041736475888804,0.00043573630482629684,-2.802217378157745e-05
46,3716,3469.0,0.0004309990221300769,-2.124009908706701e-05,-0.00020520251966051756,0.0004531878870905338,-4.342896404752389e-05
47,3716,3477.0,0.00042873245388636363,-5.520188328366859e-06,-0.00022044291753309242,0.000455106870540189,-3.189460498219225e-05
44,3716,3476.0,0.0004135243877483319,-7.960146497411802e-06,-0.0002039386348770024,0.00043689757259512756,-3.1333331344207476e-05
45,3716,3468.0,0.0004156163262445077,-2.2474521154611574e-05,-0.00018986626390735117,0.00043530338292047967,-4.2161577830583544e-05
48,3717,3477.0,0.00042694139905911227,-7.6695965260453e-06,-0.00023439504488341825,0.0004565304914003705,-3.725868886730356e-05
49,3717,3469.0,0.0004294999063955626,-2.5121695909911205e-05,-0.0002171533179803689,0.000454099984718425,-4.972177423277356e-05
50,3717,3470.0,0.0004500099925878395,-2.350338855811702e-05,-0.00023729371336948454,0.00047807551998804937,-5.1568915958326864e-05
51,3717,3478.0,0.0004472184557467347,-4.470449761264164e-06,-0.0002560960836695478,0.00048099298892687975,-3.82449829414092e-05
52,3718,3478.0,0.0004454946746012406,-9.857100433894868e-06,-0.000269953173363955,0.00048249781668222177,-4.686024251487604e-05
53,3718,3470.0,0.00044872793948401435,-3.087859791402561e-05,-0.0002480414337300979,0.0004789001250219583,-6.105078345196958e-05
54,3718,3471.0,0.000477215584059304,-2.873458509948209e-05,-0.0002748346200835937,0.0005121292115147428,-6.364821255492095e-05
55,3718,3479.0,0.0004736585922512568,-5.619868933237485e-06,-0.0002989267124956993,0.0005164485664160883,-4.840984309806894e-05
59,3719,3480.0,0.000513403367672749,-1.144880677309484e-05,-0.00035090511769003685,0.0005666528285374122,-6.469826763775801e-05
57,3719,3471.0,0.000476464369757755,-4.2431735995950926e-05,-0.00028235916821460483,0.0005123889071974397,-7.835627343563559e-05
56,3719,3479.0,0.0004722035665319854,-1.7116741470068006e-05,-0.0003115295369179108,0.0005175800551278521,-6.249323006593473e-05
58,3719,3472.0,0.0005181386372461252,-3.9564123160526986e-05,-0.0003185103957736232,0.0005604107695660453,-8.183625548044708e-05
60,3720,3480.0,0.0005127587837093842,-3.507525947531588e-05,-0.00035891750660594496,0.0005663108123417555,-8.86272881076872e-05
61,3720,3472.0,0.0005186775700074392,-6.517069534937311e-05,-0.00031776386243383137,0.0005591134338798461,-0.00010560655922177997
62,3720,3473.0,0.0005837252271630039,-6.133756215518017e-05,-0.00036691214819134163,0.0006322499356249025,-0.00010986227061707873
63,3720,3481.0,0.0005770652198184845,-2.7500062352089113e-05,-0.00041317931006092795,0.0006409165441981658,-9.135138673177045e-05
67,3721,3482.0,0.0006899962521868114,-6.87801092791227e-05,-0.00047860585166957514,0.0007591627303227054,-0.0001379465874150167
64,3721,3481.0,0.0005787838742394857,-7.800452628704634e-05,-0.00040672587199861235,0.0006366528413955428,-0.00013587349344310328
65,3721,3473.0,0.0005877534108901794,-0.00011008789327924759,-0.00034264294777321125,0.000627544308499967,-0.0001498787908890352
66,3721,3474.0,0.0007002511515381352,-0.00010542202046778982,-0.0004054228825663142,0.0007483793573422683,-0.00015355022627192288
68,3722,3482.0,0.0006982016804393254,-0.00019455672463099288,-0.00043273023813639525,0.0007478751537414406,-0.00024423019793310807
69,3722,3474.0,0.0007152967172259148,-0.00021420030658994148,-0.00030528530043269497,0.0007397219556211931,-0.00023862554498521983
70,3722,3427.0,0.0009649393479299606,-0.00021086963891563918,-0.00036504625184563197,0.0009926210668960958,-0.0002385513578817744
71,3722,3428.0,0.0009449870978800803,-0.00018797487080682773,-0.0005135802463923089,0.0010004722484618527,-0.00024346002138860001
73,3723,3465.0,0.00038890061958706326,-1.534040875882594e-05,-0.00013085578726079045,0.0003992265963581816,-2.566638552994424e-05
