,Element,NID,S1,S2,S12,S_max,S_min
0,17,36,5346.733090371055,326.58937469840544,-292.8999361901562,5351.001767278771,322.3206977906898
1,17,26,5296.914363114129,175.62353452589946,-224.9381705176888,5299.383115782625,173.15478185740267
2,17,27,5449.067245250024,225.83398563074502,-262.8682569433277,5452.372478752052,222.5287521287164
3,17,37,5498.885972506951,376.799825803251,-330.8300226157951,5504.22240139741,371.4633969127922
4,18,37,5434.425130102687,181.46393972972328,-261.1474490878669,5437.668819785707,178.22025004670377
5,18,27,5411.187826176352,111.04786722567906,-213.40081565754613,5413.33500846346,108.90068493857143
6,18,28,5518.083046111057,146.32328980413172,-231.09281613118515,5520.567297365387,143.83903854980144
7,18,38,5541.320350037392,216.73936230817594,-278.8394495615059,5544.968440120247,213.09127222532197
8,19,38,5491.011156698876,64.28726128237213,-163.95413578400255,5492.2492345802675,63.04918340098129
9,19,28,5489.693687431916,60.294930170369526,-162.47722993077545,5490.908966683419,59.079650918866264
10,19,29,5493.000186019604,61.38607470430679,-163.4803009827748,5494.230011922863,60.156248801048605
11,19,39,5494.317655286566,65.3784058163094,-164.9572068360019,5495.570413938858,64.12564716401675
15,20,31,5325.859511896439,-38.15156181684051,-14.968773096162113,5325.8699548154,-38.162004735801474
14,20,30,5339.773772573049,4.012864475919969,-82.28383102300724,5340.090982549084,3.6956544998847676
12,20,39,5476.564543959268,11.581098763893351,-25.562562602092957,5476.594436137313,11.551206585848831
13,20,29,5490.478804635879,53.74552505665383,-92.87762052893808,5490.875440937042,53.34888875549041
16,21,35,5305.916205276944,549.5173191070164,-469.1803019332167,5317.458407228149,537.9751171558123
17,21,36,5218.371394995729,284.23001522454774,-357.3724744020304,5224.833919008352,277.767491211926
18,21,37,5468.68889531445,366.83479032972537,-424.02630053909417,5477.484172104033,358.03951354014225
19,21,40,5556.233705595664,632.122094212194,-535.8341280702945,5570.76796358859,617.587836219268
23,22,41,5715.0574747196515,433.816175949961,-511.79720446666727,5727.427874807574,421.4457758620388
20,22,40,5463.385695850249,350.76448892305825,-466.7564620795409,5474.016716207434,340.13346856587305
21,22,37,5404.228052910185,171.49890425619765,-354.3437270111799,5410.2199484421835,165.5070087241993
22,22,38,5655.899831779588,254.5505912831004,-399.3844693982993,5663.2725510459495,247.1778720167381
27,23,42,5734.445216345378,162.10894537834952,-344.0920356412488,5739.752087275429,156.8020744482983
26,23,39,5727.968741588147,142.48326429583108,-289.43013692126993,5731.715669524079,138.73633635989881
24,23,41,5612.067113198304,121.72417133981503,-339.1610543407888,5617.299968908912,116.49131562920729
25,23,38,5605.590638441072,102.09849025729659,-284.4991556208099,5609.264931310885,98.42419738748322
28,24,42,5684.123950700487,9.620261605951782,-82.88885406608483,5684.426628963128,9.317583343310616
29,24,39,5710.215630260849,88.68595724341503,-150.03549268736097,5711.216542960334,87.68504454393042
30,24,31,5559.886452907006,39.077328716647116,-130.17012011469092,5560.653636915018,38.31014470863556
31,24,32,5533.7947733466435,-39.988366920816134,-63.02348149340781,5533.972921301669,-40.16651487584204
32,25,34,5219.67188743576,900.3792034243851,-641.5097152283068,5243.361525351996,876.6895655081498
33,25,35,5079.197835098607,474.70025694816536,-499.418769687571,5092.700384936394,461.1977071103797
34,25,40,5397.311213636039,579.6776718655176,-606.3703768257982,5416.316407840282,560.6724776612741
35,25,43,5537.785265973192,1005.3566183417373,-748.461322366534,5568.476675799408,974.6652085155201
39,26,44,5899.08528188482,871.2073814819737,-846.7874821152071,5934.489640323209,835.8030230435847
38,26,41,5759.59648194623,448.51404833473157,-643.4941842246704,5779.017011677597,429.09351860336346
37,26,40,5304.463203890624,298.3200665763818,-537.2927108350376,5318.838385831961,283.9448846350442
36,26,43,5443.952003829214,721.0133997236239,-740.5860087255883,5472.8078205871925,692.1575829656458
40,27,44,5733.537609063862,369.54776687301114,-689.543991490708,5755.607126148838,347.47824978803465
41,27,41,5656.606120424882,136.4220437245856,-470.85803409878497,5666.628679385234,126.39948476423297
42,27,42,6146.200502951459,297.9881899583563,-529.430747084434,6158.158215557662,286.0304773521543
43,27,45,6223.13199159044,531.1139131067819,-748.1167044763708,6247.608469177661,506.63743551955986
44,28,45,6043.462884214981,-13.33792742490914,-254.32475424537634,6046.131479280021,-16.00652248994902
45,28,42,6095.879237306568,145.49950618595858,-268.227565509277,6098.900452723819,142.47829076870767
46,28,32,6064.753606848633,135.22804813484026,-228.3197454513994,6066.950688089918,133.03096689355607
47,28,33,6012.337253757047,-23.609385476027455,-214.4169341875127,6014.240854369851,-25.512986088831894
50,29,43,5187.009316895963,889.6005551462518,-719.3710730644183,5216.906368495909,859.7035035463055
51,29,2,5351.5310832629575,1388.1513623189649,-859.74160191795,5397.619220653309,1342.0632249286136
48,29,1,5037.269375659085,1284.4449988096871,-734.4809788390479,5072.868766157972,1248.8456083108017
49,29,34,4872.747274078884,785.894081016616,-594.1103163738975,4894.2260076818675,764.4153474136328
55,30,3,5864.584998399029,1452.6464754555268,-1125.1471233366728,5935.189784667966,1382.0416891865893
54,30,44,5645.045124217821,787.3741294518643,-878.6450797709135,5684.457217211268,747.9620364584175
53,30,43,5093.176054751985,605.2573365281385,-711.4957594234656,5121.2004454202815,577.2329458598424
52,30,2,5312.715928933194,1270.529682531801,-957.997802989225,5368.7018509982745,1214.5437604667204
56,31,3,5735.819043350864,1062.4466116732096,-1176.3495100674581,5808.707896637331,989.5577583867425
57,31,44,5479.497451396863,285.71451484290174,-721.4015891464143,5504.427937642255,260.7840285975094
58,31,45,6498.035399976297,621.8320378741153,-916.555112146625,6533.561100860572,586.3063369898414
59,31,4,6754.356991930299,1398.564134704423,-1371.5030330676689,6840.765977848538,1312.1551487861839
60,32,4,6369.9878449570715,233.80914387646044,-1007.9283136336978,6411.102915849193,192.69407298433953
61,32,45,6318.366292600839,77.38019734242425,-422.76316191563745,6325.517571468883,70.22891847437995
62,32,33,7628.434732971875,509.70278266486594,-462.0658508864067,7635.924846549637,502.21266908710504
63,32,5,7680.056285328107,666.1317291989021,-1047.23100260446,7718.930666357103,627.2573481699064
66,486,2,4970.046796705159,1262.2615477548916,-663.943136027472,4999.534905128395,1232.7734393316562
67,486,559,5043.81488042138,1620.357443713564,-799.1099663101315,5089.828859336204,1574.34346479874
64,486,558,4732.314745845227,1467.5284755572802,-694.2087061617456,4768.810096967745,1431.033124434762
65,486,1,4669.565802192744,1163.1028195657946,-579.2940025936792,4693.3306663886215,1139.3379553699165
68,487,559,4995.7229553481,1597.8501033011355,-936.0297182893742,5059.0075393144725,1534.5655193347627
69,487,2,4898.416881896927,1133.810997009833,-766.6077905686482,4937.047629946566,1095.1802489601941
70,487,3,5438.004007740009,1311.87474853805,-923.0770198199707,5489.0002717843745,1260.878484493684
71,487,560,5556.040958758027,1875.234409876307,-1128.743665495851,5640.631133181836,1790.6442354524982
72,488,560,5441.415232239145,1657.0214139424465,-1279.3432484787347,5546.6138597453655,1551.8227864362264
73,488,3,5292.114729508312,916.0241881051671,-988.9239074688613,5347.289182848588,860.8497347648909
74,488,4,6461.806424609269,1302.022447488483,-1307.8036605996845,6543.385885512045,1220.4429865857073
