,Element,NID,S1,S2,S12,S_max,S_min
0,1,89,896.5206696067083,7.787193422562893,-87.55348850590035,898.6717937105134,5.636069318757734
1,1,11,923.446384402844,89.38026856236826,-216.0407036631667,937.2090644003849,75.61758856482743
2,1,12,537.2211914848343,-38.07404510057495,-188.51594004102228,552.2709752653109,-53.12382888105145
3,1,13,510.2954766886986,-119.66712024038031,-60.02872488375591,511.72226967442487,-121.09391322610657
4,2,90,1015.6451170928333,-9.09312978194157,-82.36831728325072,1017.2976406461298,-10.745653335238103
5,2,89,1036.4544078444048,53.96532704100281,-152.32512243273948,1042.323470360101,48.096264525306594
6,2,13,826.1672321951909,-15.429440923237848,-131.05275758646403,831.2385310512711,-20.50073977931811
7,2,14,805.3579414436192,-78.48789774618223,-61.095952436977015,806.4124995090691,-79.54245581163207
8,3,91,1145.5877167052663,-14.64863457658015,-72.8746213643734,1146.7309068187715,-15.791824690085264
9,3,90,1163.5251711772949,39.7072880659307,-114.52626896759686,1166.4354265077814,36.79703273544419
10,3,14,1038.3227095065458,-1.6095242854164553,-96.18973832899849,1040.5422675958475,-3.829082374718155
11,3,15,1020.3852550345173,-55.9654469279273,-54.53809072577502,1021.075665851876,-56.655857745286085
15,4,16,1186.8393199663692,-41.97965635949754,-47.77680903572536,1187.303538360357,-42.443874753485375
14,4,15,1202.0020814785416,3.9681057986007318,-73.83992860557673,1203.1387701956596,2.831417081482755
12,4,92,1265.1839469292713,-16.125929461739872,-63.27699108492153,1265.964698600238,-16.90668113270658
13,4,91,1280.3467084414438,29.8218326963584,-89.3401106547729,1281.940338623815,28.228202513986957
16,5,93,1368.1915210392342,-16.019859661464466,-54.28418855088418,1368.723528115895,-16.55186673812534
17,5,92,1380.7406421103644,22.007779948020925,-70.27229681345754,1381.6486384515588,21.099783606826463
18,5,16,1332.6813064749163,6.1481991883229625,-57.443980322558325,1333.3029014686326,5.526604194606534
19,5,17,1320.132185403786,-31.87944042116243,-41.455872059981466,1320.4498945009477,-32.19714951832407
20,6,94,1454.7349549673645,-15.189739561047077,-46.09035720510836,1455.0961638013805,-15.550948395063074
21,6,93,1465.0038813747663,15.92821924926102,-55.113120069636004,1465.527725372881,15.404375251146462
22,6,17,1437.8819741582322,6.9779898678048085,-44.61572848107619,1438.229670383675,6.630293642361835
23,6,18,1427.6130477508304,-24.139968942503288,-35.592965616550295,1427.8311752264467,-24.358096418119658
24,7,95,1526.4208821380093,-13.987497895007664,-38.74157599781553,1526.6644332089056,-14.231048965903938
25,7,94,1534.736287501145,11.210700175100442,-42.86529602286346,1535.0377379869176,10.909249689327908
26,7,18,1522.3405608040557,7.120110365061009,-34.36484596711511,1522.5353824249205,6.925288744196223
27,7,19,1514.02515544092,-18.078087705047096,-30.24112594206544,1514.1743680747118,-18.227300338838972
31,8,20,1582.992593207396,-13.311496139594283,-25.428797434648818,1583.093855668437,-13.412758600635243
30,8,19,1589.6557945946363,6.88002321567933,-26.13973116835463,1589.7637124331686,6.772105377147
28,8,96,1585.12961919956,-12.606277562180253,-32.24024309316451,1585.2922442443487,-12.768902606968823
29,8,95,1591.7928205868002,7.58524179309336,-32.951176826868576,1591.9641464058823,7.413915974011275
32,9,97,1632.6866032583807,-11.165964209960293,-26.56028354912757,1632.793882135018,-11.273243086597518
33,9,96,1637.9650817207005,4.829425069796116,-24.956045909060173,1638.060414871875,4.734091918621516
34,9,20,1642.7873517154483,6.420774168062849,-19.560104210508634,1642.8458019454056,6.362323938105419
35,9,21,1637.5088732531285,-9.57461511169356,-21.164341850579518,1637.5768587075763,-9.642600566141596
36,10,98,1670.7829718625337,-9.745622173463175,-21.657299498878327,1670.8527444255246,-9.815394736453982
37,10,97,1674.9126785946044,2.768640650993575,-18.55558126833217,1674.9641542733452,2.71716497225259
38,10,21,1684.2362655406348,5.845424343183595,-14.333995973766422,1684.266869213092,5.8148206707263626
39,10,22,1680.1065588085642,-6.668838481273156,-17.435714204314326,1680.151614601144,-6.7138942738529295
43,11,23,1712.9462617675135,-4.435262855358133,-14.21585905414999,1712.9756796901029,-4.464680777947478
40,11,99,1700.9441199605783,-8.395969651646851,-17.47287845934917,1700.9887707455127,-8.440620436581526
41,11,98,1704.1302536107607,1.2589808034516636,-13.480073730467224,1704.1569305451899,1.2323038690224166
42,11,22,1716.132395417696,5.219687599740382,-10.22305432527153,1716.1476664929585,5.204416524477892
47,12,24,1737.866868025648,-2.7433120615538655,-11.467438135208473,1737.8857551825758,-2.7621992184817827
46,12,23,1740.2857999744253,4.586784752922654,-7.027152333319617,1740.2929124788302,4.579672248518023
44,12,100,1724.5195580911966,-7.147924339922838,-13.940199151766382,1724.5476128427708,-7.17597909149697
45,12,99,1726.9384900399739,0.18217247455368124,-9.499913349875783,1726.9515561092635,0.16910640526407406
48,13,101,1742.6859769806338,-6.018115764214599,-10.988809465145764,1742.7032401559609,-6.0353789395416015
49,13,100,1744.4876672365826,-0.5584483219454341,-6.418596980773237,1744.4935694083779,-0.564350493740676
50,13,24,1758.225463610284,3.9750244813760673,-4.576822350433729,1758.2284488264645,3.9720392651955763
51,13,25,1756.423773354335,-1.4846429608930976,-9.147034834804513,1756.4356721084414,-1.4965417149993527
54,14,25,1771.232389227105,3.402200277120869,-2.7288606344191626,1771.2334423084433,3.4011471957826416
52,14,102,1756.456148239446,-5.013043769074329,-8.548294246234272,1756.466519255956,-5.023414785584237
53,14,101,1757.7667731880358,-1.0414530157719355,-4.068651231602261,1757.769126187705,-1.0438060154413051
55,14,26,1769.9217642785152,-0.5693904761815247,-7.208503649047685,1769.9291015517595,-0.5767277494257996
59,15,27,1779.4455459440103,0.07653137202021298,-5.605776301672109,1779.4499610835503,0.07211623248008436
