,Element,NID,S1,S2,S12,S_max,S_min
0,3032,2035,466.4982008658869,1648.8650336552241,-571.7553923603913,1714.3580132071193,401.00522131399146
1,3032,9,179.021519574843,777.7235751975157,-435.4329997967814,848.5232088467656,108.2218859255932
2,3032,2827,307.8456760642408,100.24131913669943,-592.5979537686438,517.9988701560619,-109.91187495512168
3,3032,2842,840.5381799155753,996.0240731099574,-909.8408681880387,1379.7966377384507,456.7656152870821
4,3033,2036,608.8988673437024,1278.432062484016,-935.7989990509217,1518.9902571007385,368.3406727269796
5,3033,2035,520.1268758948095,1009.4260277904011,-912.1527296864107,1282.327478872819,247.22542481239168
6,3033,2842,548.8725669998864,753.6176687264395,-1048.1133814991988,1185.2072460049212,117.28298972140476
7,3033,2840,650.6414200887881,1223.925395660696,-1014.6396191910165,1519.981458643668,354.58535710581623
11,3034,2828,728.0870444473335,867.1837192666084,-800.9152455077385,1204.0874440465052,391.1833196674367
10,3034,2827,620.3489911952579,936.7739326916113,-806.3940050962188,1211.6884742204604,345.43444966640874
8,3034,2840,844.1580746687962,934.2653313117448,-843.5161658243904,1313.369350483157,465.05405549738407
9,3034,2842,792.1542827456806,1124.7344769609947,-899.7258712855793,1438.0578255168457,478.8309341898297
12,3035,2037,859.4060952731809,1165.3684029413764,-1202.2410853631818,1632.6687499294635,392.1057482850937
13,3035,2036,850.7033024164407,1138.9963033754973,-1178.1007695647272,1601.2808125027877,388.41879328915036
14,3035,2840,912.8042413964029,1153.1863448296954,-1179.5255765041597,1634.880693600236,431.10989262586247
15,3035,2841,937.479820445533,1182.7503032413929,-1203.5827625420525,1674.27486922654,445.9552544603861
16,3036,2038,1077.1838643725152,987.7774005786727,-1345.1033837905695,1706.5163564644934,358.44490848669443
17,3036,2037,1115.0699968909516,1102.5838627557523,-1344.0568886468188,1780.884372209159,436.76948743754497
18,3036,2841,1128.8568707069066,1136.670595019174,-1308.6854497438574,1787.118120916431,478.4093448096495
19,3036,2839,1087.2891451198566,1009.5958731640555,-1304.7753549290087,1701.985730998269,394.89928728564337
23,3037,2843,1118.6352669255175,1104.5248713318892,-1085.9705587591684,1654.611181901146,568.5489563562608
22,3037,2844,943.6045329098703,934.1003806078638,-969.7284841894984,1423.7399854599676,453.96492805776654
20,3037,2841,823.9088010758211,1062.1357076460013,-1086.8165700048883,1499.3320412268235,386.7124674949987
21,3037,2840,727.9268784060358,936.6593601147695,-997.3364791949192,1341.7657146110269,322.8205239097782
24,3038,2843,929.2105956835105,932.653061494035,-958.9763200247138,1410.423077971647,451.4405792058985
25,3038,2844,872.2531526584715,863.2951524573475,-922.4687154937667,1329.030257350118,406.518047765701
26,3038,2829,945.158482868638,887.3589646393061,-939.2143919577951,1386.7543290384938,445.7631184694504
27,3038,2838,987.3938260708383,929.5461188777995,-962.0029205627984,1440.3402808558494,476.5996640927883
31,3039,2848,1133.788872910338,983.8568952112754,-1182.1532670002152,1654.634503747775,463.01126437383834
28,3039,2839,1033.9494711560565,943.2736400292499,-1203.199149210377,1591.9170957236702,385.3060154616362
29,3039,2841,1036.3343718209144,975.7938371400371,-1178.2413067180078,1595.9619204613464,416.166288499605
30,3039,2843,1108.0505520948677,1011.5497324930693,-1158.0046954313095,1640.8094543589257,478.79083022901136
32,3040,2844,1076.0562882822865,930.559561501377,-953.5364691729627,1485.5944309094682,521.0214188741952
33,3040,2840,876.7634326878177,1037.2005551181203,-938.6677295330744,1433.121988211495,480.84199959444294
34,3040,2828,686.7992533087684,922.2416699332314,-863.8302072772588,1252.1910320605361,356.84989118146365
