,Element,NID,E1,E2,E12,E_max,E_min
0,4133,3873.0,4.530476240839458e-05,9.211317762846706e-05,-0.0002759726247936328,0.00020866603251520335,-7.124809247834171e-05
1,4133,3872.0,3.815329952082738e-05,7.29266097420906e-05,-0.00025059540523178665,0.00018203821571340784,-7.095830645048986e-05
2,4133,3869.0,5.293866598895733e-05,6.098411481381626e-05,-0.0002558110445832623,0.0001849301559045099,-7.100737510173631e-05
3,4133,3870.0,6.310059141186042e-05,7.963005406647159e-05,-0.0002839814977916074,0.00021359639724788132,-7.086575176954932e-05
4,4134,3446.0,7.697344511334997e-05,7.910587487376815e-05,-0.00033131363945906704,0.00024369991092018886,-8.762059093307074e-05
5,4134,3445.0,7.697344511334997e-05,0.00010690453524049418,-0.00036211366456839755,0.0002736132702933939,-8.97352899395498e-05
6,4134,3884.0,3.8071789803223455e-05,8.852335567902011e-05,-0.0003066370940818276,0.00021867748454302383,-9.208233906078027e-05
7,4134,3873.0,6.024492428717207e-05,6.210263987554e-05,-0.00029737622027022764,0.00020986479348538662,-8.751722932267455e-05
11,4135,3871.0,8.099867463069732e-05,7.641481921492188e-05,-0.00032039746290790476,0.0002389218725885024,-8.150837874288319e-05
10,4135,3870.0,7.054004830109144e-05,6.777362418126996e-05,-0.0002976655534913733,0.00021799604044972948,-7.968236796736808e-05
8,4135,3446.0,6.523316443476142e-05,7.906878418425004e-05,-0.00031805923537939554,0.00023133098372021832,-8.702903510120685e-05
9,4135,3873.0,5.415424378169692e-05,7.294153429929446e-05,-0.0003001417456946487,0.000213912470802312,-8.681669272132063e-05
15,4136,3867.0,8.562326093472516e-05,6.08686977000098e-05,-0.0003306307281560651,0.00023902404391123297,-9.253208527649801e-05
12,4136,3447.0,9.788047182654816e-05,5.9676002812332225e-05,-0.00033564138058589377,0.0002476825873331854,-9.0126112694305e-05
13,4136,3446.0,9.788047182654816e-05,6.565555888719831e-05,-0.00034599855128962173,0.0002555159955670513,-9.197996485330482e-05
14,4136,3871.0,8.70451177324566e-05,6.77998865688575e-05,-0.0003434571066451113,0.0002494204403850816,-9.457543608376752e-05
19,4137,3874.0,2.9422131873665935e-05,0.000104858122224963,-0.0002688502990624564,0.00020675663032368856,-7.247637622505963e-05
18,4137,3875.0,2.8161711443871335e-05,5.475935708916264e-05,-0.000248520749461488,0.0001664305283318647,-8.350945979883074e-05
16,4137,3444.0,1.960691549353702e-05,0.00011313756159352767,-0.0002417818377471112,0.00019599326193890223,-6.324878485183753e-05
17,4137,3443.0,1.960691549353702e-05,7.439840175453897e-05,-0.00022902055107681257,0.00016474445216207664,-7.073913491400065e-05
20,4138,3874.0,2.5765526754720214e-05,9.75470416670598e-05,-0.00022041415402364317,0.00017756032337375605,-5.4247754951976027e-05
21,4138,3875.0,2.4512323162979854e-05,5.048727809165576e-05,-0.00020041119807538005,0.00013854353694674036,-6.354393569210473e-05
22,4138,3763.0,3.2459617947139946e-05,6.158671085503426e-05,-0.0002270738343584898,0.00016149031448303415,-6.744398568085996e-05
23,4138,3872.0,3.339831629741927e-05,8.906825567341807e-05,-0.0002393482591563148,0.00018410184513633187,-6.163527316549453e-05
27,4139,3884.0,3.901944860715961e-05,7.997048019196254e-05,-0.00029079593536394943,0.00020632757573986737,-8.733764694074522e-05
24,4139,3445.0,4.949349312247456e-05,8.324306455873985e-05,-0.00030253042475107683,0.00021857183618421739,-8.583527850300297e-05
25,4139,3444.0,4.949349312247456e-05,9.054833360311548e-05,-0.00031477073084076185,0.0002287393062170246,-8.869747949143456e-05
26,4139,3874.0,4.204062699155256e-05,9.17843168278216e-05,-0.00031239365080790865,0.00022507712325727842,-9.125217943790426e-05
28,4140,3443.0,-1.5346018142382845e-06,0.00014326344412335054,-0.00015394504256947134,0.00017653555041778065,-3.4806708108668386e-05
29,4140,9.0,-1.534601814241754e-06,6.501798210557851e-05,-0.0001105755906511581,9.627115565224375e-05,-3.2787775360907e-05
30,4140,3763.0,2.5908304556385153e-05,1.7764647474931995e-05,-0.00013389569370683002,8.890803471212384e-05,-4.5235082680806696e-05
31,4140,3875.0,6.516762051833602e-05,5.225734505315243e-05,-0.00022384422706782196,0.00017082059266653916,-5.339562709505071e-05
34,4141,3764.0,4.660551105188128e-05,4.216072669248734e-05,-0.0002019723498601217,0.00014539374481819668,-5.662750707382806e-05
35,4141,3869.0,6.178252173185544e-05,6.715085260714288e-05,-0.0002409319493464311,0.00018496256177964694,-5.60291874406486e-05
32,4141,3872.0,3.180328229389004e-05,9.623774705100417e-05,-0.00022376840762169253,0.0001804508591901927,-5.2409829845298495e-05
33,4141,3763.0,2.937645543085385e-05,6.373499146987585e-05,-0.00019581120373599807,0.0001459571023483526,-5.2845655447622914e-05
39,4142,3876.0,6.713491137261968e-05,7.263996397350198e-05,-0.0002627061442448918,0.00020126934646205313,-6.149447111593147e-05
38,4142,3877.0,5.539463114712963e-05,6.216823140584547e-05,-0.00023905407679130491,0.0001783564425570724,-6.079358000409731e-05
37,4142,3869.0,4.113693564501697e-05,6.97248361711423e-05,-0.0002411884351157436,0.00017686927490644466,-6.60075030902854e-05
36,4142,3870.0,4.976058406821332e-05,7.924271668156087e-05,-0.0002613410453671597,0.00019600102122607294,-6.699772047629875e-05
40,4143,3876.0,5.439444974829344e-05,7.073941557377244e-05,-0.00024400966872863833,0.00018484517719056473,-5.971131186849885e-05
41,4143,3877.0,4.635064471968098e-05,5.771276274088046e-05,-0.00022349403715105423,0.00016392303758595123,-5.98596301253898e-05
42,4143,3765.0,5.7020628356585154e-05,5.858188618493846e-05,-0.00023695064516646158,0.00017627915159161074,-6.067663705008711e-05
43,4143,3868.0,6.16357795817507e-05,6.559304288841197e-05,-0.0002483334703672589,0.00018779691044242187,-6.056808797225919e-05
46,4144,3765.0,4.912056621151706e-05,5.694504925706683e-05,-0.00021244027764298623,0.00015932496889864965,-5.325935343006576e-05
47,4144,3877.0,6.872131091231748e-05,5.826708053093075e-05,-0.00023313939667233587,0.00018018103004067645,-5.319263859742822e-05
44,4144,3869.0,4.726028748573696e-05,7.536764597361001e-05,-0.00022925379551345937,0.0001767991674682236,-5.417123400887663e-05
45,4144,3764.0,3.962218008800658e-05,6.589921958290707e-05,-0.00021212340823368106,0.00015963308065165447,-5.41116809807408e-05
