,Element,NID,S1,S2,S12,S_max,S_min
0,26234,4322,543.9258655180593,-3002.4164792756255,693.0368125299159,577.4674573700333,-3035.9580711275994
1,26234,50,-635.8563972312268,-6577.514245182554,530.1234336469681,-624.0552386696991,-6589.315403744082
2,26234,27058,-1205.653950366559,-6282.581437378472,-1288.927758200433,-1125.123255436425,-6363.112132308606
3,26234,27073,435.55772829922705,-1654.5247735414364,-765.020834662054,503.36212502814965,-1722.3291702703589
4,26235,27073,1002.8810458427458,-2586.921988261215,753.337380797196,1041.978099739526,-2626.0190421579955
5,26235,27058,-48.816962498211524,-5229.413000819636,246.93489110537212,-45.87607284639171,-5232.353890471457
6,26235,27059,-1463.1322930912804,-4338.910358339424,-1240.06801518191,-1335.1455194299717,-4466.897132000733
7,26235,27074,74.91460027128443,-1170.5187450038638,-373.2375877431247,102.2768679224173,-1197.8810126549968
11,26236,27075,550.143151417935,-25.57232311580492,724.9422986704699,725.154089916458,-200.58326161432797
10,26236,27060,-637.0649766384588,-1349.790867297355,94.69201802260535,-633.9335640522679,-1352.9222798835458
8,26236,27074,2000.1301173170086,-686.2891140819588,968.4359694418147,2084.7437149162624,-770.9027116812124
9,26236,27059,1191.6635857724089,-1859.605953819056,476.51596497376664,1210.1558564200452,-1878.0982244666923
12,26237,27075,3537.2764007541705,1690.7960646399354,2039.8413138580288,3989.758062990026,1238.3144024040803
13,26237,27060,3256.5667501119874,1710.0901007445163,1946.555606682076,3726.3759664483314,1240.2808844081721
14,26237,27061,2182.0554741690617,1119.3110197810888,2326.1179736466147,2929.3789303429185,371.987563607232
15,26237,27076,2601.8877395292907,1155.6439007353306,2393.384703440687,3276.9710607813145,480.5605794833068
16,26238,27061,6752.71314592372,3975.1945325842094,4032.261772152339,7812.103377507732,2915.804301000196
17,26238,27062,6998.838200327494,2155.9336822920204,4230.862842248695,7792.736799331674,1362.0350832878403
18,26238,27077,6269.991358396414,1454.7405401569147,3792.2872045754652,6927.0063313012415,797.7255672520882
19,26238,27076,6092.67156350164,3191.064348070393,3638.751730887493,6968.8745410624415,2314.8613705095904
23,26239,27077,9615.925273161263,3217.049487154863,4806.897838769129,10418.108244167493,2414.866516148633
22,26239,27078,10723.171530250633,836.6556864448012,3945.09527511763,11102.200998642871,457.6262180525637
20,26239,27062,11490.987852818349,4391.003341985908,5503.260471637399,12432.533637782819,3449.4575570214383
21,26239,27063,12765.230498351442,1898.4875966264094,4613.735743675154,13234.668946271393,1429.0491487064592
24,26240,27063,16358.170631366165,3375.085771633936,5328.455900620341,16883.624260353583,2849.6321426465192
25,26240,27064,17759.622268009338,1221.259855258908,3009.4741114394337,17895.415269252197,1085.4668540160474
26,26240,27079,14576.20265578522,15.87459956445582,2461.018406225847,14679.462032514763,-87.38477716508805
27,26240,27078,13329.07549242243,2073.7632333917877,4659.349922010796,13792.2238201202,1610.6149056940176
31,26241,27079,16001.036799312988,646.1605328261439,2935.527678592458,16140.080417965737,507.1169141733935
28,26241,27064,19761.998406617506,1945.2829980582528,3268.2547367025068,19910.63850753761,1796.6428971381483
29,26241,27065,20358.652503359437,1093.2795758522352,-44.02113561014861,20358.677650262358,1093.2544289493126
30,26241,27080,16537.192645550134,-167.80217722483394,-194.6603011520512,16537.759711673032,-168.36924334773084
32,26242,27065,20373.22147364648,1098.0873360469595,39.627104503467386,20373.24184063512,1098.06696905832
33,26242,27066,19773.93146678029,1944.9843344928067,-3276.4353049272613,19923.209664576192,1795.7061366969083
34,26242,27081,16009.006269179208,644.7881710320189,-2944.102910322075,16148.772630037693,505.0218101735327
35,26242,27080,16547.622468106452,-164.3603357812499,189.6578285101252,16548.160539115976,-164.89840679077133
38,26243,27082,13349.458210229526,2078.300856299645,-4674.94773585098,13814.988539625352,1612.7705269038197
39,26243,27081,14602.969408001394,19.903134018505625,-2468.501270780618,14706.693542992154,-83.82100097225339
36,26243,27066,17797.08303682277,1228.9814513051788,-3017.9007972323247,17933.39024372714,1092.6742444008069
37,26243,27067,16388.595046211434,3383.2567606086736,-5345.469465220164,16916.446291805318,2855.4055150147888
43,26244,27082,10756.582084466932,842.3811682163159,-3958.373062574049,11137.086358576309,461.8768941069393
42,26244,27083,9639.41852817571,3229.7835813003685,-4827.179762918212,10446.616901408288,2422.5852080677896
40,26244,27067,12811.445418803298,1909.891168908181,-4630.050870896466,13282.687715693519,1438.6488720179614
41,26244,27068,11526.038159883412,4409.630092005385,-5526.913587181095,12473.109855262373,3462.558396626423
44,26245,27068,7036.936457661552,2170.2542883049487,-4251.386986808312,7834.65118529664,1372.5395606698603
45,26245,27069,6781.02487370114,3999.4790881340905,-4054.704529056232,7848.789441235993,2931.7145205992388
46,26245,27084,6112.571797519973,3208.6416352906163,-3657.4801074640336,6995.664056365094,2325.549376445495
47,26245,27083,6298.282679632032,1462.6267739015425,-3808.967405284648,6958.270540503334,802.6389130302418
51,26246,27069,2201.930808087979,1130.7606718848863,-2342.4178448168177,2954.2050898777184,378.48639009514727
50,26246,27084,2618.2339213138976,1162.6806682628512,-2407.4933543570414,3297.1075288320762,483.80706074467275
48,26246,27070,3274.205051617913,1728.3076027002799,-1960.7963705618945,3749.707500551426,1252.805153766766
49,26246,27085,3551.960013686658,1704.4814685108008,-2052.306216404339,4008.9033422762227,1247.538139921236
52,26247,27071,1200.3281623546604,-1859.6693671424691,-482.3327305742971,1219.2184949523028,-1878.5596997401115
53,26247,27086,2010.5306076051247,-684.6832531796009,-975.3716260176232,2096.060757554901,-770.2134031293774
54,26247,27085,555.7882635671325,-24.157880511965033,-732.2418593697919,732.8579279676079,-201.2275449124404
