,Element,NID,S1,S2,S12,S_max,S_min
0,56,88,15999.988663872124,0.1443964523377872,-0.008328801595510324,15999.988663873208,0.14439645125276002
1,56,87,15999.93422864514,-0.020558780943247257,0.014777816070885123,15999.934228648552,-0.020558784355671378
2,56,110,15999.991956034086,-0.0015087425908859586,-0.03147106693901962,15999.991956049562,-0.0015087580659383093
3,56,111,16000.045816488606,0.16325681577745854,-0.05411719981523509,16000.045816534366,0.16325677001714212
4,57,89,15999.783859996865,0.4061621025466593,-0.1357272264882499,15999.783860284719,0.4061618146934052
5,57,88,15999.661891860198,0.036561688401889114,-0.008328801595510324,15999.661891861282,0.036561687318680924
6,57,111,15999.983341301884,0.1426400041582383,-0.11298637970556938,15999.983341501353,0.1426398046887698
7,57,112,16000.102140176476,0.511194561818229,-0.23935295554426997,16000.102141071653,0.5111936666407928
11,58,113,15999.940589192971,0.578356056006669,-0.5188748727156254,15999.940593399875,0.5783518491025461
10,58,112,15999.904552897924,0.44599075989663106,-0.17438734560846725,15999.904553373111,0.44599028470838675
8,58,90,15999.070432111872,0.29120421924380935,-0.4805921637656709,15999.070435721034,0.2912006100805229
9,58,89,15999.025817371456,0.1560080361614382,-0.1357272264882499,15999.025817659318,0.15600774829908914
12,59,91,15998.13853605748,-3.073841821291353,-0.6449522304627552,15998.138542556415,-3.073848320226716
13,59,90,15999.27082391861,0.3573335154678716,-0.4805921637656709,15999.270827527744,0.357329906335508
14,59,113,15999.693708686736,0.4968854889502836,0.5101445555647665,15999.693712753307,0.49688142237937427
15,59,114,15998.557332104147,-2.9356391258925214,0.3362054101044517,15998.55733387014,-2.9356408918856687
19,60,115,15994.131639686118,-19.22366305992273,7.1182247798637235,15994.132430730851,-19.224454104654797
16,60,92,16001.743754044746,-16.71166532157622,2.3135826340961767,16001.74383758377,-16.711748860600892
17,60,91,16007.234821258198,-0.07206770505490567,-0.6449522304627552,16007.234827754659,-0.07207420151462429
18,60,114,15999.5491139442,-2.608351118673454,4.206140585713621,15999.549390338467,-2.6086275129400747
23,61,116,15987.827315991373,-55.56097488371506,29.273025980410527,15987.840668989527,-55.57432788186907
22,61,115,16000.121775843232,-17.246918128075777,13.628652368930462,16000.124674885756,-17.249817170598362
20,61,93,16028.747216828666,-42.057407607409004,18.065282293734143,16028.75229364854,-42.06248442728247
21,61,92,16041.433528187092,-3.614039854602197,2.3135826340961767,16041.433611587665,-3.614123255173581
24,62,94,16106.308654397382,-1.3647752666638553,52.74248402065065,16106.351828884634,-1.4079497539150907
