,Element,NID,E1,E2,E12,E_max,E_min
0,145,287.0,0.00031826008054552045,0.0,0.0,0.00031826008054552045,0.0
1,145,288.0,0.00031826008054552045,-2.7259690445853453e-05,3.6619363469488336e-07,0.00031826017757161833,-2.72597874719513e-05
2,145,367.0,0.00031860534861559507,-2.7259690445853453e-05,-2.5335784279021582e-05,0.0003190687108194224,-2.772305264968079e-05
3,145,366.0,0.00031860534861559507,0.0,-2.5701977913716456e-05,0.0003191228543814838,-5.175057658887597e-07
4,146,288.0,0.00033558080183973446,-2.7259690445853453e-05,3.6619363469488336e-07,0.0003355808942341521,-2.7259782840271087e-05
5,146,289.0,0.00033558080183973446,-5.327398413684397e-05,1.0389570425033785e-06,0.0003355814958197552,-5.327467811686468e-05
6,146,368.0,0.0003362151216496123,-5.327398413684397e-05,-2.3488806561541408e-05,0.0003365689334086916,-5.3627795895923216e-05
7,146,367.0,0.0003362151216496123,-2.7259690445853453e-05,-2.416156996934985e-05,0.00033661620720320043,-2.7660775999441587e-05
11,147,368.0,0.0003517633778226016,-5.327398413684397e-05,-2.0413032981966926e-05,0.0003520204082203696,-5.353101453461196e-05
10,147,369.0,0.0003517633778226016,-7.602610887517075e-05,-1.9599695933580864e-05,0.0003519877561150534,-7.625048716762255e-05
8,147,289.0,0.00035099651765243395,-5.327398413684397e-05,1.0389570425033785e-06,0.00035099718516957225,-5.327465165398226e-05
9,147,290.0,0.00035099651765243395,-7.602610887517075e-05,1.8522940908893316e-06,0.00035099852631488365,-7.602811753762041e-05
12,148,290.0,0.0003633392113136405,-7.602610887517075e-05,1.8522940908893316e-06,0.00036334116354905634,-7.602806111058657e-05
13,148,291.0,0.0003633392113136405,-9.42103474732554e-05,2.5556183400161307e-06,0.0003633427798528493,-9.42139160124642e-05
14,148,370.0,0.0003640023456321997,-9.42103474732554e-05,-1.4589521595412226e-05,0.00036411844903984196,-9.432645088089769e-05
