,Element,NID,S1,S2,S12,S_max,S_min
0,145,287,3821.5496533425817,1261.111385603052,0.0,3821.5496533425817,1261.111385603052
1,145,288,3713.532539860744,933.7867992944527,1.473027804148607,3713.5327350054586,933.7866041497382
2,145,367,3717.678372474711,935.1549240570619,-101.91471671376094,3718.6112602434014,934.2220362883718
3,145,366,3825.695485956549,1262.479510365661,-103.38774451790961,3826.737602753239,1261.4373935689712
4,146,288,3921.513589030767,1002.4205455205604,1.473027804148607,3921.5137748599564,1002.4203596913715
5,146,289,3818.431373419735,690.0501951840989,4.179243867961655,3818.432769195259,690.0487994085747
6,146,368,3826.04801595091,692.5636872193867,-94.48516644917565,3826.760116076219,691.8515870940778
7,146,367,3929.1302315619423,1004.9340375558481,-97.19138251298826,3929.9375950957783,1004.1266740220128
8,147,289,4003.5378825480147,751.1353431964313,4.179243867961655,4003.539225099551,751.1340006448954
9,147,290,3913.3820460959478,477.9358387962285,7.450918287698017,3913.386086045542,477.93179884663414
10,147,369,3922.590164553336,480.97451788716637,-78.84104310110544,3923.041630915928,480.52305152457393
11,147,368,4012.746001005403,754.1740222873692,-82.11271752084137,4013.2632082674554,753.6568150253172
15,148,369,4069.5515330857233,529.4717695028543,-61.51652840907368,4069.818758535603,529.2045440529741
14,148,370,3997.4959946429603,311.12165300963284,-58.687396430397044,3997.729556943965,310.8880907086286
12,148,290,4061.5889438293643,526.844115048256,7.450918287698017,4061.5928702882993,526.8401885893211
13,148,291,3989.5334053866013,308.4939985550345,10.28005026637465,3989.5405826547412,308.48682128689484
16,149,291,4095.0588930836634,343.317409495065,10.28005026637465,4095.065935095725,343.31036748300335
17,149,292,4042.2479199686286,183.28415763132307,11.933066544433288,4042.257145096507,183.2749325034447
18,149,371,4046.90032963645,184.8194528217041,-38.61454781185557,4046.9968479440113,184.72293451414293
19,149,370,4099.711302751484,344.85270468544604,-40.26756408991421,4099.819258221567,344.74474921536284
20,150,292,4107.822154835013,204.92365513722984,11.933066544433288,4107.831276116567,204.91453385567593
21,150,293,4072.1808661669984,96.91975008264126,12.220091291414914,4072.1902573915013,96.91035885813858
22,150,372,4072.9886970436974,97.18633427195186,-21.89371494109445,4073.0188375710914,97.15619374455741
23,150,371,4108.629985711712,205.19023932654045,-22.180739688075203,4108.661495179879,205.1587298583736
27,151,372,4103.585723796576,107.28335310040165,-8.937647259278256,4103.590721005948,107.2783558910296
24,151,293,4105.856009687414,108.03254744437845,12.220091291414914,4105.865347911311,108.02320922048193
25,151,294,4083.7509105932827,41.047398674281794,11.413451867008028,4083.7589662560067,41.03934301155732
26,151,373,4081.480624702444,40.298204330305,-9.744286683685141,4081.4864986630255,40.29233036972346
31,152,373,4090.999504649177,43.439434712727234,-0.4198317656352909,4090.999515535903,43.43942382600085
30,152,374,4078.636381149866,5.975424108752804,-1.883236122462701,4078.6365988563075,5.975206402311187
28,152,294,4095.1182575344615,44.79862316487106,11.413451867008028,4095.126298049574,44.79058264975879
29,152,295,4082.75513403515,7.33461256089663,9.950047510180617,4082.7612072303823,7.32853936566471
