,Element,NID,S1,S2,S12,S_max,S_min
0,145,287,3821.5497234076,1261.111408724508,0.0,3821.5497234076,1261.1114087245078
1,145,288,3713.532679573638,933.7870334700759,1.4730309043756324,3713.5328747191807,933.7868383245332
2,145,367,3717.6785209131854,935.1551611121266,-101.91464695060917,3718.6114074348243,934.2222745904874
3,145,366,3825.6955647471477,1262.4795363665587,-103.38767785498469,3826.737680179055,1261.4374209346515
4,146,288,3921.5135585946573,1002.4207235470125,1.4730309043756324,3921.513744424642,1002.4205377170276
5,146,289,3818.4314294370893,690.0506351907462,4.179254937060423,3818.4328252201785,690.0492394076573
6,146,368,3826.048094396648,692.5641346274007,-94.4850726317576,3826.7601931919544,691.8520358320948
7,146,367,3929.130223554216,1004.9342229836669,-97.19129666444218,3929.9375857155446,1004.1268608223381
8,147,289,4003.5377026995793,751.1357053673677,4.179254937060423,4003.5390452584506,751.1343628084962
9,147,290,3913.381982654753,477.9365537163791,7.450943510036056,3913.386022632614,477.93251373851786
10,147,369,3922.590140946392,480.9752459526202,-78.84090646047783,3923.041605842881,480.52378105613093
11,147,368,4012.7458609912183,754.1743976036088,-82.11259503345346,4013.2630667922504,753.6571918025766
15,148,369,4069.5511949598,529.4723937770447,-61.51635361697492,4069.8184189638523,529.2051697729919
14,148,370,3997.4958127839454,311.1227508199088,-58.68719847348005,3997.7293735904736,310.8891900133808
12,148,290,4061.588540506082,526.844717807318,7.450943510036056,4061.592466992718,526.8407913206822
13,148,291,3989.5331583302277,308.49507485018216,10.280098653530924,3989.5403356685133,308.4878975118968
16,149,291,4095.0581625583436,343.3183262454602,10.280098653530924,4095.0652046397895,343.3112841640145
17,149,292,4042.24739446872,183.28569567084287,11.93315110260183,4042.256619732271,183.27647040729198
18,149,371,4046.8999059397565,184.82102445628516,-38.61426701520066,4046.9964228935,184.72450750254166
19,149,370,4099.71067402938,344.8536550309025,-40.267319464271566,4099.818628233242,344.74570082704145
23,150,371,4108.628939953412,205.1916056807911,-22.180404738501544,4108.66044848942,205.1600971447831
20,150,292,4107.820956506583,204.92497114333764,11.93315110260183,4107.8300779232795,204.91584972664032
21,150,293,4072.1799294415187,96.9218588249621,12.220230058210374,4072.189320886503,96.9124673799779
22,150,372,4072.9879128883476,97.18849336241556,-21.89332578289387,4073.018052366582,97.15835388418054
27,151,372,4103.584092954746,107.28523278432704,-8.937199382474246,4103.589089667687,107.28023607138562
26,151,373,4081.4793168113556,40.301062652842575,-9.743760531059845,4081.4851901436696,40.29518932052906
24,151,293,4105.854158538374,108.03435442692444,12.220230058210374,4105.863496982899,108.02501598239928
25,151,294,4083.7493823949835,41.050184295439976,11.413668909624775,4083.7574383726856,41.042128317737934
28,152,294,4095.1155183967967,44.80100917603818,11.413668909624775,4095.123559227889,44.79296834494562
29,152,295,4082.7527771159544,7.338156809849124,9.950373822355655,4082.758850718328,7.33208320747508
