,Element,NID,S1,S2,S12,S_max,S_min
0,1,104,1885.909173842041,-50.10445202660071,86.69142088073029,1886.879161714035,-51.07443989859496
1,1,105,1892.581120393118,-29.88643217485162,6.889782524060684,1892.5872933127525,-29.892605094486157
2,1,265,1674.3171793939819,-99.74505032840705,3.5133079192387275,1674.3189188087874,-99.74678974321273
3,1,266,1654.1988921001384,-124.02129519965206,82.0222035423669,1655.144228801978,-124.96663190149161
4,2,103,1738.790447982437,-88.08711749967847,-81.46012413153741,1739.698069932373,-88.99473944961449
5,2,104,1734.8773634352535,-99.94494946084046,79.36607950099358,1735.7352163843343,-100.80280240992136
6,2,266,2324.092675376416,92.61626209287249,103.09677078114841,2325.2828378777026,91.42609959158608
7,2,267,2329.278353527249,108.26640616721454,-109.05812261188989,2330.6163149864715,106.92844470799173
11,3,262,1670.8188947208778,-73.84433846949935,-11.57414676394832,1670.8380903164634,-73.86353406508488
10,3,267,1644.890430494486,-115.30341791351316,-90.12291107663157,1646.0432613364508,-116.45624875547787
8,3,102,1887.4168040211682,-5.74683995169471,-7.96709971608078,1887.4251860748082,-5.755222005334531
9,3,103,1875.0872322354912,-43.10917869617049,-86.70850136452931,1876.0666063328943,-44.088552793573626
12,4,266,1681.795330324178,-121.9495890142415,-91.4814039326542,1682.9545120309294,-123.1087707209931
13,4,265,1681.5895841481374,-88.39048605832659,-19.430854185743435,1681.6429105564284,-88.44381246661771
14,4,263,1835.6293704496927,-33.2327478392225,-1.2007202329909128,1835.629563311557,-33.232940701086704
15,4,264,1851.0258477651287,-54.65651104587346,-57.10415528166598,1851.4535361553164,-55.084199436061226
8166,5,264,2317.9947030108005,74.10438369308872,-6.817727019247602,2317.999881661249,74.09920504263982
8165,5,266,2317.9947030108005,74.10438369308872,-6.817727019247602,2317.999881661249,74.09920504263982
8164,5,267,2317.9947030108005,74.10438369308872,-6.817727019247602,2317.999881661249,74.09920504263982
19,6,261,1833.9009824390582,-8.919486767649573,-14.64903527252899,1833.9300941794622,-8.948598508053578
17,6,267,1666.9100209901108,-131.31549760272094,82.84551707954333,1667.8637030493644,-132.26917966197448
16,6,262,1676.1167317423347,-67.91007802446507,9.738254224838277,1676.1303256927881,-67.92367197491842
18,6,264,1841.8144827508233,-53.35095076156381,40.7811916602961,1842.0338452777241,-53.570313288464604
23,7,263,1802.8086480908155,-55.36388549388107,-26.13493564366973,1802.9005395961199,-55.45577699918533
21,7,259,1775.6302485648548,-77.17030599391649,-14.014677739220057,1775.656750119801,-77.1968075488627
20,7,265,1781.804302009936,-59.72981304032487,-22.22150100530467,1781.8713354046731,-59.79684643506209
22,7,260,1795.8794017201642,-71.80988244951436,-18.29030240094004,1795.9241799314545,-71.85466066080471
27,8,265,1777.7135963958276,-68.82174380595939,-1.0856720466750711,1777.713755976268,-68.82190338639975
24,8,105,1795.5222347679228,-61.915864431165915,2.6341805964185383,1795.5231687026699,-61.91679836591311
26,8,259,1775.1715547619026,-77.42912636912183,-6.7975060301054,1775.1777900414727,-77.43536164869192
25,8,106,1792.4926326704935,-71.09647684761853,-3.4406318175717945,1792.4942207267281,-71.09806490385313
31,9,255,1787.4008909070221,-52.75780257827603,-6.027364382444943,1787.4058264900357,-52.76273816128946
28,9,261,1823.4354412291277,-36.965315933104876,-19.112114696600834,1823.4845251818501,-37.0143998858274
30,9,254,1796.1640535231666,-16.1578815532755,-17.41149556434348,1796.2058718636094,-16.199699893718503
29,9,264,1829.5203527773756,-5.513034677381938,-28.528776200435612,1829.6312284027786,-5.623910302784907
35,10,254,1802.6531000461887,-13.683756825823593,-7.062892383405106,1802.6599660991542,-13.690622878788986
32,10,264,1840.6584053329536,-0.5392521321894037,11.790059147105788,1840.6772794702842,-0.5581262695201303
34,10,253,1786.0323929307017,-75.02614284776541,-19.264458203497252,1786.0822448566194,-75.07599477368308
33,10,263,1827.333831275085,-56.481164619203696,1.5267989743077899,1827.3341406359737,-56.481473980092346
39,11,253,1803.4156589975614,-70.11582572846305,-21.988262963692133,1803.4801717992536,-70.18033853015538
36,11,263,1796.6187657940627,-72.62346642238958,-23.252608035641888,1796.6910762276632,-72.69577685599006
38,11,252,1804.3600828649412,-66.69220594155115,-19.52556803615053,1804.4110217711286,-66.74314484773879
37,11,260,1797.16757380456,-69.5335619035643,-21.003139737463364,1797.2266510063052,-69.59263910530944
43,12,258,1761.8971731358295,-33.374948297815195,-2.300476633853916,1761.8979100980018,-33.37568525998768
40,12,101,1777.8947961458218,-28.872538505657303,1.989587004907473,1777.895343872025,-28.87308623186061
42,12,262,1756.9819361420878,-47.413996561567615,-7.886442885771452,1756.9905533866786,-47.42261380615855
41,12,102,1773.074387510632,-43.47983740017173,-3.7715794110694034,1773.0763451725243,-43.48179506206395
47,13,257,1785.3112867992677,-29.595625426899346,0.11651281094184833,1785.3112886692306,-29.595627296862403
44,13,258,1760.559336062358,-38.18565952336098,2.5280241925669724,1760.5602243071032,-38.186547768106266
46,13,261,1785.669601988184,-33.99407267347533,8.789130668764066,1785.680214988878,-34.00468567416954
45,13,262,1759.3132414381716,-43.427626212166956,11.908958487801037,1759.3329089549463,-43.44729372894176
48,14,257,1783.8640434086196,-34.69082157685648,1.1214899158022036,1783.8642163123268,-34.690994480563745
49,14,261,1776.4068737855669,-59.7565042487073,4.426933510813898,1776.4095420818721,-59.75917254501246
50,14,255,1788.4576199180456,-53.111830634415014,-3.9893196830894246,1788.459780392208,-53.11399110857735
51,14,256,1796.6593643159754,-27.302682337532815,-7.78454584186498,1796.6676702560744,-27.31098827763185
54,15,239,1800.8967848046843,-80.97435869602407,-26.05537584506064,1800.986967663508,-81.06454155484789
53,15,238,1800.2041154872895,-79.9826507804512,-22.55199905552949,1800.27173833986,-80.05027363302156
52,15,260,1804.0784427715005,-68.26749501642371,-23.004437304675225,1804.1491006764936,-68.33815292141696
55,15,252,1804.6919921746426,-69.642968106068,-26.658845897359782,1804.7867802115397,-69.73775614296528
57,16,237,1795.2055034999084,-84.59979996196364,-14.510202709591578,1795.2335041186623,-84.62780058071735
58,16,238,1798.7800856985946,-84.09531124369278,-19.14194362249896,1798.8287352984444,-84.14396084354257
59,16,260,1803.4724472762828,-69.95292135068041,-20.467350102622405,1803.5283475442998,-70.0088216186972
56,16,259,1800.1206928928123,-69.81249346352377,-15.907955516143193,1800.154525447898,-69.84632601860972
60,17,106,1800.515918466845,-68.44879253482259,-3.225677586590886,1800.5173102785902,-68.45018434656777
61,17,107,1794.8678754289847,-85.56407446773233,-3.2756168787795654,1794.8693019174302,-85.56550095617797
62,17,237,1794.504475434398,-86.27436699867133,-8.845639417854924,1794.5148760331094,-86.28476759738271
63,17,259,1799.9268054111753,-69.83925277934713,-8.851969303683799,1799.9372822461187,-69.84972961429048
66,18,256,1782.3392649523828,-34.25469006803053,-1.2670295416309165,1782.3394858828306,-34.25491099847852
65,18,257,1773.5761904310739,-38.46916913389043,2.6171594899710042,1773.5771354295239,-38.4701141323402
64,18,229,1777.04631042516,-27.775662836651804,-0.2063216168494269,1777.046316321671,-27.775668733162547
67,18,228,1785.403199506854,-23.797671169604428,-3.904611701314749,1785.4053062346131,-23.799777897363583
68,19,230,1770.7346896613547,-26.874127004461798,2.075029335692533,1770.7352884770244,-26.874725820131516
69,19,258,1767.6358510507139,-36.47756738148644,4.646030844558589,1767.63884221061,-36.48055854138261
70,19,257,1775.3107212584912,-33.132357812348346,1.338963336347668,1775.310969099105,-33.13260565296207
71,19,229,1778.2710820035497,-24.00722353288154,-1.1097872690461235,1778.2712528467073,-24.007394376038974
72,20,100,1769.4739825392312,-25.51230258144551,1.5884381048460094,1769.4743339534925,-25.512653995706955
73,20,101,1767.2004953248359,-32.40165777658274,2.2153658489704884,1767.2011771205284,-32.402339572275196
74,20,258,1769.1957655891042,-31.360057332444512,-0.10943474196613064,1769.1957672519188,-31.360058995259237
75,20,230,1771.381390565394,-24.687227211188087,-0.6945024074424573,1771.3814577028033,-24.687294348597334
76,21,252,1806.600371069888,-62.36240569421955,-23.16862038493478,1806.672170834494,-62.43420545882566
