,NID,U1,U2
0,287,0.0,0.0
1,288,4.82212407247988e-05,0.0
2,289,9.906680093560323e-05,0.0
3,290,0.00015224811045486694,0.0
4,291,0.00020729948986076955,0.0
5,292,0.0002636824456733681,0.0
6,293,0.0003208927868999379,0.0
7,294,0.00037852803765080304,0.0
8,295,0.0004363066712969097,0.0
9,296,0.0004940546402845306,0.0
10,297,0.0005516791873106121,0.0
11,298,0.0006091407745620937,0.0
12,299,0.0006664341523118871,0.0
13,300,0.0007235717537142502,0.0
14,301,0.0007805742027279513,0.0
15,302,0.0008374643482337636,0.0
16,303,0.0008942640518393833,0.0
17,304,0.0009509932329112178,0.0
18,305,0.0010076683315026198,0.0
19,306,0.0010643054405095843,0.0
20,307,0.001120920434185976,0.0
21,308,0.00117753165790477,0.0
22,309,0.0012341629691045568,0.0
23,310,0.0012908475795613784,0.0
24,311,0.0013476331100204812,0.0
25,312,0.0014045854640371421,0.0
26,313,0.0014617965720259826,0.0
27,314,0.0015193871078769481,0.0
28,315,0.0015775070863535568,0.0
29,316,0.0016363282678484232,0.0
30,317,0.0016960260173546147,0.0
31,318,0.0017567502481563569,0.0
32,319,0.001818602192164081,0.0
33,320,0.0018816269841440995,0.0
34,321,0.0018803787022685541,-2.325903447502466e-05
35,322,0.0018766365680742945,-4.628527055462318e-05
36,323,0.0018704733280851251,-6.882728337334088e-05
37,324,0.001862037711725202,-9.05997305757316e-05
38,325,0.0018515844156324324,-0.00011122097788618259
39,326,0.0018395583142505397,-0.0001300674579094903
40,327,0.0018272750984744054,-0.0001449600481172116
41,328,0.001785913273119625,-0.00014343734370536005
42,329,0.0017371765220155074,-0.00013974400460253235
43,330,0.0016848752027664841,-0.00013615641864195247
44,331,0.001630634318394698,-0.00013306347952840944
45,332,0.0015752443871503174,-0.00013052079419482461
46,333,0.0015191616298956326,-0.00012850422983626923
47,334,0.0014626698121806027,-0.00012695359867132837
48,335,0.0014059498083611082,-0.0001257963754281886
49,336,0.001349116100254807,-0.0001249594402364473
50,337,0.0012922387968762592,-0.000124375902079638
51,338,0.00123536007336524,-0.00012398850949252478
52,339,0.0011785023688136507,-0.00012375082301201498
53,340,0.0011216773595400728,-0.00012362699942981893
54,341,0.0010648910111558212,-0.00012359067639582873
55,342,0.001008147610389616,-0.00012362332599145535
56,343,0.0009514528899174027,-0.0001237122375438919
57,344,0.0008948162421684505,-0.0001238481403880397
58,345,0.0008382545281939602,-0.00012402233380397776
59,346,0.0007817920334542928,-0.00012422309216973785
60,347,0.0007254640814868144,-0.00012443096701478726
61,348,0.0006693185837005252,-0.00012461253674655038
62,349,0.0006134174614131889,-0.0001247120352168025
63,350,0.0005578370055544905,-0.0001246401949722437
64,351,0.000502665911776646,-0.00012425951778798327
65,352,0.000448001815219114,-0.00012336496335103297
66,353,0.0003939387619847085,-0.00012165860512398437
67,354,0.00034054965604995546,-0.0001187149529610198
68,355,0.00028785121268578065,-0.00011393353877523804
69,356,0.00023574254517820946,-0.00010644804807486345
70,357,0.00018385000937148774,-9.503529782218231e-05
71,358,0.000131216517557036,-7.741593502586117e-05
72,359,7.42522832295515e-05,-5.1446388498508607e-05
73,360,0.0,0.0
74,361,0.0,0.0
75,362,0.0,0.0
76,363,0.0,0.0
77,364,0.0,0.0
78,365,0.0,0.0
79,366,0.0,0.0
80,367,4.827355398958987e-05,-3.8942409886340626e-06
81,368,9.92152231025068e-05,-7.610568031520959e-06
82,369,0.0001525127234395755,-1.0860870968506916e-05
83,370,0.0002076645775275628,-1.3458618821497106e-05
84,371,0.0002641062398968755,-1.536255806808335e-05
85,372,0.0003213267764735618,-1.6647492298364094e-05
86,373,0.00037893338300458836,-1.7444416545495075e-05
87,374,0.0004366600491285859,-1.7890120382766025e-05
88,375,0.0004943469660694056,-1.8100864013989487e-05
89,376,0.0005519112007656229,-1.816477071619971e-05
90,377,0.0006093188272551733,-1.814396074247688e-05
