,Element,NID,S1,S2,S12,S_max,S_min
0,145,287,3821.549653646445,1261.111385703327,0.0,3821.549653646445,1261.111385703327
1,145,288,3713.532627650133,933.7870645023809,1.4730334276998396,3713.53282279635,933.7868693561638
2,145,367,3717.678476091569,935.1551944880548,-101.91462735411572,3718.6113622807707,934.222308298853
3,145,366,3825.6955020878813,1262.479515689001,-103.38766078181564,3826.737617192799,1261.4374005840837
4,146,288,3921.513468580394,1002.4207420093669,1.4730334276998396,3921.513654411023,1002.4205561787387
5,146,289,3818.43135295544,690.050694661022,4.179260858782143,3818.4327487425453,690.0492988739168
6,146,368,3826.0480274797837,692.5641972540553,-94.48505375739033,3826.7601260200827,691.8520987137565
7,146,367,3929.1301431047377,1004.9342446024002,-97.19128118847263,3929.937505037187,1004.1268826699511
11,147,368,4012.745757862295,754.1744482802841,-82.11257847528915,4013.262963479173,753.6572426634054
10,147,369,3922.5900489301766,480.97533030416787,-78.84088572823156,3923.0415136123897,480.5238656219549
8,147,289,4003.5375878227164,751.1357521672231,4.179260858782143,4003.538930385459,751.1344096044804
9,147,290,3913.3818788905983,477.9366341911069,7.450953605839739,3913.385918879624,477.9325942020812
12,148,290,4061.588394406799,526.844784311453,7.450953605839739,4061.5923209043112,526.8408578139406
13,148,291,3989.5330208633086,308.49516751299825,10.280113717042394,3989.540198223077,308.48799015323016
14,148,370,3997.4956892986347,311.1228480966563,-58.687175147561945,3997.729249933497,310.8892874617943
15,148,369,4069.5510628421252,529.4724648951111,-61.51633525876459,4069.818286702035,529.2052410352019
19,149,370,4099.7105066336135,344.8537378171991,-40.26730012495033,4099.818460740975,344.74578370983704
16,149,291,4095.0579788867,343.3184036607174,10.280113717042394,4095.0650209892733,343.31136155814374
17,149,292,4042.247215264343,183.28578662327163,11.933171948986752,4042.256440560772,183.2765613268432
18,149,371,4046.8997430112568,184.8211207797533,-38.614241893005975,4046.996259845895,184.7246039451145
23,150,371,4108.628732461009,205.1916872981717,-22.18038681730212,4108.660240948436,205.16017881074572
22,150,372,4072.9877023397808,97.18856571869196,-21.893301371238124,4073.017841752948,97.15842630552447
20,150,292,4107.820730746799,204.92504673248231,11.933171948986752,4107.82985219607,204.9159252832119
21,150,293,4072.1797006255706,96.92192515300258,12.220257395051622,4072.18909211327,96.91253366530304
24,151,293,4105.8538905192345,108.03440781791141,12.220257395051622,4105.863229006291,108.02506933085488
25,151,294,4083.749098373252,41.05018919372219,11.41370306137425,4083.757154399739,41.04213316723485
26,151,373,4081.479051970178,40.30107388070792,-9.743741696077842,4081.484925280186,40.29520057069999
27,151,372,4103.58384411616,107.28529250489714,-8.93718736240047,4103.588840816047,107.28029580501038
28,152,294,4095.115216094066,44.801008041590876,11.41370306137425,4095.1232569738754,44.79296716178169
29,152,295,4082.752437714063,7.338043253703745,9.950414279577556,4082.7585113661626,7.331969601603987
30,152,374,4078.6340101147994,5.978962145946753,-1.8825390243511502,4078.6342276604146,5.9787446003317655
31,152,373,4090.9967884948023,43.441926933833884,-0.4192502425544562,4090.9967993514038,43.44191607723201
33,153,296,4074.4766520112735,-11.177736473294772,8.231324559800415,4074.480797897637,-11.181882359657948
35,153,374,4075.4838276499745,4.939401932554574,4.355378948576372,4075.484992685801,4.938236896728085
32,153,295,4080.3222072204258,6.536067190803351,9.950414279577556,4080.3282833001003,6.529991111128538
34,153,375,4069.638272440822,-12.774401731543549,2.636289228799231,4069.638698048222,-12.774827338943396
36,154,296,4064.665254539619,-14.415497638940451,8.231324559800415,4064.669407107265,-14.419650206586766
37,154,297,4062.8925802568037,-19.78723788989646,6.53306274163822,4062.8951937902775,-19.78985142337001
38,154,376,4058.112852380498,-21.36454808907729,4.836370224289455,4058.1142858036083,-21.36598151218709
39,154,375,4059.8855266633136,-15.99280783812128,6.53463204245165,4059.888145815861,-15.995426990668648
42,155,377,4046.308854033384,-23.7014626434202,5.566033481163927,4046.310757020835,-23.703365630871076
40,155,297,4050.008135323439,-24.039104717907094,6.53306274163822,4050.0107543947724,-24.041723789240677
41,155,298,4050.585257551099,-22.29024948257438,5.013644676588941,4050.5868004796375,-22.291792411113192
43,155,376,4045.731731805724,-25.450317878752912,7.085451546214952,4045.7348146686973,-25.453400741726227
47,156,377,4033.6791098974454,-27.86927820827964,6.716341805328234,4033.681886499624,-27.872054810458167
46,156,378,4035.4580459508707,-22.478562894869583,5.445912299372726,4035.459873107766,-22.480390051764516
44,156,298,4037.2547348905027,-26.68932196057085,5.013644676588941,4037.2562812099786,-26.69086828004697
45,156,299,4039.033670943928,-21.298606647160796,3.7432151706334325,4039.034533660073,-21.29946936330566
48,157,299,4026.6886535906424,-25.372462373745066,3.7432151706334325,4026.689518067783,-25.373326850885633
49,157,300,4028.9437050047504,-18.538973240084033,2.7362531834701276,4028.9441674576638,-18.539435692997586
50,157,379,4026.1096095815387,-19.474224729744037,4.894661047858377,4026.1110900661233,-19.4757052143284
51,157,378,4023.8545581674307,-26.30771386340507,5.901623035021681,4023.8567080279563,-26.309863723930675
55,158,379,4016.093972167852,-22.779385076260724,4.935551019448376,4016.0954799927213,-22.780892901130073
52,158,300,4018.233411906363,-22.07336996255208,2.7362531834701276,4018.2338751806283,-22.073833236817563
53,158,301,4020.5311841564044,-15.110423750305245,1.9761042933282535,4020.531426062669,-15.110665656569608
54,158,380,4018.3917444178933,-15.81643886401389,4.175402129306502,4018.3928248020406,-15.817519248161261
