,Element,NID,E1,E2,E12,E_max,E_min
0,1163,1311.0,0.00031826008681854157,0.0,0.0,0.00031826008681854157,0.0
1,1163,1312.0,0.00031826008681854157,-2.7259706692810557e-05,3.6619223561882436e-07,0.0003182601838438917,-2.72598037181607e-05
2,1163,1391.0,0.0003186053535694882,-2.7259706692810557e-05,-2.5335800996647672e-05,0.0003190687163556635,-2.7723069478985857e-05
3,1163,1390.0,0.0003186053535694882,0.0,-2.5701993232266514e-05,0.00031912285994323167,-5.175063737434822e-07
4,1164,1312.0,0.0003355808204810311,-2.7259706692810557e-05,3.6619223561882436e-07,0.00033558091287473385,-2.725979908651334e-05
5,1164,1313.0,0.0003355808204810311,-5.327401708077768e-05,1.0389532732266041e-06,0.0003355815144559243,-5.327471105567093e-05
6,1164,1392.0,0.0003362151380561482,-5.327401708077768e-05,-2.3488826073682443e-05,0.00033656895035776854,-5.3627829382397985e-05
7,1164,1391.0,0.0003362151380561482,-2.7259706692810557e-05,-2.4161587111290223e-05,0.00033661622414227427,-2.7660792778936617e-05
11,1165,1392.0,0.0003517634084206308,-5.327401708077768e-05,-2.041305524691202e-05,0.0003520204393384695,-5.3531047998616366e-05
10,1165,1393.0,0.0003517634084206308,-7.602616143573452e-05,-1.9599721668929178e-05,0.00035198778725844176,-7.62505402735455e-05
8,1165,1313.0,0.0003509965515225556,-5.327401708077768e-05,1.0389532732266041e-06,0.00035099721903474024,-5.327468459296228e-05
9,1165,1314.0,0.0003509965515225556,-7.602616143573452e-05,1.852286851209339e-06,0.0003509985601688971,-7.602817008207607e-05
12,1166,1314.0,0.0003633392654002572,-7.602616143573452e-05,1.852286851209339e-06,0.00036334121761993866,-7.602811365541604e-05
13,1166,1315.0,0.0003633392654002572,-9.421042383388934e-05,2.555606160438255e-06,0.000363342833904435,-9.421399233806716e-05
14,1166,1394.0,0.00036400239506119815,-9.421042383388934e-05,-1.4589556215057267e-05,0.0003641184989878508,-9.432652776054197e-05
15,1166,1393.0,0.00036400239506119815,-7.602616143573452e-05,-1.5292875524286183e-05,0.0003641352281806621,-7.61589945551985e-05
19,1167,1394.0,0.0003725149083037601,-9.421042383388934e-05,-1.0010415193548996e-05,0.0003725685784623653,-9.42640939924945e-05
16,1167,1315.0,0.0003721274503298189,-9.421042383388934e-05,2.555606160438255e-06,0.00037213095158619003,-9.421392509026047e-05
17,1167,1316.0,0.0003721274503298189,-0.00010753803050274692,2.9665466906132146e-06,0.00037213203702381095,-0.000107542617196739
18,1167,1395.0,0.0003725149083037601,-0.00010753803050274692,-9.599474663374036e-06,0.00037256289296141705,-0.00010758601516040384
23,1168,1395.0,0.00037765575497720224,-0.00010753803050274692,-5.5140546679419145e-06,0.0003776714207885339,-0.00010755369631407859
22,1168,1396.0,0.00037765575497720224,-0.00011653260734143115,-5.442695147587096e-06,0.0003776707401703513,-0.00011654759253458023
20,1168,1316.0,0.00037758847314103405,-0.00010753803050274692,2.9665466906132146e-06,0.00037759300820401984,-0.00010754256556573272
21,1168,1317.0,0.00037758847314103405,-0.00011653260734143115,3.037906210967816e-06,0.0003775931424353133,-0.0001165372766357104
