,Element,NID,S1,S2,S12,S_max,S_min
0,1163,1311,3821.549690223763,1261.1113977738416,0.0,3821.549690223763,1261.1113977738414
1,1163,1312,3713.5326053485364,933.786898151944,1.4730289177148197,3713.532800493548,933.7867030069317
2,1163,1391,3717.6784410966334,935.1550239488159,-101.91468821959778,3718.611328354326,934.2221366911231
3,1163,1390,3825.6955259718598,1262.4795235707136,-103.38771713731266,3826.737642205907,1261.4374073366664
4,1164,1312,3921.513584126045,1002.420621148522,1.4730289177148197,3921.51376995552,1002.4204353190469
5,1164,1313,3818.431404819669,690.0503808261695,4.179248129144611,3818.432800598108,690.0489850477304
6,1164,1392,3826.0480562098087,692.5638757849155,-94.48512743924893,3826.760155780932,691.8517762137917
7,1164,1391,3929.1302355161847,1004.9341161072679,-97.19134665067871,3929.9375984749568,1004.1267531484957
11,1165,1392,4012.7459497121804,754.1741806406984,-82.1126658428416,4013.2631563565874,753.6569739962913
10,1165,1393,3922.5901628001025,480.97482636167445,-78.84098566073015,3923.041628545626,480.52336061615097
8,1165,1313,4003.5378150366055,751.1354961977587,4.179248129144611,4003.5391575909703,751.1341536433943
9,1165,1314,3913.3820281245276,477.93614191873473,7.450928311255612,3913.386068085369,477.93210195789334
12,1166,1314,4061.58878212678,526.8443707394778,7.450928311255612,4061.5927085967433,526.8404442695148
13,1166,1315,3989.5333107679153,308.49445753079567,10.280069893492229,3989.540488064541,308.4872802341697
14,1166,1394,3997.495927053482,311.1221209050327,-58.687312594403295,3997.7294887211565,310.8885592373583
15,1166,1393,4069.5513984123468,529.4720341137148,-61.51645417663991,4069.818623247486,529.2048092785758
19,1167,1394,4099.711045104669,344.8531098619246,-40.26745961314822,4099.819000033631,344.74515493296394
16,1167,1315,4095.058592718661,343.31780057454216,10.280069893492229,4095.0656347589106,343.31075853429275
17,1167,1316,4042.2477082525675,183.28481734395518,11.933101349459172,4042.2569334363425,183.27559216018017
18,1167,1395,4046.9001606385755,184.82012663133764,-38.61442815718127,4046.9966783690525,184.72360890085997
23,1168,1395,4108.629550612574,205.1908253227573,-22.180595844728753,4108.6610596803075,205.1593162550248
22,1168,1396,4072.98837586519,97.18726548219934,-21.893548150068394,4073.0185159428493,97.15712540454001
20,1168,1316,4107.8216551496635,204.92421981999678,11.933101349459172,4107.830776486912,204.91509848274768
21,1168,1317,4072.180480402279,96.92065997943882,12.220149044118658,4072.189871718609,96.91126866310833
24,1169,1317,4105.855230328956,108.03332745524199,12.220149044118658,4105.864568644762,108.02398913943716
25,1169,1318,4083.7502730002543,41.04860827735888,11.413542991572976,4083.758328795292,41.04055248232112
26,1169,1397,4081.4800810344705,40.299444928650246,-9.74405986934678,4081.4859547241967,40.29357123892373
27,1169,1396,4103.585038363171,107.28416410653335,-8.937453816801096,4103.590035358103,107.27916711160219
31,1170,1397,4090.9984746762866,43.44051483044973,-0.41957844329129634,4090.998485549884,43.44050395685167
28,1170,1318,4095.1170956126653,44.79965973945468,11.413542991572976,4095.1251362605326,44.79161909158756
29,1170,1319,4082.7541415735996,7.336162651376753,9.950185516559978,4082.7602149410914,7.3300892838854
30,1170,1398,4078.635520637221,5.9770177423718,-1.882935918304294,4078.635738274391,5.976800105201619
35,1171,1398,4075.486136791642,4.937721073330522,4.354992377690654,4075.487301619525,4.936556245447036
34,1171,1399,4069.6404167087117,-12.77658220827584,2.6358144296642387,4069.64084216237,-12.777007661934249
33,1171,1320,4074.479044597663,-11.179835004922097,8.231007568533563,4074.4831901601565,-11.183980567415574
32,1171,1319,4080.324764680593,6.534468276684265,9.950185516559978,4080.330840474691,6.528392482586696
39,1172,1399,4059.888594145456,-15.994683654150094,6.534204474377633,4059.8912129520904,-15.997302460784567
36,1172,1320,4064.6686289673085,-14.417272162938616,8.231007568533563,4064.672781209886,-14.421424405516746
37,1172,1321,4062.8958391558035,-19.78936250083234,6.532636691039976,4062.8984523449617,-19.791975689990522
38,1172,1400,4058.115804333951,-21.366773992043818,4.835833596884046,4058.117237437164,-21.36820709525682
42,1173,1401,4046.3127964426485,-23.703366961268557,5.565476996557203,4046.314699046869,-23.705269565488834
43,1173,1400,4045.7356761648807,-25.452216287837246,7.085023629288631,4045.7387586510704,-25.45529877402737
40,1173,1321,4050.0124415364608,-24.040883715215614,6.532636691039976,4050.0150602622907,-24.043502441045575
41,1173,1322,4050.5895618142285,-22.292034388646925,5.013090058306804,4050.5911043991173,-22.29357697353589
47,1174,1401,4033.683995928024,-27.870871131094418,6.715990750501905,4033.6867722355228,-27.873647438593025
46,1174,1402,4035.463144659538,-22.47951133862739,5.445419204121346,4035.4649714828493,-22.481338161938993
45,1174,1323,4039.039169425481,-21.299423165866074,3.7425185119262454,4039.04003181919,-21.300285559575514
44,1174,1322,4037.260020693967,-26.690782958333102,5.013090058306804,4037.2615666687825,-26.6923289331487
48,1175,1323,4026.6948310665052,-25.373054824328165,3.7425185119262454,4026.695695220452,-25.373918978274787
49,1175,1324,4028.950462045068,-18.537809434744076,2.735414887831604,4028.9509242140266,-18.538271603702697
50,1175,1403,4026.115967984566,-19.473192474709776,4.894377478588077,4026.117448295665,-19.47467278580848
51,1175,1402,4023.860337006003,-26.308437864293865,5.901481102682719,4023.862486759671,-26.3105876179618
52,1176,1324,4018.2401521132106,-22.072211712257285,2.735414887831604,4018.240615103017,-22.072674702063523
53,1176,1325,4020.539092210128,-15.105726570084698,1.9751509812706893,4020.5393338828553,-15.105968242812196
54,1176,1404,4018.399328757796,-15.811848509353922,4.175566614326228,4018.400409226264,-15.812928977821684
55,1176,1403,4016.1003886608787,-22.77833365152651,4.9358305208871425,4016.1018966545266,-22.779841645174656
59,1177,1404,4010.1052508634184,-18.54889421449866,3.985321862227295,4010.106236477093,-18.549879828172834
58,1177,1405,4012.2054279256363,-12.184721298687009,3.440501501682055,4012.2061632574496,-12.185456630499857
57,1177,1326,4013.7388253229283,-11.678700157580579,1.4303306207254491,4013.7389523809047,-11.678827215556794
56,1177,1325,4011.6386482607104,-18.04287307339223,1.9751509812706893,4011.6388902910758,-18.043115103757373
60,1178,1326,4006.569247594427,-14.04466080798602,1.4303306207254491,4006.569374804206,-14.044788017764631
61,1178,1327,4008.3440649378585,-8.666426433950392,1.0644948596964463,4008.344135459786,-8.666496955877392
62,1178,1406,4007.3144198577043,-9.006209310401346,2.7632497918250785,4007.314895140258,-9.006684592955253
63,1178,1405,4005.5396025142727,-14.384443684436974,3.1290855528540815,4005.5402114296903,-14.385052599854362
64,1179,1327,4002.720627845995,-10.522160674265251,1.0644948596964463,4002.720698434129,-10.522231262399828
