,Element,NID,S1,S2,S12,S_max,S_min
0,145,287,3821.549653646127,1261.111385703222,0.0,3821.549653646127,1261.1113857032217
1,145,288,3713.5326276498236,933.7870645023031,1.4730334276998396,3713.532822796041,933.7868693560858
2,145,367,3717.678476091259,935.1551944879768,-101.91462735410722,3718.6113622804605,934.2223082987755
3,145,366,3825.6955020875625,1262.4795156888956,-103.38766078180701,3826.73761719248,1261.437400583978
4,146,288,3921.5134685800676,1002.4207420092837,1.4730334276998396,3921.5136544106963,1002.420556178655
5,146,289,3818.4313529551223,690.0506946609642,4.179260858781271,3818.4327487422274,690.0492988738592
6,146,368,3826.048027479465,692.5641972539972,-94.48505375738335,3826.7601260197634,691.852098713699
7,146,367,3929.1301431044103,1004.9342446023168,-97.19128118846457,3929.937505036859,1004.1268826698677
11,147,368,4012.745757861959,754.1744482802203,-82.1125784752826,4013.2629634788377,753.6572426633415
10,147,369,3922.5900489298483,480.9753303041268,-78.84088572822806,3923.041513612061,480.5238656219142
8,147,289,4003.5375878223836,751.1357521671603,4.179260858781271,4003.538930385126,751.1344096044174
9,147,290,3913.3818788902727,477.9366341910668,7.450953605836251,3913.3859188792985,477.9325942020412
12,148,290,4061.5883944064644,526.84478431141,7.450953605836251,4061.5923209039765,526.8408578138976
13,148,291,3989.5330208629807,308.4951675129746,10.280113717042394,3989.540198222749,308.4879901532063
14,148,370,3997.4956892983123,311.12284809663424,-58.687175147555834,3997.7292499331743,310.889287461772
15,148,369,4069.551062841796,529.4724648950696,-61.51633525876198,4069.8182867017053,529.2052410351603
19,149,370,4099.710506633273,344.8537378171711,-40.26730012494684,4099.818460740635,344.74578370980953
16,149,291,4095.0579788863556,343.31840366068855,10.280113717042394,4095.065020988929,343.3113615581151
17,149,292,4042.247215264003,183.2857866232555,11.933171948986752,4042.2564405604317,183.27656132682682
18,149,371,4046.8997430109202,184.82112077973807,-38.614241893002486,4046.996259845559,184.72460394509972
23,150,371,4108.62873246067,205.19168729815533,-22.180386817300377,4108.6602409480965,205.16017881072935
22,150,372,4072.9877023394447,97.18856571868537,-21.89330137123289,4073.017841752612,97.15842630551833
20,150,292,4107.820730746457,204.92504673246526,11.933171948986752,4107.829852195728,204.91592528319484
21,150,293,4072.179700625232,96.9219251529953,12.220257395053366,4072.189092112931,96.91253366529554
24,151,293,4105.853890518887,108.03440781790164,12.220257395053366,4105.863229005943,108.0250693308451
25,151,294,4083.7490983729067,41.050189193718325,11.413703061379485,4083.7571543993945,41.04213316723076
26,151,373,4081.479051969849,40.30107388070928,-9.74374169607261,4081.4849252798576,40.29520057070113
27,151,372,4103.583844115829,107.2852925048926,-8.937187362398726,4103.588840815716,107.28029580500584
28,152,294,4095.1152160937318,44.80100804159042,11.413703061379485,4095.123256973541,44.792967161781235
29,152,295,4082.75243771373,7.338043253707156,9.950414279574067,4082.7585113658297,7.331969601607625
30,152,374,4078.6340101144456,5.978962145943342,-1.8825390243528948,4078.634227660061,5.978744600328582
31,152,373,4090.996788494447,43.44192693382661,-0.41925024254747817,4090.996799351049,43.44191607722519
33,153,296,4074.4766520109406,-11.177736473289542,8.231324559795182,4074.480797897304,-11.181882359652946
35,153,374,4075.4838276496253,4.939401932552755,4.355378948572883,4075.4849926854517,4.938236896726266
32,153,295,4080.322207220092,6.536067190806762,9.950414279574067,4080.3282832997666,6.529991111132176
34,153,375,4069.638272440474,-12.774401731543549,2.6362892287939976,4069.6386980478737,-12.774827338943396
36,154,296,4064.665254539277,-14.415497638938632,8.231324559795182,4064.6694071069232,-14.419650206584947
37,154,297,4062.89258025646,-19.787237889898506,6.53306274163822,4062.8951937899337,-19.78985142337183
38,154,376,4058.1128523801754,-21.364548089072514,4.836370224289455,4058.1142858032854,-21.365981512182543
39,154,375,4059.8855266629926,-15.99280783811264,6.534632042446416,4059.88814581554,-15.995426990660008
42,155,377,4046.3088540330295,-23.70146264342452,5.56603348115695,4046.31075702048,-23.70336563087494
40,155,297,4050.0081353231044,-24.03910471790573,6.53306274163822,4050.0107543944378,-24.04172378923886
41,155,298,4050.5852575507647,-22.290249482571653,5.013644676581962,4050.5868004793037,-22.291792411110464
43,155,376,4045.7317318053692,-25.450317878758597,7.085451546214952,4045.7348146683426,-25.45340074173214
47,156,377,4033.679109897123,-27.869278208273727,6.7163418053247455,4033.681886499301,-27.872054810452255
46,156,378,4035.45804595055,-22.478562894858896,5.445912299379704,4035.459873107445,-22.480390051754057
44,156,298,4037.2547348901485,-26.689321960574944,5.013644676581962,4037.256281209625,-26.690868280051063
45,156,299,4039.0336709435755,-21.298606647160113,3.743215170636921,4039.03453365972,-21.299469363304752
48,157,299,4026.688653590311,-25.372462373737562,3.743215170636921,4026.689518067451,-25.373326850877902
49,157,300,4028.943705004417,-18.538973240081532,2.7362531834701276,4028.944167457331,-18.539435692995312
50,157,379,4026.1096095811845,-19.474224729748357,4.894661047854888,4026.1110900657686,-19.475705214332493
51,157,378,4023.8545581670783,-26.307713863404388,5.901623035021681,4023.8567080276034,-26.309863723929766
55,158,379,4016.0939721675177,-22.779385076258222,4.935551019448376,4016.0954799923875,-22.7808929011278
52,158,300,4018.233411906029,-22.073369962549577,2.7362531834701276,4018.2338751802945,-22.07383323681529
53,158,301,4020.531184156069,-15.110423750307064,1.9761042933282535,4020.5314260623336,-15.110665656571427
54,158,380,4018.3917444175577,-15.816438864015709,4.175402129306502,4018.392824801705,-15.81751924816308
59,159,380,4010.09879590559,-18.55311187296502,3.984295771584378,4010.09978101235,-18.554096979725045
58,159,381,4012.196904936582,-12.19520571844464,3.4395189575905736,4012.1976398481024,-12.195940629965207
56,159,301,4011.632070741085,-18.047131177251913,1.9761042933282535,4011.6323130052797,-18.047373441446325
57,159,302,4013.730179772077,-11.689225022731534,1.4313274793344488,4013.7303070071603,-11.689352257814562
62,160,382,4007.3056732324085,-9.025933895556136,2.760897618830237,4007.306147704857,-9.02640836800424
60,160,302,4006.564176824281,-14.054005995503985,1.4313274793344488,4006.5643042113015,-14.054133382524924
61,160,303,4008.335599598535,-8.686058194734414,1.0653917766176624,4008.3356702391557,-8.686128835355476
63,160,381,4005.5342504581545,-14.393881696325707,3.1268333215470236,4005.534858496708,-14.394489734879244
67,161,382,4002.0893020054973,-10.747336400437007,2.3838774252952852,4002.089656048758,-10.747690443698275
66,161,383,4003.4668324523955,-6.573001712866699,2.1600236758533033,4003.4671233286795,-6.573292589150697
65,161,304,4004.0968648743474,-6.365091013622532,0.8415380271756805,4004.0969090205235,-6.3651351597989105
64,161,303,4002.719334427449,-10.53942570119284,1.0653917766176624,4002.719405134304,-10.539496408047853
68,162,304,3999.8438946493607,-7.768571187868247,0.8415380271756805,3999.843938826926,-7.768615365433789
