,NID,U1,U2
0,287,0.0,0.0
1,288,4.8225946611413956e-05,0.0
2,289,9.9083256575007e-05,0.0
3,290,0.00015228065638856318,0.0
4,291,0.00020736451498589947,0.0
5,292,0.0002637901402150435,0.0
6,293,0.000321051256793799,0.0
7,294,0.00037873192420727456,0.0
8,295,0.00043654658549973485,0.0
9,296,0.000494318141681925,0.0
10,297,0.0005519559406971807,0.0
11,298,0.0006094227958092069,0.0
12,299,0.0006667161357259594,0.0
13,300,0.0007238504818702391,0.0
14,301,0.0007808480306004631,0.0
15,302,0.0008377326601395807,0.0
16,303,0.0008945268301126958,0.0
17,304,0.0009512507088008959,0.0
18,305,0.001007920719267312,0.0
19,306,0.0010645527356170563,0.0
20,307,0.0011211622669377926,0.0
21,308,0.0011777672000250607,0.0
22,309,0.0012343909043331526,0.0
23,310,0.0012910661731633673,0.0
24,311,0.0013478404326251565,0.0
25,312,0.0014047798902658468,0.0
26,313,0.0014619775955334237,0.0
27,314,0.0015195566463032705,0.0
28,315,0.0015776701188788976,0.0
29,316,0.0016364925802311197,0.0
30,317,0.0016961985039716586,0.0
31,318,0.0017569326100104615,0.0
32,319,0.0018187861634136023,0.0
33,320,0.0018817899638996086,0.0
34,321,0.00188055939602136,-2.3207941898077874e-05
35,322,0.0018768554822266228,-4.620362075241105e-05
36,323,0.00187073310895184,-6.874692954129301e-05
37,324,0.0018623081074753865,-9.057283680508237e-05
38,325,0.0018518347777492497,-0.00011128387558280746
39,326,0.0018396574835584495,-0.00013042358270261368
40,327,0.0018274446356372947,-0.0001451049276436809
41,328,0.0017868264178448594,-0.00014358566306319439
42,329,0.0017377694034743508,-0.00013960019026283235
43,330,0.0016853052449990675,-0.0001360305730934594
44,331,0.0016309923029962441,-0.00013295373090204367
45,332,0.001575557640068169,-0.0001304262627913993
46,333,0.0015194455040280054,-0.0001284234667248244
47,334,0.0014629330845859763,-0.00012688481279413515
48,335,0.0014061987231845962,-0.00012573849452335696
49,336,0.0013493552127832494,-0.00012491126373813296
50,337,0.0012924715203705367,-0.00012433620343047045
51,338,0.0012355888348803898,-0.00012395591404357133
52,339,0.001178728723098056,-0.00012372390065516965
53,340,0.0011219020629717655,-0.0001236043552526121
54,341,0.0010651140964539727,-0.0001235710794157363
55,342,0.001008368456669715,-0.00012360583881236375
56,343,0.0009516702912383704,-0.00012369635414641008
57,344,0.0008950284790330017,-0.00012383393145561924
58,345,0.0008384594533727421,-0.00012401060787686752
59,346,0.0007819871920553609,-0.00012421556429951066
60,347,0.0007256468811888831,-0.00012443045234301726
61,348,0.0006694865558891944,-0.00012462309013928046
62,349,0.0006135685809900572,-0.000124739206452632
63,350,0.0005579702241636366,-0.00012469085254369075
64,351,0.000502781500151528,-0.00012434278932859204
65,352,0.0004481026792636295,-0.0001234899530970166
66,353,0.0003940295703692879,-0.00012184183018834336
67,354,0.00034064317810482257,-0.00011896104720632576
68,355,0.00028795743150821846,-0.00011429711935292296
69,356,0.00023591385591481816,-0.0001068697088224996
70,357,0.0001841100798747802,-9.584438374067407e-05
