,Element,NID,S1,S2,S12,S_max,S_min
0,145,287,3821.549608604561,1261.111370839505,0.0,3821.5496086045614,1261.1113708395053
1,145,288,3713.532594627284,933.787086059878,1.473035089191322,3713.5327897739453,933.7868909132164
2,145,367,3717.678447744983,935.1552175887186,-101.9146141886976,3718.61133371048,934.222331623221
3,145,366,3825.6954617222596,1262.4795023683457,-103.387649277889,3826.737576606346,1261.4373874842597
4,146,288,3921.5134097690825,1002.4207550566714,1.473035089191322,3921.5135956001345,1002.4205692256196
5,146,289,3818.4313034552124,690.0507359237318,4.179264779715388,3818.432699244977,690.049340133967
6,146,368,3826.047984338754,692.5642406153005,-94.48504092441962,3826.760082705311,691.8521422487431
7,146,367,3929.130090652624,1004.93425974824,-97.19127061494346,3929.9374524281075,1004.1268979727565
11,147,368,4012.7456898795394,754.1744834437599,-82.11256698668647,4013.2628953680796,753.6572779552196
10,147,369,3922.589988853946,480.97538942681035,-78.84087143943415,3923.0414533881694,480.5239248925873
8,147,289,4003.5375119588193,751.1357847299224,4.179264779715388,4003.538854524126,751.1344421646161
9,147,290,3913.381810933226,477.9366907129729,7.450960326967699,3913.385850929687,477.9326507165124
12,148,290,4061.5882969227196,526.8448310895055,7.450960326967699,4061.592223427476,526.8409045847493
13,148,291,3989.532929898636,308.49523404682964,10.280123807029895,3989.540107272801,308.48805667266515
14,148,370,3997.4956078156147,311.12291775943254,-58.687158817569824,3997.7291683300814,310.8893572449656
15,148,369,4069.550974839698,529.4725148021084,-61.51632229763202,4069.8181985974193,529.2052910443867
16,149,291,4095.0578550511646,343.318459347164,10.280123807029895,4095.0648971678984,343.31141723043015
17,149,292,4042.2470955146696,183.28585469111772,11.933186013419776,4042.256320833293,183.27662937249465
18,149,371,4046.8996344476514,184.8211925390017,-38.61422391782282,4046.99615119694,184.72467578971327
19,149,370,4099.710393984146,344.85379719504795,-40.2672861242127,4099.818348021386,344.74584315780885
23,150,371,4108.628591300574,205.19174830046632,-22.18037322232868,4108.660099751008,205.16023985003267
22,150,372,4072.987560688866,97.18862523468283,-21.893283237442763,4073.0177000536305,97.15848586991774
20,150,292,4107.820576811853,204.9251035191885,11.933186013419776,4107.829698283117,204.91598204792422
21,150,293,4072.179546200145,96.92198045340501,12.220275998307438,4072.188937716934,96.91258893661643
24,151,293,4105.853705312236,108.03445296039513,12.220275998307438,4105.8630438282635,108.02511444436846
25,151,294,4083.7489045942066,41.050208360303486,11.413726552838105,4083.75696065428,41.04215230022987
26,151,373,4081.478871948998,40.301097587384675,-9.743726409289701,4081.4847452408735,40.29522429550934
27,151,372,4103.583672667028,107.28534218747632,-8.937176963820368,4103.588669355564,107.28034549894028
31,152,373,4090.9965891866314,43.44194427580396,-0.4192477839387647,4090.996600043106,43.441933419328734
28,152,294,4095.115003461803,44.80102098661041,11.413726552838105,4095.1230443751597,44.79298007325406
29,152,295,4082.7522031071994,7.337989609023452,9.950442505129347,4082.758276794026,7.331915922196913
30,152,374,4078.6337888320277,5.978912898217004,-1.882531831647523,4078.6340063759894,5.978695354255251
35,153,374,4075.483610401401,4.939354016110201,4.35536590753584,4075.484775430299,4.938188987211788
34,153,375,4069.6380120779263,-12.77458029745003,2.6362798215920913,4069.638437682297,-12.775005901821032
32,153,295,4080.3219797444244,6.536015899307813,9.950442505129347,4080.328055858833,6.529939784899398
33,153,296,4074.4763814209496,-11.177918414252417,8.231356419187343,4074.480527339496,-11.182064332798745
38,154,376,4058.1125643329756,-21.364938648103134,4.836331112064043,4058.113997732865,-21.366372047992854
36,154,296,4064.6650389922065,-14.415661415737532,8.231356419187343,4064.6691915920505,-14.419814015581778
37,154,297,4062.892289585529,-19.78762931476058,6.53309553325762,4062.8949031451743,-19.790242874405976
39,154,375,4059.885313739653,-15.992970749080087,6.534591997993766,4059.8879328601324,-15.995589869559353
43,155,376,4045.7315647518967,-25.45066850985927,7.085367640474116,4045.734647541717,-25.453751299679652
42,155,377,4046.3085650570306,-23.702182736725717,5.5659452625129235,4046.3104679839576,-23.704085663652677
40,155,297,4050.0079804082993,-24.039451343246355,6.53309553325762,4050.010599505801,-24.042070440748148
41,155,298,4050.584980713433,-22.290965570112803,5.013673155296428,4050.586523659334,-22.29250851601364
44,156,298,4037.254721890987,-26.68995098152027,5.013673155296428,4037.2562682277958,-26.691497318328857
45,156,299,4039.033469730319,-21.299806013847046,3.743230231133011,4039.034332453194,-21.300668736721946
46,156,378,4035.457806971722,-22.479774724183926,5.445747211968185,4035.459634017404,-22.481601769866074
47,156,377,4033.67905913239,-27.86991969185715,6.716190136131602,4033.6818356087633,-27.872696168230277
48,157,299,4026.688910569667,-25.373510536862113,3.743230231133011,4026.6897750534854,-25.37437502068019
49,157,300,4028.9436826558886,-18.540867851342682,2.736240073812951,4028.9441451041566,-18.54133029961099
50,157,379,4026.1095079477436,-19.476145505030445,4.894380581324138,4026.110988262002,-19.47762581928896
51,157,378,4023.854735861522,-26.308788190549876,5.901370738644198,4023.8568855375725,-26.31093786660017
55,158,379,4016.094548995954,-22.78108195912091,4.9351542723808715,4016.09605657757,-22.782589540736808
54,158,380,4018.391920431071,-15.819350337554397,4.174954463308565,4018.393000582737,-15.820430489220826
52,158,300,4018.2341320458418,-22.075019552657977,2.736240073812951,4018.2345953153963,-22.075482822212507
53,158,301,4020.5315034809587,-15.113287931091463,1.9760402647406448,4020.5317453713565,-15.11352982148901
56,159,301,4011.633535175745,-18.0496174718121,1.9760402647406448,4011.633777424003,-18.049859720070117
57,159,302,4013.731086566611,-11.693401135853946,1.4311787968433114,4013.731213775101,-11.693528344344031
58,159,381,4012.1975734726343,-12.19946045686629,3.4388365334606736,4012.198308091662,-12.200195075894044
59,159,380,4010.100022081768,-18.555676792824443,3.983698001358007,4010.1010068920295,-18.55666160308556
63,160,381,4005.5364810448414,-14.397620958038033,3.125964137431482,4005.5370887444988,-14.398228657695881
62,160,382,4007.3071510567333,-9.031954255335677,2.7598954054189657,4007.3076251838893,-9.032428382491617
61,160,303,4008.3374518339224,-8.691954998863366,1.065110064830795,4008.3375224370548,-8.69202560199551
60,160,302,4006.5667818220304,-14.057621701565722,1.4311787968433114,4006.56690918239,-14.057749061925506
64,161,303,4002.723621870334,-10.544518886847527,1.065110064830795,4002.7236925396355,-10.544589556149276
65,161,304,4004.1001674946187,-6.373168510225696,0.8410560200133224,4004.1002115901133,-6.373212605720255
66,161,383,4003.4695713448505,-6.581265239649383,2.1585990583213572,4003.469861836776,-6.581555731575008
67,161,382,4002.0930257205655,-10.752615616271214,2.38265310313883,4002.0933793994645,-10.752969295170033
70,162,384,4000.453577438036,-5.054583082454883,1.6173934294999088,4000.45374071079,-5.05474635520909
71,162,383,3999.519622945469,-7.884748211445185,1.7349845172188507,3999.519810733552,-7.884935999527897
68,162,304,3999.850583168158,-7.7755313379575455,0.8410560200133224,3999.8506272949803,-7.775575464779649
69,162,305,4000.784537660725,-4.945366208967243,0.7234649322943805,4000.784570326526,-4.945398874768216
72,163,305,3997.7832318686237,-5.935797120360803,0.7234649322943805,3997.7832645508315,-5.935829802568378
73,163,306,3998.2137491659487,-4.631199249678048,0.6770013801864302,3998.2137777912685,-4.631227874997876
74,163,385,3998.0829774565354,-4.674353913784444,1.0890682246458778,3998.0830515348193,-4.674427992068104
75,163,384,3997.6524601592105,-5.978951784467199,1.1355317767538282,3997.6525406756377,-5.979032300894232
78,164,386,3996.264860006693,-5.736702565802943,0.4997616771941874,3996.2648756089943,-5.736718168104289
76,164,306,3996.4736598904665,-5.205428710587057,0.6770013801864302,3996.473688524126,-5.205457344246497
77,164,307,3996.3024309993452,-5.7243041382275806,0.6636523019921363,3996.302458512553,-5.724331651435477
79,164,385,3996.4360888978144,-5.21782713816242,0.5131107553884813,3996.436105346179,-5.217843586527124
83,165,386,3995.948320169452,-5.84116071209246,-0.22654584192244842,3995.9483233757064,-5.841163918346865
82,165,387,3995.018263058201,-8.659515594672484,-0.2519927712599344,3995.018267023327,-8.659519559799037
80,165,307,3996.0199405750827,-5.817525978234471,0.6636523019921363,3996.019968089592,-5.817553492743855
81,165,308,3995.0898834638315,-8.635880860814495,0.6382053726546504,3995.089908896773,-8.635906293755852
84,166,308,3996.702180806124,-8.103822737858081,0.6382053726546504,3996.7022062322058,-8.103848163939574
85,166,309,3994.778839195422,-13.932130649076498,0.5422700622947052,3994.7788575340364,-13.93214898769088
86,166,388,3994.5088291776847,-14.021233954929585,-1.298643910877988,3994.508934358133,-14.021339135378412
87,166,387,3996.432170788387,-8.192926043711168,-1.2027086005180427,3996.4322610907193,-8.193016346043578
90,167,389,3995.0938211049124,-22.58634447528516,-2.8072766124591233,3995.094311487465,-22.586834857837403
91,167,388,3998.3372192561774,-12.757865229026947,-2.562127484137525,3998.3376284023357,-12.75827437518501
88,167,309,3999.027191699479,-12.530174322737366,0.5422700622947052,3999.0272100250813,-12.530192648339607
89,167,310,3995.783793548214,-22.358653568995578,0.297120933973107,3995.7837990408543,-22.358659061636217
92,168,310,4003.779559113478,-19.720050932458435,0.297120933973107,4003.7795645988053,-19.720056417785827
93,168,311,3998.789676507363,-34.84090731462493,-0.20379271886438996,3998.789679081438,-34.840909888700025
94,168,390,3997.379863883386,-35.30614548053745,-4.979795034865425,3997.3814012178746,-35.307682815026055
95,168,389,4002.3697464895013,-20.18528909837096,-4.478881382027928,4002.3709932326806,-20.186535841550267
99,169,390,4009.5451448085296,-31.29160277523988,-7.145903542536336,4009.5483040488493,-31.294762015559627
96,169,311,4012.068677232981,-30.458837075171232,-0.20379271886438996,4012.0686798013908,-30.458839643581086
97,169,312,4004.815730703226,-52.43746292291303,-1.1004108087015554,4004.815805316756,-52.43753753644296
98,169,391,4002.292198278775,-53.270228622981676,-8.042521632373502,4002.29618552418,-53.274215868387046
103,170,391,4021.2257758793257,-47.02214801479977,-10.748060187497517,4021.2328747950246,-47.02924693049863
102,170,392,4011.146149255733,-77.56647111659754,-12.212386906922786,4011.155268389014,-77.57559024987836
100,170,312,4025.347124754984,-45.66210288583261,-1.1004108087015554,4025.3471991163933,-45.662177247241516
101,170,313,4015.267498131391,-76.20642598763038,-2.5647375281268245,4015.267900057327,-76.20682791356626
104,171,313,4045.3511479447398,-66.27882154922531,-2.5647375281268245,4045.351547900353,-66.27922150483892
105,171,314,4031.9401229600967,-106.91829119965814,-4.7836424267239925,4031.9415051786295,-106.919673418191
106,171,393,4025.6950131169974,-108.97917744788083,-17.61991818313859,4025.7137848564953,-108.99794918737894
107,171,392,4039.1060381016405,-68.339707797448,-15.401013284541422,4039.120474712079,-68.35414440788645
111,172,393,4065.0777541792245,-95.98287289734594,-21.038235610714924,4065.104346229229,-96.00946494735035
108,172,314,4073.8883150455963,-93.0753878114433,-4.7836424267239925,4073.889687941364,-93.07676070721118
109,172,315,4056.9059161440427,-144.53720266463665,-7.914059209928092,4056.9096429752676,-144.5409294958613
110,172,394,4048.095355277671,-147.4446877505393,-24.16865239391902,4048.130161220811,-147.4794936936794
