,Element,NID,S1,S2,S12,S_max,S_min
0,960,981,4792.52863646522,1434.4272177633445,-676.2000038514913,4826.2309437147715,1400.7249105137932
1,960,1,4728.404231284243,1189.0354313424914,-601.2304787182838,4753.7553177690625,1163.6843448576724
2,960,956,4940.231431192568,1258.938407312239,-674.6086499297212,4970.882273912399,1228.287564592409
3,960,982,5013.085744177923,1537.822681529166,-759.8044925460617,5054.130421548089,1496.7780041589997
4,961,982,4986.25142367296,1519.4115749848654,-860.3738641033942,5038.83413947841,1466.8288591794153
5,961,956,4901.788666285547,1191.2307189512358,-753.9972941806218,4939.704888587201,1153.3144966495818
6,961,957,5248.347705898753,1305.5952020235934,-867.8123204297527,5295.535023080531,1258.4078848418162
7,961,983,5346.117708159456,1685.646770036181,-990.9919728296125,5412.004108800411,1619.7603693952262
11,962,984,5932.0867516619055,1861.1918832080826,-1307.90207211482,6034.558449456006,1758.7201854139826
10,962,958,5801.007242184234,1333.5534426854035,-1114.9193416858016,5869.517764439858,1265.0429204297798
8,962,983,5287.876531743707,1572.0207113731399,-1093.8294944163392,5366.701538210218,1493.1957049066295
9,962,957,5177.437311714311,1127.7753656303287,-931.3330954841199,5230.293948270111,1074.918729074528
12,963,984,5797.36011647524,1490.8135481877612,-1377.6547895252365,5904.8541834719545,1383.3194811910475
13,963,958,5648.347546395467,861.149358306918,-1111.742114050743,5712.0455965826495,797.4513081197351
14,963,959,6893.737647484591,1272.1280916663286,-1433.5128602723162,6983.685061621229,1182.1806775296923
15,963,985,7076.959445345232,2047.2977364213175,-1760.8446835148125,7226.620611216504,1897.6365705500452
19,964,960,10089.378380807135,1779.6044582644513,-2030.6092619821295,10211.63172056106,1657.3511185105272
16,964,985,6617.948962582762,529.0342004655306,-1599.4278746832572,6721.230949175277,425.752213873016
17,964,959,6630.609124267758,184.08929746733884,-1002.5935612595111,6669.358243902632,145.34017783246463
18,964,5,10106.727033665624,1331.2082075686344,-1254.3410328637935,10151.323148265732,1286.6120929685267
23,965,986,4831.0290367100915,1570.2962185754147,-658.6747050413629,4863.959870946084,1537.3653843394227
22,965,982,4841.256409824639,1405.388499087347,-572.858504818691,4864.970751800879,1381.6741571111081
20,965,980,4589.104170230915,1449.4687987392108,-586.5004820251304,4616.25964341241,1422.3133255577156
21,965,981,4598.1196043171285,1304.2959192732485,-510.9545268650093,4617.817268899349,1284.5982546910284
24,966,986,4760.152480603051,1581.488900959066,-772.0901906813768,4806.3653565653285,1535.2760249967885
25,966,982,4767.585160950678,1371.7590397573617,-671.4948540752428,4800.462410041214,1338.8817906668255
26,966,983,5147.265523821034,1531.6232495216154,-772.8567433499481,5188.104482622075,1490.7842907205738
27,966,987,5138.6893392482325,1774.346244456659,-889.2786356601492,5196.461824811073,1716.5737588938193
28,967,987,5039.672155361884,1726.9616120513472,-1020.9535097641822,5116.55065421051,1650.0831132027208
29,967,983,5043.121523123505,1405.1964988433638,-878.7632942130823,5095.436877144677,1352.8811448221918
30,967,984,5689.0955972562815,1680.7919385560704,-1059.688895898663,5757.951171199784,1611.936364612568
31,967,988,5685.054765056857,2062.6234086654063,-1228.427627864283,5786.366431023057,1961.3117426992058
33,968,984,5529.278145317596,1310.2242788425622,-1147.1030712048637,5605.858539282106,1233.6438848780517
35,968,989,6847.668044336695,2437.9657650767613,-1794.75862709792,7023.291265062908,2262.342544350547
32,968,988,5491.633357727611,1769.9284664113886,-1400.5394440999708,5619.033790385469,1642.52803375353
34,968,985,6893.821959930877,1872.7330803255572,-1483.141624423437,7001.0553284512225,1765.499711805211
36,969,989,6224.823300739908,932.9688459335166,-2109.5846005467706,6427.31979347204,730.4723532013841
37,969,985,6541.259045753817,423.45384934345634,-1406.878233929652,6621.100096938095,343.6127981591785
38,969,960,11007.080867151897,2086.5183084267137,-2088.9857979410713,11127.746488489232,1965.8526870893775
39,969,961,10597.002435736504,2747.9440333187204,-3000.996744359634,10874.071122957153,2470.8753460980706
42,970,986,4835.499684236713,1410.9676970908986,-479.04322712351427,4852.17135180415,1394.2960295234618
40,970,979,4396.384102451581,1289.8880466825367,-544.532571026938,4420.066119418276,1266.2060297158425
41,970,980,4526.2617466422125,1299.2667176963141,-434.66650606747015,4540.833018211368,1284.6954461271591
43,970,990,4687.828640823969,1400.3042418653868,-603.9614408851093,4715.337372090498,1372.7955105988574
47,971,991,4984.935696890291,1641.9463177930545,-804.1455092261896,5032.614354387105,1594.2676602962408
