,NID,U1,U2
0,1,0.0013952338172263127,-1.2422922563393199e-05
1,5,0.0013560274668176038,-4.246842276179491e-05
2,9,0.0009896760550700031,1.615674191720258e-05
3,13,0.0009560752286879745,-6.898087494464199e-05
4,26,0.0016284231063642784,-4.817209019110435e-05
5,30,0.0016373112244768711,-0.00010755556448220251
6,46,0.0007987486508839717,-5.095058469952964e-05
7,51,0.0031738104543415704,-0.00012335621671662173
8,52,0.003077236731052418,-0.00012336079327600775
9,53,0.002980662127082253,-0.00012336499709417176
10,54,0.0028840847865441617,-0.00012337108755825077
11,55,0.0027875054547411324,-0.00012338249592554594
12,56,0.0026909265660060265,-0.0001234037410712328
13,57,0.0025943523713505214,-0.0001234404193028737
14,58,0.002497795665689068,-0.00012349763441847105
15,59,0.0024012792471212233,-0.00012357710621161065
16,60,0.0023048223131174324,-0.0001236726846966651
17,61,0.002208522281831321,-0.00012374556441546258
18,62,0.0021124260972427574,-0.0001237108481237897
19,63,0.0020166936984794175,-0.00012342557108101793
20,64,0.0019214140217647263,-0.00012241638371929462
21,65,0.001826688379237904,-0.00012025682144282265
22,66,0.0017321585132114056,-0.00011585082853450667
23,67,0.0007459744714286079,-6.988142600083796e-05
24,68,0.0007019819989266658,-8.620156579354008e-05
25,69,0.0006646840400824762,-0.00010220675984976798
26,70,0.0006345103527849628,-0.00011730996478376384
27,71,0.0006113155980619847,-0.00013294604394868434
28,72,0.0005948493098824934,-0.00014381219969499323
29,73,0.000592829760214748,-0.00015814480320084252
30,74,0.0005876654111419441,-0.0001661151178291351
31,75,0.0005784238089492817,-0.00016977956150162447
32,76,0.0005653824647040551,-0.00017061148616793787
33,77,0.0005490227501315813,-0.00016949242753980725
34,78,0.0005299232616898052,-0.00016709143420439752
35,79,0.0005084101491140918,-0.0001638467149833166
36,80,0.00048480861449196907,-0.00016014119557733797
37,81,0.0004594743886790391,-0.00015627170482035763
38,82,0.0004327195886821031,-0.00015242332149561534
39,83,0.0004048015375494173,-0.00014872671426831275
40,84,0.0003759438258817969,-0.00014526646659814794
41,85,0.00034632999388645023,-0.0001420944070201561
42,86,0.00031611598265643843,-0.00013923798267159197
43,87,0.0002854285494652795,-0.0001367071103445959
44,88,0.0002543729169360357,-0.00013449966737807956
45,89,0.00022303372165579125,-0.00013260563983505952
46,90,0.0001914792722117289,-0.00013101046508965844
47,91,0.0001597637642399351,-0.00012969755860516323
48,92,0.00012793024468854395,-0.00012865026387853275
49,93,9.601257038172932e-05,-0.00012785329177061126
50,94,6.403762487485837e-05,-0.00012729378625483842
51,95,3.20272719278066e-05,-0.0001269620767164889
52,96,0.0,-0.000126852171669237
53,97,0.0,-0.00011642717050758495
54,98,0.0,-0.00010604421206454818
55,99,0.0,-9.567307378610622e-05
56,100,0.0,-8.528449152680392e-05
57,101,0.0,-7.485340799533945e-05
58,102,0.0,-6.436090360826054e-05
59,103,0.0,-5.379531922310709e-05
60,104,0.0,-4.315314253798589e-05
61,105,0.0,-3.243857540469782e-05
62,106,0.0,-2.1662861876887303e-05
63,107,0.0,-1.0842994688495579e-05
64,108,0.0,0.0
65,109,3.138153407275443e-05,0.0
66,110,6.279640057629937e-05,0.0
67,111,9.427923823684618e-05,0.0
68,112,0.00012586714494807838,0.0
69,113,0.00015760098010412832,0.0
70,114,0.00018952668145993837,0.0
71,115,0.00022169642858811743,0.0
72,116,0.00025416966499646176,0.0
73,117,0.0002870149523233319,0.0
74,118,0.000320310234287818,0.0
75,119,0.0003541437972407321,0.0
76,120,0.0003886164988631139,0.0
77,121,0.0004238397670379714,0.0
78,122,0.00045993898106395806,0.0
79,123,0.000497050534448268,0.0
80,124,0.0005353272587002119,0.0
81,125,0.0005749297398193648,0.0
82,126,0.0006160472839348616,0.0
83,127,0.0006588170769944649,0.0
84,128,0.0007034048244309318,0.0
85,129,0.0007501209317376496,0.0
86,130,0.0007992378708349354,0.0
87,131,0.0008507896570915191,0.0
88,132,0.0009050126964354114,0.0
89,133,0.0009621972688167312,0.0
90,134,0.0010222930361478125,0.0
91,135,0.0010852663132226068,0.0
92,136,0.0011506363215893038,0.0
93,137,0.0012166867398660493,0.0
94,138,0.0012837995117952095,0.0
95,139,0.0013525070103609965,0.0
96,140,0.0014232564156342604,0.0
97,141,0.001500586258758264,0.0
98,142,0.0015842602559077788,0.0
99,143,0.0016734961323725994,0.0
100,144,0.0017654587521384085,0.0
101,145,0.0018589118496606244,0.0
102,146,0.0019531905792575283,0.0
103,147,0.002047490987483786,0.0
104,148,0.0021416941695851744,0.0
105,149,0.002235789528409559,0.0
106,150,0.0023297607980512615,0.0
107,151,0.0024236491956969508,0.0
108,152,0.002517478052305925,0.0
109,153,0.0026112710448563613,0.0
110,154,0.0027050428376670967,0.0
111,155,0.002798804474428019,0.0
112,156,0.0028925614105379666,0.0
113,157,0.002986316299331337,0.0
114,158,0.003080071484666438,0.0
115,159,0.0031738265644065287,0.0
116,160,0.003173824963615594,-3.0837305742555056e-05
117,161,0.0031738207752055802,-6.167559385322597e-05
118,162,0.003173815421446077,-9.251535843495644e-05
119,2014,0.001389547490495831,-1.4188180304925062e-05
120,2015,0.0013831368470538915,-1.6101409444532417e-05
121,2016,0.0013760423243597537,-1.8300116944160462e-05
122,2017,0.0013684543910166163,-2.107326489300708e-05
123,2018,0.0013608941480688131,-2.500697834939358e-05
124,2019,0.0013548229112336258,-3.137064075013572e-05
125,2020,0.0013341362234268563,-3.565210401381456e-05
126,2021,0.0013104025597022988,-2.9156904972105933e-05
127,2022,0.001285479166938138,-2.310446943140613e-05
128,2023,0.0012598294764594182,-1.752598440373444e-05
129,2024,0.0012338189074750116,-1.242722550012434e-05
130,2025,0.0012077499431208324,-7.790541407779126e-06
131,2026,0.0011818716922560326,-3.59150454284096e-06
132,2027,0.0011563968470851929,1.8523297881084124e-07
133,2028,0.0011315235687448676,3.552538259943418e-06
134,2029,0.0011074385596823134,6.529214959150314e-06
135,2030,0.0010843082145504971,9.130528169402534e-06
136,2031,0.0010622881400602102,1.1359719154883777e-05
137,2032,0.0010415464940396139,1.3206806365072686e-05
138,2033,0.0010222839791177258,1.4650711650966599e-05
