,Element,NID,E1,E2,E12,E_max,E_min
0,2141,2055.0,0.0004073904591148196,-1.8608967936713618e-05,-0.0001653368808735428,0.00042287039239879986,-3.4088901220693846e-05
1,2141,1.0,0.00040798642492170106,-3.295149541605901e-05,-0.00015369081948569605,0.00042099504268375087,-4.596011317810881e-05
2,2141,2014.0,0.00041973430973157866,-3.295149541605901e-05,-0.00016734646375357598,0.0004347051433566094,-4.792232904108978e-05
3,2141,2056.0,0.0004190816044694727,-1.725964597412447e-05,-0.0001800873868348131,0.000436932775770619,-3.5110817275270796e-05
4,2142,2056.0,0.0004183104919257656,-1.822160088258318e-05,-0.00019608248642910206,0.00043931866557875483,-3.92297745355724e-05
5,2142,2014.0,0.0004190805800844896,-3.571369631887516e-05,-0.00018100082506614795,0.0004364277638414006,-5.3060880075786156e-05
6,2142,2015.0,0.00043582019841512804,-3.571369631887516e-05,-0.00019938492791770138,0.0004560310642291544,-5.592456213290151e-05
7,2142,2057.0,0.0004349690467112706,-1.6405080711316987e-05,-0.00021603159194975852,0.00045948602554667973,-4.092205954672615e-05
8,2143,2057.0,0.00043420409101491836,-2.0112294331993538e-05,-0.00023201202850475777,0.0004621110661739089,-4.8019269490984055e-05
9,2143,2015.0,0.00043520218206028263,-4.104263849538924e-05,-0.0002124086891675328,0.0004578126716723406,-6.36531281074472e-05
10,2143,2016.0,0.00045938140461229335,-4.104263849538924e-05,-0.00023695585002119976,0.000486014239331559,-6.767547321465494e-05
11,2143,2058.0,0.0004582658934703908,-1.7686839972485603e-05,-0.000258829081599795,0.0004911785713564906,-5.0599517858585517e-05
15,2144,2059.0,0.000494187665884431,-2.3121486388291484e-05,-0.00031024600099277197,0.0005371376902422972,-6.607151074615756e-05
14,2144,2017.0,0.0004957112651555809,-5.176555261579644e-05,-0.0002802806548081148,0.0005294985102634816,-8.555279772369721e-05
12,2144,2058.0,0.0004575905781342114,-2.6441441640582164e-05,-0.00027318092832484195,0.0004934750971090716,-6.23259606154424e-05
13,2144,2016.0,0.0004589348089905701,-5.176555261579644e-05,-0.00024668614151828264,0.0004871639432661015,-7.999468689132787e-05
16,2145,2059.0,0.0004938216518920804,-4.278918404763721e-05,-0.0003187345432915101,0.0005375830930787051,-8.655062523426192e-05
