,Element,NID,S1,S2,S12,S_max,S_min
0,2141,969,529.754594816131,1705.8111288449288,-681.7548061264994,1797.4700301124553,438.09569354860434
1,2141,9,251.03827777600824,861.2162287233449,-538.3292441422701,962.9796549020075,149.27485159734562
2,2141,2018,411.11322823701107,204.83320783371636,-682.5331729312809,664.4851319208697,-48.538695850142176
3,2141,2026,951.9598202496608,1092.5203377396504,-1001.542433197801,1527.9189554995046,516.5612024898065
4,2142,970,748.3471497455289,1126.1679757642564,-1036.2748245187518,1488.758716086607,385.7564094231785
5,2142,969,718.801700549237,1036.636311533069,-1037.8873589068085,1420.4502953818806,334.9877167004254
6,2142,2026,676.8369100326038,933.3306390588945,-1094.7536243853956,1367.2835902551576,242.88395883634053
7,2142,2024,735.2976345671491,1099.0788508240475,-1065.4751003974925,1480.121178947421,354.25530644377557
8,2143,2024,967.6234498787114,936.6362778804283,-883.5650344461355,1394.1839824341457,510.07574532499416
9,2143,2026,872.6526401605028,1134.2532053955285,-968.4022373912646,1505.0099357674892,501.8959097885419
10,2143,2018,655.6569152977495,918.2668905415987,-851.5312694040351,1232.5147903164518,341.4090155228965
11,2143,2019,813.5752798983235,853.4590174501112,-833.251984331035,1250.620128138734,416.41416920970096
15,2144,2025,1072.1068172555815,915.2225011628759,-1191.4827229415441,1594.548127051387,392.7811913670704
14,2144,2024,1123.3251158077248,1092.0472816265703,-1192.1419898339984,1703.9623148823912,511.4100825519039
12,2144,971,1003.656739781176,831.607926723243,-1270.8408448838695,1558.8493883707924,276.41527813362666
13,2144,970,1067.3951616963818,1024.754659799624,-1257.5250479297224,1675.1987973102318,416.9510241857737
16,2145,972,1296.118245071613,729.0997532811361,-1312.0067409539756,1727.2543060141477,297.9636923386015
17,2145,971,1346.1133197726483,880.5999796479094,-1311.4323317940718,1809.157884027402,417.55541539315584
18,2145,2025,1363.999062176902,929.9513514322423,-1258.107898499518,1812.4135772547502,481.5368363543944
19,2145,2023,1306.7035098261667,755.9568567648494,-1254.694385834062,1716.4542373364088,346.2061292546073
20,2146,2025,953.5023551942325,841.4599540891036,-1025.1761862356618,1413.1214634980693,381.8408457852669
21,2146,2024,908.3098842029793,805.9155493628036,-965.4586120245568,1342.5493582047525,371.67607536103054
22,2146,2028,1085.1647456327992,847.4611045199931,-926.3487646494974,1444.493083271489,488.1327668813034
23,2146,2027,1171.5271525290252,900.9662902987938,-1000.14335639808,1554.2935131031309,518.1999297246879
27,2147,2022,775.4011002805437,762.591638561327,-885.2853325522952,1211.6853692678267,326.307369574044
26,2147,2020,829.363971231505,729.9078202059117,-922.83411663604,1243.724877704988,315.54691373242855
24,2147,2027,980.7017707096705,874.1488950639229,-818.8225820480868,1340.2884870251487,514.5621787484448
