,Element,NID,E1,E2,E12,E_max,E_min
0,3032,2035.0,-7.2548841346109505e-06,0.0001397122081653721,-0.0001421373218391253,0.00016845677028154047,-3.599944625077931e-05
1,3032,9.0,-7.2548841346109505e-06,6.716322184465584e-05,-0.00010824782985602229,9.563454485516371e-05,-3.5726207145118824e-05
2,3032,2827.0,2.5679069228890655e-05,-1.2595831443925723e-07,-0.0001473187436471582,8.755742145296208e-05,-6.200431053851069e-05
3,3032,2842.0,4.783647063451302e-05,6.716322184465584e-05,-0.0002261847391944096,0.0001710043170290448,-5.600462454987594e-05
4,3033,2036.0,1.747815763775487e-05,0.00010070050806173776,-0.00023263788200705154,0.00018262712439024925,-6.444845869075662e-05
5,3033,2035.0,1.747815763775487e-05,7.82975849294499e-05,-0.00022675946364166845,0.0001652748989816693,-6.949915641446454e-05
6,3033,2842.0,2.8054087506557135e-05,5.350371230060532e-05,-0.0002605590275502681,0.00017167837492172177,-9.012057511455931e-05
7,3033,2840.0,2.3060377525304515e-05,9.431903990947627e-05,-0.000252237512808234,0.00018974462071276866,-7.236520327798788e-05
11,3034,2828.0,4.130059972797689e-05,5.859018641112039e-05,-0.0001991060329953817,0.00014987304462660262,-4.998225848750532e-05
10,3034,2827.0,2.9085382561404305e-05,6.841670706515666e-05,-0.0002004680423884058,0.0001508960264646802,-5.339393683811923e-05
8,3034,2840.0,5.0079487414571994e-05,6.127973520290113e-05,-0.00020969654215821296,0.00016067733193117574,-4.931810931370261e-05
9,3034,2842.0,3.934503788304228e-05,8.068444520139439e-05,-0.00022367016987099447,0.0001737439061038559,-5.3714423019419225e-05
12,3035,2037.0,4.4377058159114635e-05,8.24078870561894e-05,-0.0002988748866416882,0.00021403488181873751,-8.724993660343347e-05
13,3035,2036.0,4.4377058159114635e-05,8.021160874561417e-05,-0.000292873649256278,0.0002098232199834653,-8.523455307873647e-05
14,3035,2840.0,4.974324743949564e-05,7.962251824008247e-05,-0.00029322785359823036,0.00021205600195365598,-8.269023627407787e-05
