,Element,NID,S1,S2,S12,S_max,S_min
0,4190,5954,18893.571737783044,3182.6152866936513,195.46301181803955,18894.179662431336,3182.0073620453586
1,4190,5941,18823.43795906568,2974.9602456023085,264.4028670898791,18824.540651918316,2973.8575527496723
2,4190,5350,19026.396155680042,3041.085869705262,194.06709972362623,19026.985144115235,3040.496881270069
3,4190,5351,19096.529883767296,3248.741044036772,125.12699246623936,19096.776866491513,3248.4940613125555
4,4191,5953,18796.875247296142,3398.3078376877183,213.67246919917187,18797.61644817159,3397.5666368122675
5,4191,5940,18737.392026099315,3221.444346232217,273.90017036156013,18738.600709275033,3220.2356630564964
6,4191,5941,18926.28117181345,3282.995897060407,214.91563156537154,18927.019292812165,3282.2577760616923
7,4191,5954,18985.764768312773,3459.85949740509,154.68805856352208,18986.15005666241,3459.4742090554546
11,4192,5951,18963.397610812484,3634.9580117896435,-56.687968581422695,18963.450021802746,3634.9056007993813
10,4192,5954,18893.666818805832,3427.541415691105,-2.584796043307307,18893.66692680267,3427.5413076942687
8,4192,5952,18803.486614775058,3582.970235937978,13.90236702186403,18803.489789367886,3582.96706134515
9,4192,5953,18733.756007891483,3375.5538714132936,68.00520711434825,18733.83128827725,3375.478591027525
15,4193,5352,19053.808728849133,3442.905874607659,-95.06085257586358,19053.953443123635,3442.761160333156
12,4193,5951,18880.53536899504,3386.860052237196,-16.62979330006388,18880.539831298847,3386.855589933387
13,4193,5954,18801.055074868986,3149.8982238219637,41.03983793822414,18801.081978078426,3149.871320612526
14,4193,5351,18974.3285152379,3205.9440863666923,-37.39119624610382,18974.35068142109,3205.921920183505
19,4194,5953,18882.18335531076,3651.423900698974,154.21438546027844,18882.57370792668,3651.0335480830536
18,4194,5940,18834.87182430136,3511.919665335844,211.41189268192312,18835.60100594143,3511.1904836957756
16,4194,5950,18713.96561874996,3596.4152686976763,204.73478220014715,18714.658760302184,3595.7221271454555
17,4194,5939,18666.653398982213,3456.911198844971,261.9302241617991,18667.781004490742,3455.7835933364413
20,4195,5949,18742.164114932424,3764.1711152722314,30.70341534264452,18742.17984966276,3764.1553805418935
21,4195,5950,18681.821001492488,3584.1502718171737,75.060645331995,18681.914295116447,3584.0569781932136
22,4195,5953,18818.724710009537,3628.6804841665753,13.248032352097269,18818.727598584534,3628.677595591579
23,4195,5952,18879.06923289658,3808.7018140367168,-31.1096068100089,18879.085287691036,3808.6857592422657
27,4196,5353,19001.777356665953,3660.5135352387265,-301.00799158259053,19003.253719589196,3659.0371723154813
24,4196,5956,18851.83036628071,3612.247963897442,-212.41339001829434,18852.57049904619,3611.5078311319594
25,4196,5951,18762.77366162909,3346.029041338165,-161.4703067443196,18763.196447788065,3345.606255179192
26,4196,5352,18912.720619664207,3394.294599947584,-250.06489235661545,18913.727944625767,3393.287274986027
28,4197,5955,18791.256771270975,3790.7997678548713,-164.50252663459133,18791.707761992333,3790.348777133514
29,4197,5952,18710.925890562616,3550.601471647628,-119.26077060967638,18711.160432234916,3550.3669299753283
30,4197,5951,18845.513576186957,3594.0611876759467,-200.18183538381192,18846.170415949542,3593.4043479133625
31,4197,5956,18925.844777660655,3834.25968154149,-245.42373336672756,18926.842499681225,3833.2619595209217
34,4198,5956,18782.835060598827,3785.343059815108,-378.5561226448158,18785.223491937337,3782.9546284765984
35,4198,5893,18873.087179622446,4056.0624103857376,-416.8081499585601,18876.017840154713,4053.131749853471
32,4198,5894,18760.351519250005,4019.893816952471,-325.6265999105549,18762.14962742172,4018.0957087807546
33,4198,5955,18670.09967407902,3749.174690854417,-287.3747294210957,18671.4832441013,3747.7911208321384
39,4199,5354,18936.211680346452,3900.8225381438024,-487.5786331359981,18940.16353108915,3896.8706874011023
38,4199,5353,18837.31626749721,3604.2341082555035,-444.04076744470046,18840.551501413403,3600.9988743393105
37,4199,5956,18708.76923774761,3563.203565288794,-345.4086502301148,18710.73832277636,3561.234480260043
36,4199,5893,18807.664640874944,3859.7920061362497,-388.9464864805956,18810.194328138325,3857.2623188728676
40,4200,5948,18744.304928244943,3954.037044662092,-129.79475388492025,18744.589682279307,3953.752290627728
41,4200,5949,18672.66209210958,3739.6737972625406,-91.26337595634746,18672.80153047674,3739.53435889538
42,4200,5952,18786.640565575388,3776.6006426525882,-164.77522700589887,18787.092763864683,3776.1484443632926
43,4200,5955,18858.28379010726,3990.9642703035515,-203.3071447316236,18858.97880212468,3990.2692582861364
46,4201,5955,18737.150083135093,3949.4644890298655,-325.78748785673537,18738.94422142063,3947.6703507443326
47,4201,5894,18819.24100250097,4195.9493264173225,-357.62885576457904,18821.427228471362,4193.7631004469295
44,4201,5895,18725.697599581723,4165.8472819383205,-273.587171682686,18726.982697521773,4164.562183998272
45,4201,5948,18643.607047758196,3919.3628452892094,-241.7462505305435,18644.5992431985,3918.3706498489055
48,4202,5896,18706.457928828902,4296.39563678107,-232.3922387182979,18707.39482001753,4295.458745592439
