,NID,U1,U2
0,1,0.0012913338306692367,8.256389178734602e-06
1,33,0.0025608449908020906,1.5826215118278738e-05
2,34,0.0021070689128400407,2.2021585460301016e-05
3,50,0.0017451175716785335,6.087500289258144e-06
4,4064,0.0014908503060586178,1.09772431133132e-05
5,4065,0.0016117097534853323,1.0549069202250753e-05
6,4066,0.0016858483879840201,9.366587806505432e-06
7,4067,0.0017312827751399151,7.943182243190738e-06
8,4075,0.0021208661036071176,2.055633886910284e-05
9,4076,0.0021662318576914233,1.944347514954437e-05
10,4077,0.002240159644129031,1.8238150832546977e-05
11,4078,0.0023606502686986408,1.7508931492961828e-05
12,4318,0.0014008875968641273,1.0641664446383897e-05
13,4319,0.0015595640466828918,1.0619480321154606e-05
14,4320,0.001652126545792896,9.544059021042043e-06
15,4321,0.0017130184897238866,8.653737859673473e-06
16,4322,0.0017409731967369991,7.122501965368786e-06
17,4338,0.0021112000680598444,2.1185171563202502e-05
18,4339,0.0021390988951762334,2.002937266965598e-05
19,4340,0.0021998603071675727,1.9287010960901115e-05
20,4341,0.002292097581568365,1.805753068281843e-05
21,4342,0.002451438849852454,1.6869454493133376e-05
22,26425,0.0012368565835233387,4.941636655953697e-06
23,26426,0.001185934903037533,1.964931947042311e-06
24,26427,0.001133696127748432,2.3796596871922717e-06
25,26428,0.0010749032437817455,2.5623234689004494e-06
26,26429,0.0010112420244109326,2.7780518872187316e-06
27,26430,0.0009446209649768336,2.5948882309075096e-06
28,26431,0.0008759608258590671,2.287869209042913e-06
29,26432,0.0008058806658693269,1.930948237991889e-06
30,26433,0.0007347612744153838,1.5842582466351466e-06
31,26434,0.0006628615531961738,1.266801147465787e-06
32,26435,0.0005903607961804028,9.867469345710842e-07
33,26436,0.0005173928572515406,7.451203715172496e-07
34,26437,0.00044405855565996,5.407150207465293e-07
35,26438,0.0003704373874836549,3.715836151852136e-07
36,26439,0.00029659430173223085,2.3580415083999672e-07
37,26440,0.00022258373306364805,1.3178187367004946e-07
38,26441,0.00014845324558586528,5.830298210784231e-08
39,26442,7.424538798969779e-05,1.4538877328715609e-08
40,26443,0.0,0.0
41,27039,0.0025572490991061106,3.409642284742393e-06
42,27040,0.0025439133759652855,-1.0462295412553678e-05
43,27041,0.0025023387385862818,-2.3261442016386664e-05
44,27042,0.0024425842169150296,-1.3821937397581182e-05
45,27043,0.002389422839204934,-1.1070533617894542e-05
46,27044,0.0022663767906706484,1.945791983078753e-06
47,27045,0.0021742180207845845,2.697829996667095e-05
48,27046,0.0020920403283247306,3.960582510182844e-05
49,27047,0.002001701570915699,5.0780234952471736e-05
50,27048,0.0019160845933534861,5.579508972299327e-05
51,27049,0.0018345458336041867,5.4551769031099266e-05
52,27050,0.0017557494561254595,4.732274190799358e-05
53,27051,0.0016809641332286866,2.968066198710494e-05
54,27052,0.0015961911343417427,7.004410176604403e-06
55,27053,0.0015160175273313467,-2.568279936623114e-06
56,27054,0.001402097604949837,-2.4883076631154332e-05
57,27055,0.0013228792732510176,-2.4502589624375326e-05
58,27056,0.0013087743281511167,-1.4149186879276561e-05
59,27057,0.0012997727615500223,-3.2732062636828447e-06
60,27058,0.0017483448463391103,-9.161515335164425e-07
61,27059,0.0017529705255488412,-6.075403868249616e-06
62,27060,0.0017602670820539297,-1.170572759398049e-05
63,27061,0.0017765634809210143,-1.730669327301716e-05
64,27062,0.0018100369979706771,-1.4975359721592601e-05
65,27063,0.0018624786181114,1.1921575527515438e-05
66,27064,0.0019122472559076824,7.032158099090716e-05
67,27065,0.0019294600865352885,0.0001089752769980354
68,27066,0.001946499059300424,7.389830099465028e-05
69,27067,0.0019959251189230936,1.8553068249794983e-05
70,27068,0.002048024614093172,-5.850259512711343e-06
71,27069,0.0020811039529252027,-6.023863263319324e-06
72,27070,0.0020966960615701087,1.4505702729891423e-06
73,27071,0.0021028005248187594,8.705892917052366e-06
74,27072,0.002105771019332174,1.469356512756152e-05
75,27073,0.0017427616579509283,-1.8876609131238923e-06
76,27074,0.00174945810669333,-1.0975747041165924e-05
77,27075,0.0017619210779862896,-1.844658809967414e-05
78,27076,0.0017830974787038443,-2.0772669097833905e-05
79,27077,0.0018161374745740068,-1.0150060359322623e-05
80,27078,0.0018592585834484748,2.4378201021123923e-05
81,27079,0.0019006597379378496,7.648997436151693e-05
82,27080,0.001928816913839501,0.00010595924317630332
83,27081,0.0019568887525906326,7.94618839377227e-05
84,27082,0.001998075147355353,2.994524881062848e-05
85,27083,0.002040913812986518,-2.4183615227109194e-06
86,27084,0.002073603119527673,-1.1295236451395308e-05
87,27085,0.0020942648336500936,-7.451265420179207e-06
88,27086,0.0021057862342711837,1.258325549677715e-06
89,27087,0.002111115106417561,1.1565946171374755e-05
90,27088,0.0017313029016485409,-3.737075908932625e-06
91,27089,0.001738423745984875,-1.4738916617360623e-05
92,27090,0.0017538580062364656,-2.1071191107839405e-05
93,27091,0.0017768986419877011,-2.003474832501566e-05
