,Element,NID,E1,E2,E12,E_max,E_min
0,26234,50.0,5.752321378366815e-05,2.0800162132230754e-05,-0.00022411439608930467,0.00015271326771035523,-7.438989179445632e-05
1,26234,27058.0,7.774601285286814e-05,-2.679091781855353e-05,-0.00029480111285608984,0.00018187101446462176,-0.00013091591943030715
2,26234,27073.0,4.012260108499088e-05,-8.289061235174849e-05,-0.00028975977068462083,0.00013601117805026893,-0.00017877918931702652
3,26234,4322.0,2.448867945464145e-05,-2.2066959803608013e-05,-0.0002346879813833469,0.00012084141210265707,-0.00011841969245162363
4,26235,27058.0,8.383315566656141e-05,-2.6760104384373684e-05,-0.0002608963157788094,0.00017022081972096884,-0.0001131477684387811
5,26235,27059.0,0.00010571536971787365,-0.000175279763440438,-0.00021509942566698415,0.00014215425202709957,-0.00021171864574966393
6,26235,27074.0,0.00012479155751827717,-0.00021799289495131157,-0.00023143687815391223,0.0001601988775985706,-0.000253400215031605
7,26235,27073.0,0.00011030945091036401,-6.443053303932816e-05,-0.0002922668670859857,0.0001931995420341379,-0.00014732062416310203
11,26236,27074.0,0.00022468888968599568,-0.00019749893715336812,-0.000224957430810184,0.00025278548966936625,-0.00022559553713673872
10,26236,27075.0,0.00021604675419970715,-0.00031099725953085723,8.146000448377988e-06,0.0002160782284974179,-0.000311028733828568
8,26236,27059.0,0.00014605290328652265,-0.00017326456305647697,-0.00024302694961452626,0.00018703423500153433,-0.00021424589477148868
9,26236,27060.0,0.0001417841965842201,-0.00028834980176231564,-1.5195817820640167e-05,0.00014191836458530546,-0.000288483969763401
12,26237,27060.0,0.0003321504203606107,-0.00028218962796111287,-4.353498373910192e-05,0.00033292072718170293,-0.0002829599347822051
13,26237,27061.0,0.0003013112105581736,-0.0001644258894595821,0.00021224284409392113,0.00032435185890001227,-0.00018746653780142076
14,26237,27076.0,0.00036156546068495665,-0.00016813986464723303,0.0003302691374943434,0.0004088287359596126,-0.000215403139921889
15,26237,27075.0,0.00039392236985458934,-0.0002871191780559911,7.362412863252954e-05,0.0003959063777262609,-0.00028910318592766267
16,26238,27061.0,0.0006785294000187445,-0.00016018834282896164,0.0003519321734624381,0.0007139517141351319,-0.00019561065694534906
17,26238,27062.0,0.0006549793539560103,0.00024119297764979867,0.0003303293035438609,0.0007128202843050339,0.00018335204730077507
18,26238,27077.0,0.0005957447752514139,0.0002558180576862219,0.0005329008894376791,0.0007418247407449824,0.00010973809219265348
19,26238,27076.0,0.0006211092941117852,-0.0001448693237148719,0.0005520349438825345,0.0007102073241080669,-0.00023396735371115365
23,26239,27077.0,0.0008214615722788587,0.00026516267289437303,0.000992571990150487,0.001112229432282781,-2.560518710954915e-05
22,26239,27078.0,0.0008338200118588636,0.0006654827192786176,0.0004871944614293494,0.0010073798502773003,0.0004919228808601809
20,26239,27062.0,0.0010669312650306642,0.00023537412923872942,0.0008439278281958534,0.0012435422331010778,5.876316116831598e-05
21,26239,27063.0,0.0010827833590126706,0.0006364456381175504,0.0003350827413603624,0.0011386744404465214,0.0005805545566836996
24,26240,27063.0,0.0010151763965970326,0.0006248449158953526,0.0010313726892440117,0.001371392622070518,0.00026862869042186695
25,26240,27064.0,0.0010506802708097965,0.0003172122916243127,0.0005770058456813498,0.0011505593496262258,0.0002173332128078835
26,26240,27079.0,0.0008281445579656904,0.00034198056815038565,0.0004080682075879166,0.0009024247721493028,0.0002677003539667732
27,26240,27078.0,0.0007958821513845277,0.0006495026576592051,0.0008614038921201106,0.001159568708967117,0.0002858161000766158
31,26241,27079.0,0.0005318714569054542,0.00031850330836671577,-1.2206555246210837e-05,0.0005320458951676422,0.0003183288701045277
28,26241,27064.0,0.0003396929130147705,0.0003141316202055467,0.00020473669604323397,0.0004300753588437409,0.00022374917437657628
29,26241,27065.0,0.0003525106805921871,-0.0001547736452968164,0.000761761988052681,0.0005564760770625822,-0.00035873904176721155
30,26241,27080.0,0.0005437495526399924,-0.00015037081027825458,0.0005447016944270244,0.0006378534603045845,-0.0002444747179428466
32,26242,27065.0,0.00034637847450218195,-0.00015477364529681813,-0.000754792306502397,0.0005488103817330183,-0.00035720555252765447
33,26242,27066.0,0.0003373368427995807,0.0002833310424692507,-0.00019215455241849977,0.00041013374033520446,0.00021053414493362696
34,26242,27081.0,0.0005313520104383573,0.0002872619792373956,9.06510584527953e-06,0.0005314361472500592,0.00028717784242569377
35,26242,27080.0,0.0005396645284378582,-0.00015081039589662833,-0.0005534192459015902,0.0006368715494741576,-0.0002480174169329277
38,26243,27082.0,0.0007918549811688838,0.0005948793492427447,-0.0008649683397451702,0.0011369237084824912,0.0002498106219291374
39,26243,27081.0,0.0008205983710780698,0.0003096659065517076,-0.00042136933954560474,0.0008962681016821382,0.0002339961759476393
36,26243,27066.0,0.0010400539888315921,0.0002861096543263055,-0.0005781093119807817,0.0011381193032926323,0.00018804433986526538
37,26243,27067.0,0.0010082954398040536,0.0005714505993658277,-0.0010226061927795932,0.0013458759062970227,0.0002338701328728585
43,26244,27082.0,0.0008244866684411489,0.000609326339423977,-0.0005040901203394316,0.00099095066853318,0.000442862339331946
42,26244,27083.0,0.0008155763991628609,0.00019534992807793182,-0.001000873767532412,0.0010941967990551718,-8.327047181437921e-05
40,26244,27067.0,0.0010715742663023123,0.0005820600153958596,-0.0003430771421588513,0.0011257009507620647,0.0005279333309361073
41,26244,27068.0,0.001059432210396033,0.00016740515777087002,-0.0008430436309454226,0.001227103217515079,-2.658493481760447e-07
44,26245,27068.0,0.000642293649043342,0.00017154369771768714,-0.0003432059218570621,0.0006982071135351413,0.00011563023322588785
45,26245,27069.0,0.00066982301189452,-0.00024362908978903936,-0.0003538279572695008,0.0007028900207768495,-0.00027669609867136887
46,26245,27084.0,0.0006138574159978913,-0.00023071370139769514,-0.000564284558402614,0.0006994393191418818,-0.00031629560454168567
47,26245,27083.0,0.00058486653586904,0.00018397264902338483,-0.0005555758613972339,0.0007269763199664493,4.18628649259755e-05
51,26246,27084.0,0.0003479284325396924,-0.0002564733977963326,-0.00035416252767328515,0.00039598908695984776,-0.00030453405221648794
50,26246,27085.0,0.0003841811430735087,-0.00038085367231564294,-7.719745947154522e-05,0.0003861236541306716,-0.00038279618337280584
48,26246,27069.0,0.0002823223841683792,-0.0002500739384610759,-0.00022850572081582754,0.00030580538758262043,-0.0002735569418753171
49,26246,27070.0,0.00031760560809931254,-0.00037265356556546265,4.874135797910961e-05,0.00031846498308725024,-0.00037351294055340035
52,26247,27070.0,0.00011412324310024202,-0.00038078855886095655,5.829567816501013e-06,0.00011414040912967509,-0.0003808057248903896
53,26247,27071.0,0.0001221531385048949,-0.0002633283956262004,0.00025961504164927207,0.00016178921140334626,-0.00030296446852465177
54,26247,27086.0,0.00020790202327114482,-0.00029179781368671897,0.00023366473784346142,0.00023386868187160514,-0.0003177644722871793
55,26247,27085.0,0.00019633969243224025,-0.00040636995514503973,-2.3275176163656264e-05,0.00019656431634692862,-0.0004065945790597281
58,26248,27087.0,8.62916736767208e-05,-0.00012964540638696294,0.0003165383239378816,0.00016991210323070416,-0.0002132658359409463
56,26248,27071.0,7.02430282403313e-05,-0.0002663911077850685,0.00020494610309325367,9.898270758145709e-05,-0.0002951307871261943
57,26248,27072.0,5.0511787036362776e-05,-8.614987307268505e-05,0.0002752886086880499,0.00013585287001180929,-0.00017149095604813156
59,26248,27086.0,9.982468304045242e-05,-0.00031330101268378587,0.00023410773967719178,0.00013068512502391672,-0.0003441614546672502
63,26249,27087.0,1.0878476450509877e-05,-0.00014476643991717122,0.000300546371848065,0.00010228475520438464,-0.00023617271867104597
62,26249,4338.0,-5.710155273910833e-06,-6.349399216377792e-05,0.0002566883586204924,9.695388895198753e-05,-0.00016615803638967628
61,26249,34.0,1.8181818793948368e-05,-1.6809194681381592e-05,0.00023422763280227243,0.00011909973506248959,-0.00011772711094992281
60,26249,27072.0,3.7868637751375944e-05,-8.624907199229195e-05,0.0002902323783112379,0.00013363883541123758,-0.00018201926965215359
64,26250,4322.0,-2.546111469433482e-05,1.7337663929506994e-05,-0.000352069412989979,0.0001732689029751833,-0.00018139235374001113
