,Element,NID,S1,S2,S12,S_max,S_min
0,26234,50,773.1385478331905,477.6974555998219,-901.5127962990827,1099.7624864717939,151.07351696121856
1,26234,27058,827.3859350335279,-13.62546209745858,-1185.8541005865268,1133.7829324979252,-320.022459561856
2,26234,27073,153.32182627693697,-836.3333494923197,-1165.57501741558,423.0173721414137,-1106.0288953567965
3,26234,4322,206.61029637316085,-167.93507209546271,-944.0456393991774,527.1531303907775,-488.47790611307937
4,26235,27058,900.6001986881199,10.864948654281136,-1049.4701424185191,1143.6672353544022,-232.20208801200113
5,26235,27059,574.8418934721822,-1685.7956439668667,-865.2495694123047,654.8060351755336,-1765.7597856702182
6,26235,27074,634.6501552827792,-2123.089424735717,-930.9678933258875,711.1006744842072,-2199.539943937145
7,26235,27073,1069.2480221961928,-336.5548561960679,-1175.6599540676868,1282.6513986174423,-549.9582326173173
11,26236,27074,1915.3881411195275,-1481.1605409715949,-904.9039510033717,1974.6258277964264,-1540.3982276484937
10,26236,27075,1361.877394830445,-2878.2511366861254,32.767746164528,1361.9407012343618,-2878.314443090042
8,26236,27059,1067.1853810047944,-1501.7596489727218,-977.5896093516658,1157.0454323330946,-1591.619700301022
9,26236,27060,559.9009689467157,-2900.575559104361,-61.12603409054503,560.1708812407862,-2900.845471398432
12,26237,27060,2870.1581433372744,-2072.2768318826074,-175.12192707082352,2871.7089007119775,-2073.82758925731
13,26237,27061,2966.493252486448,-780.4142438970009,853.7588089492316,3014.5115890719717,-828.4325804825248
14,26237,27076,3675.287360856982,-586.2517226425896,1328.5262297704792,3776.4282845707266,-687.3926463563339
15,26237,27075,3592.3594879681314,-1886.6965741696213,296.1572091609271,3596.3585856418545,-1890.6956718433444
16,26238,27061,7512.78144054708,765.2026071106466,1415.6670135519128,7586.234878876154,691.7491687815727
17,26238,27062,8820.481978914544,5491.523913894645,1328.7682510974857,8948.179476757123,5363.826416052067
18,26238,27077,8167.167160678015,5432.418380266319,2143.6238785651003,8537.174005601473,5062.411535342861
19,26238,27076,6884.00388840634,721.6195194249624,2220.5916915575635,7077.945616127505,527.6777917037971
23,26239,27077,10914.519382082617,6439.031996057056,3992.6768024850417,11675.586094529644,5677.965283610029
22,26239,27078,12649.190448504814,11294.897944287797,1959.7671944714432,13163.135675198928,10780.952717593684
20,26239,27062,13743.991231253574,7054.020289168086,3394.747278832944,14150.006303169064,6648.005217252596
21,26239,27063,15523.590494477216,11932.75319103527,1347.8892227653675,15645.9125640633,11810.431121449186
24,26240,27063,14665.822962198114,11525.56217760565,4148.754802598092,15697.298045724938,10494.087094078828
25,26240,27064,13873.14049982075,7972.307885320994,2321.0385521768585,14093.17548162403,7752.272903517716
26,26240,27079,11299.15851910212,7387.914390512827,1641.4773763874841,11464.401762330335,7222.671147284613
27,26240,27078,12130.325332745033,10952.685796759357,3465.045731460595,13371.353700379155,9711.657429125235
31,26241,27079,7648.591371037182,5932.0205519661295,-49.10155681746465,7648.942429945689,5931.669493057622
28,26241,27064,5323.659432391236,5118.015948888458,823.5649051363171,5645.263301106319,4796.412080173375
29,26241,27065,3619.524790476202,-461.63482381878885,3064.230553444995,4130.67834920073,-972.7883825433166
30,26241,27080,5933.296916345419,349.0203124166637,2191.0932820936696,6140.535006234108,141.78222252797468
32,26242,27065,3545.8915224220427,-485.9338022766801,-3036.194616381823,4053.572190892245,-993.6144707468827
33,26242,27066,5173.32075963914,4738.838005101899,-772.9525228864464,5399.427684111598,4512.731080629442
34,26242,27081,7518.559713138445,5554.82788317582,36.464899452816155,7518.728979413443,5554.658616900821
35,26242,27080,5882.503586998191,327.5549476154797,-2226.160124491359,6097.237619262595,112.8209153510752
38,26243,27082,11865.522703044764,10280.831528902141,-3479.383923035083,12984.80983444218,9161.544397504726
39,26243,27081,11080.499255492568,6969.98995441582,-1694.981929751117,11248.37586830895,6802.113341599436
36,26243,27066,13622.299259257346,7556.732056846393,-2325.4773075918665,13837.551610557945,7341.479705545797
37,26243,27067,14371.623019037272,10857.157009496657,-4113.491076218665,15319.583175870537,9909.196852663392
43,26244,27082,12314.598425346601,10583.609312200933,-2027.730935199969,12782.147009054284,10116.06072849325
42,26244,27083,10567.218120397025,5577.426210164889,-4026.071170149176,11278.06983058949,4866.574499972425
40,26244,27067,15173.4918233616,11235.294466445026,-1380.0471507893644,15290.893118568934,11117.893171237693
