,Element,NID,E1,E2,E12,E_max,E_min
0,14687,14570.0,-0.00023542349395828987,0.002104179979771387,0.000998336925741705,0.0022062293575802914,-0.00033747287176719436
1,14687,14569.0,0.0001958326555138657,0.0016752635472004373,0.0007285982720248766,0.0017601042251707704,0.0001109919775435324
2,14687,14992.0,-0.0005028207284630346,0.0010726631022525942,1.63252921380461e-05,0.0010727053921200725,-0.000502863018330513
3,14687,14989.0,-0.0009375473600267291,0.001514552799122496,0.000272764369478564,0.0015221148538669218,-0.0009451094147711549
4,14688,14992.0,-0.000156018238866625,0.0003306974754003209,-8.3895804561303e-05,0.0003342863192659561,-0.0001596070827322602
5,14688,14991.0,0.0004381146997368318,-0.0013395340471083527,0.0002498410421172057,0.0004468502983337233,-0.001348269645705244
6,14688,14986.0,0.00038232978425057317,-0.0005248586351286623,-0.00019524016570526598,0.00039271551770516484,-0.000535244368583254
7,14688,14989.0,-0.0003088703175873842,0.0010026077356130988,-0.000305186255667812,0.0010201281936610626,-0.000326390775635348
8,14689,14569.0,-0.00038956157638368846,0.0014595338819749309,0.0001944305263571821,0.0014646308757546131,-0.0003946585701633707
9,14689,14568.0,-0.00032031068589748787,0.0014117135131181185,0.00019702987629100378,0.0014172988835078164,-0.00032589605628718585
10,14689,14993.0,-0.0003502780030701474,0.0011756333969318718,-1.4485566084610673e-06,0.0011756337407126077,-0.00035027834685088323
11,14689,14992.0,-0.00041130097851365397,0.0012077332929111965,-4.175583310626993e-06,0.0012077359851746185,-0.0004113036707770759
15,14690,14992.0,-0.00010644173584464724,0.00011386806342350846,-0.0003299937134684393,0.00020210183444772795,-0.00019467550686886673
14,14690,14991.0,-0.00039121804887254304,0.000536003602993904,-0.00022738159045304558,0.0005497402342045568,-0.0004049546800831958
12,14690,14993.0,0.00034786849371606725,0.0002992570516066538,-0.0010184765530695979,0.0008333807699546314,-0.00018625522463191032
13,14690,14990.0,2.1868942387718888e-05,0.0008890328652865033,-0.0010129772778841395,0.00112217727850043,-0.0002112754708262079
16,14691,14568.0,8.702245489852225e-05,0.001629585484688978,0.0003444950725488071,0.0016485851785869744,6.802276100052599e-05
17,14691,14567.0,4.259079984991667e-06,0.0013259376702781332,0.0004948193662656264,0.0013707329302078395,-4.053617994471471e-05
18,14691,14990.0,0.000990352945882464,0.0006717879002761639,0.0005696806188726973,0.001157421344558526,0.0005047195016001018
19,14691,14993.0,0.001593156436832076,0.00039261521689604184,0.00033277368290987884,0.0016157898212329556,0.00036998183249516235
20,14692,14990.0,-0.00020100957749613982,0.001286564082186503,-1.832004565464516e-05,0.0012866204846620456,-0.00020106597997168242
21,14692,14985.0,0.00013206158256943705,0.0005764200016338984,0.00015423792504057384,0.000589423562577254,0.0001190580216260815
22,14692,14986.0,0.00027908087988210534,0.00024482084406477156,0.0001424230128479322,0.00033519371937756903,0.0001887080045693078
23,14692,14991.0,-0.0005667170444654937,0.0025121373926314514,-0.0003542164561446535,0.0025222918872103654,-0.0005768715390444077
27,14693,14567.0,-0.0003432353463331373,0.0012459163619875375,-0.000654177341115948,0.0013106063493582205,-0.00040792533370382023
24,14693,14566.0,0.00037550343687315106,0.000669879177024935,-0.0004521974407282682,0.0007924780754307026,0.0002529045384673835
25,14693,14994.0,0.0003793538209525525,0.00034950137837586623,-0.0006497840699269005,0.0006896623248468693,3.9192874481549416e-05
26,14693,14990.0,-0.00021397018166037854,0.0007931092228868463,-0.0008227090502707944,0.0009397731634169068,-0.00036063412219043906
31,14694,14990.0,0.00042607985567916945,-0.00021475890607478427,-0.0008592271662444331,0.0006416048846477426,-0.00043028393504335736
30,14694,14985.0,0.00057917684402937,-6.392182074814478e-05,-0.0004411717390813691,0.0006475660952671569,-0.00013231107198593173
28,14694,14994.0,0.0005986976148034087,-0.00035119937147226534,-0.0005456698262428508,0.0006714853364185108,-0.0004239870930873673
29,14694,14988.0,0.0006634740548519944,-9.397746940299434e-05,-0.00024032312271375395,0.0006820793936048288,-0.00011258280815582868
32,14695,14565.0,0.0007554151565777835,0.00032454717211340226,-0.00023836608123663382,0.0007861851492445521,0.0002937771794466336
33,14695,15015.0,0.0011328529756199721,-0.0007032168630997874,1.0729747499519976e-06,0.0011328531323779958,-0.0007032170198578109
34,14695,14994.0,0.0008235603709244683,-0.00044704778566639816,-0.00018035523241352993,0.0008299285410265675,-0.0004534159557684973
35,14695,14566.0,0.00047213283309592623,0.0005441882379885736,-0.0003979926800955138,0.0007103919344296713,0.0003059291366548286
36,14696,14571.0,0.0010805012714275185,0.002309916241198362,0.001603234642699672,0.0027053847913990274,0.0006850327212268533
37,14696,14570.0,0.0010633654085250134,0.0015940239094432507,0.0011914376372515404,0.0019808300145768808,0.0006765593033913832
38,14696,14989.0,0.00039340458510671804,0.0011167656947026555,0.0005791749602172779,0.001218414107652914,0.0002917561721564595
39,14696,14995.0,0.0003518739558402902,0.0017508436529777775,0.0008947453286487483,0.0018816728137825522,0.00022104479503551528
43,14698,14983.0,-0.0009696718836311042,0.0016026704475355178,0.000979989408186612,0.0016928462866052556,-0.001059847722700842
40,14698,14995.0,0.0012257400912818889,0.002107852708911531,0.00202504646788293,0.0027712120676859726,0.0005623807325074472
41,14698,14989.0,0.0010139665852980243,0.00045782457314276243,0.0002786474271673463,0.0010469174138040302,0.0004248737446367563
42,14698,14986.0,-0.0005138006734662246,0.0006216628763389175,-2.3708320407363182e-05,0.0006217866194584558,-0.000513924416585763
47,14699,14564.0,0.0001952074946269881,0.0009771488226101334,-0.0006039490964990181,0.0010801889762050852,9.216734103203626e-05
46,14699,14996.0,4.5535919985603517e-05,0.0008697576767969306,-0.0009845924336108892,0.0010996677802767823,-0.00018437418349424807
45,14699,14997.0,0.0008702505450512345,0.000575663927570762,-0.0008865862472879204,0.0011900804665936145,0.00025583400602838225
44,14699,14563.0,0.0010342019688824068,0.0006795865536707894,-0.0004987800830192797,0.0011628900389935575,0.0005508984835596387
48,14700,14997.0,0.0007772279810074223,-0.0011186482479183136,-3.425338258593568e-05,0.0007773826849996158,-0.001118802951910507
49,14700,14987.0,0.0004945469574526454,-0.00012574655410554594,0.0001477386873657044,0.0005032225504140879,-0.00013442214706698842
50,14700,14988.0,0.00048514671000862003,-0.00032366268016869183,6.255047173134905e-05,0.00048635426546006104,-0.00032487023562013283
51,14700,14996.0,0.000826310319112875,-0.0012049034395124898,-0.0002837832904705563,0.0008361743425052959,-0.0012147674629049106
55,14701,14565.0,0.0008078475240512266,0.00059763447514171,-0.00020099922572710613,0.0008481629844154176,0.000557319014777519
52,14701,14564.0,0.00018219594451340056,0.0010581190786099139,-0.0003826514021207956,0.0010980862281058897,0.00014222879501742477
53,14701,14996.0,0.0004561239656778104,0.001370657778580552,7.228511054026754e-05,0.0013720839155003024,0.0004546978287580599
