,Element,NID,S1,S2,S12,S_max,S_min
0,14687,14570,10888.987919319894,18955.332077993753,5379.203887101761,19769.884788318013,10074.435208995632
1,14687,14569,12545.778985874946,17335.906639562436,4107.760025254545,18095.958316297794,11785.72730913959
2,14687,14992,787.5384190805712,8312.929341439258,-1138.5854642859824,8355.752418967939,744.7153415518892
3,14687,14989,-854.139797115884,10069.002779690072,23.209124683980917,10069.01510816736,-854.1521255931711
4,14688,14992,443.2135673817628,2346.439911589202,-474.6723730327159,2375.589756096239,414.06372287472607
5,14688,14991,-3678.7207564850764,-10717.080761239215,1287.1861483151106,-3620.354122655394,-10775.447395068897
6,14688,14986,906.3964955330681,-3182.60351701897,-1890.1306126319557,1114.2571861403778,-3390.46420762628
7,14688,14989,3036.3163661786552,8042.773742590221,-1903.4683644590175,8217.59505748007,2861.4950512888054
8,14689,14569,4678.523065706639,12409.094351944546,351.3276449129246,12413.083948637504,4674.5334690136815
9,14689,14568,5112.624868924509,12317.241177733325,442.83351521016516,12324.03948058906,5105.8265660687775
10,14689,14993,3202.576385747704,9978.472441596254,-945.2572271978461,10011.280126421492,3169.768700922467
11,14689,14992,2761.633864250301,9957.50906717314,-1023.0753277766081,9993.691134295332,2725.45179712811
15,14690,14992,-458.3844366662442,576.9839965077592,-1307.0263425170572,893.0122082266313,-774.4126483851163
14,14690,14991,-2211.2615775269787,4523.508486629309,-503.839220949543,4532.918598530983,-2220.6716894286533
12,14690,14993,6398.353429217614,3936.3381154885296,-4406.734011812994,7691.272477702594,2643.41906700355
13,14690,14990,4943.3629115042195,9603.874912546791,-3914.490961566121,10316.792075026779,4230.445749024233
16,14691,14568,10751.782694309157,16662.702311043457,2125.321790431364,16847.941605916567,10566.543399436045
17,14691,14567,8243.087427317469,13000.353211213036,3396.677836662688,13544.433017457593,7699.007621072911
18,14691,14990,14375.759049759243,12168.878344117358,4618.541199167309,15831.676294917734,10712.961098958867
19,14691,14993,18619.058599826265,13094.01109404069,3088.16899719351,19021.299360148267,12691.770333718689
20,14692,14990,5292.796756462509,12043.670706502995,890.3176541485404,12072.898348395254,5263.569114570251
