,Element,NID,S1,S2,S12,S_max,S_min
0,14687,14570,6149.210518845567,12920.575557088767,6467.931524446596,16835.371400733246,2234.414675201091
1,14687,14569,7733.661874113,10602.89653900906,5220.323600817253,14582.141542066976,3754.416871055083
2,14687,14992,-1062.4844171540658,4918.195389487936,-738.672120453471,5008.077757193668,-1152.3667848597972
3,14687,14989,-2543.7649333073505,7443.745697871642,250.39136443640177,7450.0191809354765,-2550.0384163711856
4,14688,14992,1893.844936410015,2068.6651046734387,124.98433839412252,2133.772585601393,1828.7374554820608
5,14688,14991,-79.70014760960566,-7501.65633009456,2010.5711649933542,429.95616881513297,-8011.312646519298
6,14688,14986,1894.4106328945295,-2693.3013549093753,-1103.2092231558502,2145.912356645648,-2944.8030786604936
7,14688,14989,2217.772863802577,5846.965482661351,-950.6510491712639,6080.904548441574,1983.8337980223541
8,14689,14569,1964.025960762101,8892.186706275821,1116.5310877734762,9067.679728696468,1788.5329383414537
9,14689,14568,3135.1199527753297,8564.386069005664,925.3307916003367,8717.76098056133,2981.745041219665
10,14689,14993,554.8025093911838,6614.089328679194,-1126.6044558158055,6816.778944802085,352.11289326829274
11,14689,14992,-549.678007601668,6885.737040475067,-961.878859997925,7008.154537266411,-672.0955043930121
15,14690,14992,986.1468175765608,1491.7018518106934,-1125.143713298412,2392.113325594428,85.73534379282614
14,14690,14991,-1528.2187722259378,5543.928782686429,-11.320888540013243,5543.946904789784,-1528.2368943292918
12,14690,14993,6057.765543053051,3007.757273036089,-4386.318572153496,9176.620603607205,-111.09778751806516
13,14690,14990,3196.8101698949085,8453.344434160184,-3905.298083839385,10532.427006637168,1117.7275974179247
16,14691,14568,6190.72515169824,11340.308272113996,3102.4466052210555,12797.231795684407,4733.801628127831
17,14691,14567,5417.359908608734,9302.127830447644,4142.439577672481,11934.966389395886,2784.521349660492
18,14691,14990,10475.081031800131,7430.941247831027,5802.928276633247,14952.233867789226,2953.7884118419315
19,14691,14993,13750.399327230729,6185.258837547757,4485.777349244523,15835.540398068926,4100.117766709559
20,14692,14990,3097.64290873602,9242.187873641225,1214.6702999599183,9473.592455315835,2866.2383270614105
21,14692,14985,3140.8966512025227,5305.498455000725,1624.5812674671495,6175.283498150349,2271.1116080528973
22,14692,14986,3113.018040162935,2278.309277004706,1158.4230339719415,3926.975400369808,1464.3519167978327
23,14692,14991,3014.0897743604264,16012.54707168675,-1190.6764313045114,16120.7145358405,2905.9223102066753
27,14693,14567,1875.2307788468497,9672.097452612386,-1946.296289176981,10130.939838860184,1416.3883925990513
24,14693,14566,6945.132440583245,6569.872864123191,-1448.4210247560982,8218.025984034964,5296.979320671471
25,14693,14994,6086.511796549985,2804.2143397449017,-3902.009171427536,8678.452332814784,212.2738034801032
26,14693,14990,2391.8579359672945,5268.4638700214355,-4111.222866589564,8185.716996506166,-525.3951905174363
31,14694,14990,4273.95022288619,-1204.7504784617977,-3608.502794798558,6065.089113321454,-2995.8893688970616
30,14694,14985,6110.736139626405,1182.421375665447,-1557.2531515368357,6561.558857259008,731.598658032844
28,14694,14994,6559.975405573901,-850.3423562647502,-2157.4409423355596,7142.327895195895,-1432.6948458867432
29,14694,14988,7255.911274059782,1396.829221036507,-1233.674724756207,7505.07500774799,1147.665487348298
32,14695,14565,8823.387190264099,4584.039031058834,-1689.272135869724,9414.185127260258,3993.2410940626733
33,14695,15015,8508.953449137724,-1400.921947980364,-1431.9055018490178,8711.705249068005,-1603.6737479106464
34,14695,14994,6940.987071680149,-746.406525674872,-1871.9296690248045,7372.582750241951,-1178.002204236674
35,14695,14566,6892.136268941747,5357.8921291853485,-2080.399293700528,8342.34085324057,3907.6875448865253
36,14696,14571,17716.880516872978,17201.499156401052,11979.401107423857,29441.36223479706,5477.017438476971
37,14696,14570,15241.302452916578,11424.862421531478,9263.848823163968,22791.422600631457,3874.742273816597
38,14696,14989,6485.383726668507,7210.448635247773,3322.4037708982933,10190.04074435976,3505.791617556521
39,14696,14995,8022.8755572189975,12413.461208632947,5230.418366399657,15890.609381135771,4545.727384716174
43,14698,14983,-3237.9004908830793,8224.593929970844,5899.075646790659,10718.083072375228,-5731.389633287463
40,14698,14995,19522.780467616045,13042.207536626334,16354.939237526145,32955.331008511,-390.34300426861773
41,14698,14989,10077.491193542553,3592.7287694171864,2234.5516275734317,10772.908465484372,2897.3114974753685
42,14698,14986,-3615.927059692489,3517.003888743604,-1783.2152751077954,3937.96022519058,-4036.883396139465
47,14699,14564,6146.253215726323,8171.981669766426,-2834.648575748469,10169.287951267404,4148.946934225346
46,14699,14996,5643.5199437545725,6571.8808367277925,-5221.503291491836,11349.795401776226,865.6053787061392
45,14699,14997,11039.30576261624,5726.277401387342,-5847.554968476733,14805.48312847688,1960.1000355267015
44,14699,14563,11847.373688524654,7352.7072798935615,-3360.2335921515587,13642.524414299982,5557.556554118235
48,14700,14997,5312.682972445985,-4452.94813137015,356.3563961764971,5325.669458514043,-4465.934617438208
49,14700,14987,4572.131235210934,1987.1748476009354,1361.328602953402,5156.8092540532725,1402.4968287585975
50,14700,14988,2812.121274680292,-650.4628734265563,2112.5182120346158,3812.1485598117542,-1650.4901585580183
51,14700,14996,3679.476167511718,-7964.464991661409,507.63260752599626,3701.565161012611,-7986.553985162302
55,14701,14565,9194.45963634077,6618.898555369722,-1546.5810115946908,9919.212709457377,5894.145482253117
52,14701,14564,6049.507440520634,8421.38351743779,-2138.919747892428,9681.14102809958,4789.749929858843
53,14701,14996,7676.522379768181,12028.758096696185,1468.367753781884,12477.824573526072,7227.455902938295
54,14701,15015,11629.615505716947,9982.750125102908,2657.8807810015237,13588.694565876316,8023.671064943539
58,14702,14997,6395.68991289634,6097.373976286751,129.55555029412514,6444.0989968062995,6048.96489237679
59,14702,14563,12816.869629520254,2710.8633241544676,-3193.8967951967647,13741.643454894624,1786.0894987800975
56,14702,14562,10556.564199056733,3479.539322768787,-3586.7130774265347,12056.462321266305,1979.6412005592156
57,14702,14987,6411.221325812471,8625.654134094113,-2322.2604809518725,10091.144846394911,4945.730613511672
63,14703,14561,5655.963265250235,9024.997589424021,-5587.163992310029,13176.060908003215,1504.899946671042
62,14703,14987,7024.120216770514,4820.166295943665,-4707.4499050383765,10756.855019195473,1087.4314935187067
61,14703,14984,9975.887805801263,3653.7425811354774,-2817.096349255424,11049.010737066863,2580.6196498698773
60,14703,14560,10266.239243886745,7087.548844822233,-1800.612509211012,11078.60667737356,6275.181411335418
64,14705,14987,9443.996117598314,2053.0589261962004,-2353.2976146131023,10129.68008769047,1367.3749561040431
65,14705,14999,9259.402642052843,-1576.3014882422708,-3485.1416049634418,10283.548171322005,-2600.447017511433
66,14705,14998,7755.672058318297,-1545.030051432247,-5058.711062147442,9976.734434744656,-3766.0924278586062
67,14705,14988,7943.747080835977,2084.4313603967717,-3925.4566176182707,9912.262842972934,115.91559825981585
68,14706,14999,10344.557200480242,-2735.2853259576186,101.85206194245666,10345.350269169183,-2736.078394646559
69,14706,14981,8238.007949132363,-181.2061279422428,-1836.406078677545,8621.131983138568,-564.3301619484482
