,Element,NID,E1,E2,E12,E_max,E_min
134,33,85.0,0.009345794856209313,-0.003084112302783701,-6.360537097016561e-14,0.009345794856209313,-0.003084112302783701
129,33,61.0,0.009345794789487383,-0.003084112279902275,3.993805286484076e-12,0.009345794789487383,-0.003084112279902275
130,33,60.0,0.009345794856625341,-0.0030841123029535233,4.783673457353643e-14,0.009345794856625341,-0.0030841123029535233
131,33,46.0,0.009345794855793284,-0.003084112302607755,-1.0573486530773835e-13,0.009345794855793284,-0.003084112302607755
132,33,83.0,0.009345794789209955,-0.0030841122799406956,1.9842842646777825e-12,0.009345794789209955,-0.0030841122799406956
133,33,84.0,0.00934579482353395,-0.0030841122914279026,2.072883531489822e-12,0.00934579482353395,-0.0030841122914279026
128,33,47.0,0.009345794788932528,-0.0030841122799729753,4.4048098502003086e-14,0.009345794788932528,-0.0030841122799729753
135,33,82.0,0.009345794822840491,-0.00308411229129036,2.1212198664244397e-14,0.009345794822840491,-0.00308411229129036
137,34,62.0,0.009345794718576588,-0.0030841122544185556,6.499599469744766e-12,0.009345794718576588,-0.0030841122544185556
138,34,61.0,0.009345794789487383,-0.003084112279812881,4.288611132885478e-12,0.009345794789487383,-0.003084112279812881
139,34,47.0,0.009345794788932528,-0.0030841122799473847,4.4048098502003086e-14,0.009345794788932528,-0.0030841122799473847
140,34,87.0,0.009345794718810722,-0.0030841122548076402,2.6842156969353326e-12,0.009345794718810722,-0.0030841122548076402
141,34,88.0,0.009345794754330672,-0.0030841122671157184,5.497706456747409e-12,0.009345794754330672,-0.0030841122671157184
142,34,83.0,0.009345794789209955,-0.0030841122797875195,2.0384405968743025e-12,0.009345794789209955,-0.0030841122797875195
136,34,48.0,0.009345794719044854,-0.0030841122553819655,-8.753830993413203e-13,0.009345794719044854,-0.0030841122553819655
143,34,86.0,0.009345794754287375,-0.0030841122676646786,-3.1204899775261197e-13,0.009345794754287375,-0.0030841122676646786
151,35,89.0,0.009345794683547359,-0.0030841122415226664,2.349696825998393e-12,0.009345794683547359,-0.0030841122415226664
144,35,49.0,0.009345794648109846,-0.0030841122291387357,5.487799450976105e-12,0.009345794648109846,-0.0030841122291387357
150,35,87.0,0.009345794718810722,-0.003084112255280949,2.6526576074603625e-12,0.009345794718810722,-0.003084112255280949
149,35,91.0,0.0093457946826389,-0.003084112240309007,1.929054138649633e-12,0.0093457946826389,-0.003084112240309007
148,35,90.0,0.009345794647435518,-0.0030841122303391505,1.3190316894284848e-12,0.009345794647435518,-0.0030841122303391505
147,35,48.0,0.009345794719044854,-0.0030841122539066006,-8.753830993413203e-13,0.009345794719044854,-0.0030841122539066006
146,35,62.0,0.009345794718576588,-0.0030841122528668663,6.400796559447031e-12,0.009345794718576588,-0.0030841122528668663
145,35,63.0,0.009345794646761187,-0.0030841122277511443,-2.6296395616576262e-12,0.009345794646761187,-0.0030841122277511443
324,36,94.0,0.009345794611896727,-0.0030841122240060186,1.5378871787152804e-11,0.009345794611896727,-0.0030841122240060186
323,36,9.0,0.009345794577392779,-0.003084112213429982,-3.537148872412299e-11,0.009345794577392779,-0.003084112213429982
322,36,49.0,0.009345794648109846,-0.0030841122369279564,5.487797716252629e-12,0.009345794648109846,-0.0030841122369279564
321,36,63.0,0.009345794646761187,-0.0030841122356122797,-3.1211144779774713e-12,0.009345794646761187,-0.0030841122356122797
320,36,8.0,0.009345794577392779,-0.0030841122123997627,3.395022110663781e-11,0.009345794577392779,-0.0030841122123997627
326,36,92.0,0.009345794612571056,-0.003084112225178969,-1.497752616375081e-11,0.009345794612571056,-0.003084112225178969
325,36,90.0,0.009345794647435518,-0.00308411222634853,1.351927250703433e-12,0.009345794647435518,-0.00308411222634853
159,37,84.0,0.009345794823631199,-0.0030841122914279026,2.091729567332834e-12,0.009345794823631199,-0.0030841122914279026
157,37,96.0,0.009345794826229704,-0.003084112291889294,6.137368391279097e-12,0.009345794826229704,-0.003084112291889294
156,37,95.0,0.009345794790295178,-0.0030841122798764206,7.73757793948171e-12,0.009345794790295178,-0.0030841122798764206
155,37,60.0,0.009345794856118462,-0.0030841123029535233,-1.5826229216031606e-13,0.009345794856118462,-0.0030841123029535233
154,37,59.0,0.009345794859439111,-0.0030841123039125617,2.8255175976710234e-13,0.009345794859439111,-0.0030841123039125617
153,37,64.0,0.009345794791233361,-0.0030841122798660296,1.174334240960917e-11,0.009345794791233361,-0.0030841122798660296
152,37,61.0,0.009345794789356997,-0.003084112279902268,4.092878813644063e-12,0.009345794789356997,-0.003084112279902268
158,37,97.0,0.009345794857778787,-0.003084112303425292,-1.1838446889456122e-13,0.009345794857778787,-0.003084112303425292
167,38,88.0,0.009345794754328694,-0.0030841122671157184,4.921521523648664e-12,0.009345794754328694,-0.0030841122671157184
160,38,62.0,0.009345794718723998,-0.0030841122544185556,4.7582979223470545e-12,0.009345794718723998,-0.0030841122544185556
161,38,65.0,0.009345794716522367,-0.0030841122508132868,1.479151523486877e-11,0.009345794716522367,-0.0030841122508132868
166,38,95.0,0.009345794790295178,-0.003084112279452454,7.934018025901324e-12,0.009345794790295178,-0.003084112279452454
165,38,99.0,0.00934579475416606,-0.0030841122649045948,1.399422244752202e-11,0.00934579475416606,-0.0030841122649045948
164,38,98.0,0.009345794717623179,-0.003084112252663994,9.265158085192127e-12,0.009345794717623179,-0.003084112252663994
