,Element,NID,S1,S2,S12,S_max,S_min
134,33,85,100000.00496050993,-2.8173235477879643e-06,-2.5585619149653084e-07,100000.00496050993,-2.8173235477879643e-06
129,33,61,100000.00425000569,7.547532732132822e-06,1.606530697946602e-05,100000.00425000569,7.5475400080904365e-06
130,33,60,100000.00496483252,-3.2079697120934725e-06,1.924259623822706e-07,100000.00496483252,-3.2079697120934725e-06
131,33,46,100000.00495621162,-2.3531465558335185e-06,-4.253244581927821e-07,100000.00495621162,-2.3531465558335185e-06
132,33,83,100000.00424652219,5.986876203678548e-06,7.98189535039559e-06,100000.00424652219,5.986876203678548e-06
133,33,84,100000.00461315381,4.062196239829063e-06,8.338290897346276e-06,100000.00461315381,4.062196239829063e-06
128,33,47,100000.00424306304,4.499968781601638e-06,1.7718596013963647e-07,100000.00424306304,4.499976057559252e-06
135,33,82,100000.00460537201,2.9659131541848183e-06,8.53272653035395e-08,100000.00460537201,2.9659131541848183e-06
137,34,62,100000.00349951474,3.256131458329037e-05,2.614500538581541e-05,100000.00349951474,3.2561307307332754e-05
138,34,61,100000.00425035991,8.620940207038075e-06,1.7251180121005494e-05,100000.00425035991,8.620947482995689e-06
139,34,47,100000.00424316445,4.807247023563832e-06,1.7718596013963647e-07,100000.00424316445,4.807239747606218e-06
140,34,87,100000.00350078437,2.881709224311635e-05,1.0797409006469194e-05,100000.00350078437,2.8817099519073963e-05
141,34,88,100000.00387852383,2.1774678316432983e-05,2.2114834243307246e-05,100000.00387852383,2.177467104047537e-05
142,34,83,100000.00424712915,7.826158253010362e-06,8.1997422505846e-06,100000.00424712915,7.826150977052748e-06
136,34,48,100000.00350131997,2.2848551452625543e-05,-3.5212778808090705e-06,100000.00350131997,2.284854417666793e-05
143,34,86,100000.00387582867,1.5011406503617764e-05,-1.2552346902078751e-06,100000.00387582867,1.5011406503617764e-05
151,35,89,100000.00312999687,4.86064309370704e-05,9.45178798427925e-06,100000.00312999687,4.8606438213028014e-05
144,35,49,100000.00275354786,5.688631790690124e-05,2.2074982753926437e-05,100000.00275354786,5.688631790690124e-05
150,35,87,100000.00349890887,2.3133768991101533e-05,1.0670464811964616e-05,100000.00349890887,2.3133776267059147e-05
149,35,91,100000.00312389756,5.9579826483968645e-05,7.759729053966569e-06,100000.00312389756,5.957981920801103e-05
148,35,90,100000.0027406941,3.9800135709811e-05,5.3058793522123265e-06,100000.0027406941,3.980012843385339e-05
147,35,48,100000.00350716613,4.056419129483402e-05,-3.5212778808090705e-06,100000.00350716613,4.056419129483402e-05
146,35,62,100000.00350566334,5.119343404658139e-05,2.5747565107550086e-05,100000.00350566334,5.119343404658139e-05
145,35,63,100000.00274285201,6.820390990469605e-05,-1.0577873424713008e-05,100000.00274285201,6.820390990469605e-05
324,36,94,100000.00233905256,-2.4977060093078762e-05,6.186237899343421e-05,100000.00233905256,-2.4977052817121148e-05
323,36,9,100000.00196664961,-3.470644151093438e-05,-0.00014228380802560752,100000.00196664961,-3.470643423497677e-05
322,36,49,100000.00272268293,-3.664377436507493e-05,2.2074975775903433e-05,100000.00272268293,-3.664377436507493e-05
321,36,63,100000.00271170211,-2.618970029288903e-05,-1.2554858990360504e-05,100000.00271170211,-2.6189693016931415e-05
320,36,8,100000.00197073189,-2.2335945686791092e-05,0.00013656667888760324,100000.00197073189,-2.2335938410833478e-05
326,36,92,100000.00234250182,-3.638937778305262e-05,-6.0247943591027695e-05,100000.00234250182,-3.638937778305262e-05
325,36,90,100000.002756507,8.7718028225936e-05,5.438203602453659e-06,100000.002756507,8.7718028225936e-05
159,37,84,100000.00461432153,4.447545506991446e-06,8.414100139271174e-06,100000.00461432153,4.447545506991446e-06
157,37,96,100000.00464369514,9.203948138747364e-06,2.4687910446122684e-05,100000.00464369514,9.20394086278975e-06
156,37,95,100000.00425980784,1.1058880772907287e-05,3.112484359114823e-05,100000.00425980784,1.1058873496949673e-05
155,37,60,100000.00495874611,-5.216483259573579e-06,-6.366189947802187e-07,100000.00495874611,-5.216483259573579e-06
