,Element,NID,S1,S2,S12,S_max,S_min
0,1,1,18789.01322617989,62.538509032866386,19.961581548798716,18789.01854571588,62.53318949687855
1,1,2,18785.208214656825,51.008171084177775,-57.98923112835865,18785.253089042497,50.96329669850638
2,1,25,18552.519221590683,-25.77919662764907,-61.8518943411703,18552.570701631354,-25.830676668321757
3,1,24,18556.324233113748,-14.24885867896046,16.098918335987932,18556.327722170354,-14.252347735564399
4,2,2,18895.154259040537,87.29036573080157,-12.832049912871728,18895.156447772424,87.2881769989126
5,2,3,18882.597077682043,49.23830100809664,-107.82541504433924,18882.75140789202,49.08397079811948
6,2,26,18599.034793707506,-44.33725270350078,-120.57285672644262,18599.229737810565,-44.53219680656184
7,2,25,18611.591975066,-6.285187980795854,-25.57949159497511,18611.60076111174,-6.2939740265373985
8,3,3,19120.41102161852,127.71690250713527,-42.58193806694214,19120.434888942975,127.69303518268316
9,3,4,19095.719311264562,52.89353779816338,-175.12203585150849,19096.121917992117,52.490931070607985
10,3,27,18700.077228325565,-77.66834957170613,-200.18786302901495,18700.610759383864,-78.20188063000751
11,3,26,18724.768938679525,-2.8449848627342362,-67.64776524444949,18724.830027684693,-2.906073867903615
15,4,27,18907.578946832273,-9.192782464491756,-105.07225094543827,18907.72485033163,-9.338685963850367
14,4,28,18865.37263828695,-137.09068714728528,-296.3137602950018,18866.527705742064,-138.24575460239794
12,4,4,19478.44912399515,179.19437599925732,-62.22645287670392,19478.499282944606,179.1442170497994
13,4,5,19436.242815449827,51.296471316463794,-253.46796222626747,19437.07133543839,50.46795132789521
16,5,5,19924.986787256406,212.5819820126353,-51.63066977440745,19925.020594921123,212.54817434791948
17,5,6,19861.930233479812,21.501516022962278,-301.2788882738621,19863.073905043988,20.35784445878744
18,5,29,19116.711670794888,-224.42060966306417,-365.29084438040337,19118.436304875286,-226.14524374346183
19,5,28,19179.76822457148,-33.34014367339114,-115.64262588095218,19179.942234621627,-33.51415372353949
20,6,6,20277.171151393544,158.53101893449366,6.115029658615361,20277.171616056992,158.53055427104482
21,6,7,20219.016845806742,-17.694149510363786,-241.98837650246932,20219.74023758213,-18.417541285751213
22,6,30,19478.40966323634,-262.0945197585961,-301.0238079314948,19479.55717782035,-263.2420343426056
23,6,29,19536.563968823146,-85.86935131373866,-52.92040177040663,19536.599649462056,-85.90503195264864
24,7,7,20316.50001396134,14.475295980653755,89.01467127012461,20316.597585185526,14.377724756468524
25,7,8,20318.27256872429,19.84667405019536,-74.5487202920944,20318.341016063332,19.778226711150637
26,7,31,19830.023638687813,-141.275472861842,-72.74930863879808,19830.08988931479,-141.3417234888202
27,7,30,19828.251083924864,-146.6468509313836,90.81408292342093,19828.35430291336,-146.75006991988266
31,8,31,19931.695297750048,-107.72382537130488,152.89954763507623,19931.986947064906,-108.01547468616263
30,8,10,20008.393893156932,124.69616071015753,98.72567964425468,20008.516439524843,124.57361434224913
28,8,8,20093.40833652864,-54.35852257436909,75.03885229777913,20093.478205436033,-54.428391481764265
29,8,9,20170.106931935523,178.06146350709332,20.864984306964562,20170.112375943892,178.05601949872107
32,9,24,18610.876749232368,151.06179622594664,16.098918335987932,18610.880259223166,151.05828623514935
33,9,25,18612.053960175806,154.62910211515737,-111.71275299705746,18612.222992760122,154.4600695308418
34,9,32,18230.526583062237,28.72506766767947,-110.51770552417274,18230.694341877923,28.557308851992275
35,9,23,18229.3493721188,25.15776177846874,17.29396580887353,18229.3534794309,25.15365446636679
36,10,25,18671.126713651123,174.12311076201058,-75.44035025086227,18671.203634525726,174.04618988740913
37,10,26,18672.877047602437,179.4271530387141,-223.97382560070596,18673.555158440366,178.74904220078133
38,10,33,18229.49353909544,33.11059523140648,-222.19697143801042,18230.171828483537,32.43230584330922
39,10,32,18227.74320514413,27.806552954702966,-73.66349608816759,18227.817742332587,27.73201576624342
43,11,33,18233.721070718024,34.5056806668581,-175.78803560541107,18234.14554935723,34.08120202765167
42,11,34,18229.05250507441,20.358512049845558,-365.0262264273154,18230.881724153234,18.529292971023096
41,11,27,18793.942626930842,206.7722522624681,-360.2869249406137,18795.688380521147,205.02649867216314
40,11,26,18798.611192574455,220.91942087948064,-171.04873411871108,18799.004904691203,220.5257087627342
44,12,27,19001.44434543755,275.2478193696825,-265.17131285703874,19002.383034462255,274.3091303449746
45,12,28,18973.26119056407,189.84431975308325,-508.8198241573001,18976.706385569873,186.39912474728044
46,12,35,18245.952201608066,-50.167646602398236,-537.4299965288644,18249.89796616543,-54.11341115976211
47,12,34,18274.135356481547,35.235853014200984,-293.7814852285996,18275.318294680143,34.05291481560562
48,13,28,19287.6567768486,293.5948632269774,-328.14868974324696,19289.07397672464,292.1776633509344
49,13,29,19203.199732299476,37.664425199325706,-618.3285007108296,19208.185644398836,32.67851309996513
50,13,36,18336.991341351477,-248.1843438135138,-704.0651974500954,18343.6570044369,-254.85000689893968
51,13,35,18421.4483859006,7.746094214137884,-413.88538648251284,18423.7738210553,5.420659059434911
54,14,37,18675.23755240582,-559.1288889762682,-729.9116535141311,18682.159789149526,-566.0511257199742
55,14,36,18831.725839116094,-84.9219595511895,-464.8173794582358,18834.580766110994,-87.77688654609119
52,14,29,19623.052030327734,176.2156835486512,-305.95805810082936,19624.255369260984,175.01234461539934
53,14,30,19466.56374361746,-297.99124587642746,-571.0523321567351,19470.687701102634,-302.11520336160174
59,15,37,19522.982100063447,-279.37318824925205,-234.034116068904,19523.673558910457,-280.06464709625834
58,15,38,19468.980629397367,-443.014008449486,-332.3308425901538,19470.367181835165,-444.40056088728124
56,15,30,19816.405164305983,-182.54357704921495,-179.21444130181942,19816.80665004935,-182.94506279258167
57,15,31,19762.403693639906,-346.1843972494489,-277.51116782306923,19763.361105236516,-347.1418088460596
60,16,31,19864.075352702137,-312.6327497589118,-51.8623115491949,19864.108679433422,-312.66607649019716
61,16,10,20122.234197858463,469.66678101782327,-99.93220802017592,20122.36123446181,469.53974441447644
62,16,11,19978.741969586878,422.31434568819986,162.13813479003224,19979.078026911877,421.9782883632015
63,16,38,19720.583124430552,-359.9851850885352,210.20803126102024,19721.133235926834,-360.53529658481966
64,17,23,18303.36320795479,249.44211279662886,17.29396580887353,18303.367349453794,249.43797129762424
65,17,32,18310.337139889678,270.5752398720433,-123.58861692233052,18310.5488107407,270.36356902101943
66,17,39,17889.79211681146,131.79538225623037,-116.50901935206693,17889.983216710236,131.6042823574553
67,17,22,17882.818184876574,110.66225518081592,24.373563379137547,17882.826541632992,110.65389842439981
71,18,39,17832.011222738794,112.72768721225111,-67.91394947360553,17832.07629714749,112.66261280355684
70,18,40,17850.550778393117,168.9081588920153,-227.2207001165845,17851.280732000134,168.17820528499942
68,18,32,18307.55376197157,269.6567251590668,-86.73440748632537,18307.658025982262,269.5524611483743
69,18,33,18326.09331762589,325.837196838831,-246.04115812930434,18326.934047665778,324.9964667989443
72,19,33,18330.320849248474,327.2322822742826,-199.632222296705,18330.874251502406,326.6788800203485
73,19,34,18351.150656914728,390.3529115659576,-397.7571238121959,18353.35255432454,388.15101415614663
74,19,41,17759.73304045058,195.18509813278888,-376.6117129994828,17761.75159630188,193.16654228148946
75,19,40,17738.903232784327,132.06446884111392,-178.48681148399368,17739.3555672987,131.61213432674413
76,20,34,18396.233508321864,405.230252530313,-326.51238261348004,18397.714825918178,403.7489349339994
77,20,35,18396.673957561616,406.56494719622515,-588.8602485047244,18401.49137642733,401.74752833051207
78,20,42,17613.545999677306,148.13272109440277,-588.4131257916442,17618.500531979542,143.17818879216793
79,20,41,17613.105550437554,146.79802642849063,-326.0652599003999,17614.627184190005,145.27639267604172
82,21,43,17427.462448734925,-86.01994023630141,-892.3036968481383,17438.82069592158,-97.37818742295713
80,21,35,18572.17014185415,464.47868801276127,-465.3156384583728,18575.158967233096,461.4898626338163
81,21,36,18508.197658921246,270.62267912518473,-827.3619338707947,18517.576317178355,261.2440208680782
83,21,42,17491.434931667827,107.83606865127513,-530.2574014357128,17495.477643707924,103.79335661117875
87,22,43,17508.758574903615,-59.19221860063408,-808.1008789525278,17518.04653872404,-68.48018242105718
86,22,44,17292.055196353514,-715.869123297909,-1308.6490288495781,17315.799010126553,-739.6129370709441
85,22,37,18786.228778135763,-222.7918413097659,-1088.6622657759888,18801.80316393212,-238.36622710612392
84,22,36,19002.932156685863,433.88506338750904,-588.1141158789351,19007.587639510013,429.22958056335847
88,23,37,19633.97332579339,56.963859417250205,-592.7847283307617,19638.45962421465,52.477560995988824
89,23,38,19263.668353080157,-1065.172421531949,-1057.8614358337393,19277.421157179277,-1078.9252256310701
90,23,45,17875.37967396679,-1523.30768563936,-1433.7770899517116,17901.836578426864,-1549.7645900994357
91,23,44,18245.684646680023,-401.17140469016067,-968.7003824487341,18258.257116810542,-413.7438748206787
92,24,38,19515.27084811334,-982.1435981709983,-515.3225619825652,19518.5092491641,-985.3819992217577
93,24,11,19962.109677855467,371.9134616536285,-429.5254665820942,19964.46378851698,369.5593509921182
94,24,12,20218.220410394206,456.43000339141327,24.083648459156304,20218.22774806321,456.42266572240806
95,24,45,19771.38158065208,-897.6270564332135,-61.713446941321656,19771.427646492877,-897.6731222740109
98,25,20,17593.72629457087,231.64456312554012,-87.50360902907975,17593.8365468017,231.5343108947127
99,25,21,17582.089536411153,196.38165961123104,36.18663605643106,17582.10836611915,196.3628299032298
96,25,22,17951.314148606707,318.2257816357642,24.373563379137547,17951.32257127062,318.2173589718532
97,25,39,17962.950906766426,353.48868515007325,-99.31668170637349,17963.090941207887,353.3486507086127
