,Element,NID,E1,E2,E12,E_max,E_min
0,1,1.0,0.0018691588879164644,-0.0006168224318563011,3.646756074199287e-12,0.0018691588879164644,-0.0006168224318563011
1,1,2.0,0.0018691588879164644,-0.0006168224318413337,-3.524540685348465e-12,0.0018691588879164644,-0.0006168224318413338
2,1,25.0,0.0018691588807451677,-0.0006168224318413337,-3.5095732743573027e-12,0.0018691588807451677,-0.0006168224318413337
3,1,24.0,0.0018691588807451677,-0.0006168224318563011,3.661723485190449e-12,0.0018691588807451679,-0.0006168224318563012
4,2,2.0,0.0018691588878041103,-0.0006168224318413337,3.760732177060522e-12,0.0018691588878041103,-0.0006168224318413336
5,2,3.0,0.0018691588878041103,-0.0006168224317967038,-3.3804187747621395e-12,0.0018691588878041103,-0.0006168224317967038
6,2,26.0,0.0018691588806629591,-0.0006168224317967038,-3.335789110214815e-12,0.0018691588806629593,-0.0006168224317967039
7,2,25.0,0.0018691588806629591,-0.0006168224318413337,3.805362275288715e-12,0.0018691588806629591,-0.0006168224318413337
11,3,26.0,0.0018691588804810731,-0.0006168224317967038,3.966904712701669e-12,0.0018691588804810731,-0.0006168224317967038
10,3,27.0,0.0018691588804810731,-0.0006168224317061727,-3.1216322929350504e-12,0.0018691588804810731,-0.0006168224317061726
8,3,3.0,0.0018691588875696104,-0.0006168224317967038,3.876374048139564e-12,0.0018691588875696104,-0.0006168224317967038
9,3,4.0,0.0018691588875696104,-0.0006168224317061727,-3.212163608018459e-12,0.0018691588875696104,-0.0006168224317061726
15,4,27.0,0.0018691588801938866,-0.0006168224317061727,4.112717111315334e-12,0.0018691588801938866,-0.0006168224317061728
12,4,4.0,0.001869158887202525,-0.0006168224317061727,4.0099642356627996e-12,0.001869158887202525,-0.0006168224317061728
13,4,5.0,0.001869158887202525,-0.0006168224316034203,-2.9986742255960763e-12,0.001869158887202525,-0.0006168224316034202
14,4,28.0,0.0018691588801938866,-0.0006168224316034203,-2.895921349943542e-12,0.0018691588801938866,-0.0006168224316034202
19,5,28.0,0.0018691588799669414,-0.0006168224316034203,4.261233726987612e-12,0.0018691588799669414,-0.0006168224316034202
18,5,29.0,0.0018691588799669414,-0.0006168224315904361,-2.332724291509436e-12,0.0018691588799669414,-0.0006168224315904361
16,5,5.0,0.0018691588865609012,-0.0006168224316034203,4.248251056493402e-12,0.0018691588865609012,-0.0006168224316034202
17,5,6.0,0.0018691588865609012,-0.0006168224315904361,-2.3457095640888603e-12,0.0018691588865609012,-0.0006168224315904361
20,6,6.0,0.0018691588850322082,-0.0006168224315904361,4.4979332758376955e-12,0.0018691588850322082,-0.0006168224315904361
21,6,7.0,0.0018691588850322082,-0.000616822431320761,-4.921722751571878e-13,0.0018691588850322082,-0.0006168224313207608
22,6,30.0,0.0018691588800420992,-0.000616822431320761,-2.2249910247573723e-13,0.0018691588800420992,-0.0006168224313207608
23,6,29.0,0.0018691588800420992,-0.0006168224315904361,4.767609917966098e-12,0.0018691588800420992,-0.0006168224315904361
27,7,30.0,0.0018691588796263363,-0.000616822431320761,5.384154927456919e-12,0.0018691588796263363,-0.0006168224313207608
24,7,7.0,0.001869158882256165,-0.000616822431320761,4.280300072712073e-12,0.001869158882256165,-0.0006168224313207608
25,7,8.0,0.001869158882256165,-0.0006168224302169074,1.6504714261955655e-12,0.001869158882256165,-0.0006168224302169075
26,7,31.0,0.0018691588796263363,-0.0006168224302169074,2.7543262809404112e-12,0.0018691588796263363,-0.0006168224302169075
28,8,8.0,0.0018691588793794157,-0.0006168224302169074,2.055140779777531e-12,0.0018691588793794157,-0.0006168224302169075
29,8,9.0,0.0018691588793794157,-0.0006168224289406208,1.3218922484403706e-12,0.0018691588793794157,-0.0006168224289406208
30,8,10.0,0.0018691588786461672,-0.0006168224289406208,2.598178616697311e-12,0.0018691588786461672,-0.0006168224289406208
31,8,31.0,0.0018691588786461672,-0.0006168224302169074,3.3314271480344715e-12,0.0018691588786461672,-0.0006168224302169075
34,9,32.0,0.0018691588737695304,-0.0006168224295887809,-3.295251224666451e-12,0.0018691588737695304,-0.000616822429588781
35,9,23.0,0.0018691588737695304,-0.0006168224296074435,3.6803860740258765e-12,0.0018691588737695304,-0.0006168224296074434
32,9,24.0,0.0018691588807451677,-0.0006168224296074435,3.661723485190449e-12,0.0018691588807451677,-0.0006168224296074435
33,9,25.0,0.0018691588807451677,-0.0006168224295887809,-3.3139138135018786e-12,0.0018691588807451677,-0.0006168224295887809
39,10,32.0,0.0018691588737429986,-0.0006168224295887809,3.988815788086297e-12,0.0018691588737429986,-0.000616822429588781
38,10,33.0,0.0018691588737429986,-0.0006168224296009869,-2.931144910123251e-12,0.0018691588737429986,-0.0006168224296009868
37,10,26.0,0.0018691588806629591,-0.0006168224296009869,-2.918938745224975e-12,0.0018691588806629591,-0.0006168224296009869
36,10,25.0,0.0018691588806629591,-0.0006168224295887809,4.001021736144139e-12,0.0018691588806629591,-0.0006168224295887809
40,11,26.0,0.0018691588804810731,-0.0006168224296009869,4.38375464401064e-12,0.0018691588804810731,-0.0006168224296009868
41,11,27.0,0.0018691588804810731,-0.000616822429530628,-2.438188973635791e-12,0.0018691588804810731,-0.000616822429530628
42,11,34.0,0.0018691588736591295,-0.000616822429530628,-2.3678298904927786e-12,0.0018691588736591295,-0.000616822429530628
