,Element,NID,S1,S2,S12,S_max,S_min
0,1,1,20000.000105287363,1.3882408893550746e-05,1.4669281952606153e-05,20000.000105287363,1.388241071254015e-05
1,1,2,20000.000105346673,1.4062132322578691e-05,-1.4177663659108488e-05,20000.000105346673,1.4062130503589287e-05
2,1,25,20000.000019236388,-1.4354262020788155e-05,-1.4117456404369602e-05,20000.000019236388,-1.4354263839777559e-05
3,1,24,20000.000019177078,-1.45339854498161e-05,1.472948920734504e-05,20000.000019177078,-1.4533983630826697e-05
4,2,2,20000.00010399757,1.3616926480608527e-05,1.5127757253589316e-05,20000.00010399757,1.3616925571113825e-05
5,2,3,20000.000104174414,1.4152825315250084e-05,-1.3597925146599584e-05,20000.000104174414,1.4152825315250084e-05
6,2,26,20000.000018426104,-1.4144115993985906e-05,-1.3418399804247566e-05,20000.000018426104,-1.4144115993985906e-05
7,2,25,20000.00001824926,-1.4680014828627463e-05,1.5307284340447086e-05,20000.00001824926,-1.4680015738122165e-05
11,3,26,20000.000016242087,-1.4864842341921758e-05,1.5957097904476637e-05,20000.000016242087,-1.486484325141646e-05
10,3,27,20000.000016600818,-1.3777778804069385e-05,-1.2556941930227458e-05,20000.000016600818,-1.3777778804069385e-05
8,3,3,20000.000101358626,1.3223615496826824e-05,1.5592933201162906e-05,20000.000101358626,1.3223616406321526e-05
9,3,4,20000.000101717356,1.4310679034679197e-05,-1.2921109250299817e-05,20000.000101717356,1.43106808536686e-05
15,4,27,20000.000013152385,-1.4915761312295217e-05,1.6543636500403786e-05,20000.000013152385,-1.4915760402800515e-05
12,4,4,20000.00009730953,1.28560968732927e-05,1.6130307263756376e-05,20000.00009730953,1.28560968732927e-05
13,4,5,20000.00009771669,1.4089911019254941e-05,-1.2062336170630833e-05,20000.00009771669,1.408991010976024e-05
14,4,28,20000.000013559544,-1.3681947166332975e-05,-1.1649006933983422e-05,20000.000013559544,-1.3681947166332975e-05
19,5,28,20000.000010834472,-1.4581220966647379e-05,1.714105296194265e-05,20000.000010834472,-1.4581219147657976e-05
18,5,29,20000.000010885924,-1.4425311746890657e-05,-9.383515007199611e-06,20000.000010885924,-1.442531356588006e-05
16,5,5,20000.000090012305,1.154746405518381e-05,1.708882943777421e-05,20000.000090012305,1.1547464964678511e-05
17,5,6,20000.000090063757,1.1703373274940532e-05,-9.43574899840256e-06,20000.000090063757,1.1703374184435233e-05
20,6,6,20000.00007170778,5.645900273520965e-06,1.8093190244911033e-05,20000.00007170778,5.645899364026263e-06
21,6,7,20000.00007277637,8.884059752745088e-06,-1.9797907308954546e-06,20000.00007277637,8.88406066223979e-06
22,6,30,20000.00001285698,-1.0889338227570988e-05,-8.95015186650522e-07,20000.00001285698,-1.0889336408581585e-05
23,6,29,20000.00001178839,-1.4127497706795111e-05,1.9177979745201973e-05,20000.00001178839,-1.4127497706795111e-05
27,7,30,20000.00000786465,-1.253680693480419e-05,2.1658066813454524e-05,20000.00000786465,-1.2536806025309488e-05
24,7,7,20000.000039442664,-2.1160631149541587e-06,1.7217748412789168e-05,20000.000039442664,-2.1160631149541587e-06
25,7,8,20000.000043816704,1.1138602530991193e-05,6.639114383568628e-06,20000.000043816704,1.1138603440485895e-05
26,7,31,20000.000012238692,7.178587111411616e-07,1.1079432784233986e-05,20000.000012238692,7.178605301305652e-07
28,8,8,20000.00000927376,-2.605684130685404e-07,8.266919678052475e-06,20000.00000927376,-2.6056659407913685e-07
29,8,9,20000.000014331068,1.5064610124682076e-05,5.3173861121473555e-06,20000.000014331068,1.5064608305692673e-05
30,8,10,20000.00000552649,1.2159099242126103e-05,1.0451319999496702e-05,20000.00000552649,1.2159100151620805e-05
31,8,31,20000.000000469183,-3.166079295624513e-06,1.3400853565401821e-05,20000.000000469183,-3.1660783861298114e-06
34,9,32,19999.99994440129,-1.4947529962228145e-05,-1.3255333873658281e-05,19999.99994440129,-1.4947530871722847e-05
35,9,23,19999.999944327337,-1.5171623999776784e-05,1.4804560523337173e-05,19999.999944327337,-1.5171623090282083e-05
32,9,24,20000.000028088216,1.2469466128095519e-05,1.472948920734504e-05,20000.000028088216,1.246946703759022e-05
33,9,25,20000.00002816217,1.2693560165644158e-05,-1.3330405189650415e-05,20000.00002816217,1.2693559256149456e-05
39,10,32,19999.99994408271,-1.5052663002279587e-05,1.6045236440798265e-05,19999.99994408271,-1.5052661183290184e-05
38,10,33,19999.99994403434,-1.5199228073470294e-05,-1.1790695691097289e-05,19999.99994403434,-1.5199228073470294e-05
37,10,26,20000.000027126673,1.2221242286614142e-05,-1.1741595704476404e-05,20000.000027126673,1.2221240467624739e-05
36,10,25,20000.00002717504,1.236780735780485e-05,1.6094335555166273e-05,20000.00002717504,1.236780735780485e-05
40,11,26,20000.000024942656,1.150051593867829e-05,1.7633900259742047e-05,20000.000024942656,1.1500516848172992e-05
41,11,27,20000.000025221452,1.234535920957569e-05,-9.807752638309385e-06,20000.000025221452,1.2345357390586287e-05
42,11,34,19999.999943306073,-1.4686716895084828e-05,-9.524729258749148e-06,19999.999943306073,-1.4686716895084828e-05
43,11,33,19999.999943027273,-1.5531560165982228e-05,1.7916921894796534e-05,19999.999943027273,-1.553156107547693e-05
46,12,35,19999.99994122595,-1.4586162251362111e-05,-7.4922195640519064e-06,19999.99994122595,-1.4586163160856813e-05
47,12,34,19999.999940934504,-1.546933526697103e-05,1.9588688734211057e-05,19999.999940934504,-1.5469333447981626e-05
44,12,27,20000.00002177302,1.1207376701349858e-05,1.929282753682761e-05,20000.00002177302,1.1207375791855156e-05
45,12,28,20000.00002206447,1.2090549716958776e-05,-7.788077272423849e-06,20000.00002206447,1.2090549716958776e-05
48,13,28,20000.000019339397,1.1191275916644372e-05,2.1001986112513726e-05,20000.000019339397,1.1191277735633776e-05
49,13,29,20000.00001843475,8.449917913821992e-06,-6.0037339878717735e-06,20000.00001843475,8.449918823316693e-06
50,13,36,19999.999937820656,-1.8152732081944123e-05,-6.922087172462081e-06,19999.999937820656,-1.8152732081944123e-05
51,13,35,19999.999938725305,-1.5411374079121742e-05,2.0083629438911915e-05,19999.999938725305,-1.541137316962704e-05
52,14,29,20000.000019337214,8.747731953917537e-06,2.2557764253541313e-05,20000.000019337214,8.747731044422835e-06
53,14,30,20000.000014794987,-5.016592695028521e-06,-1.1619036325177509e-06,20000.000014794987,-5.016594514017925e-06
54,14,37,19999.999943990006,-2.838223645085236e-05,-5.7729533220432405e-06,19999.999943990006,-2.8382237360347062e-05
55,14,36,19999.999948532233,-1.4617911801906303e-05,1.7946714564015825e-05,19999.999948532233,-1.4617911801906303e-05
58,15,38,19999.999983877202,-4.411970621731598e-06,1.5428339083535557e-05,19999.999983877202,-4.411969712236896e-06
59,15,37,19999.999979874876,-1.6540229808015283e-05,2.5454146218218344e-05,19999.999979874876,-1.6540230717509985e-05
57,15,31,20000.000013804984,5.4641977840219624e-06,1.1365371232904506e-05,20000.000013804984,5.464196874527261e-06
56,15,30,20000.000009802658,-6.664061402261723e-06,2.1391178367587294e-05,20000.000009802658,-6.664060492767021e-06
60,16,31,20000.000002035475,1.5802597772562876e-06,1.3686792014072343e-05,20000.000002035475,1.5802615962456912e-06
61,16,10,20000.00002032304,5.699712255591294e-05,4.519037478183285e-06,20000.00002032304,5.699712346540764e-05
62,16,11,19999.99999295661,4.796620032720966e-05,2.3083676913349283e-05,19999.99999295661,4.7966201236704364e-05
63,16,38,19999.999974669045,-7.450662451446988e-06,3.225144540528435e-05,19999.999974669045,-7.450660632457584e-06
64,17,23,19999.99995240488,9.30576970858965e-06,1.4804560523337173e-05,19999.99995240488,9.305771527579054e-06
65,17,32,19999.999953379167,1.2258163224032614e-05,-1.2851946575287057e-05,19999.999953379167,1.2258162314537913e-05
66,17,39,19999.99987082243,-1.498556048318278e-05,-1.1862895550622918e-05,19999.99987082243,-1.4985562302172184e-05
67,17,22,19999.999869848143,-1.7937953998625744e-05,1.5793612420254187e-05,19999.999869848143,-1.7937953089131042e-05
71,18,39,19999.99987167304,-1.4704858585901093e-05,1.5038242302229981e-05,19999.99987167304,-1.4704859495395795e-05
68,18,32,19999.999953060586,1.2153030183981173e-05,1.6448623739169488e-05,19999.999953060586,1.2153032002970576e-05
69,18,33,19999.999951671256,7.942934644233901e-06,-1.0816202566927058e-05,19999.999951671256,7.9429337347392e-06
70,18,40,19999.99987028371,-1.8914954125648364e-05,-1.2226584876119442e-05,19999.99987028371,-1.8914954125648364e-05
74,19,41,19999.999872070366,-1.5861592146393377e-05,-6.816942321824712e-06,19999.999872070366,-1.5861591236898676e-05
75,19,40,19999.99987115796,-1.862645149230957e-05,1.9817644647023818e-05,19999.99987115796,-1.862645149230957e-05
72,19,33,19999.999950664187,7.610602551721968e-06,1.8891413274461015e-05,19999.999950664187,7.610604370711371e-06
73,19,34,19999.99995157659,1.037546189763816e-05,-7.743170205376015e-06,19999.99995157659,1.0375460988143459e-05
78,20,42,19999.999870579897,-1.7441630006942432e-05,-5.243258573766631e-06,19999.999870579897,-1.7441630916437134e-05
79,20,41,19999.99987098288,-1.6220462384808343e-05,2.0961154210900734e-05,19999.99987098288,-1.6220463294303045e-05
76,20,34,19999.99994920502,9.59284352575196e-06,2.137024778758419e-05,19999.99994920502,9.592844435246661e-06
77,20,35,19999.999948802037,8.37167590361787e-06,-4.834168486094677e-06,19999.999948802037,8.371676813112572e-06
80,21,35,19999.999946301392,7.546464075858239e-06,2.2741684005880647e-05,19999.999946301392,7.546463166363537e-06
81,21,36,19999.999949445242,1.7073282833734993e-05,-5.238408847778246e-06,19999.999949445242,1.707328192424029e-05
82,21,43,19999.99986592259,-1.0489193300600164e-05,-2.0469262902253003e-06,19999.99986592259,-1.0489195119589567e-05
83,21,42,19999.99986277874,-2.0016012058476917e-05,2.5933163074422093e-05,19999.99986277874,-2.0016010239487514e-05
84,22,36,19999.99996015682,2.0608103113772813e-05,1.9630392888699656e-05,19999.99996015682,2.060810220427811e-05
85,22,37,19999.999957742413,1.329171846009558e-05,-2.01479528549708e-05,19999.999957742413,1.3291719369590282e-05
86,22,44,19999.999839001084,-2.58929203482694e-05,-2.2598941567293046e-05,19999.999839001084,-2.58929212577641e-05
87,22,43,19999.99984141549,-1.8576535694592167e-05,1.717940417637741e-05,19999.99984141549,-1.8576534785097465e-05
91,23,44,19999.99985904401,-1.9278755644336343e-05,-3.835212157775127e-06,19999.99985904401,-1.9278755644336343e-05
90,23,45,19999.99984435225,-6.379922979249386e-05,-4.892060956152273e-05,19999.99984435225,-6.379923070198856e-05
88,23,37,19999.999993627283,2.5133725102932658e-05,1.1079146685290786e-05,19999.999993627283,2.513372601242736e-05
89,23,38,19999.999978935524,-1.938674904522486e-05,-3.400625071845682e-05,19999.999978935524,-1.938674904522486e-05
95,24,45,20000.000002193985,-1.171145686384989e-05,1.9523308147666935e-05,20000.000002193985,-1.1711457773344591e-05
92,24,38,19999.999969727367,-2.242544087494025e-05,-1.718314439670802e-05,19999.999969727367,-2.2425439965445548e-05
93,24,11,20000.000005885966,8.714607247384265e-05,-6.306827906099766e-06,20000.000005885966,8.714607247384265e-05
94,24,12,20000.000038352584,9.786005648493301e-05,3.039962463827519e-05,20000.000038352584,9.786005830392241e-05
99,25,169,19999.999829995384,-2.4721074623812456e-05,1.8882299976416655e-05,19999.999829995384,-2.4721073714317754e-05
98,25,167,19999.99983483335,-1.0060572094516829e-05,-9.39914926774202e-06,19999.99983483335,-1.0060572094516829e-05
97,25,39,19999.99987704447,3.869096872222144e-06,-1.1854783598879758e-05,19999.99987704447,3.869095962727442e-06
96,25,22,19999.999874625486,-3.4611548471730202e-06,2.2859410231995794e-06,19999.999874625486,-3.4611548471730202e-06
100,26,39,19999.99987789508,4.149798769503832e-06,1.5046351637214514e-05,19999.99987789508,4.149798769503832e-06
101,26,40,19999.99987490233,-4.91913942823885e-06,9.08006520979837e-07,19999.99987490233,-4.919140337733552e-06
102,26,172,19999.999829705568,-2.7915403734368738e-05,-1.6268430251114752e-05,19999.999829705568,-2.791540464386344e-05
103,26,167,19999.99983569107,-9.77752551989397e-06,1.2008258236848849e-05,19999.99983569107,-9.777526429388672e-06
