,Element,NID,E1,E2,E12,E_max,E_min
0,1,1.0,-0.0006170291940186248,0.001870969655391177,1.787140896342826e-06,0.0018709699763189954,-0.0006170295149464433
1,1,2.0,-0.0006170291940186248,0.0018685691269444396,1.3572335880328214e-06,0.001868569312220039,-0.0006170293792942242
2,1,25.0,-0.0006174591013269348,0.0018685691269444396,-1.0432948587047776e-06,0.0018685692364025807,-0.0006174592107850759
3,1,24.0,-0.0006174591013269348,0.001870969655391177,-6.133875503945563e-07,0.0018709696931905595,-0.0006174591391263173
4,2,2.0,-0.0006174990553089567,0.0018685691269444396,1.3572335880328214e-06,0.0018685693121850222,-0.0006174992405495395
5,2,3.0,-0.0006174990553089567,0.0018689723844608251,1.4320619441995485e-06,0.001868972590656763,-0.0006174992615048946
6,2,26.0,-0.00061742422695279,0.0018689723844608251,1.8353194605850998e-06,0.0018689727231434238,-0.0006174245656353887
7,2,25.0,-0.00061742422695279,0.0018685691269444396,1.7604911044183727e-06,0.0018685694386235251,-0.0006174245386318756
11,3,26.0,-0.0006195312757671499,0.0018689723844608251,2.7794534020184666e-06,0.0018689731605656516,-0.0006195320518719764
10,3,27.0,-0.0006195312757671499,0.001870319775918644,1.8354051314769214e-06,0.0018703201141629273,-0.0006195316140114333
8,3,3.0,-0.0006185872274966081,0.0018689723844608251,1.4320619441995485e-06,0.0018689725905665635,-0.0006185874336023466
9,3,4.0,-0.0006185872274966081,0.001870319775918644,4.880136736577865e-07,0.0018703197998405246,-0.0006185872514184888
15,4,27.0,-0.0006202263734220261,0.001870319775918644,1.008976185236203e-06,0.0018703198781083686,-0.0006202264756117507
12,4,4.0,-0.0006197383597484207,0.001870319775918644,4.880136736577865e-07,0.0018703197998294657,-0.0006197383836592423
13,4,5.0,-0.0006197383597484207,0.0018708407384302225,5.238345154857159e-17,0.0018708407384302225,-0.0006197383597484208
14,4,28.0,-0.0006202263734220261,0.0018708407384302225,5.20962511630892e-07,0.0018708407656677396,-0.0006202264006595434
19,5,28.0,-0.0006202263734220297,0.0018708407384302225,-5.209625115428548e-07,0.0018708407656677398,-0.0006202264006595472
18,5,29.0,-0.0006202263734220297,0.0018703197759186272,-1.0089761852221085e-06,0.0018703198781083517,-0.0006202264756117542
16,5,5.0,-0.0006197383597483506,0.0018708407384302225,5.238345154857159e-17,0.0018708407384302225,-0.0006197383597483506
17,5,6.0,-0.0006197383597483506,0.0018703197759186272,-4.880136736267783e-07,0.0018703197998294488,-0.0006197383836591721
20,6,6.0,-0.0006185872274965794,0.0018703197759186272,-4.880136736267783e-07,0.0018703197998405077,-0.00061858725141846
21,6,7.0,-0.0006185872274965794,0.0018689723844608104,-1.4320619441845865e-06,0.0018689725905665488,-0.0006185874336023177
22,6,30.0,-0.0006195312757671372,0.0018689723844608104,-2.779453402001336e-06,0.0018689731605656366,-0.0006195320518719635
23,6,29.0,-0.0006195312757671372,0.0018703197759186272,-1.835405131443528e-06,0.0018703201141629109,-0.0006195316140114208
27,7,30.0,-0.0006174242269527807,0.0018689723844608104,-1.8353194605746914e-06,0.0018689727231434089,-0.0006174245656353792
24,7,7.0,-0.0006174990553089433,0.0018689723844608104,-1.4320619441845865e-06,0.0018689725906567483,-0.0006174992615048812
25,7,8.0,-0.0006174990553089433,0.0018685691269444203,-1.3572335880219794e-06,0.001868569312185003,-0.0006174992405495259
26,7,31.0,-0.0006174242269527807,0.0018685691269444203,-1.7604911044120843e-06,0.001868569438623506,-0.0006174245386318663
28,8,8.0,-0.0006170291940186157,0.0018685691269444203,-1.3572335880219794e-06,0.0018685693122200196,-0.000617029379294215
29,8,9.0,-0.0006170291940186157,0.0018709696553911468,-1.7871408963311165e-06,0.0018709699763189652,-0.0006170295149464341
30,8,10.0,-0.0006174591013269248,0.0018709696553911468,6.133875503954236e-07,0.0018709696931905294,-0.0006174591391263075
31,8,31.0,-0.0006174591013269248,0.0018685691269444203,1.0432948587047776e-06,0.0018685692364025612,-0.0006174592107850658
34,9,32.0,-0.0006144722892722821,0.001866808253389234,1.123546415843571e-06,0.0018668083805772387,-0.0006144724164602869
35,9,23.0,-0.0006144722892722821,0.0018702606970222339,-1.8632656388086442e-06,0.0018702610463312314,-0.0006144726385812797
32,9,24.0,-0.0006174591013269348,0.0018702606970222339,1.5891779941911918e-06,0.001870260950817541,-0.0006174593551222418
33,9,25.0,-0.0006174591013269348,0.001866808253389234,4.575990048843841e-06,0.0018668103606168565,-0.0006174612085545572
39,10,32.0,-0.0006216325505311771,0.001866808253389234,1.1601740473212233e-05,0.0018668217758779308,-0.0006216460730198739
38,10,33.0,-0.0006216325505311771,0.0018710302178504795,7.3934168948255885e-06,0.0018710357001898727,-0.0006216380328705703
37,10,26.0,-0.00061742422695279,0.0018710302178504795,3.1714524335796964e-06,0.0018710312283277332,-0.0006174252374300437
36,10,25.0,-0.00061742422695279,0.001866808253389234,7.379776011966991e-06,0.0018668137340532086,-0.0006174297076167644
40,11,26.0,-0.0006195312757671499,0.0018710302178504795,4.1155863750126295e-06,0.0018710319180734705,-0.000619532975990141
41,11,27.0,-0.0006195312757671499,0.0018709335699595045,1.956094019975839e-06,0.00187093395405479,-0.0006195316598624355
42,11,34.0,-0.0006216907681221869,0.0018709335699595045,1.859446129001685e-06,0.001870933916736531,-0.0006216911148992134
43,11,33.0,-0.0006216907681221869,0.0018710302178504795,4.018938484038476e-06,0.0018710318377525997,-0.000621692388024307
46,12,35.0,-0.0006208350759841631,0.0018716345486698139,1.2219412219077394e-06,0.001871634698434955,-0.000620835225749304
47,12,34.0,-0.0006208350759841631,0.0018709335699595045,1.830643784044711e-06,0.0018709339061921857,-0.0006208354122168443
44,12,27.0,-0.0006202263734220261,0.0018709335699595045,1.1296650737355543e-06,0.0018709336980266642,-0.0006202265014891859
45,12,28.0,-0.0006202263734220261,0.0018716345486698139,5.209625115983659e-07,0.0018716345758986543,-0.0006202264006508665
48,13,28.0,-0.0006202263734220297,0.0018716345486698139,-5.209625115753808e-07,0.0018716345758986543,-0.0006202264006508703
49,13,29.0,-0.0006202263734220297,0.001870933569959504,-1.129665073707365e-06,0.0018709336980266638,-0.0006202265014891893
50,13,36.0,-0.000620835075984162,0.001870933569959504,-1.8306437840169554e-06,0.001870933906192185,-0.0006208354122168432
51,13,35.0,-0.000620835075984162,0.0018716345486698139,-1.221941221885188e-06,0.001871634698434955,-0.0006208352257493031
52,14,29.0,-0.0006195312757671372,0.001870933569959504,-1.9560940199287846e-06,0.0018709339540547896,-0.0006195316598624226
53,14,30.0,-0.0006195312757671372,0.0018710302178504682,-4.115586374976634e-06,0.0018710319180734593,-0.0006195329759901283
54,14,37.0,-0.0006216907681221847,0.0018710302178504682,-4.018938484012455e-06,0.0018710318377525884,-0.0006216923880243048
55,14,36.0,-0.0006216907681221847,0.001870933569959504,-1.8594461289643885e-06,0.0018709339167365306,-0.0006216911148992112
58,15,38.0,-0.0006216325505311716,0.0018668082533892221,-1.1601740473186862e-05,0.001866821775877919,-0.0006216460730198685
59,15,37.0,-0.0006216325505311716,0.0018710302178504682,-7.393416894796098e-06,0.0018710357001898614,-0.000621638032870565
57,15,31.0,-0.0006174242269527807,0.0018668082533892221,-7.37977601194097e-06,0.0018668137340531964,-0.0006174297076167549
56,15,30.0,-0.0006174242269527807,0.0018710302178504682,-3.1714524335497724e-06,0.0018710312283277222,-0.0006174252374300345
60,16,31.0,-0.0006174591013269248,0.0018668082533892221,-4.575990048824108e-06,0.0018668103606168445,-0.0006174612085545474
61,16,10.0,-0.0006174591013269248,0.001870260697022208,-1.5891779941764467e-06,0.0018702609508175149,-0.0006174593551222317
62,16,11.0,-0.0006144722892722772,0.001870260697022208,1.8632656388095116e-06,0.0018702610463312054,-0.0006144726385812745
63,16,38.0,-0.0006144722892722772,0.0018668082533892221,-1.1235464158383668e-06,0.0018668083805772268,-0.0006144724164602819
64,17,23.0,-0.0006144722892722821,0.0018682736165605077,2.566721762823406e-05,0.0018683399532380758,-0.0006145386259498502
65,17,32.0,-0.0006144722892722821,0.0018687263706041331,-5.528468198872337e-07,0.0018687264013748893,-0.0006144723200430384
66,17,39.0,-0.0006406923537204039,0.0018687263706041331,-1.0009277626177315e-07,0.0018687263716022293,-0.0006406923547185001
67,17,22.0,-0.0006406923537204039,0.0018682736165605077,2.6119971671859955e-05,0.0018683415962026484,-0.0006407603333625445
71,18,39.0,-0.0006279430558314,0.0018687263706041331,1.887485223992392e-05,0.0018687620436244627,-0.0006279787288517296
68,18,32.0,-0.0006216325505311771,0.0018687263706041331,9.925347237480994e-06,0.0018687362599543941,-0.0006216424398814381
69,18,33.0,-0.0006216325505311771,0.001877675875606576,3.614841937257633e-06,0.0018776771826756898,-0.0006216338576002908
70,18,40.0,-0.0006279430558314,0.001877675875606576,1.2564346939701425e-05,0.0018776916263877196,-0.0006279588066125435
74,19,41.0,-0.0006219120887908065,0.0018671578153478994,-1.0499017400825324e-05,0.0018671688866396202,-0.0006219231600825272
75,19,40.0,-0.0006219120887908065,0.001877675875606576,-1.0277696732205292e-05,0.0018776864404081717,-0.000621922653592402
72,19,33.0,-0.0006216907681221869,0.001877675875606576,2.4036352647052034e-07,0.0018776758813855027,-0.0006216907739011134
73,19,34.0,-0.0006216907681221869,0.0018671578153478994,1.9042857851356287e-08,0.0018671578153843249,-0.0006216907681586123
78,20,42.0,-0.0006196033752751494,0.0018757638541418774,9.827980015886598e-06,0.001875773530955724,-0.0006196130520889959
79,20,41.0,-0.0006196033752751494,0.0018671578153478994,8.59627930687324e-06,0.001867165244267637,-0.0006196108041948869
76,20,34.0,-0.0006208350759841631,0.0018671578153478994,-9.759487104750442e-09,0.00186715781535747,-0.0006208350759937338
77,20,35.0,-0.0006208350759841631,0.0018757638541418774,1.2219412219090404e-06,0.0018757640036593112,-0.0006208352255015969
80,21,35.0,-0.000620835075984162,0.0018757638541418774,-1.221941221883887e-06,0.001875764003659311,-0.0006208352255015957
81,21,36.0,-0.000620835075984162,0.0018671578153479002,9.759487126434485e-09,0.0018671578153574711,-0.0006208350759937328
82,21,43.0,-0.0006196033752751517,0.0018671578153479002,-8.596279306850689e-06,0.0018671652442676374,-0.000619610804194889
83,21,42.0,-0.0006196033752751517,0.0018757638541418774,-9.827980015861444e-06,0.0018757735309557237,-0.0006196130520889979
84,22,36.0,-0.0006216907681221847,0.0018671578153479002,-1.9042857820998627e-08,0.0018671578153843257,-0.0006216907681586101
85,22,37.0,-0.0006216907681221847,0.0018776758756065682,-2.403635264392953e-07,0.0018776758813854948,-0.0006216907739011112
86,22,44.0,-0.0006219120887908036,0.0018776758756065682,1.0277696732227844e-05,0.0018776864404081643,-0.0006219226535923995
87,22,43.0,-0.0006219120887908036,0.0018671578153479002,1.0499017400847008e-05,0.0018671688866396213,-0.0006219231600825245
91,23,44.0,-0.0006279430558313959,0.0018776758756065682,-1.256434693966673e-05,0.0018776916263877116,-0.0006279588066125393
90,23,45.0,-0.0006279430558313959,0.0018687263706041253,-1.8874852239890525e-05,0.0018687620436244547,-0.0006279787288517253
88,23,37.0,-0.0006216325505311716,0.0018776758756065682,-3.6148419372233724e-06,0.0018776771826756822,-0.0006216338576002855
89,23,38.0,-0.0006216325505311716,0.0018687263706041253,-9.925347237448034e-06,0.0018687362599543863,-0.0006216424398814328
95,24,45.0,-0.0006406923537204013,0.0018687263706041253,1.0009277626610996e-07,0.0018687263716022215,-0.0006406923547184975
92,24,38.0,-0.0006144722892722772,0.0018687263706041253,5.528468199008946e-07,0.0018687264013748815,-0.0006144723200430333
93,24,11.0,-0.0006144722892722772,0.0018682736165604908,-2.5667217628222785e-05,0.001868339953238059,-0.0006145386259498453
94,24,12.0,-0.0006406923537204013,0.0018682736165604908,-2.6119971671857787e-05,0.0018683415962026315,-0.0006407603333625421
99,25,169.0,-0.0006253414017138503,0.0018794549326431355,-5.620079398708372e-05,0.0018797701410870325,-0.0006256566101577473
98,25,167.0,-0.0006253414017138503,0.0018631452639363243,-2.549888997397526e-05,0.0018632105823819566,-0.0006254067201594826
97,25,39.0,-0.0006406923537204039,0.0018631452639363243,-1.7344055620570082e-05,0.0018631752990966323,-0.0006407223888807118
96,25,22.0,-0.0006406923537204039,0.0018713000982897307,-3.269500762712388e-05,0.001871406479805206,-0.0006407987352358792
100,26,39.0,-0.0006279430558314,0.0018631452639363243,1.630889395615176e-06,0.001863145530867841,-0.0006279433227629168
101,26,40.0,-0.0006279430558314,0.0018754349328294635,7.910445461105364e-06,0.001875441181884887,-0.0006279493048868235
102,26,172.0,-0.0006216634997659098,0.0018877246017226026,2.647967041973648e-05,0.0018877944547504523,-0.0006217333527937594
103,26,167.0,-0.0006216634997659098,0.0018631452639363243,1.3920558288754367e-05,0.0018631647604490382,-0.0006216829962786238
106,27,173.0,-0.0006099660395659599,0.0018557100222909156,-2.7814518796413085e-05,0.001855788461512616,-0.0006100444787876603
107,27,175.0,-0.0006099660395659599,0.0018864270257581452,-5.170661724610698e-05,0.0018866947407685398,-0.0006102337545763545
104,27,40.0,-0.0006219120887908065,0.0018710685240245304,-2.44020662876444e-05,0.001871128236339761,-0.000621971801106037
105,27,41.0,-0.0006219120887908065,0.0018557100222909156,-1.2456017062797455e-05,0.0018557256775617523,-0.000621927744061643
108,28,41.0,-0.0006196033752751494,0.0018557100222909156,6.63927964490111e-06,0.0018557144742478847,-0.0006196078272321184
109,28,42.0,-0.0006196033752751494,0.001869828926087459,1.6502968782324164e-05,0.0018698562761971975,-0.0006196307253848879
110,28,178.0,-0.0006097396861377256,0.0018839478298840022,4.048556171629136e-05,0.0018841121420425035,-0.000609903998296227
111,28,173.0,-0.0006097396861377256,0.0018557100222909156,2.075818344144352e-05,0.0018557537155917663,-0.0006097833794385762
115,29,181.0,-0.0006097396861377277,0.00188394782988403,-4.0485561716284424e-05,0.0018841121420425312,-0.0006099039982962288
112,29,42.0,-0.0006196033752751517,0.001869828926087472,-1.650296878230248e-05,0.0018698562761972105,-0.0006196307253848904
113,29,43.0,-0.0006196033752751517,0.001855710022290914,-6.639279644877691e-06,0.0018557144742478832,-0.0006196078272321209
114,29,179.0,-0.0006097396861377277,0.001855710022290914,-2.0758183441434847e-05,0.0018557537155917646,-0.0006097833794385782
119,30,179.0,-0.0006099660395659592,0.001855710022290914,2.781451879644431e-05,0.0018557884615126143,-0.0006100444787876597
118,30,184.0,-0.0006099660395659592,0.001886427025758159,5.1706617246133e-05,0.0018866947407685537,-0.0006102337545763539
116,30,43.0,-0.0006219120887908036,0.001855710022290914,1.2456017062820006e-05,0.0018557256775617505,-0.0006219277440616401
117,30,44.0,-0.0006219120887908036,0.0018710685240245373,2.4402066287663483e-05,0.0018711282363397677,-0.0006219718011060341
120,31,44.0,-0.0006279430558313959,0.0018754349328294583,-7.910445461071537e-06,0.001875441181884882,-0.0006279493048868195
121,31,45.0,-0.0006279430558313959,0.0018631452639363208,-1.630889395577012e-06,0.0018631455308678376,-0.0006279433227629126
122,31,185.0,-0.0006216634997659011,0.0018631452639363208,-1.3920558288714469e-05,0.0018631647604490347,-0.0006216829962786151
123,31,187.0,-0.0006216634997659011,0.0018877246017225957,-2.6479670419705253e-05,0.0018877944547504453,-0.0006217333527937508
124,32,45.0,-0.0006406923537204013,0.0018631452639363208,1.734405562058049e-05,0.0018631752990966289,-0.0006407223888807092
125,32,12.0,-0.0006406923537204013,0.0018713000982897385,3.269500762713082e-05,0.0018714064798052137,-0.0006407987352358766
126,32,190.0,-0.0006253414017138494,0.0018794549326431563,5.62007939871028e-05,0.0018797701410870535,-0.0006256566101577466
127,32,185.0,-0.0006253414017138494,0.0018631452639363208,2.5498889973999544e-05,0.0018632105823819531,-0.0006254067201594818
194,33,70.0,-0.000604348832085151,0.00204843818046075,0.00017478033379565716,0.0020513139376380166,-0.0006072245892624172
195,33,69.0,-0.0005861912703633643,0.002104463062035394,-8.357620735228652e-05,0.002105111909635258,-0.0005868401179632281
196,33,91.0,-0.0006366896921004182,0.0017594503584429724,-0.00012755827008225848,0.0017611467952467577,-0.0006383861289042033
197,33,92.0,-0.0005808174425067257,0.002070218409119049,-0.00046120143661348284,0.0020901277250903036,-0.0006007267584779805
198,33,93.0,-0.0005952700512242572,0.001754642131249401,4.6480974626929294e-05,0.0017548719557659454,-0.0005954998757408017
199,33,94.0,-0.0005661755264059201,0.002087491060570661,0.00039774243340918655,0.0021023121001885357,-0.000580996566023795
192,33,21.0,-0.0006311265568605046,0.0020705190591059283,0.0008596849591091379,0.0021372599413311206,-0.000697867439085697
193,33,20.0,-0.0006422528273403319,0.002091998637777346,-0.0011165593220841367,0.0022015952720017117,-0.0007518494615646975
204,34,95.0,-0.0006136403483564359,0.0017694733479510713,5.150230394483646e-06,0.0017694761305336007,-0.0006136431309389652
200,34,20.0,-0.0006290147694396628,0.002091998637777346,0.001025535371387787,0.0021854208148420163,-0.0007224369465043329
201,34,19.0,-0.0005982659272732085,0.0020432737894800455,-0.0010263064226737062,0.0021394581424671946,-0.0006944502802603576
202,34,71.0,-0.0006091920379641771,0.0020652387119486776,0.00016114799316731352,0.0020676640081967795,-0.000611617334212279
203,34,70.0,-0.0005956548318310773,0.002048438180460751,-0.00016169990239065651,0.002050908068709752,-0.000598124720080078
205,34,96.0,-0.0006024023281435012,0.0020542562507143624,-0.0004407698872263485,0.0020724143264419523,-0.0006205604038710913
206,34,97.0,-0.0006024234348976274,0.0017586755805270929,5.25980142577348e-06,0.0017586785098278692,-0.0006024263641984037
207,34,92.0,-0.0006110081461601791,0.002070218409119049,0.0004237270620254148,0.002086856072152088,-0.0006276458091932181
215,35,96.0,-0.0006037088129166417,0.0020542562507143624,0.0004225001694566667,0.0020709412737460707,-0.0006203938359483499
209,35,18.0,-0.0006308840534884146,0.0020898463972260223,-0.001059735704664111,0.002189396747269033,-0.0007304344035314249
210,35,72.0,-0.0006138185866581499,0.0020634685862470324,0.00015820479837820763,0.0020658036875848655,-0.000616153687995983
211,35,71.0,-0.0006085391367916556,0.0020652387119486785,-0.0001638115388929995,0.0020677453793183998,-0.0006110458041613768
213,35,99.0,-0.00062123507814705,0.0020766574917365265,-0.0004447226114619972,0.002094861758103791,-0.0006394393445143145
214,35,100.0,-0.0006111788617249028,0.001765927627624151,-5.865074098375736e-06,0.0017659312453671909,-0.0006111824794679426
