,Element,NID,S1,S2,S12,S_max,S_min
0,1,1,4.692489268275494,20020.923834144127,7.188875034160992,20020.924479619312,4.691843793090811
1,1,2,-4.819648477689952,19992.099174307867,5.459548643590673,19992.09954694866,-4.820021118483055
2,1,25,-9.981816807749965,19990.395658758946,-4.1967124015568125,19990.395878909723,-9.982036958530443
3,1,24,-0.4696790617845181,20019.220318595206,-2.467386010985621,20019.22039462028,-0.4697550868604594
4,2,2,-10.461569481562947,19990.23734037659,5.459548643590673,19990.237712946953,-10.461942051926599
5,2,3,-8.863654219126147,19995.07950783852,5.760549925915477,19995.07992255594,-8.864068936547483
6,2,26,-7.965142928604109,19995.37601656439,7.382676025661867,19995.376697749387,-7.965824113598501
7,2,25,-9.56305819104091,19990.53384910246,7.0816747433370635,19990.534475975866,-9.563685064447782
11,3,26,-33.26580762802223,19987.026797213584,11.180508045713381,19987.028358176663,-33.26736859109951
10,3,27,-27.92674440553492,20003.205776675666,7.3830206416552855,20003.20645697909,-27.927424708954277
8,3,3,-21.930024332323228,19990.767605701163,5.760549925915477,19990.768020237167,-21.930438868326746
9,3,4,-16.590961109835916,20006.946585163245,1.9630625218565096,20006.946633276802,-16.591009223393485
15,4,27,-36.27322056665707,20000.451439542496,4.05866360226593,20000.451645074467,-36.27342609862899
12,4,4,-30.413332442341016,20002.385202623518,1.9630625218565096,20002.385250714833,-30.41338053365689
13,4,5,-28.349008989996946,20008.64072823668,2.1071538780816391e-10,20008.64072823668,-28.349008989996946
14,4,28,-34.208897114313004,20006.70696515566,2.095601080620505,20006.707019937887,-34.208951896538565
19,5,28,-34.20889711435575,20006.706965155645,-2.0956010802663707,20006.707019937872,-34.20895189658222
18,5,29,-36.27322056676621,20000.45143954228,-4.058663602209234,20000.451645074252,-36.27342609873813
16,5,5,-28.349008989154754,20008.640728236962,2.1071538780816391e-10,20008.640728236962,-28.349008989156573
17,5,6,-30.413332441565217,20002.385202623598,-1.9630625217317774,20002.385250714913,-30.413380532882
20,6,6,-16.59096110955761,20006.94658516316,-1.9630625217317774,20006.94663327672,-16.59100922311336
21,6,7,-21.930024332036737,19990.767605701098,-5.760549925855292,19990.7680202371,-21.930438868039346
22,6,30,-33.26580762792764,19987.026797213457,-11.180508045644473,19987.028358176536,-33.26736859100856
23,6,29,-27.926744405448517,20003.205776675517,-7.383020641520958,20003.206456978936,-27.927424708870603
27,7,30,-7.965142928550449,19995.37601656425,-7.3826760256199995,19995.376697749245,-7.965824113547569
24,7,7,-8.863654219023374,19995.079507838393,-5.760549925855292,19995.079922555815,-8.86406893644562
25,7,8,-10.461569481478364,19990.23734037641,-5.45954864354706,19990.23771294678,-10.461942051844744
26,7,31,-9.563058191005439,19990.533849102267,-7.081674743311768,19990.534475975674,-9.563685064411402
28,8,8,-4.819648477657211,19992.099174307674,-5.45954864354706,19992.09954694847,-4.820021118450313
29,8,9,4.69248926826549,20020.9238341438,-7.18887503411389,20020.924479618985,4.691843793079897
30,8,10,-0.4696790617845181,20019.220318594882,2.4673860109891104,20019.22039461996,-0.4697550868604594
31,8,31,-9.981816807707219,19990.395658758756,4.1967124015568125,19990.395878909534,-9.982036958486788
34,9,32,18.90522669056918,19981.08703607269,4.519528815611357,19981.08729188316,18.904970880101246
35,9,23,32.585597544707525,20022.542705327658,-7.495091103478381,20022.543407885303,32.58489498706331
32,9,24,-3.278939527206603,20010.707408093924,6.3925580969344935,20010.70791854693,-3.2794499802148493
33,9,25,-16.95931038134495,19969.25173883896,18.407178016025977,19969.255977062625,-16.963548605011965
39,10,32,-67.07254849759738,19952.714370260597,46.66865528698154,19952.74156785811,-67.09974609510937
38,10,33,-50.3429373286408,20003.41016168168,29.740436381441278,20003.42118820955,-50.353963856512564
37,10,26,0.18905940432068746,20020.085720603558,12.757346255376975,20020.08775295504,0.18702705283612886
36,10,25,-16.540551764635893,19969.389929182475,29.68556516091985,19969.400952340664,-16.55157492282342
40,11,26,-25.111605295097434,20011.73650125275,16.555178275426744,20011.73992087593,-25.115024918277413
41,11,27,-25.494574325545727,20010.57598903927,7.86849850140657,20010.57676156183,-25.495346848107147
42,11,34,-51.42496171068251,20002.01896120217,7.479726909893996,20002.01965866732,-51.42565917582942
43,11,33,-51.041992680234216,20003.179473415657,16.16640668391417,20003.18273149106,-51.045250755636516
46,12,35,-38.37248532985359,20013.826750608157,4.915327471583764,20013.82705182753,-38.372786549227385
47,12,34,-41.15012625242434,20005.409656903397,7.3638678531121835,20005.410333160926,-41.15080250995379
44,12,27,-33.84105048666788,20007.8216519061,4.544141462018959,20007.821909484795,-33.84130806536086
45,12,28,-31.063409564097128,20016.23874561086,2.0956010804896676,20016.238800375635,-31.063464328870396
48,13,28,-31.063409564139874,20016.238745610844,-2.0956010803972087,20016.23880037562,-31.06346432891405
49,13,29,-33.84105048671245,20007.82165190608,-4.544141461905566,20007.821909484774,-33.84130806540816
50,13,36,-41.15012625241252,20005.4096569034,-7.363867853000535,20005.41033316093,-41.15080250993924
51,13,35,-38.37248532983995,20013.82675060816,-4.9153274714930495,20013.82705182754,-38.37278654921647
52,14,29,-25.49457432539475,20010.575989039316,-7.868498501217291,20010.57676156188,-25.49534684795799
53,14,30,-25.111605294989204,20011.736501252668,-16.55517827528195,20011.739920875847,-25.115024918170093
54,14,37,-51.041992680253315,20003.17947341553,-16.166406683809498,20003.18273149093,-51.045250755654706
55,14,36,-51.42496171065886,20002.01896120218,-7.4797269097439685,20002.019658667323,-51.42565917580214
58,15,38,-67.0725484975801,19952.714370260477,-46.668655286879485,19952.741567857986,-67.09974609509118
59,15,37,-50.34293732862079,20003.410161681568,-29.740436381322652,20003.42118820944,-50.353963856490736
57,15,31,-16.54055176457132,19969.38992918237,-29.68556516081518,19969.400952340555,-16.551574922757936
56,15,30,0.18905940438799007,20020.08572060346,-12.757346255256603,20020.087752954947,0.18702705290161248
60,16,31,-16.9593103812731,19969.25173883886,-18.407178015946602,19969.255977062523,-16.963548604939206
61,16,10,-3.278939527190232,20010.707408093655,-6.39255809687518,20010.70791854666,-3.2794499801966595
62,16,11,32.58559754466478,20022.542705327367,7.49509110348187,20022.54340788501,32.58489498702147
63,16,38,18.905226690581912,19981.08703607257,-4.519528815590423,19981.087291883043,18.90497088011216
64,17,23,24.711754978940007,19998.682576340485,103.24783030906183,19998.81600052728,24.578330792146517
65,17,32,26.505801133177556,20004.119079838172,-2.2238575085689476,20004.119141726726,26.505739244626966
66,17,39,-288.3350580239339,19900.221596316325,-0.40262883684247097,19900.221598323777,-288.3350600313843
67,17,22,-290.1291041781715,19894.785092818638,105.06905898079005,19894.921821568983,-290.26583292852047
71,18,39,-135.24619323620936,19950.740921696277,75.92515750646088,19950.812670833096,-135.31794237302893
68,18,32,-59.471974054989005,19975.746414026078,39.925268962799485,19975.766304319863,-59.49186434877447
69,18,33,-24.009397280635312,20083.208767887754,14.540905537088976,20083.211396768394,-24.01202616127557
70,18,40,-99.78361646185567,20058.203275557953,50.540794080753855,20058.23495490998,-99.81529581388713
74,19,41,-69.04399513881344,19955.804105826715,-42.2328895446733,19955.82637334863,-69.06626266073181
75,19,40,-27.365989557635658,20082.101092436344,-41.34261467466039,20082.12234125879,-27.387238380080817
72,19,33,-24.708452632228727,20082.97807962173,0.9668758395618675,20082.97809124476,-24.70846425525815
73,19,34,-66.38645821340651,19956.6810930121,0.07660096955244823,19956.68109308536,-66.38645828666631
78,20,42,-7.220229456997004,20068.290563597282,39.53360382330323,20068.310026418578,-7.239692278295479
79,20,41,-41.32181511689578,19964.95242523395,34.5790182644901,19964.96736689171,-41.33675677465544
76,20,34,-56.111622755148346,19960.071788713325,-0.039258087225875836,19960.071788732574,-56.11162277439871
77,20,35,-22.010037095249572,20063.409927076656,4.915327471588998,20063.410227797824,-22.010337816416722
80,21,35,-22.01003709523593,20063.40992707666,-4.915327471487816,20063.410227797827,-22.01033781640217
81,21,36,-56.111622755131066,19960.071788713343,0.039258087313101125,19960.07178873259,-56.11162277438052
82,21,43,-41.321815116919424,19964.95242523395,-34.57901826439939,19964.96736689171,-41.33675677468091
83,21,42,-7.220229457024288,20068.29056359727,-39.53360382320205,20068.31002641857,-7.239692278320945
84,22,36,-66.38645821337741,19956.68109301212,-0.07660096943033282,19956.681093085383,-66.38645828663721
85,22,37,-24.708452632234184,20082.978079621644,-0.9668758394362631,20082.978091244673,-24.708464255265426
86,22,44,-27.36598955763111,20082.101092436264,41.342614674751104,20082.12234125871,-27.38723838007718
87,22,43,-69.04399513877433,19955.80410582674,42.23288954476052,19955.82637334866,-69.06626266069179
91,23,44,-99.78361646183748,20058.203275557873,-50.54079408061429,20058.2349549099,-99.81529581386894
90,23,45,-135.24619323619117,19950.740921696197,-75.92515750632656,19950.812670833016,-135.31794237301074
88,23,37,-24.00939728060166,20083.20876788768,-14.54090553695116,20083.21139676832,-24.01202616124283
89,23,38,-59.47197405495535,19975.746414026005,-39.925268962666905,19975.76630431979,-59.49186434874173
95,24,45,-288.3350580239339,19900.22159631624,0.402628836859916,19900.22159832369,-288.3350600313843
92,24,38,26.50580113320666,20004.1190798381,2.2238575086238996,20004.119141726653,26.50573924465607
93,24,11,24.71175497893273,19998.6825763403,-103.24783030901646,19998.81600052709,24.57833079214106
94,24,12,-290.12910417820785,19894.78509281844,-105.06905898078132,19894.921821568787,-290.26583292855685
99,25,169,-61.494367832215175,20089.87463789692,-226.0708630307503,20090.50866959859,-62.128399533885386
98,25,167,-126.12172750424998,19894.03415404227,-102.57072282764484,19894.165530193946,-126.25310365592668
97,25,39,-310.4502949715634,19833.205726778055,-69.76744178199243,19833.266136384562,-310.51070457807145
96,25,22,-278.13661513554234,19931.12596870539,-131.51751188354342,19931.339938323632,-278.35058475378537
100,26,39,-157.36143018383882,19883.725052158006,6.560344561309167,19883.725589031586,-157.36196705742077
101,26,40,-108.66339308174702,20031.294861558286,31.820212945047896,20031.30743017073,-108.67596169419448
102,26,172,15.437236210610536,20203.74752638135,106.51596747788734,20203.88802318627,15.29673940568864
103,26,167,-81.95883799357398,19908.607907580794,55.996230710402905,19908.64712072246,-81.99805113524053
106,27,173,29.037667325162147,19865.679668730103,-111.88547034647368,19865.837435590445,28.87990046482082
107,27,175,150.75435371590174,20234.518112338403,-207.99278365915214,20235.056605006866,150.21586104743437
104,27,40,-53.54774069241648,20002.76245263398,-98.15868769841921,20002.882552869036,-53.66784092747548
105,27,41,-114.40608388778674,19818.34323082983,-50.105031042079986,19818.374718083924,-114.43757114187974
108,28,41,-86.68390386586907,19827.491550237064,26.70687676708341,19827.50050437312,-86.69285800192665
109,28,42,-30.737490101314506,19997.02613740238,66.38412254543931,19997.081146535,-30.792499233935814
110,28,178,143.64846330013188,20205.64577264787,162.85545502417955,20205.976266440655,143.31796950734497
111,28,173,31.755635771022753,19866.57659831724,83.50096346746078,19866.66447886858,31.667755219679748
115,29,181,143.64846330021737,20205.645772648193,-162.85545502415164,20205.97626644098,143.31796950743228
112,29,42,-30.73749010128995,19997.026137402525,-66.38412254535208,19997.081146535147,-30.792499233913986
113,29,43,-86.68390386590272,19827.49155023703,-26.706876766989208,19827.50050437309,-86.6928580019594
114,29,179,31.75563577099183,19866.576598317206,-83.50096346742589,19866.66447886855,31.667755219647006
119,30,179,29.037667325163966,19865.679668730085,111.88547034659929,19865.837435590427,28.87990046482082
118,30,184,150.7543537159645,20234.518112338574,207.99278365925682,20235.05660500704,150.21586104749986
116,30,43,-114.40608388775763,19818.34323082982,50.1050310421707,19818.374718083916,-114.43757114185064
117,30,44,-53.54774069235373,20002.762452634073,98.15868769849597,20002.88255286913,-53.66784092741
120,31,44,-108.66339308171791,20031.294861558235,-31.820212944911823,20031.30743017068,-108.67596169416538
121,31,45,-157.36143018380335,19883.725052157977,-6.560344561155651,19883.725589031557,-157.3619670573844
122,31,185,-81.95883799348303,19908.607907580783,-55.996230710242415,19908.647120722446,-81.99805113514776
123,31,187,15.437236210687843,20203.747526381303,-106.51596747776173,20203.888023186228,15.296739405763219
124,32,45,-310.4502949715461,19833.205726778022,69.76744178203431,19833.26613638453,-310.51070457805326
125,32,12,-278.1366151354805,19931.125968705495,131.51751188357133,19931.339938323737,-278.3505847537235
126,32,190,-61.4943678321215,20089.874637897174,226.07086303082707,20090.508669598843,-62.1283995337908
127,32,185,-126.1217275042527,19894.03415404223,102.57072282774253,19894.165530193906,-126.25310365592668
194,33,70,860.1758634225043,22202.146565859453,703.0637487268916,22207.93521358901,854.3872156929465
195,33,69,1300.2047796644356,22946.822341067986,-336.19000701859613,22948.127590095904,1298.8995306365177
196,33,91,-673.280765135607,18603.936182845056,-513.1103345414157,18607.350000300205,-676.6945825907533
197,33,92,1229.0366600576772,22556.919075392856,-1855.2087863775437,22597.186945973597,1188.768789476937
198,33,93,-194.9816885399141,18710.32684715042,186.97234154441483,18710.789122093513,-195.44396348300688
199,33,94,1473.294582349521,22822.341560281413,1599.9413674730438,22852.275311704798,1443.3608309261363
192,33,21,626.1347091186553,22361.17838644259,3458.131226491645,22497.869323290914,489.4437722703278
193,33,20,577.647780776856,22575.009191873964,-4491.422836954986,22801.933015155304,350.7239574955165
204,34,95,-356.7964715504777,18815.62198746481,20.71709218833647,18815.62758401728,-356.8020681029484
200,34,20,736.6054954409337,22627.46523771311,4125.273862349369,22820.11896178333,543.9517713707137
201,34,19,912.7531464826734,22164.23808577577,-4128.375459627315,22362.87892489853,714.1123073599119
202,34,71,868.5928466772366,22384.68985725434,648.2268898083664,22389.57111886982,863.7115850617538
203,34,70,964.5702105424589,22236.59670040905,-650.4469757819642,22241.567811421046,959.5990995304601
205,34,96,906.6029740062295,22279.720864065734,-1773.0217268127553,22316.428380172387,869.8954578995745
206,34,97,-264.8942639024217,18730.413604552097,21.157847840517384,18730.41949619636,-264.9001555466821
207,34,92,866.5178304179599,22437.287861611752,1704.466001380428,22470.906082086447,832.8996099432679
215,35,96,890.9151869199286,22274.543894327253,1699.5307568369676,22308.259614816772,857.1994664304075
209,35,18,705.6315298833433,22594.214855179944,-4262.846631543604,22799.8328490324,500.01353603089046
210,35,72,806.0248017013437,22345.102057404692,636.387722799557,22349.801666673164,801.3251924328724
211,35,71,876.432643047995,22387.2769900567,-658.9411526898851,22392.32213869901,871.3874944056861
213,35,99,769.2315869691838,22474.081585280666,-1788.9217829486354,22510.88009603037,732.4330762194786
214,35,100,-341.2898297784559,18782.799971751527,-23.592591297977584,18782.807248047524,-341.29710607445486
208,35,19,878.5908884381633,22152.964540621084,4009.3873235170718,22340.219513101438,691.3359159578122
212,35,98,-390.4073429923428,18790.200145921433,-139.04553036606578,18790.45213749061,-390.65933456152015
216,36,18,698.6682312001212,22591.91696661448,4227.8178248600925,22794.157829850396,496.4273679642065
217,36,17,893.4333639227762,22179.555170562602,-4069.1395715276876,22372.278484590322,700.7100498950585
218,36,73,830.0671277313149,22394.848200137763,654.4492261912739,22399.81237315869,825.1029547103899
219,36,72,818.0177265124012,22349.05972259233,-651.8558338234926,22353.99235317274,813.0850959319887
220,36,101,-387.34946491314986,18799.67466715036,95.03016622404377,18799.79233361402,-387.46713137680854
221,36,102,864.5047605477803,22288.110675208016,-1731.708258429146,22323.04796642509,829.5674693307064
222,36,103,-359.3578353526909,18785.89255992702,16.987735741731836,18785.896328265157,-359.3616036908279
223,36,99,761.0974935769991,22471.397334461246,1763.6179097572979,22507.15494407275,725.3398839654947
224,37,17,893.4333639227307,22179.555170562588,4069.139571527792,22372.278484590315,700.7100498950022
225,37,16,698.6682312000703,22591.916966614222,-4227.817824859967,22794.157829850126,496.4273679641665
226,37,74,818.0177265122766,22349.05972259226,651.8558338234437,22353.992353172674,813.085095931865
227,37,73,830.0671277313486,22394.848200137763,-654.4492261911344,22399.81237315869,825.1029547104245
231,37,102,864.5047605478112,22288.110675208027,1731.7082584292996,22323.04796642511,829.5674693307283
230,37,106,-359.35783535275823,18785.892559926924,-16.98773574168299,18785.896328265062,-359.361603690897
229,37,105,761.09749357695,22471.397334461108,-1763.6179097573258,22507.154944072616,725.3398839654419
228,37,104,-387.34946491314713,18799.674667150382,-95.03016622392863,18799.79233361404,-387.4671313768049
238,38,109,-341.2898297784541,18782.79997175149,23.592591297911294,18782.807248047488,-341.29710607445304
239,38,105,769.2315869691092,22474.08158528052,1788.9217829486772,22510.88009603023,732.4330762194004
237,38,108,890.9151869200105,22274.54389432715,-1699.5307568370374,22308.25961481667,857.1994664304893
233,38,15,878.5908884383261,22152.964540621135,-4009.387323517107,22340.21951310149,691.3359159579686
234,38,75,876.4326430480005,22387.276990056467,658.9411526897456,22392.322138698775,871.3874944056915
235,38,74,806.0248017012718,22345.102057404652,-636.387722799536,22349.801666673124,801.3251924327997
236,38,107,-390.40734299233645,18790.20014592125,139.0455303660867,18790.45213749043,-390.6593345615165
232,38,16,705.631529883246,22594.21485517969,4262.846631543653,22799.83284903215,500.01353603078496
247,39,108,906.6029740062331,22279.720864065606,1773.0217268129786,22316.42838017227,869.8954578995672
246,39,112,-264.8942639023362,18730.413604552126,-21.157847840430158,18730.419496196388,-264.9001555465984
245,39,111,866.5178304179308,22437.28786161163,-1704.4660013804,22470.90608208632,832.8996099432406
244,39,110,-356.7964715504013,18815.62198746496,-20.717092188217844,18815.62758401743,-356.802068102872
243,39,75,868.5928466771456,22384.68985725408,-648.2268898080698,22389.571118869557,863.7115850616683
242,39,76,964.5702105425889,22236.59670040897,650.4469757818525,22241.567811420966,959.599099530591
241,39,14,736.6054954407864,22627.46523771297,-4125.273862349198,22820.118961783177,543.9517713705809
240,39,15,912.7531464828398,22164.238085775825,4128.375459627426,22362.878924898596,714.1123073600684
255,40,111,1229.0366600577308,22556.919075392765,1855.2087863776974,22597.186945973517,1188.7687894769788
253,40,114,1473.2945823494683,22822.341560281453,-1599.9413674730995,22852.27531170484,1443.3608309260835
252,40,113,-673.2807651356552,18603.936182844984,513.1103345414786,18607.35000030013,-676.6945825908042
254,40,115,-194.98168853989228,18710.326847150613,-186.97234154436597,18710.78912209371,-195.4439634829887
250,40,55,1300.204779664281,22946.822341068088,336.1900070184566,22948.127590096006,1298.8995306363613
248,40,14,577.6477807767951,22575.009191873833,4491.42283695507,22801.933015155184,350.7239574954456
251,40,76,860.1758634225944,22202.146565859366,-703.0637487266544,22207.93521358892,854.3872156930429
249,40,13,626.1347091185944,22361.178386442494,-3458.1312264915928,22497.869323290815,489.4437722702751
262,41,117,52.840278907347056,20257.576979094345,-31.288643727693195,20257.589092326183,52.82816567551163
256,41,69,238.27530626941552,19728.854239870936,-437.30922567728635,19731.30690299203,235.8226431483181
257,41,70,3.9872162274341463,19607.63551375318,794.6826387891354,19615.685817161917,-4.0630871813027625
258,41,77,-66.6866758365295,19717.085137962156,-55.41007835192886,19717.12393580605,-66.72547368042251
259,41,68,-261.1677467429736,19484.326455395647,22.152021731366144,19484.332668356277,-261.1739597036012
260,41,93,337.898751445533,20325.116059227534,164.02709113851793,20325.452579729972,337.5622309430928
261,41,116,-199.58137320893093,19606.843883534213,359.6511493177273,19608.476412964937,-201.2139026396544
263,41,118,-179.67786364114727,19551.073905309866,-217.56373287389363,19551.67363586891,-180.27759420019174
265,42,71,-56.403984334687266,19581.66915721819,649.2538216871502,19587.033932553837,-61.768759670334475
264,42,70,108.38156334737869,19642.085648302742,-558.8280857197134,19646.081625674604,104.38558597551673
271,42,116,-23.420492189067772,19664.97697427077,-196.38599566376604,19665.466685280655,-23.91020319895324
269,42,119,-69.84715074223277,19602.069971253622,297.0977398667187,19603.191646810996,-70.96882629960601
270,42,120,80.52457077768213,20205.40646719865,36.487725020264605,20205.42300584208,80.50803213425024
267,42,77,-134.7951903561343,19694.609328170653,158.24614225962063,19694.925039149555,-135.11090133503603
268,42,97,205.34243535230598,20155.373299263392,34.01166891730242,20155.387795391114,205.3279392245804
266,42,78,-62.86295978038561,19629.211813220936,-62.868294086259475,19629.261990924097,-62.91313748354332
272,43,71,-48.56418796394428,19584.25629002052,-657.9142208111153,19589.76657405625,-54.07447199967646
273,43,72,-94.46479997076858,19616.345688701316,641.0854249761697,19621.55706608907,-99.67617735852036
274,43,79,-87.4310965405839,19609.510027005854,-92.85314112432445,19609.61945589971,-87.54052543443686
275,43,78,-84.95694617243862,19621.92079771156,132.47874287862723,19622.143441035158,-85.17958949603599
276,43,100,113.09867352030233,20159.734830232614,-11.145202312975725,20159.736379314512,113.09712443840363
277,43,121,-81.601367563866,19616.012229481894,276.880751969521,19616.985179376403,-82.57431745837494
278,43,122,98.41914613117751,20175.149253230495,17.081996481671126,20175.15288672247,98.41551263920155
279,43,119,-57.413986376383946,19606.172915494353,-259.9531289226754,19607.032024736465,-58.2730956184987
286,44,124,96.33952576240517,20172.09207395618,4.81371672527434,20172.092362511594,96.33923720699022
284,44,103,97.39781284025139,20170.000584754114,3.4721682485995675,20170.000734908437,97.39766268592939
287,44,121,-82.82419717145058,19615.60869571139,-269.1297391290183,19616.527898740645,-83.74340020070304
282,44,80,-88.00765413388308,19612.511666314946,-101.10444455378662,19612.64138423298,-88.13737205191319
283,44,79,-89.8952507499207,19608.69685611677,111.07863605150234,19608.85344554762,-90.05184018076761
285,44,123,-87.30168906778272,19605.725518935284,275.5823994874211,19606.68959038517,-88.26576051766824
280,44,72,-82.47187515971564,19620.30335388895,-647.1581316468903,19625.616066727856,-87.78458799862346
281,44,73,-93.31445556840299,19596.722190138622,654.449226191246,19602.158766665998,-98.75103209578083
288,45,73,-93.31445556835843,19596.722190138655,-654.4492261911762,19602.15876666603,-98.75103209573354
295,45,123,-87.30168906772178,19605.725518935305,-275.5823994873513,19606.68959038519,-88.2657605176064
293,45,125,-82.82419717136418,19615.608695711715,269.12973912914384,19616.52789874097,-83.74340020062118
294,45,126,96.33952576235151,20172.09207395605,-4.813716725155714,20172.092362511466,96.33923720693747
291,45,80,-88.00765413388126,19612.511666314946,101.10444455377964,19612.64138423298,-88.13737205191319
290,45,81,-89.89525074994435,19608.696856116763,-111.07863605123718,19608.85344554761,-90.05184018079126
289,45,74,-82.47187515960923,19620.303353889576,647.1581316468868,19625.616066728486,-87.78458799851614
292,45,106,97.39781284025321,20170.00058475423,-3.472168248578633,20170.000734908554,97.39766268592939
297,46,75,-48.56418796362959,19584.256290021236,657.9142208109723,19589.766574056965,-54.07447199935996
298,46,82,-84.9569461724468,19621.92079771126,-132.47874287864119,19622.14344103486,-85.17958949604326
299,46,81,-87.43109654057207,19609.510027005876,92.85314112417791,19609.61945589973,-87.54052543442594
300,46,109,113.09867352053789,20159.734830233287,11.145202312947813,20159.73637931519,113.09712443863646
301,46,127,-57.41398637628299,19606.172915494535,259.95312892260563,19607.032024736647,-58.27309561839502
302,46,128,98.41914613112203,20175.149253230178,-17.081996481747886,20175.152886722157,98.41551263914334
296,46,74,-94.46479997061851,19616.345688701946,-641.0854249761,19621.5570660897,-99.67617735836939
303,46,125,-81.60136756384964,19616.012229482192,-276.8807519695349,19616.9851793767,-82.57431745835675
310,47,130,80.52457077752115,20205.406467198372,-36.48772502010411,20205.423005841803,80.50803213409017
311,47,127,-69.84715074200085,19602.069971253848,-297.09773986652334,19603.191646811218,-70.96882629937136
309,47,129,-23.42049218912416,19664.97697427088,196.3859956636823,19665.466685280768,-23.91020319901145
308,47,112,205.34243535241967,20155.373299263505,-34.01166891717333,20155.38779539123,205.32793922469682
307,47,82,-62.862959780195524,19629.21181322074,62.868294086336235,19629.2619909239,-62.91313748335415
306,47,83,-134.7951903564781,19694.609328170798,-158.24614225949503,19694.9250391497,-135.11090133538164
305,47,76,108.38156334757696,19642.085648302866,558.8280857195529,19646.081625674728,104.38558597571864
304,47,75,-56.40398433446535,19581.66915721888,-649.2538216868153,19587.03393255452,-61.7687596701071
313,48,55,238.27530626941916,19728.85423987155,437.3092256772131,19731.306902992645,235.82264314832355
312,48,76,3.9872162275705705,19607.635513753245,-794.682638788961,19615.685817161975,-4.063087181160881
316,48,115,337.89875144554117,20325.116059227683,-164.02709113850048,20325.452579730125,337.5622309431001
317,48,131,-179.67786364102358,19551.073905310186,217.56373287392154,19551.67363586923,-180.27759420006805
318,48,132,52.84027890730522,20257.57697909433,31.288643727710642,20257.58909232617,52.82816567546797
319,48,129,-199.58137320892456,19606.843883534348,-359.65114931758774,19608.47641296507,-201.2139026396435
