,Element,NID,S1,S2,S12,S_max,S_min
0,1,1,-2.1456999093061313e-06,19999.99979624847,4.0464752932590415e-06,19999.99979624847,-2.145701728295535e-06
1,1,2,-4.671468559536152e-06,19999.99978859463,4.53138334538465e-06,19999.99978859463,-4.671470378525555e-06
2,1,25,-3.223981366318185e-06,19999.999789072303,1.9673454268662704e-06,19999.999789072303,-3.223980456823483e-06
3,1,24,-6.982127160881646e-07,19999.999796726144,1.482438246993538e-06,19999.999796726144,-6.982118065934628e-07
4,2,2,-1.4790739442105405e-05,19999.99978525527,4.53138334538465e-06,19999.99978525527,-1.4790741261094809e-05
5,2,3,-9.896693882183172e-06,19999.99980008571,4.01527306339277e-06,19999.99980008571,-9.896692063193768e-06
6,2,26,-1.1437321518315002e-05,19999.9997995773,8.98347192635347e-06,19999.9997995773,-1.1437321518315002e-05
7,2,25,-1.6331367078237236e-05,19999.999784746862,9.499580463839599e-06,19999.999784746862,-1.6331367078237236e-05
11,3,26,-3.2632161492074374e-05,19999.999792583007,1.0400448467285455e-05,19999.999792583007,-3.263216058257967e-05
10,3,27,-2.6342287128500175e-05,19999.99981164323,8.740120352081665e-06,19999.99981164323,-2.6342288037994877e-05
8,3,3,-2.7675957426254172e-05,19999.99979421855,4.01527306339277e-06,19999.99979421855,-2.767595651675947e-05
9,3,4,-2.1386083062679972e-05,19999.999813278773,2.3549445120625413e-06,19999.999813278773,-2.1386083972174674e-05
12,4,4,-3.424985698075034e-05,19999.99980903373,2.3549445120625413e-06,19999.99980903373,-3.424985698075034e-05
13,4,5,-3.153139095957158e-05,19999.999817271506,-4.8310587961666325e-12,19999.999817271506,-3.153139186906628e-05
14,4,28,-3.8561091059818864e-05,19999.999814951705,2.7596502206552485e-06,19999.999814951705,-3.8561091059818864e-05
15,4,27,-4.127955708099762e-05,19999.999806713928,5.114599530108606e-06,19999.999806713928,-4.127955617150292e-05
19,5,28,-3.856108924082946e-05,19999.999814951705,-2.759655454172502e-06,19999.999814951705,-3.8561091059818864e-05
16,5,5,-3.153140733047621e-05,19999.999817271502,-4.8310587961666325e-12,19999.999817271502,-3.153140642098151e-05
17,5,6,-3.424986880418146e-05,19999.999809033743,-2.354948437200481e-06,19999.999809033743,-3.424986789468676e-05
18,5,29,-4.127955071453471e-05,19999.999806713946,-5.11459865785573e-06,19999.999806713946,-4.1279548895545304e-05
23,6,29,-2.6342276214563753e-05,19999.999811643247,-8.740127330104669e-06,19999.999811643247,-2.6342277124058455e-05
22,6,30,-3.263215512561146e-05,19999.999792583007,-1.040045544530846e-05,19999.999792583007,-3.2632156944600865e-05
20,6,6,-2.1386078515206464e-05,19999.999813278795,-2.354948437200481e-06,19999.999813278795,-2.138607669621706e-05
21,6,7,-2.7675957426254172e-05,19999.99979421855,-4.015274807898521e-06,19999.99979421855,-2.767595651675947e-05
24,7,7,-9.896691153699066e-06,19999.99980008571,-4.015274807898521e-06,19999.99980008571,-9.896692063193768e-06
25,7,8,-1.47907367136213e-05,19999.99978525527,-4.531385089890401e-06,19999.99978525527,-1.4790737623116001e-05
26,7,31,-1.633136434975313e-05,19999.999784746866,-9.49958220834535e-06,19999.999784746866,-1.633136344025843e-05
27,7,30,-1.1437318789830897e-05,19999.999799577305,-8.98347192635347e-06,19999.999799577305,-1.1437317880336195e-05
28,8,8,-4.671481292461976e-06,19999.999788594625,-4.531385089890401e-06,19999.999788594625,-4.671481292461976e-06
29,8,9,-2.1456989998114295e-06,19999.999796248507,-4.0464735487532904e-06,19999.999796248507,-2.1456980903167278e-06
30,8,10,-6.982018021517433e-07,19999.99979672618,-1.4824225464417768e-06,19999.99979672618,-6.982008926570415e-07
31,8,31,-3.22398409480229e-06,19999.9997890723,-1.967334959831763e-06,19999.9997890723,-3.22398409480229e-06
33,9,25,-6.037653292878531e-06,19999.999780546023,1.0863137621910684e-05,19999.999780546023,-6.0376551118679345e-06
35,9,23,-1.116173734772019e-06,19999.999782105355,9.230752127577016e-06,19999.999782105355,-1.1161755537614226e-06
32,9,24,-6.061633939680178e-06,19999.99978047335,9.20640929432453e-06,19999.99978047335,-6.061633030185476e-06
34,9,32,-1.0921930879703723e-06,19999.999782178023,1.0887481327416046e-05,19999.999782178023,-1.092193997465074e-06
36,10,25,-1.914503900479758e-05,19999.999776220582,1.8395373531136888e-05,19999.999776220582,-1.914503809530288e-05
37,10,26,-1.0298996130586602e-05,19999.99980302677,1.6867744734910943e-05,19999.99980302677,-1.0298997949576005e-05
38,10,33,-1.485907705500722e-05,19999.999801521946,2.584781836406104e-05,19999.999801521946,-1.485907705500722e-05
39,10,32,-2.37051199292182e-05,19999.999774715758,2.7375445415781235e-05,19999.999774715758,-2.37051208387129e-05
42,11,34,-3.687391927087447e-05,19999.999819621607,2.287121355790853e-05,19999.999819621607,-3.687392018036917e-05
40,11,26,-3.1493836104345974e-05,19999.999796032476,1.828472302034868e-05,19999.999796032476,-3.1493837013840675e-05
41,11,27,-2.2100609385233838e-05,19999.9998244968,1.3335664874490335e-05,19999.9998244968,-2.2100608475739136e-05
43,11,33,-4.62671459899866e-05,19999.999791157283,2.7820271703766875e-05,19999.999791157283,-4.62671450804919e-05
47,12,34,-5.778561626357259e-05,19999.999812720747,1.3617690396760876e-05,19999.999812720747,-5.778561535407789e-05
46,12,35,-5.393639185058419e-05,19999.99982438506,6.667199181657475e-06,19999.99982438506,-5.393639366957359e-05
44,12,27,-3.703787933773128e-05,19999.9998195675,9.710145797023026e-06,19999.9998195675,-3.7037880247225985e-05
45,12,28,-3.318865492474288e-05,19999.999831231813,2.759652837413875e-06,19999.999831231813,-3.318865492474288e-05
48,13,28,-3.3188653105753474e-05,19999.999831231813,-2.759652837413875e-06,19999.999831231813,-3.318865492474288e-05
49,13,29,-3.703788115672069e-05,19999.99981956749,-9.710145797023026e-06,19999.99981956749,-3.7037880247225985e-05
50,13,36,-5.77856189920567e-05,19999.999812720736,-1.3617695630278129e-05,19999.999812720736,-5.77856189920567e-05
51,13,35,-5.3936390941089485e-05,19999.99982438506,-6.667200926163226e-06,19999.99982438506,-5.393639003159478e-05
55,14,36,-3.6873913813906256e-05,19999.9998196216,-2.2871220535931536e-05,19999.9998196216,-3.6873912904411554e-05
52,14,29,-2.2100606656749733e-05,19999.99982449679,-1.3335676213777717e-05,19999.99982449679,-2.2100608475739136e-05
53,14,30,-3.149382973788306e-05,19999.999796032476,-1.8284733487383186e-05,19999.999796032476,-3.149382973788306e-05
54,14,37,-4.6267136895039584e-05,19999.999791157286,-2.782027868178988e-05,19999.999791157286,-4.6267137804534286e-05
59,15,37,-1.485907705500722e-05,19999.999801521946,-2.5847807897026532e-05,19999.999801521946,-1.485907705500722e-05
58,15,38,-2.370510446780827e-05,19999.999774715805,-2.7375435820999604e-05,19999.999774715805,-2.3705106286797673e-05
56,15,30,-1.0298993402102496e-05,19999.999803026774,-1.6867749968428197e-05,19999.999803026774,-1.0298994311597198e-05
57,15,31,-1.9145020814903546e-05,19999.999776220633,-1.839537702014839e-05,19999.999776220633,-1.9145019905408844e-05
62,16,11,-1.1161946531501599e-06,19999.999782105373,-9.23075910560002e-06,19999.999782105373,-1.116193743655458e-06
60,16,31,-6.037640559952706e-06,19999.999780546066,-1.0863129771634803e-05,19999.999780546066,-6.037640559952706e-06
61,16,10,-6.061625754227862e-06,19999.99978047338,-9.20640929432453e-06,19999.99978047338,-6.061625754227862e-06
63,16,38,-1.0922094588750042e-06,19999.99978217806,-1.0887477838404544e-05,19999.99978217806,-1.0922085493803024e-06
67,17,22,-3.6545716284308583e-06,19999.999747276903,2.1804463991590927e-05,19999.999747276903,-3.6545716284308583e-06
