,Element,NID,E1,E2,E12,E_max,E_min
0,1,1.0,0.0037455714205742122,-0.0012311709460467225,9.257684503518899e-06,0.0037455757258326476,-0.001231175251305158
1,1,2.0,0.0037455714205742122,-0.0012403446130790166,-2.4315342094889322e-06,0.003745571717027172,-0.0012403449095319762
2,1,13.0,0.0037338822018612044,-0.0012403446130790166,-1.1605201241783256e-05,0.0037338889707781435,-0.001240351381995956
3,1,12.0,0.0037338822018612044,-0.0012311709460467225,8.401747122479229e-08,0.0037338822022166354,-0.0012311709464021534
4,2,2.0,0.003674354751552894,-0.0012403446130790166,9.878081820496095e-05,0.0036748510517365823,-0.0012408409132627046
5,2,3.0,0.003674354751552894,-0.001390304574134024,0.0002934996674062553,0.0036786033025654084,-0.0013945531251465385
6,2,4.0,0.003869073600754189,-0.001390304574134024,0.00014353970635124814,0.0038700527950300463,-0.0013912837684098814
7,2,13.0,0.003869073600754189,-0.0012403446130790166,-5.117914285004662e-05,0.003869201758151762,-0.00124047277047659
11,3,11.0,0.003717933095581348,-0.0012191219525797495,-1.56414295893086e-05,0.003717945484227175,-0.0012191343412255766
10,3,14.0,0.003717933095581348,-0.001234847399640283,-3.159053586916476e-05,0.0037179834688922378,-0.001234897772951173
8,3,12.0,0.0037338822018612044,-0.0012191219525797495,8.401747122479229e-08,0.0037338822022174997,-0.001219121952936045
9,3,13.0,0.0037338822018612044,-0.001234847399640283,-1.586508880863178e-05,0.003733894866084334,-0.0012348600638634128
12,4,13.0,0.003869073600754189,-0.001234847399640283,-5.5439030416895574e-05,0.0038692241416541694,-0.0012349979405402636
13,4,4.0,0.003869073600754189,-0.0013190798002140553,-0.0002725772765099716,0.0038726513270389523,-0.0013226575264988186
14,4,5.0,0.0036519353546611124,-0.0013190798002140553,-0.0003568096770837437,0.003658329902892753,-0.001325474348445696
15,4,14.0,0.0036519353546611124,-0.001234847399640283,-0.00013967143099066813,0.003652933154604178,-0.001235845199583349
19,5,10.0,0.003734914452144148,-0.0012198136574701043,-7.0337541866695354e-06,0.0037349169484301166,-0.0012198161537560728
16,5,11.0,0.003717933095581348,-0.0012198136574701043,-1.56414295893086e-05,0.0037179454824917187,-0.0012198260443804752
17,5,14.0,0.003717933095581348,-0.0012112059820674652,1.3399269734913968e-06,0.0037179331866420908,-0.0012112060731282082
18,5,15.0,0.003734914452144148,-0.0012112059820674652,9.94760237613048e-06,0.0037349194537759462,-0.0012112109836992634
23,6,15.0,0.003681354149562391,-0.0012112059820674652,2.9325728770521545e-05,0.0036813980933576925,-0.0012112499258627664
22,6,6.0,0.003681354149562391,-0.0010751392851489326,5.874452367179983e-05,0.0036815355220127543,-0.001075320657599296
20,6,14.0,0.0036519353546611124,-0.0012112059820674652,-0.00010674096814801198,0.003652520997848334,-0.0012117916252546873
21,6,5.0,0.0036519353546611124,-0.0010751392851489326,-7.732217324673239e-05,0.00365225152899018,-0.0010754554594779998
24,7,10.0,0.003734914452144148,-0.0012370512595216226,-7.0337541866695354e-06,0.0037349169397756037,-0.0012370537471530787
25,7,15.0,0.003734914452144148,-0.001216542627625391,2.6072984639818712e-05,0.003734948775162847,-0.0012165769506440906
26,7,8.0,0.0037680211909706363,-0.001216542627625391,4.658161653605048e-05,0.0037681300169234034,-0.0012166514535781583
27,7,9.0,0.0037680211909706363,-0.0012370512595216226,1.3474877709562013e-05,0.003768030260369834,-0.0012370603289208206
31,8,8.0,0.0038540248980366144,-0.001216542627625391,-1.9723208778861523e-07,0.0038540248999545702,-0.0012165426295433466
28,8,15.0,0.003681354149562391,-0.001216542627625391,4.5451111034209776e-05,0.0036814595906893123,-0.001216648068752312
29,8,6.0,0.003681354149562391,-0.0012621909707473894,0.00021812185950843312,0.0036837590033237935,-0.0012645958245087916
30,8,7.0,0.0038540248980366144,-0.0012621909707473894,0.00017247351638643472,0.003855478055406829,-0.001263644128117604
35,9,4.0,0.004064163618340366,-0.001390304574134024,8.887118069489039e-05,0.004064525595089095,-0.0013906665508827529
34,9,23.0,0.0038353668319013774,-0.0012031841484591418,0.0014791529602503958,0.003941681249794609,-0.0013094985663523735
33,9,16.0,0.0034126891101360045,-0.0012031841484591418,0.0013133069828988042,0.0035042868716497265,-0.001294781909972864
32,9,3.0,0.0036872452538627924,-0.001390304574134024,-0.0001170809349386702,0.0036879200933108173,-0.0013909794135820491
39,10,23.0,0.003277873459884992,-0.0012031841484591418,0.0017566878169165152,0.0034438893454809003,-0.0013692000340550506
36,10,16.0,0.0038588622960987334,-0.0012031841484591418,0.0015781350504791986,0.003979009779584139,-0.0013233316319445471
