,Element,NID,S1,S2,S12,S_max,S_min
0,1,1,40431.84824987222,157.17167896798674,50.0141413698597,40431.86377708179,157.15615175842322
1,1,2,40451.720070743184,217.389317970903,-192.45209953947048,40451.950207532296,217.15918118179616
2,1,13,39727.94024713324,-21.458023820378003,-172.27919047349656,39728.12691650045,-21.64469318758347
3,1,12,39708.06842626228,-81.67566282329426,70.18705043583623,39708.09937781983,-81.70661438085153
4,2,2,38760.19442964774,-340.81414359059454,306.53032860696976,38760.79517757082,-341.4148915136793
5,2,3,38027.55919797945,-2560.920906221785,1447.6254660260013,38040.46281909778,-2573.8245273401226
6,2,4,41433.81333952879,-1436.8570395105016,703.8897005445541,41436.70242033276,-1439.746120314474
7,2,13,42166.44857119708,783.2497231206889,-437.2054368744756,42167.60328655188,782.095007765889
11,3,11,39922.974249559105,355.1342143682741,-112.58416636046363,39923.05433460323,355.05412932414765
10,3,14,39742.930961371705,-190.45150741172438,-85.98320251700517,39742.977245345726,-190.49779138574013
8,3,12,39843.56838733982,328.9302798359113,70.18705043583623,39843.59955438576,328.8991127899826
9,3,13,39663.52509915242,-216.65544194408722,96.78801427929353,39663.583824475296,-216.7141672669568
12,4,13,42102.03342321626,588.0523049969797,-168.13823212168552,42102.203669169576,587.882059043659
13,4,4,41854.96930400015,-160.62684414272917,-1329.4769866324941,41865.48365470383,-171.14119484640833
14,4,5,38388.286454714165,-1304.6321844071063,-1580.2845015942958,38404.00909735169,-1320.3548270446336
15,4,14,38635.35057393027,-555.9530352673974,-418.94574708349063,38636.47014963353,-557.0726109706593
19,5,10,40009.20176307168,48.9104960111672,8.68449750715861,40009.20223491819,48.910024164655624
16,5,11,39799.0330496047,-20.44517943293613,-112.58416636046363,39799.11262855543,-20.52475838366081
17,5,14,39918.4917334146,341.55083211220517,-42.17764734902545,39918.5029707247,341.53959480210324
18,5,15,40128.66044688158,410.9065075563085,79.09101651859564,40128.69982085211,410.8671335857798
23,6,15,39193.83474421501,102.41402567634032,-1.8827494234067679,39193.834766884596,102.41400300675377
22,6,6,39561.521180102754,1216.6153465482894,126.39658898761071,39561.62534031624,1216.511186334803
20,6,14,38810.91134597317,-23.950695743467804,-375.1401919155109,38811.817277353795,-24.85662712409976
21,6,5,39178.59778186091,1090.2506251284813,-246.86085350449343,39178.99777060798,1089.8506363814085
24,7,10,39984.86960555795,-24.823314636496434,8.68449750715861,39984.870076821855,-24.823785900396615
25,7,15,40036.08134382292,130.36377101493417,110.88217982638403,40036.15836808673,130.28674675112052
26,7,8,40341.149052238514,231.0361147920794,162.8698535196126,40341.314387598475,230.87077943211625
27,7,9,40289.93731397354,75.84902914064878,60.67217120038805,40289.96019843033,75.82614468385509
31,8,8,41829.06733240214,722.0491472460762,43.02097704068437,41829.0785884117,722.0378912365195
28,8,15,39101.25564115636,-178.128710865034,29.908413884379886,39101.26133442973,-178.13440413840362
29,8,6,39114.17249441481,-138.98673129396957,943.7253304517186,39119.84394134839,-144.65817822754252
30,8,7,41841.98418566059,761.1911268171407,956.8378936080231,41847.55500446906,755.6203080086743
35,9,4,42932.503951623294,-942.2891375193158,623.5539004000876,42934.71934574509,-944.504531641116
34,9,23,40893.220533961474,297.26516771441675,6074.399050913917,41119.19176380342,71.29393787246954
33,9,16,36246.5584759491,-1236.133311429665,5465.77456067231,36444.7669274372,-1434.3417629177602
32,9,3,38835.35066667545,-2294.3497215521056,-150.4527653865441,38835.48825556302,-2294.487310439672
39,10,23,34840.93486444696,-1699.9891032253727,6908.257676938681,35164.579127901845,-2023.6333666802566
36,10,16,40795.29540823715,264.94987622538974,5977.527249193887,41014.505357846116,45.739926616421144
37,10,17,44736.18447543477,3303.996728137112,328.72407025694605,44736.836491534705,3303.344712037182
38,10,18,39606.08709124136,1611.064591353288,1011.3812346841995,39612.81633367739,1604.3353489172587
42,11,24,36892.290190358464,-2813.192083803957,-7192.496958786322,37215.38444568404,-3136.2863391295323
43,11,5,40464.5370065113,-619.4695023140503,-1846.3620462092065,40485.27094600648,-640.2034418092298
40,11,4,43353.65991609466,333.9410578484567,-1409.8127867769572,43365.207171574584,322.3938023685332
41,11,23,40314.14761613179,-1683.9791332987606,-6568.132563431485,40569.39566187921,-1939.2271790461746
46,12,19,43374.92066963889,3565.164558963237,468.2792850240423,43376.2977058562,3563.7875227459226
47,12,24,38608.656953803744,-2246.791051867016,-4770.9678253630445,38747.46988438715,-2385.603982450426
44,12,23,34303.79758880368,-3667.3946423170364,-6617.267216075745,34589.94026909198,-3953.5373226053343
45,12,18,39869.16307892377,2408.264554027248,-1096.2974018047862,39877.18217894979,2400.2454540012295
48,13,5,41254.84833365805,1775.4133072215373,-512.9383981194042,41256.51435735842,1773.7472835211702
49,13,24,39866.105271291846,-2432.8990029790584,-700.3513155256567,39869.004029562726,-2435.7977612499417
50,13,25,39066.1445864807,-3328.187246681742,2836.801783479134,39113.547481357156,-3375.5901415581975
51,13,6,40501.645454221376,1021.8153828354316,2269.243904308595,40534.2267857221,989.234051334708
52,14,24,41582.47203473712,-1866.4979710421212,1721.17781789762,41599.51094143078,-1883.5368777357835
53,14,19,42530.13422333995,1005.2056307846342,992.794585065848,42536.067408000454,999.2724461241341
54,14,20,40067.09480076506,-605.5132399153481,-2244.85597993441,40098.0465062306,-636.4649453808925
55,14,25,39045.559804898,-3701.0738334518574,-2273.36962999619,39075.76428997283,-3731.2783185266817
59,15,7,35387.28351619583,1310.5130333681368,-7773.127352392492,35824.93755271785,872.8589968461129
58,15,22,34405.23365847931,1540.2399990797528,-8570.905840734573,34954.84679164273,990.6268659163215
56,15,6,40063.24423710676,1161.6180210540226,-4763.7847326543015,40208.54150354343,1016.3207546173544
57,15,25,38849.32179392536,1479.3955464388428,-6039.658201526344,39091.778323517356,1236.939016846849
60,16,25,39644.44648021357,2023.3971612584317,6145.974186232457,39893.80344784147,1774.040193630528
61,16,20,40889.72194799353,1690.4842196278557,4794.506588020089,41035.78319306177,1544.422974559613
62,16,21,36328.8577745142,2149.7980717680935,7805.507849983,36768.83215857255,1709.823687709748
63,16,22,35300.77728895194,2342.711887167411,8677.787938685036,35862.417099268656,1781.0720768506908
64,17,17,43758.060489620046,2981.2158128182546,2389.197006452198,43793.02746428163,2946.2488381566727
65,17,27,43175.0386037201,1214.482825242676,494.4941604236791,43176.49542418431,1213.0260047784723
66,17,38,37519.20921259019,-651.9408738301936,-97.36139041414224,37519.271296290215,-652.0029575302142
67,17,18,38102.231098490134,1114.792113745385,1797.3414556143766,38124.0529090225,1092.9703032130237
71,18,38,40273.97727898984,257.1325880816894,-25.59572543914192,40273.98137189809,257.1284951734451
70,18,29,40193.77122664414,14.083944609859827,68.45908830500099,40193.800387170806,14.054784083189588
68,18,27,39993.21664094762,164.48157752775842,55.82557012391158,39993.236202783715,164.46201569166442
69,18,28,39913.010588601916,-78.56706594407115,149.88038386805448,39913.15101848681,-78.70749582896315
72,19,18,38365.30708617254,1911.9920764193448,-310.3371808746091,38365.967570828376,1911.3315917635082
73,19,38,37764.05019004751,90.00148210104999,440.4167417339948,37765.337284789115,88.71438735944321
74,19,39,40005.106675446325,829.5501222826588,-169.95010736264547,40005.29099256676,829.3658051622224
75,19,19,40606.36357157136,2651.5407166009536,-920.7040299712423,40611.946335355016,2645.957952817298
76,20,38,40518.81825644715,999.074944012933,512.1824067089951,40520.477678934636,997.4155215254395
77,20,29,40247.767704283855,177.70963442717948,215.3438916042494,40248.05702665482,177.42031205621606
78,20,30,39361.682584568196,-114.69845507898754,-59.81348710697703,39361.7052414778,-114.72111198858693
79,20,39,39632.73313673149,706.666854506766,237.0250279977687,39633.09395114529,706.3060400929644
83,21,20,39272.200667503144,-69.91244264150919,-147.419910657986,39272.338767315625,-70.05054245398787
82,21,40,39517.256519322786,672.6810477210274,-311.36102401069985,39517.88044254099,672.0571245028259
80,21,19,39761.57712527242,91.58178842235066,-396.1887299294366,39762.56629602071,90.59261767406133
81,21,39,40006.63297709206,834.1752787848873,-560.1298432821504,40008.635209170636,832.1730467063062
84,22,39,39634.25943837723,711.2920110089945,-153.15470792173628,39634.41009668592,711.1413527003097
85,22,30,39421.64624628983,67.00961074414045,64.51151289138143,39421.67268366071,66.98317337325352
86,22,31,40071.396159164804,281.42708199288245,-151.3230911973497,40071.54003082181,281.28321033588145
87,22,40,40284.00935125221,925.7094822577365,-368.9893120104674,40284.874163256485,924.8446702534566
88,23,20,39256.118701152045,-118.64567400849774,-976.6593817741922,39262.1740826417,-124.70105549815344
89,23,40,39243.3317720274,-157.39394408316548,-114.35852161147187,39243.414751742144,-157.4769237979126
90,23,33,41817.3641904236,692.0367539875806,-127.33919208647947,41817.46276247145,691.9381819397313
91,23,21,41830.151119548245,730.7850240622483,-989.6400522492067,41836.107692623424,724.8284509870755
94,24,32,40216.77108989379,173.99614664552064,-100.18896930057734,40216.83375921349,173.93347732581242
92,24,40,40010.08460395682,95.63449045354355,-171.98680961123944,40010.2698709798,95.44922343056896
93,24,31,40013.84533588906,107.03064782395995,-104.00668201965559,40013.91310233209,106.96288138093223
95,24,33,40213.010357961546,162.59998927510424,-168.16909689216118,40213.18688998853,162.4234572481255
