,Element,NID,E1,E2,E12,E_max,E_min
0,1,1.0,0.003737957450653073,-0.0012220912182671646,3.192357054805379e-06,0.00373795796431449,-0.0012220917319285813
1,1,2.0,0.0037626188206667174,-0.0012698416712444034,1.5004398648387623e-06,0.0037626189325066285,-0.0012698417830843147
2,1,13.0,0.003725072228413763,-0.0012050731356330283,-2.0599091822483262e-05,0.003725093745057833,-0.0012050946522770985
3,1,12.0,0.0037384351481810655,-0.0012386723023887925,-3.0968240326756033e-06,0.0037384356299025403,-0.0012386727841102673
4,1,16.0,0.003750288135659895,-0.0012457698292499702,7.0994346824410776e-06,0.0037502906577456937,-0.0012457723513357689
5,1,17.0,0.0037456252028594053,-0.0012374574034387153,-1.9718028445445818e-05,0.003745644708813579,-0.001237476909392889
6,1,18.0,0.003731753688297414,-0.001221676103505096,-7.094921704959775e-06,0.0037317562288546784,-0.0012216786440623609
7,1,19.0,0.0037399759777362353,-0.0012303817603279785,-1.0120935955561065e-05,0.003739981129942768,-0.0012303869125345115
15,2,17.0,0.003733731232456524,-0.0012374574034387153,1.669493037993134e-05,0.003733745249220669,-0.0012374714202028603
14,2,22.0,0.0037579047422359613,-0.0012810146064937858,5.528872888613257e-07,0.0037579047574021274,-0.001281014621659952
13,2,21.0,0.003741813950934491,-0.0012474195620470465,4.878242571384941e-05,0.0037419331911033196,-0.0012475388022158752
12,2,20.0,0.00375454883397398,-0.0011927411584551602,-4.906431318732821e-05,0.0037546704787351746,-0.0011928628032163548
9,2,3.0,0.003721122403045715,-0.0011267618462027346,-4.0073862718858e-05,0.0037212052168546957,-0.0011268446600117149
10,2,4.0,0.003799413891642193,-0.0013680772778913593,6.111772232155269e-05,0.0037995946004831223,-0.0013682579867322884
8,2,2.0,0.003787975264902244,-0.0012698416712444037,-2.0586973488554913e-05,0.0037879962137487206,-0.0012698626200908802
11,2,13.0,0.003716395592829727,-0.001205073135633028,-2.2544157576581333e-05,0.0037164214101417306,-0.0012050989529450312
22,3,24.0,0.0037284843255498967,-0.0012318256142212632,-1.675157321575976e-05,0.0037284984685373567,-0.001231839757208723
23,3,25.0,0.0037338154803221884,-0.0012262113106445783,9.403531791023602e-06,0.003733819937270428,-0.0012262157675928178
20,3,18.0,0.003731753688297414,-0.001221834370608379,9.788607691386952e-07,0.0037317537366547047,-0.0012218344189656697
21,3,23.0,0.0037305924175164047,-0.0012356019766469103,-2.0215430308473392e-06,0.003730592623239124,-0.0012356021823696295
