,Element,NID,S1,S2,S12,S_max,S_min
0,1,1,40041.45508953712,137.30414408858633,12.841436273089306,40041.45612265321,137.30311097249796
1,1,2,40148.36768036123,-338.34454779591215,6.035603967584495,40148.36790530241,-338.3447727370876
2,1,13,39954.168558082194,290.5930728937201,-82.86100845886125,39954.211834180904,290.5497967950141
3,1,12,39981.48825698864,-59.90251075382912,-12.457149304371788,39981.48922586461,-59.90347962980013
4,1,16,40095.69047747642,-98.15931540746533,28.557876354180276,40095.69555009452,-98.1643880255615
5,1,17,40072.6378398087,-16.82372965738432,-79.3168813407031,40072.67707182419,-16.862961672875826
6,1,18,39968.60750006266,117.70616751614943,-28.539722647770525,39968.61260983205,117.7010577467554
7,1,19,40032.84139384988,45.752824461087584,-40.71203561071557,40032.85175637859,45.74246193237195
15,2,17,39929.819431873766,-63.95380427591408,67.1562988967163,39929.84762354548,-63.98199594762991
14,2,22,40047.48980630146,-491.1846534040269,2.2240202972993175,40047.489836804845,-491.18468390740964
13,2,21,39987.39849782396,-151.54780962149198,196.23005832262731,39987.638327274275,-151.78763907180837
12,2,20,40356.97844575964,555.4724916304658,-197.36396658060596,40357.2231117272,555.227825662907
9,2,3,40217.05042492122,1215.2748858547402,-161.19937259089497,40217.21698866345,1215.1083221125118
10,2,4,40200.92893315798,-1372.1203254954125,245.84948452654652,40201.29239844193,-1372.4837907793662
8,2,2,40452.83850666595,-237.8691751153583,-82.81226177726977,40452.88064075497,-237.91130920438445
11,2,13,39849.9827195128,256.2117461658254,-90.6851451388798,39850.03464551379,256.15982016483395
22,3,24,39889.13257722883,-17.120321682001304,-67.384147897981,39889.161022771965,-17.148767225127813
23,3,25,39975.39389693795,71.41896209253719,37.82623690374156,39975.402861106806,71.4099979236853
20,3,18,39967.98036377976,115.80575453766505,3.9375226427759547,39967.980461039726,115.80565727769863
21,3,23,39899.4818627374,-54.11213541859979,-8.131770838370876,39899.482276503026,-54.112549184228556
18,3,14,39824.23934404969,-325.9023880830773,-129.73682758723507,39824.344148166005,-326.0071921993949
19,3,11,39921.718200720214,193.7598971803527,15.362605003358293,39921.719685881006,193.75841201956428
17,3,13,39924.6539530706,201.15487588889118,40.72626780199668,39924.66439165539,201.14443730409766
16,3,12,39978.99916480116,-67.44521435227944,-12.457149304370915,39979.00013355486,-67.44618310598162
30,4,27,40078.64327312083,471.671801308923,-163.1058944126793,40078.81119444259,471.5038799871654
29,4,26,40133.29834945148,-250.9602590330196,-334.62965644468403,40133.9915346727,-251.65344425423973
28,4,22,40006.932986656975,-614.0841068721656,114.75295169773852,40007.014029763435,-614.165149978624
31,4,23,40059.319349051126,-1.3657649350698193,-143.79143861684105,40059.44837774326,-1.4947936272110383
26,4,5,39966.15740136542,1002.9349632441226,-435.79493281630187,39967.37593048295,1001.7164341265889
25,4,4,40139.61226824965,-1557.9284009751718,59.01907042375755,40139.63315226867,-1557.949284994189
24,4,13,39820.46811450122,166.7735491609983,32.90213112196417,39820.4749395276,166.76672413462074
27,4,14,40137.34355431319,-222.57799869612063,-28.001557858829518,40137.34841115581,-222.58285553873793
32,5,11,39888.43181412212,92.89205900433444,15.362605003358293,39888.43329676079,92.8905763656694
33,5,14,40004.86388922749,221.44471851631715,-85.29056813056549,40004.90960219539,221.39900554841734
34,5,15,39981.62373688405,222.87600969771484,103.38102277834766,39981.69093981685,222.8088067649187
35,5,10,40034.77003885966,78.32791803668806,-26.079791853668866,40034.774294465475,78.32366243086653
36,5,24,39924.76651132082,90.86129677856843,-26.747023401473957,39924.771001234476,90.85680686490741
37,5,28,39973.68747676665,215.7067731316074,5.663822409149251,39973.68767848014,215.70657141811535
38,5,29,39986.31554751788,84.2948718854368,46.86757362447166,39986.32930978269,84.28110962062783
