,Element,NID,E1,E2,E12,E_max,E_min
0,2,1.0,0.0017866945330580466,-0.0007338599385563873,0.0003669299692782037,0.0017999784900022834,-0.0007471438955006242
1,2,4.0,0.001786694533058065,-0.0007338599385563873,-0.00036692996927818375,0.0017999784900023003,-0.0007471438955006225
2,2,11.0,0.001786694533058065,0.0,-0.00036692996927820213,0.0018053388998259174,-1.864436676785237e-05
3,2,12.0,0.0017866945330580466,0.0,0.0003669299692781852,0.0018053388998258975,-1.864436676785085e-05
24,3,15.0,0.0012676795661219183,-0.0002109683639631849,-0.00039077344095305236,0.0012930620126026468,-0.00023635081044391334
23,3,4.0,0.0013187130564864882,-0.0007338599385563873,0.0008911362086877176,0.0014112629681882218,-0.000826409850258121
22,3,14.0,0.0012166460757573625,-0.0004245660575590191,-0.00010958932678161414,0.001218473454292361,-0.00042639343609401773
21,3,13.0,0.001216646075757357,-0.00042456605755901574,0.00010958932678161327,0.0012184734542923556,-0.0004263934360940143
20,3,1.0,0.0013187130564864804,-0.0007338599385563873,-0.0008911362086877186,0.0014112629681882146,-0.0008264098502581217
25,3,16.0,0.0010985828255301753,-0.0004245660575590174,-4.336808689942018e-19,0.0010985828255301753,-0.00042456605755901737
11,3,18.0,0.0004625284827170367,-0.0007338599385563873,-6.505213034913027e-19,0.0004625284827170368,-0.0007338599385563875
26,3,17.0,0.001267679566121925,-0.0002109683639631866,0.0003907734409530515,0.0012930620126026533,-0.00023635081044391486
9,3,16.0,0.000360461501987909,-0.0004245660575590174,-1.3010426069826053e-18,0.000360461501987909,-0.00042456605755901737
8,3,15.0,0.0012676795661219183,-0.00021096836396318383,0.0010854692061314812,0.0014455037759405322,-0.0003887925737817978
7,3,4.0,0.0013187130564864882,-0.0007338599385563892,-0.0020613490854813447,0.00174692096873379,-0.0011620678508036909
6,3,14.0,0.0012166460757573625,-0.0004245660575590191,-0.00010958932678161414,0.001218473454292361,-0.00042639343609401773
5,3,13.0,0.001216646075757357,-0.00042456605755901574,0.00010958932678161327,0.0012184734542923556,-0.0004263934360940143
4,3,1.0,0.0013187130564864804,-0.0007338599385563853,0.0020613490854813447,0.0017469209687337836,-0.0011620678508036885
10,3,17.0,0.001267679566121925,-0.0002109683639631876,-0.0010854692061314812,0.001445503775940538,-0.0003887925737818007
12,4,13.0,0.0017310419610731126,-0.00042456605755901574,-0.00010683732046200614,0.0017323649302719301,-0.0004258890267578332
14,4,21.0,0.0017836778397946557,-0.00058406872035155,4.159266148394576e-05,0.0017838604835036086,-0.0005842513640605028
15,4,14.0,0.0017310419610731265,-0.0004245660575590192,0.00010683732046200224,0.0017323649302719438,-0.00042588902675783644
16,4,23.0,0.0017573599004338872,-0.0006471495634805156,-7.421499097297161e-05,0.0017579324240436524,-0.0006477220870902809
17,4,24.0,0.001942821179064403,-0.0005840687203515502,-1.734723475976807e-18,0.001942821179064403,-0.0005840687203515502
18,4,25.0,0.0017573599004338924,-0.0006471495634805169,7.421499097297682e-05,0.001757932424043658,-0.0006477220870902827
19,4,16.0,0.0018901853003428677,-0.0004245660575590174,-2.168404344971009e-18,0.0018901853003428677,-0.00042456605755901737
13,4,20.0,0.0017836778397946618,-0.0005840687203515504,-4.159266148394923e-05,0.0017838604835036143,-0.000584251364060503
