,Element,NID,S1,S2,S12,S_max,S_min
0,2,1,18546.035305441023,-1732.109691757807,1475.9964929611954,18572.858367177818,-1758.9327534946005
1,2,4,18546.035305441244,-1732.1096917577343,-1475.996492961115,18572.858367178036,-1758.9327534945241
2,2,11,21453.968694558745,7079.8096692043855,-1475.996492961189,21491.759653616853,7042.018710146276
3,2,12,21453.968694558524,7079.809669204313,1475.996492961121,21491.75965361663,7042.018710146209
24,3,15,14385.862489451825,2489.973127113023,-1571.9082023299475,14437.565279541832,2438.2703370230147
23,3,4,12926.686411584358,-3586.494826730507,3584.645651488187,13118.983870987431,-3778.792286133579
22,3,14,12926.686411584426,-277.0503000586432,-440.82924682829747,12930.364845682143,-280.7287341563606
21,3,13,12926.686411584375,-277.050300058625,440.829246828294,12930.364845682092,-280.7287341563424
20,3,1,12926.686411584264,-3586.494826730538,-3584.6456514881916,13118.983870987337,-3778.792286133612
25,3,16,11509.026466089088,-744.8780820720876,-1.7445057512172778e-12,11509.026466089088,-744.8780820720876
11,3,18,2645.9379665915044,-6979.141813578149,-2.6167586268259166e-12,2645.937966591505,-6979.141813578149
26,3,17,14385.862489451898,2489.97312711303,1571.908202329944,14437.565279541905,2438.270337023023
9,3,16,2645.9379665915567,-3669.697286906273,-5.233517253651833e-12,2645.9379665915567,-3669.697286906273
8,3,15,14385.862489451829,2489.973127113036,4366.361092333402,14773.872608264204,2101.9630083006614
7,3,4,12926.686411584351,-3586.494826730529,-8291.892937838493,13909.152063253636,-4568.960478399813
6,3,14,12926.686411584426,-277.0503000586432,-440.82924682829747,12930.364845682143,-280.7287341563606
5,3,13,12926.686411584375,-277.050300058625,440.829246828294,12930.364845682092,-280.7287341563424
4,3,1,12926.68641158427,-3586.4948267305144,8291.892937838493,13909.15206325356,-4568.960478399802
10,3,17,14385.862489451894,2489.973127113018,-4366.361092333402,14773.872608264268,2101.963008300646
12,4,13,19103.362399552712,1761.2527759709265,-429.759146219348,19106.024483073874,1758.590692449765
14,4,21,19103.362399552792,54.574284090836954,167.3088262700074,19103.729768113713,54.20691552991593
15,4,14,19103.362399552865,1761.2527759709392,429.7591462193323,19106.024483074027,1758.5906924497758
16,4,23,18537.387303324984,-807.1625191442727,-298.53398624466024,18538.53901318666,-808.3142290059459
17,4,24,21014.296896451342,685.1826680673548,-6.978023004869111e-12,21014.296896451342,685.1826680673548
18,4,25,18537.387303325042,-807.1625191442672,298.5339862446812,18538.539013186717,-808.3142290059386
19,4,16,21014.296896451346,2391.861159947458,-8.72252875608639e-12,21014.296896451346,2391.861159947457
13,4,20,19103.362399552865,54.574284090855144,-167.30882627002134,19103.729768113786,54.206915529930484
