,Element,NID,S1,S2,S12,S_max,S_min
14049,20534,22415,1593.451801265216,126.69882589511087,962.7909712143664,1737.3339335162914,-17.18330635596442
14822,20534,197,2036.2147583886824,168.13653502112675,-237.5697322175191,2043.7375971741749,160.61369623563405
14821,20534,22469,991.5826150484306,-931.1275822508883,-290.7002014611729,1002.5084827259374,-942.053449928395
14820,20534,22468,2325.0298551156875,352.6459883317005,-483.86315368712235,2354.2715322376707,323.40431120971755
14819,20534,1,2309.945724447841,758.6673969787497,-617.4316008506773,2369.124838993714,699.4882824328766
14818,20534,164,1653.886592614198,-751.4652800629473,237.59560802868296,1659.7396489301218,-757.3183363788712
14817,20534,22437,2100.4412619346513,-522.5311623918727,-746.2086294312882,2152.4809623794963,-574.5708628367179
14816,20534,22415,2475.27781948412,905.7109537029575,-260.04822553550457,2485.9761943305643,895.0125788565127
14055,20534,197,2136.6688519095896,472.5428790238755,-897.0780415979395,2249.8656533491458,359.34607758431946
14054,20534,22469,-59.72958706853939,-1263.7093396328291,-270.85672515493246,-44.68408953763799,-1278.7548371637304
14048,20534,1,2494.1858579561813,1316.970831852509,-1827.035071712049,2992.304203958748,818.852485849942
14050,20534,22437,2100.4412619346513,-522.5311623918727,-746.2086294312882,2152.4809623794963,-574.5708628367179
14053,20534,22468,1844.2313577180664,-72.09590230590538,182.85043933195726,1848.5832406557256,-76.44778524356445
14052,20534,22467,707.7935178242795,289.1863030747647,-444.90209030563125,803.9280671190296,193.05175378001456
14051,20534,164,1653.8865926142817,-751.46528006292,237.59560802868296,1659.7396489302055,-757.3183363788439
14827,20535,22471,3205.8518542587317,373.91051655634055,-1074.0822812492775,3304.2741732975073,275.4881975175647
14826,20535,22415,2848.8239441832625,288.48550114409875,-1301.2142174816106,3004.664070011435,132.64537531592646
14825,20535,22437,1747.902534462122,-828.9290681245776,-254.57906986911934,1754.175075097532,-835.2016087599877
14824,20535,22438,3054.243333764861,-176.39798482268452,-1164.6224941584812,3155.9978681700272,-278.1525192278509
14823,20535,22416,3306.9608458476664,670.9820600107912,-976.7169299830941,3394.5282928237993,583.4146130346578
14058,20535,22438,3054.243333764861,-176.39798482268452,-1164.6224941584812,3155.9978681700272,-278.1525192278509
14063,20535,22468,3069.3702774934927,777.4978740610021,-1644.5481129757823,3333.8611041544364,513.0070474000588
14062,20535,22472,478.395639897319,-1041.8871427405084,-790.6514188923426,575.0490614393215,-1138.5405642825108
14828,20535,22472,1618.9639755566766,-773.8896078383456,-804.8848969129317,1684.8354814937757,-839.7611137754448
14061,20535,22471,2092.695352208827,-633.312722875156,-265.8058353116177,2099.159529660231,-639.77690032656
14056,20535,22415,4124.762294239879,1954.6980764007694,-2772.853984443448,4800.262628119205,1279.1977425214438
14057,20535,22416,1267.034540859775,-1174.8025742605553,504.50012786700006,1292.8205268660672,-1200.5885602668477
14060,20535,22470,1379.5492970853732,18.262767063882563,-1192.6328606529378,1603.8195855601473,-206.0075214108915
14829,20535,22468,2373.0906708514462,-131.74603294236977,-841.4867919084377,2441.875079096696,-200.53044118761954
14059,20535,22437,1747.9025344622053,-828.9290681245501,-254.57906986906352,1754.1750750976123,-835.201608759957
14065,20536,22417,1281.9977160362782,-1840.4799568246813,538.991203498681,1305.086681464062,-1863.568922252465
14836,20536,22471,3164.179010233256,-388.26575186278,-1147.9964540998114,3254.6220816946925,-478.7088233242164
14835,20536,22475,2766.5848519536867,-472.6111566997531,-1160.6739827438628,2867.419560398297,-573.4458651443638
14834,20536,22474,4457.494210042093,336.6975547682373,-1296.051164733864,4556.998293147615,237.19347166271427
14833,20536,22416,3836.2809076527947,-195.82066222247727,-1554.57160290004,3980.932319822261,-340.47207439194335
14832,20536,22438,2365.308383686818,-667.2119023074256,-645.3175007384106,2399.2590297217785,-701.1625483423857
14831,20536,22439,4390.810579314824,176.44356793922861,-1424.7194159176674,4507.964880743093,59.28926651095935
14830,20536,22417,4542.356695202858,438.8777273911137,-1172.2419654693056,4624.433678620305,356.8007439736666
14068,20536,22473,2515.6526825644128,-248.2001644305857,-1546.7604028735227,2717.3416088078015,-449.88909067397435
14066,20536,22439,4390.810579314824,176.44356793922861,-1424.7194159176674,4507.964880743093,59.28926651095935
14067,20536,22438,2365.3083836867354,-667.2119023074517,-645.3175007384106,2399.259029721696,-701.1625483424124
14069,20536,22474,2678.384439802238,-907.1268169961661,-362.2477977993805,2687.510774770682,-916.2531519646103
14070,20536,22475,1528.9301900194553,-680.3395979910837,-1254.3396868667855,1694.555214915156,-845.9646228867844
14071,20536,22471,4490.86380829895,779.579844264074,-2116.003952237541,4771.287215471841,499.15643709118376
