,Element,NID,E1,E2,E12,E_max,E_min
0,1,66.0,0.00038398546455078314,-8.670888869974217e-06,-0.0001778238230462567,0.0004031800963343508,-2.786552065354192e-05
1,1,59.0,0.0003969566353515981,-7.837422651417445e-06,-0.00014726341318277783,0.0004099341302943061,-2.0814917594125432e-05
2,1,60.0,0.00042751336211352756,-8.036358317394462e-06,-0.0001536290362880062,0.0004406635112399717,-2.11865074438386e-05
3,1,67.0,0.0004169858010422689,-9.253684399896701e-06,-0.00019803200784445502,0.0004388643429324298,-3.113222629005759e-05
4,2,65.0,0.00038012785341956165,-2.0149331978702808e-05,-0.00016771176770835877,0.0003969852642425099,-3.7006742801651044e-05
5,2,66.0,0.00040357562041879553,-3.349857671184665e-05,-0.00015156496923434196,0.0004163423229984202,-4.626527929147133e-05
6,2,67.0,0.00044924263460698055,-1.9322530864619112e-05,-0.0002029414763022857,0.0004702728781731405,-4.035277443077901e-05
7,2,64.0,0.00040180050361397567,-8.734813997398553e-06,-0.00020175633389400358,0.00042524929878166395,-3.218360916508681e-05
11,3,64.0,0.00042507201275085275,-1.4586942513676777e-05,-0.00020376914634695487,0.0004475346428869098,-3.704957264973383e-05
10,3,61.0,0.0004270381307808005,1.0286139527051645e-05,-0.00018606884039854,0.0004468637102915783,-9.539439983726107e-06
8,3,67.0,0.0004074729463975635,-2.8696097209966135e-05,-0.00024253263758463456,0.0004389207445922644,-6.014389540466705e-05
9,3,60.0,0.00041302945258402113,1.1874261140145358e-05,-0.00020956760547782144,0.00043875037038353814,-1.3846656659371656e-05
12,4,36.0,0.0003677076922853628,-3.693767771618798e-05,-0.00014263640419474258,0.00037990949263841476,-4.913947806923992e-05
13,4,37.0,0.00038814326675286966,-3.588538268090998e-05,-0.00011271452717993499,0.00039550582104675407,-4.324793697479441e-05
14,4,66.0,0.00042207340590700443,-3.664411248873937e-05,-0.00013253426237169654,0.00043145461633380556,-4.602532291554052e-05
15,4,65.0,0.0003930871112211168,-3.787077355835199e-05,-0.00016760042776154185,0.00040880862397769355,-5.359228631492873e-05
16,5,37.0,0.0003607159144135251,-1.429142568210708e-05,-0.00013052268514118608,0.0003717485612337233,-2.5324072502305283e-05
17,5,38.0,0.00037701412946784894,-1.6288010680866745e-05,-9.650204719229005e-05,0.00038284714429762806,-2.2121025510645842e-05
18,5,59.0,0.00041425796867035347,-1.5620149876863188e-05,-0.00011032095601714448,0.0004212231174135331,-2.2585298620042798e-05
19,5,66.0,0.0003951078185937783,-1.3072995399208303e-05,-0.0001538167952577149,0.0004091178376716802,-2.7083014477110223e-05
23,6,63.0,0.00048078701764021556,1.315005130708153e-05,-0.00041067683098444663,0.0005581516766056913,-6.421460765839424e-05
22,6,62.0,0.0005243407686127272,-8.378699170294807e-06,-0.0003282529320084229,0.0005708468281243751,-5.4884758681942735e-05
20,6,64.0,0.0004004576782978414,1.0143653414796284e-05,-0.0003790669039658717,0.00047734696508802763,-6.674563337538998e-05
21,6,61.0,0.0004178720061398678,-1.9264873432202416e-05,-0.00025668670197907806,0.00045276792008769735,-5.4160787380031926e-05
24,7,63.0,0.0003282473304368899,9.046294416580789e-05,-0.0006984529076870787,0.0005782649767644791,-0.00015955470216178128
25,7,62.0,0.0004999208050044453,-0.00013845340685466207,-0.0004413566774090112,0.0005687792347598994,-0.00020731183661011618
26,7,14.0,0.0008343833122286086,-7.267918478298121e-06,-0.0008602924153024785,0.0010153217357594638,-0.00018820634200915337
27,7,15.0,0.0005561459030035392,0.00025402019232546207,-0.001102111848654535,0.0009764696225849851,-0.00016630352725598385
31,8,70.0,0.0004091399685739851,-3.878146819902642e-05,-0.0002996585227424617,0.0004546365027216213,-8.42780023466626e-05
28,8,69.0,0.0003630471264692743,-4.210691389726203e-05,-0.00021990246812193955,0.00039096245535178835,-7.002224277977609e-05
29,8,65.0,0.00040624621110319707,-4.414969060479758e-05,-0.0001739666921926654,0.00042246122503558766,-6.03647045371882e-05
30,8,64.0,0.0004452128674001625,-4.2340895196749314e-05,-0.00021794211704382954,0.0004684600663847178,-6.558809418130465e-05
32,9,69.0,0.00038521741430970133,-5.851598807809556e-05,-0.00024759326404294457,0.0004174184977688801,-9.071707153727435e-05
33,9,70.0,0.0004217863105557759,-4.247826227447973e-05,-0.0003188096957418077,0.00047124824269113776,-9.194019440984154e-05
34,9,71.0,0.00035517217301585767,-3.815433813454807e-05,-0.0003181367319091445,0.0004114499800242046,-9.443214514289505e-05
35,9,68.0,0.0003395575635186873,-5.147623679351747e-05,-0.0002628162952829395,0.00037961434507005756,-9.153301834488771e-05
38,10,57.0,0.0002964596528312758,-3.831453776842876e-05,-0.00040984689680063566,0.00039367047773715674,-0.0001355253626743097
39,10,58.0,0.0002756285842545232,-4.2842959408469846e-05,-0.00032790895495539776,0.0003449471860756823,-0.00011216156122962888
36,10,68.0,0.00035008219269548786,-4.467307942471448e-05,-0.00029944077432989685,0.00040044257460900294,-9.503346133822956e-05
37,10,71.0,0.0003744860362880874,-4.0181240830832544e-05,-0.00038092652184839974,0.0004486901242240025,-0.00011438532876674766
43,11,71.0,0.00038775945974653045,-3.189223965352928e-05,-0.0002849261682137359,0.00043155265021419,-7.56854301211888e-05
42,11,63.0,0.000388349752761339,-3.2873183230767847e-06,-0.00029364397129874077,0.0004372792393396763,-5.221680490141408e-05
41,11,64.0,0.0003933442735810262,6.67056030177743e-07,-0.0003190244005288473,0.00044997402513761406,-5.596269552641007e-05
40,11,70.0,0.0003972366595492993,-4.3540413574759515e-05,-0.0003291940042954751,0.00045191771447999614,-9.822146850545633e-05
44,12,71.0,0.0003941716713177258,-2.9835598863662248e-05,-0.00034828148750485136,0.00045652280641759384,-9.21867339635303e-05
45,12,63.0,0.0004107152993281932,2.353613019816819e-05,-0.0005166202370888943,0.0005399275806104841,-0.00010567615108412267
46,12,56.0,0.00027494458627778766,4.885522212854748e-05,-0.0005494296643740633,0.0004589644412467213,-0.00013516463284038614
47,12,57.0,0.00020662291900290855,-3.6181405395021194e-06,-0.00036687090686876415,0.0003129235124811464,-0.00010991873401773993
50,13,68.0,0.00035156093008144405,-7.273024975359358e-05,-0.00029151978087689837,0.0003968093901768981,-0.00011797870984904763
51,13,34.0,0.0003279478629192069,-7.157047061901959e-05,-0.00023223723873966665,0.00035924552568050727,-0.00010286813338031996
48,13,35.0,0.00037632104850282913,-7.09129076664984e-05,-0.0001974266655825202,0.00039713990035820316,-9.173175952187243e-05
49,13,69.0,0.00041310627596562524,-7.202139784869894e-05,-0.00025381156415826573,0.0004442983385387131,-0.00010321346042178677
52,14,36.0,0.00038871966267498394,-5.870905798957321e-05,-0.00014271105985505517,0.0003998237996339513,-6.981319494854055e-05
53,14,65.0,0.0004204296523676668,-6.062136134330954e-05,-0.0001731699933330259,0.0004355395912074686,-7.573130018311133e-05
54,14,69.0,0.0003844270079888957,-6.297653417598704e-05,-0.00021512185018925795,0.000408942550953306,-8.749207714039736e-05
55,14,35.0,0.0003578367955491095,-6.053552047792236e-05,-0.00017542038946927164,0.0003754808096133914,-7.817953454220431e-05
59,15,33.0,0.000280360917414112,-6.456061042630392e-05,-0.00028416512801676154,0.00033135075225599583,-0.00011555044526818773
56,15,34.0,0.0003387474802080707,-6.668342114332854e-05,-0.00026149186543368216,0.0003772540286631484,-0.00010518996959840626
57,15,68.0,0.000365381480058026,-6.142944380772456e-05,-0.00033095243979582196,0.0004220209598190948,-0.00011806892356879339
58,15,58.0,0.0002979997876924323,-5.912603404715502e-05,-0.0003552405839504849,0.000371297316867645,-0.00013242356322236773
63,16,56.0,0.00010498235489122751,0.000142512745884028,-0.00048165258952773994,0.0003653038312244392,-0.00011780873044918365
62,16,16.0,0.00019138936312236652,0.0003818974598797745,-0.0007874098215926856,0.0006917074688027381,-0.00011842064580059713
60,16,63.0,0.0002863130076823867,2.181094754185563e-05,-0.0005904668276947959,0.00047756329693962444,-0.0001694393417153821
61,16,15.0,0.00042126107279779473,0.00020229302308055413,-0.0009026122402809875,0.0007761733935056623,-0.00015261929762731336
64,17,72.0,0.00042181113326774863,-1.6931012191658603e-06,-0.00022490587470039292,0.00044981852527423556,-2.9700493225652774e-05
65,17,53.0,0.0004240454117303248,-2.89963761464418e-05,-0.0001916636156407553,0.0004434827475399337,-4.843371195605066e-05
66,17,54.0,0.00045765562513943453,-3.067288443348148e-05,-0.00021574504179726686,0.0004804233168870182,-5.344057618106513e-05
67,17,73.0,0.0004607571878600669,1.9285852134639505e-07,-0.000257716313026235,0.0004943581410000228,-3.3408094618609486e-05
71,18,60.0,0.0004250011415214035,5.484419477783906e-06,-0.00021034783249630415,0.0004498917154588839,-1.9406154459696468e-05
68,18,59.0,0.0003961758147506475,3.4169744026675032e-06,-0.00019478400925954098,0.00041899967747560896,-1.940688832229395e-05
69,18,72.0,0.0004025454301125452,-5.107766576863053e-06,-0.00016868025950641033,0.0004193056393506175,-2.1867975814935325e-05
70,18,73.0,0.000429982707791772,-4.590174041836737e-06,-0.0001787241971828342,0.0004476409030575246,-2.2248369307589333e-05
75,19,61.0,0.00044948001657516,1.6845375963493064e-05,-0.0002883474191064557,0.0004931227731862159,-2.6797380647562875e-05
74,19,74.0,0.0004608920042676948,-3.4258721201116578e-06,-0.00025073336649710995,0.000492578812395509,-3.511268024792587e-05
72,19,60.0,0.0004157619103697628,1.581108533226865e-05,-0.0002702561966710579,0.00045713638612904966,-2.5563390427018148e-05
73,19,73.0,0.00042156214433842,-2.3806410725673465e-06,-0.0002344068887613071,0.00045180660309644135,-3.262509983058867e-05
79,20,62.0,0.0005143510403310316,4.8919217902735986e-05,-0.00045421015500951914,0.0006068018733584713,-4.353161512470364e-05
76,20,61.0,0.00043070648148322774,2.259265264837654e-05,-0.0003575511435406648,0.0004979426362426056,-4.4643502111001295e-05
77,20,74.0,0.0004758154787415578,-9.909303932960177e-05,-0.00021990201285861793,0.0004961260241468239,-0.00011940358473486794
78,20,55.0,0.000554158358430392,-1.3677626583425246e-05,-0.00039528924928449415,0.000616177967405496,-7.569723555852918e-05
81,21,54.0,0.0004623365221116775,-2.5010368381656444e-05,-0.00027587937945296355,0.0004986704087694063,-6.13442550393853e-05
82,21,55.0,0.0004882413873273511,-2.8233732415745388e-05,-0.00028535832403137756,0.0005250359962135683,-6.502834130196262e-05
80,21,73.0,0.0004648089463320307,-6.7137313466314095e-06,-0.00030884227946080534,0.0005108796448606156,-5.27844298752164e-05
83,21,74.0,0.0005108887802175235,-8.221060516752594e-06,-0.000332986335666946,0.0005596984681017482,-5.703074840097727e-05
87,22,59.0,0.00040588234711910753,-1.3539583683784025e-06,-0.00015313781686804653,0.0004198030411718668,-1.5274652421137693e-05
86,22,72.0,0.0004126744332444941,-1.166848003905628e-05,-0.0001255808387928565,0.0004217706059149888,-2.0764652709550925e-05
84,22,38.0,0.00038046570459824083,-4.106331179531008e-06,-0.00013639125855051046,0.00039220065751337057,-1.584128409466072e-05
85,22,39.0,0.00038710375835525855,-1.2652417742180827e-05,-0.00011390753350653746,0.00039505969454077603,-2.0608353927698296e-05
88,23,39.0,0.00040486266358536263,-7.980333444806063e-06,-0.00015777385486978254,0.00041942302488988154,-2.254069474932492e-05
89,23,1.0,0.0004065504910853793,-2.8190774472472847e-05,-0.0001402502257566926,0.0004175819674274321,-3.922225081452564e-05
90,23,53.0,0.00042606546707476753,-2.8891598059372064e-05,-0.00016002547350079527,0.0004397269785094269,-4.2553109494031406e-05
91,23,72.0,0.00042464977295469247,-5.66809472418634e-06,-0.00018071030515972794,0.00044285197642961985,-2.3870298199113758e-05
92,24,62.0,0.0004912033661679423,-6.329655224106506e-05,-0.0005561425045272749,0.0006066252307735593,-0.00017871841684668208
93,24,55.0,0.0006366965446757133,-0.0001783355744197766,-0.0002889964078793446,0.0006615565595482725,-0.00020319558929233567
94,24,13.0,0.0009153121020339695,-0.00014625633956049717,-0.0004784078735356589,0.0009667223611251614,-0.00019766659865168897
95,24,14.0,0.0008276456255767173,1.2418983279955276e-05,-0.0008875756479411398,0.0010226069904898623,-0.00018254238163318984
98,25,76.0,0.0002122065199723737,1.1104743276355565e-05,-0.00045210946595567944,0.00035906465217385103,-0.00013575338892512178
99,25,75.0,0.00020796845414176174,-2.1319460524950643e-05,-0.0003505448731953766,0.00030276103608449045,-0.00011611204246767936
96,25,58.0,0.00028190134594736904,-2.7212103160192827e-05,-0.0003562621457565071,0.00036318028500185366,-0.00010849104221467745
97,25,57.0,0.0003023386936344616,-1.5675673576809714e-06,-0.0004421194512581727,0.00041863387378127765,-0.00011786274750449704
