Node,S1,S2,S12,N,XYZ
1,-4156.138342403286,2780.0508050786166,196.41063282363,1,[3.5 3.  0. ]
2,-6030.254714137263,848.7562536307953,1701.3333382739509,2,[3.490303 3.097999 0.      ]
3,-4131.491746113246,-1439.7047182061735,3787.1722971759164,3,[3.461939 3.191341 0.      ]
4,-1015.1769843632787,-3260.793543162358,4280.353770925141,4,[3.415993 3.277401 0.      ]
5,1651.035896132158,-532.3089740051912,1727.7269559987653,5,[3.353553 3.353553 0.      ]
6,-958.2893354561156,-386.46090826626664,689.4874985392141,6,[3.277401 3.415993 0.      ]
7,1022.2623467071824,-1717.7278060003237,8.141434613242382,7,[3.191341 3.461939 0.      ]
8,5211.476787487676,-22.566185147744477,-2547.338167179881,8,[3.097999 3.490303 0.      ]
9,1137.2215368615714,2611.3495315849545,-156.18613794435873,9,[3.  3.5 0. ]
10,1463.2409656202676,259.45498746998175,1476.4003283853579,10,[2.902001 3.490303 0.      ]
11,1836.8742408741828,-854.9608572185498,41.24179811241358,11,[2.808659 3.461939 0.      ]
12,4209.083317963831,-2592.2654529245765,-3815.2223024381783,12,[2.722599 3.415993 0.      ]
13,197.88200194347172,-1372.7235964764411,-7073.344207368687,13,[2.646447 3.353553 0.      ]
14,-3472.9404738097405,1078.349780970676,-4574.817803080108,14,[2.584007 3.277401 0.      ]
15,-5996.40802069909,1012.4339781454671,-1394.4357862673492,15,[2.538061 3.191341 0.      ]
16,-5254.537077412606,1396.163051939773,-1345.9029934137682,16,[2.509697 3.097999 0.      ]
17,-4205.984638807513,2652.317651822509,122.41883484129833,17,[2.5 3.  0. ]
18,-718.8280106274192,11808.840196579114,-12.094537912129518,18,[2.75 3.   0.  ]
19,715.4754793228656,11219.69163671773,-3677.822400997922,19,[2.754848 3.049    0.      ]
20,3931.540353828524,9829.219520193707,-6480.268132826566,20,[2.769031 3.095671 0.      ]
21,9397.298580234294,9386.8337052784,-7562.12791692687,21,[2.792003 3.1387   0.      ]
22,-3322.0896853224904,-1498.895003823568,-5894.4745867750535,22,[2.823223 3.176777 0.      ]
23,1326.4071738373223,1075.500293548133,-136.30585154306283,23,[2.8613   3.207997 0.      ]
24,4212.389671226311,1666.5314524093578,-1998.9766626088535,24,[2.904329 3.230969 0.      ]
25,4975.700074606338,565.5164413892313,-1350.4898515453415,25,[2.951    3.245152 0.      ]
26,5370.224636653067,-15.958361702848379,27.60939634735579,26,[3.   3.25 0.  ]
27,4839.536190893932,480.00979897954915,1400.813584292995,27,[3.049    3.245152 0.      ]
28,4045.483176457601,1508.513935158171,2101.653715587734,28,[3.095671 3.230969 0.      ]
29,2112.99199292156,1724.2673698683448,611.9155183673811,29,[3.1387   3.207997 0.      ]
30,-3300.283882724595,-2222.22883763172,6270.620589064708,30,[3.176777 3.176777 0.      ]
31,8963.295292202798,8898.954182680567,7119.249602152988,31,[3.207997 3.1387   0.      ]
32,3970.224879221086,9869.997079364275,6346.916980902246,32,[3.230969 3.095671 0.      ]
33,709.2120273976122,11052.224878327977,3566.2101124567303,33,[3.245152 3.049    0.      ]
34,-715.2490782252657,11420.585719479293,-12.681687048553592,34,[3.25 3.   0.  ]
37,-62.389473306356194,11279.221337714616,1832.7077847929897,37,[3.247576 3.0245   0.      ]
38,-3946.826768325034,4547.952520600982,185.73750201993917,38,[3.375 3.    0.   ]
41,2215.0045634864173,10179.935231684336,5163.148227617722,41,[3.238061 3.072335 0.      ]
44,6329.634119647575,8506.380089387036,6839.599836339719,44,[3.219483 3.117186 0.      ]
47,8913.532224057397,6062.513689285943,8447.373978353353,47,[3.192387 3.157739 0.      ]
50,-3694.736221747587,-757.9774649891011,-346.3333702824494,50,[3.157739 3.192387 0.      ]
53,3047.906783395672,1767.8826442658733,1328.3753221549987,53,[3.117186 3.219483 0.      ]
56,3743.9545196721892,796.5056817910202,1720.1172677982493,56,[3.072335 3.238061 0.      ]
59,4593.060798557683,62.832979200293266,699.4472824709529,59,[3.0245   3.247576 0.      ]
62,4609.3054404991735,70.25950449669654,-651.2835708902098,62,[2.9755   3.247576 0.      ]
65,3750.7439831885927,785.2878758585707,-1625.717255412152,65,[2.927665 3.238061 0.      ]
68,2865.0967621000004,1517.8268610632422,-1074.0886991750415,68,[2.882814 3.219483 0.      ]
71,-4983.7841443936395,-1787.064749637723,1553.1716964384584,71,[2.842261 3.192387 0.      ]
74,9931.339143664025,7454.751255932875,-9340.082480586887,74,[2.807613 3.157739 0.      ]
77,6557.3944990813,8630.108725076097,-7100.076007864804,77,[2.780517 3.117186 0.      ]
80,2277.293702451144,10338.277744609562,-5309.6232393774435,80,[2.761939 3.072335 0.      ]
82,-4129.110923778126,4569.614336680449,140.86744528169714,82,[2.625 3.    0.   ]
83,-46.0817156977555,11583.06922333935,-1905.6712731293442,83,[2.752424 3.0245   0.      ]
84,-6239.621010979032,1011.1388960370512,1708.9304340359581,84,[2.509697 2.902001 0.      ]
85,-5374.022859500845,-2194.293263592294,4716.522280727259,85,[2.538061 2.808659 0.      ]
86,-1690.8324393929556,-2057.9454006592714,3418.1769523480716,86,[2.584007 2.722599 0.      ]
87,308.7917703994236,299.5484559365943,290.00717159557564,87,[2.646447 2.646447 0.      ]
88,-747.8016299167696,-610.4495006799724,612.1895263027934,88,[2.722599 2.584007 0.      ]
89,1006.1162824340108,-1668.2963731326408,0.6195743200355537,89,[2.808659 2.538061 0.      ]
90,5139.049762266701,-88.42324665777244,-2478.862625951696,90,[2.902001 2.509697 0.      ]
91,1128.116265809982,2599.9613330918346,-188.3673317193767,91,[3.  2.5 0. ]
92,1438.0058539399765,314.66462020318585,1443.8813968221662,92,[3.097999 2.509697 0.      ]
93,1800.7873267264538,-832.0119927107994,59.569910505084394,93,[3.191341 2.538061 0.      ]
